Key,Source,en-us
Enabling Marketplace is unavailable at this time. Please check back later.,Enabling Marketplace is unavailable at this time. Please check back later.,Studio.Toolbox.General.CategoryRecentAnimations
Recent Animations,Recent Animations,Studio.Toolbox.General.CategoryCreationsRightShoeAccessory
Right Shoe Accessories,Right Shoe Accessories,Studio.Toolbox.General.VerifiedCreatorBadgeTooltipText
Creator is ID verified,Creator is ID verified,Studio.Toolbox.AssetConfigPackagePermissions.SearchByUser
Search by username,Search by username,Studio.Toolbox.General.CategoryCreationsFaceAccessory
Face Accessories,Face Accessories,Studio.Toolbox.General.CategoryGroupModels
Group Models,Group Models,Studio.Toolbox.General.SuggestionsBuilding
Building,Building,Studio.Toolbox.General.CategoryGroupMeshes
Group Meshes,Group Meshes,Studio.Toolbox.General.SearchOptionSort
Sort By,Sort By,Studio.Toolbox.General.CategoryGroupAudio
Group Audio,Group Audio,Studio.Toolbox.AssetConfigFooter.ImportTitle
Choose an asset to import.,Choose an asset to import.,Studio.Toolbox.General.SortByMostTaken
Most Taken,Most Taken,Studio.Toolbox.HomeView.Results
{total} Results,{total} Results,Studio.Toolbox.General.SearchBarDefaultText
Search,Search,Studio.Toolbox.General.AssetTypePlugin
Plugin,Plugin,Studio.Toolbox.General.SortByFavorites
Favorites,Favorites,Studio.Toolbox.General.SearchBarCreatorText
Search for users,Search for users,Studio.Toolbox.General.SuggestionsIntroText
Try searching for:,Try searching for:,Studio.Toolbox.General.AssetTypeTShirtAccessory
T-Shirt Accessory,T-Shirt Accessory,Studio.Toolbox.General.CategoryCreationsGroupHair
Group Hair,Group Hair,Studio.Toolbox.General.SuggestionsNPC
NPC,NPC,Studio.Toolbox.General.SuggestionsVehicle
Vehicle,Vehicle,Studio.Toolbox.General.SortByRelevance
Relevance,Relevance,Studio.Toolbox.General.SortByUpdated
Updated,Updated,Studio.Toolbox.General.CategoryCreationsWaistAccessory
Waist Accessories,Waist Accessories,Studio.Toolbox.General.SortByRatings
Ratings,Ratings,Studio.Toolbox.General.VotingVoteText
vote,vote,Studio.Toolbox.General.VotingVotesText
votes,votes,Studio.Toolbox.General.FooterButtonBlackName
Black,Black,Studio.Toolbox.General.Cancel
Cancel,Cancel,Studio.Toolbox.General.SearchOptionsCancel
Cancel,Cancel,Studio.Toolbox.Purchase.Cancel
Cancel,Cancel,Studio.Toolbox.Purchase.FailedDetails
Purchase of "{name}" failed.,Purchase of "{name}" failed.,Studio.Toolbox.General.CategoryCreationsPantsAccessory
Pants Accessories,Pants Accessories,Studio.Toolbox.General.SearchOptionsApply
Apply,Apply,Studio.Toolbox.General.FooterButtonNoneName
None,None,Studio.Toolbox.General.SearchResultsKeyword
Search Results for,Search Results for,Studio.Toolbox.AssetConfigSharing.PublicConfirmationHeading
You have allowed this asset to be shared with anyone on Roblox,You have allowed this asset to be shared with anyone on Roblox,Studio.Toolbox.General.SearchResultsClearAll
Clear,Clear,Studio.Toolbox.General.SearchTagCreator
by:,by:,Studio.Toolbox.General.RightClickMenuCopyTextureID
Copy Texture ID,Copy Texture ID,Studio.Toolbox.General.TabMarketplace
Marketplace,Marketplace,Studio.Toolbox.General.TabInventory
Inventory,Inventory,Studio.Toolbox.General.GoBack
Go Back,Go Back,Studio.Toolbox.General.TabRecent
Recent,Recent,Studio.Toolbox.General.CategoryCreationsPlugins
Plugins,Plugins,Studio.Toolbox.General.CategoryPaidPlugins
Plugins,Plugins,Studio.Toolbox.General.CategoryCreationsDevelopmentSectionDivider
Game development assets,Game development assets,Studio.Toolbox.General.CategoryCreationsAnimations
Animations,Animations,Studio.Toolbox.Purchase.BuyRobux
Buy Robux,Buy Robux,Studio.Toolbox.AssetConfigFooter.NewAsset
Save as a new asset...,Save as a new asset...,Studio.Toolbox.General.SalesServiceFee
Service fee will be collected upon sale,Service fee will be collected upon sale,Studio.Toolbox.General.CategoryCreationsCatalogSectionDivider
Avatar assets,Avatar assets,Studio.Toolbox.AssetConfigSharing.SubTitle
Who can use this asset?,Who can use this asset?,Studio.Toolbox.General.CategoryCreationsTeeShirts
T-Shirts,T-Shirts,Studio.Toolbox.General.CategoryCreationsShirts
Shirts,Shirts,Studio.Toolbox.General.AssetTypePants
Pants,Pants,Studio.Toolbox.General.CategoryCreationsPants
Pants,Pants,Studio.Toolbox.General.AssetTypeHairAccessory
Hair,Hair,Studio.Toolbox.General.CategoryCreationsHair
Hair,Hair,Studio.Toolbox.General.CategoryCreationsNeckAccessory
Neck Accessories,Neck Accessories,Studio.Toolbox.General.PremiumBenefits
Add Premium benefits,Add Premium benefits,Studio.Toolbox.AssetConfigUpload.IDCopied
ID Copied!,ID Copied!,Studio.Toolbox.General.CategoryCreationsShoulderAccessory
Shoulder Accessories,Shoulder Accessories,Studio.Toolbox.General.CategoryCreationsFrontAccessory
Front Accessories,Front Accessories,Studio.Toolbox.General.CategoryCreationsBackAccessory
Back Accessories,Back Accessories,Studio.Toolbox.General.CategoryCreationsTShirtAccessory
T-Shirt Accessories,T-Shirt Accessories,Studio.Toolbox.General.CategoryCreationsShirtAccessory
Shirt Accessories,Shirt Accessories,Studio.Toolbox.General.CategoryCreationsJacketAccessory
Jacket Accessories,Jacket Accessories,Studio.Toolbox.General.CategoryCreationsSweaterAccessory
Sweater Accessories,Sweater Accessories,Studio.Toolbox.AssetConfigPackagePermissions.UseViewDescription
Can use and view this package,Can use and view this package,Studio.Toolbox.General.CategoryCreationsShortsAccessory
Shorts Accessories,Shorts Accessories,Studio.Toolbox.General.CategoryCreationsLeftShoeAccessory
Left Shoe Accessories,Left Shoe Accessories,Studio.Toolbox.General.CategoryMyVideos
My Videos,My Videos,Studio.Toolbox.General.CategoryCreationsDressSkirtAccessory
Dress Skirt Accessories,Dress Skirt Accessories,Studio.Toolbox.AssetUploadResult.Failure
Submission failed,Submission failed,Studio.Toolbox.General.CategoryCreationsGroupHats
Group Hats,Group Hats,Studio.Toolbox.General.CategoryCreationsGroupFaceAccessory
Group Face Accessories,Group Face Accessories,Studio.Toolbox.General.AssetTypeWaistAccessory
Waist Accessory,Waist Accessory,Studio.Toolbox.General.CategoryCreationsGroupNeckAccessory
Group Neck Accessories,Group Neck Accessories,Studio.Toolbox.General.AssetTypeRightShoeAccessory
Right Shoe Accessory,Right Shoe Accessory,Studio.Toolbox.General.CategoryCreationsGroupShoulderAccessory
Group Shoulder Accessories,Group Shoulder Accessories,Studio.Toolbox.General.CategoryCreationsGroupFrontAccessory
Group Front Accessories,Group Front Accessories,Studio.Toolbox.General.CategoryCreationsGroupBackAccessory
Group Back Accessories,Group Back Accessories,Studio.Toolbox.General.CategoryCreationsGroupWaistAccessory
Group Waist Accessories,Group Waist Accessories,Studio.Toolbox.General.CategoryCreationsGroupTShirtAccessory
Group T-Shirt Accessories,Group T-Shirt Accessories,Studio.Toolbox.General.CategoryCreationsGroupShirtAccessory
Group Shirt Accessories,Group Shirt Accessories,Studio.Toolbox.General.NoPluginsFound.LinkText
Library,Library,Studio.Toolbox.General.CategoryCreationsGroupPantsAccessory
Group Pants Accessories,Group Pants Accessories,Studio.Toolbox.General.CategoryCreationsGroupJacketAccessory
Group Jacket Accessories,Group Jacket Accessories,Studio.Toolbox.AssetConfigPackagePermissions.PackageDetails
Package Details,Package Details,Studio.Toolbox.General.CategoryCreationsGroupSweaterAccessory
Group Sweater Accessories,Group Sweater Accessories,Studio.Toolbox.General.CategoryCreationsGroupShortsAccessory
Group Shorts Accessories,Group Shorts Accessories,Studio.Toolbox.General.CategoryCreationsGroupLeftShoeAccessory
Group Left Shoe Accessories,Group Left Shoe Accessories,Studio.Toolbox.General.AssetTypeShoulderAccessory
Shoulder Accessory,Shoulder Accessory,Studio.Toolbox.General.CategoryCreationsGroupRightShoeAccessory
Group Right Shoe Accessories,Group Right Shoe Accessories,Studio.Toolbox.General.CategoryCreationsGroupDressSkirtAccessory
Group Dress Skirt Accessories,Group Dress Skirt Accessories,Studio.Toolbox.General.TabCreations
Creations,Creations,Studio.Toolbox.General.RightClickMenuCopyAssetID
Copy Asset ID,Copy Asset ID,Studio.Toolbox.General.RightClickMenuCopyMeshID
Copy Mesh ID,Copy Mesh ID,Studio.Toolbox.General.RightClickMenuViewInBrowser
View In Browser,View In Browser,Studio.Toolbox.Purchase.FreeSuccessHeader
Installation Complete!,Installation Complete!,Studio.Toolbox.AssetConfigPreview.Format
Acceptable files: {formatString},Max: {maxDimensionsX} x {maxDimensionsY},Acceptable files: {formatString}
Max: {maxDimensionsX} x {maxDimensionsY},Studio.Toolbox.General.RightClickMenuConfigureAsset,Configure asset
Configure asset,Studio.Toolbox.General.RightClickMenuEditAsset,Edit Asset
Edit Asset,Studio.Toolbox.General.RightClickMenuReport,Report
Report,Studio.Toolbox.AssetUploadResult.Back,Back
Back,Studio.Toolbox.General.StatusReviewPending,In Review
In Review,Studio.Toolbox.ThumbnailStatus.InReview,In Review
In Review,Studio.Toolbox.General.StatusModerated,Rejected
Rejected,Studio.Toolbox.General.StatusDelayedRelease,Ready For Sale
Ready For Sale,Studio.Toolbox.General.StatusReviewApproved,Ready For Sale
Ready For Sale,Studio.Toolbox.General.StatusOffSale,Off Sale
Off Sale,Studio.Toolbox.General.SalesOffsale,Offsale
Offsale,Studio.Toolbox.General.StatusUnknown,Unknown
Unknown,Studio.Toolbox.General.AssetTypeModel,Model
Model,Studio.Toolbox.General.AssetTypeDecal,Decal
Decal,Studio.Toolbox.ThumbnailStatus.Pending,Pending
Pending,Studio.Toolbox.AssetConfigSharing.PublicConfirmationMessage,"Once shared with anyone on Roblox, you cannot set it back to private."
"Once shared with anyone on Roblox, you cannot set it back to private.",Studio.Toolbox.General.AssetTypeShortsAccessory,Shorts Accessory
Shorts Accessory,Studio.Toolbox.General.AssetTypeMesh,Mesh
Mesh,Studio.Toolbox.General.AssetTypeHat,Hat
Hat,Studio.Toolbox.General.AssetTypeTeeShirt,T-Shirt
T-Shirt,Studio.Toolbox.General.AssetTypeShirt,Shirt
Shirt,Studio.Toolbox.General.AssetTypeFaceAccessory,Face Accessory
Face Accessory,Studio.Toolbox.ScriptWarning.InstructionText2,You can disable scripts by right-clicking in Explorer.
You can disable scripts by right-clicking in Explorer.,Studio.Toolbox.General.AssetTypeNeckAccessory,Neck Accessory
Neck Accessory,Studio.Toolbox.General.AssetTypeFrontAccessory,Front Accessory
Front Accessory,Studio.Toolbox.General.AssetTypeBackAccessory,Back Accessory
Back Accessory,Studio.Toolbox.General.AssetTypeShirtAccessory,Shirt Accessory
Shirt Accessory,Studio.Toolbox.General.AssetTypePantsAccessory,Pants Accessory
Pants Accessory,Studio.Toolbox.General.AssetTypeJacketAccessory,Jacket Accessory
Jacket Accessory,Studio.Toolbox.General.AssetTypeSweaterAccessory,Sweater Accessory
Sweater Accessory,Studio.Toolbox.General.AssetTypeLeftShoeAccessory,Left Shoe Accessory
Left Shoe Accessory,Studio.Toolbox.General.AssetTypeDressSkirtAccessory,Dress Skirt Accessory
Dress Skirt Accessory,Studio.Toolbox.General.DiscardMessage,Would you like to discard all changes?
Would you like to discard all changes?,Studio.Toolbox.General.Discard,Discard
Discard,Studio.Toolbox.General.NoPluginsFound.TextLine1,Can’t find what you’re looking for?
Can’t find what you’re looking for?,Studio.Toolbox.General.Description,Description
Description,Studio.Toolbox.General.Title,Title
Title,Studio.Toolbox.General.Tags,Tags
Tags,Studio.Toolbox.General.Genre,Genre
Genre,Studio.Toolbox.General.Copy,Allow Copying
Allow Copying,Studio.Toolbox.General.Comments,Allow Comments
Allow Comments,Studio.Toolbox.General.LearnMore,Learn more
Learn more,Studio.Toolbox.General.Me,Me
Me,Studio.Toolbox.General.Proceed,Proceed
Proceed,Studio.Toolbox.General.AssetType,Asset type
Asset type,Studio.Toolbox.General.SalesSale,Sale
Sale,Studio.Toolbox.General.SalesOnsaleApplyToSave,Onsale (apply to save changes)
Onsale (apply to save changes),Studio.Toolbox.General.SalesOffsaleApplyToSave,Offsale (apply to save changes)
Offsale (apply to save changes),Studio.Toolbox.General.SalesItemCannotBeSold,This item cannot be sold right now
This item cannot be sold right now,Studio.Toolbox.General.SalesPrice,Price
Price,Studio.Toolbox.General.SalesPriceRange,Price range: {minPrice} - {maxPrice}
Price range: {minPrice} - {maxPrice},Studio.Toolbox.ScriptWarning.DontShowAgain,Don't show this again.
Don't show this again.,Studio.Toolbox.General.SalesEarning,You earn: {earning}
You earn: {earning},Studio.Toolbox.AssetConfigPreview.Process,Image will be reviewed by moderators before being made visible to other users
Image will be reviewed by moderators before being made visible to other users,Studio.Toolbox.General.Sharing,Sharing
Sharing,Studio.Toolbox.AssetConfigFooter.Override,Overwrite an existing asset...
Overwrite an existing asset...,Studio.Toolbox.General.SideTabVersions,Versions
Versions,Studio.Toolbox.General.SideTabGeneral,General
General,Studio.Toolbox.General.SideTabPermissions,Permissions
Permissions,Studio.Toolbox.General.TermsOfUse,Terms of use
Terms of use,Studio.Toolbox.General.PreviewAreaAssetID,Asset ID: {assetId}
Asset ID: {assetId},Studio.Toolbox.General.PreviewAreaStatus,Status: {assetStatus}
Status: {assetStatus},Studio.Toolbox.General.InstallSuccess,Success!
Success!,Studio.Toolbox.General.InstallFailure,Failure
Failure,Studio.Toolbox.General.HasScripts,Has scripts
Has scripts,Studio.Toolbox.Purchase.FreeTitle,Install Plugin
Install Plugin,Studio.Toolbox.General.RobloxStudio,Roblox Studio
Roblox Studio,Studio.Toolbox.AssetConfigFooter.OverrideTitle,Choose an existing model to overwrite.
Choose an existing model to overwrite.,Studio.Toolbox.AssetConfigAnimation.AnimationID,Animation ID
Animation ID,Studio.Toolbox.AssetConfigCopy.Terms,"By switching on, you are granting every other user of Roblox the right to use (in various ways) the content you are now sharing. If you do not want to grant this right, please do not check this box. For more information about sharing content, please review the Roblox Terms of Use."
"By switching on, you are granting every other user of Roblox the right to use (in various ways) the content you are now sharing. If you do not want to grant this right, please do not check this box. For more information about sharing content, please review the Roblox Terms of Use.",Studio.Toolbox.AssetConfigCopy.DistributeAgreement,"To maintain community safety, Roblox may terminate accounts that publish spam or assets with malicious or obfuscated code."
"To maintain community safety, Roblox may terminate accounts that publish spam or assets with malicious or obfuscated code.",Studio.Toolbox.AssetConfigPreview.Preview,Preview
Preview,Studio.Toolbox.AssetConfigPreview.Change,Change
Change,Studio.Toolbox.AssetConfigSharing.PublicDisabledInformation,Audio files cannot be made public at this time. Please check back at a later date.
Audio files cannot be made public at this time. Please check back at a later date.,Studio.Toolbox.AssetConfigSharing.PublicInformation,I certify that I am the creator of this asset. I agree that the asset may be shared and used by others on Roblox. This cannot be undone.
I certify that I am the creator of this asset. I agree that the asset may be shared and used by others on Roblox. This cannot be undone.,Studio.Toolbox.AssetConfigSharing.AnyoneOnRoblox,Anyone on Roblox
Anyone on Roblox,Studio.Toolbox.AssetConfigSharing.CheckStatus,Check Status
Check Status,Studio.Toolbox.AssetConfigSharing.PublicConfirmationTitle,Are you sure?
Are you sure?,Studio.Toolbox.General.CategoryVideos,Videos
Videos,Studio.Toolbox.AssetConfigSharing.VerificationNotice,"To make audio assets public, you must first verify your identity. Use the Refresh button to update your Verification status."
"To make audio assets public, you must first verify your identity. Use the Refresh button to update your Verification status.",Studio.Toolbox.AssetConfigSharing.VerificationAction,ID Verify your account
ID Verify your account,Studio.Toolbox.AssetConfigVersions.Current,Current published version
Current published version,Studio.Toolbox.AssetConfigVersions.Restore,Restore previous version
Restore previous version,Studio.Toolbox.AssetConfig.GetAssetFailed,There was an problem fetching asset data. We will be closing AssetConfig page.
There was an problem fetching asset data. We will be closing AssetConfig page.,Studio.Toolbox.AssetConfigPackagePermissions.UserOwnedWarning, Users you share with will always have access to the current and previous versions of this package. Removing collaborators will discontinue their access to newer versions of the package.
 Users you share with will always have access to the current and previous versions of this package. Removing collaborators will discontinue their access to newer versions of the package.,Studio.Toolbox.AssetConfig.Error,Error
Error,Studio.Toolbox.ThumbnailStatus.Error,Error
Error,Studio.Toolbox.AssetUploadResult.Success,Successfully submitted!
Successfully submitted!,Studio.Toolbox.AssetConfigPackagePermissions.PackageOwner,Package Owner
Package Owner,Studio.Toolbox.AssetConfigPackagePermissions.Owner,Owner
Owner,Studio.Toolbox.AssetConfigPackagePermissions.OwnerLabel,Owner
Owner,Studio.Toolbox.AssetConfigPackagePermissions.ShareWith,Share with
Share with,Studio.Toolbox.AssetConfigPackagePermissions.NoAccessLabel,No Access
No Access,Studio.Toolbox.AssetConfigPackagePermissions.UseViewLabel,Use & View
Use & View,Studio.Toolbox.NoTagFound,Word(s) not found in the tag library
Word(s) not found in the tag library,Studio.Toolbox.AssetConfigPackagePermissions.EditLabel,Edit
Edit,Studio.Toolbox.AssetConfigPackagePermissions.MultipleLabel,(Multiple)
(Multiple),Studio.Toolbox.AssetConfigPackagePermissions.NoAccessDescription,"Cannot use, view or edit this package"
"Cannot use, view or edit this package",Studio.Toolbox.AssetConfigPackagePermissions.EditDescription,"Can use, view and edit this package"
"Can use, view and edit this package",Studio.Toolbox.AssetConfigPackagePermissions.FriendsCollaboratorType,Friends
Friends,Studio.Toolbox.ThumbnailStatus.Blocked,Blocked
Blocked,Studio.Toolbox.AssetConfigPackagePermissions.PackageCreator,Package Creator
Package Creator,Studio.Toolbox.General.CategoryGroupAnimations,Group Animations
Group Animations,Studio.Toolbox.AssetConfigPackagePermissions.UsersCollaboratorType,Users
Users,Studio.Toolbox.AssetConfigPackagePermissions.GroupsCollaboratorType,Groups
Groups,Studio.Toolbox.AssetConfigPackagePermissions.MyFriendsCollaborator,My Friends
My Friends,Studio.Toolbox.AssetConfigPackagePermissions.TooManyCollaboratorsText,You cannot add more than {maxNumCollaborators:int} collaborators
You cannot add more than {maxNumCollaborators:int} collaborators,Studio.Toolbox.AssetConfig.PublishAssetDialogHeading,This model contains private assets
This model contains private assets,Studio.Toolbox.AssetConfig.PublishAssetDialogDescription,"On Publish, all private assets will be made public. If you do not wish to do so, do not proceed with Publish."
"On Publish, all private assets will be made public. If you do not wish to do so, do not proceed with Publish.",Studio.Toolbox.AssetConfig.PublishAssetDialogPublish,Publish
Publish,Studio.Toolbox.AssetConfig.ModelPublishWarning,Any private audio in your model will not be playable.
 Any private audio in your model will not be playable.,Studio.Toolbox.Purchase.RobuxBalance,Your current balance:
Your current balance:,Studio.Toolbox.Purchase.InsufficientPrompt,You need {robux:int} more Robux to buy "{name}" from {creator}.
You need {robux:int} more Robux to buy "{name}" from {creator}.,Studio.Toolbox.Purchase.Retry,Retry
Retry,Studio.Toolbox.Purchase.Buy,Buy
Buy,Studio.Toolbox.Purchase.BuyTitle,Buy & Install Plugin
Buy & Install Plugin,Studio.Toolbox.Purchase.InsufficientTitle,Insufficient Robux
Insufficient Robux,Studio.Toolbox.Purchase.FailedHeader,Purchase failed
Purchase failed,Studio.Toolbox.Purchase.Free,FREE
FREE,Studio.Toolbox.General.Fee,After {percent}% fee:
After {percent}% fee:,Studio.Toolbox.General.Earn,You earn:
You earn:,Studio.Toolbox.AssetConfigSales.Target,"By enabling it, this asset will be put in {market} and available for any Roblox {user}."
"By enabling it, this asset will be put in {market} and available for any Roblox {user}.",Studio.Toolbox.General.CategoryGroupPlugins,Group Plugins
Group Plugins,Studio.Toolbox.General.Free,Free
Free,Studio.Toolbox.General.Installing,Installing
Installing,Studio.Toolbox.AssetConfigError.NetworkError,We encountered some problems:
We encountered some problems:,Studio.Toolbox.AssetConfigPackagePermissions.SearchbarDefault,Search for Friends
Search for Friends,Studio.Toolbox.AssetConfigPackagePermissions.GroupOwnedWarning,No Access takes effect from new versions of this package. Users assigned to rolesets with "Edit" permissions will always have access to current and previous versions of this package.
No Access takes effect from new versions of this package. Users assigned to rolesets with "Edit" permissions will always have access to current and previous versions of this package.,Studio.Toolbox.Purchase.SuccessHeader,Buy & Installation Complete!
Buy & Installation Complete!,Studio.Toolbox.Purchase.SuccessDetails,Successfully installed "{name}".
Successfully installed "{name}".,Studio.Toolbox.MaxTagsDescription,Add up to {max:int} tags from the tag library
Add up to {max:int} tags from the tag library,Studio.Toolbox.General.AbbreviatedSeconds,s
s,Studio.Toolbox.General.AbbreviatedMinutes,m
m,Studio.Toolbox.General.SearchOptionAudioTo,to
to,Studio.Toolbox.General.SearchOptionAudioLength,Sound Length
Sound Length,Studio.Toolbox.AssetConfigAnimation.FilterID,Filter ID
Filter ID,Studio.Toolbox.General.NoPluginsFound.TextLine2,"For more plugins, try searching in the {link} on our website."
"For more plugins, try searching in the {link} on our website.",Studio.Toolbox.AssetConfigAnimation.InvalidAnimationID,Invalid Animation ID
Invalid Animation ID,Studio.Toolbox.AssetPreview.PluginNotice,This plugin was created by a third party. Roblox does not guarantee its safety or quality.
This plugin was created by a third party. Roblox does not guarantee its safety or quality.,Studio.Toolbox.ScriptWarning.InstructionText,Please review the scripts to prevent unwanted changes to your experience.
Please review the scripts to prevent unwanted changes to your experience.,Studio.Toolbox.HomeView.SeeAll,See All
See All
