Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.Toolbox.General.CategoryCreationsAudio,Audio, ,Audio,Audio,Audio,Audio,オーディオ,오디오,Áudio,Звук,音频,音频,語音
Studio.Toolbox.Subcategory.Audio,Audio, ,Audio,Audio,4000,Audio,オーディオ,오디오,Áudio, ,音频,音频,音訊
Studio.Toolbox.AssetConfigPackage.HelpTextV2,Enables versioning and updates for this asset., ,Enables versioning and updates for this asset.,Permite versiones y actualizaciones de este recurso.,Active le versioning et les mises à jour pour ce contenu.,Abilita versioning e aggiornamenti per questo asset.,このアセットのバージョン管理と更新を有効化。,이 애셋에 대한 버전 관리 및 업데이트를 활성화합니다.,Permite o versionamento e atualizações deste ativo., ,为此素材启用版本管理和更新。,为此素材启用版本管理和更新。,為此素材啟用版本管理和更新。
Studio.Toolbox.AssetConfigPackagePermissions.MultipleLabelTooltip,Not all roles have the same access; expand the group for details., ,Not all roles have the same access; expand the group for details.,No todos los roles tienen el mismo acceso; expande el grupo para más detalles.,"Tous les rôles n'ont pas le même accès, élargir le groupe pour plus de détails.",Non tutti i ruoli hanno lo stesso accesso; espandere il gruppo per i dettagli.,すべての役割に同じアクセス権限があるわけではありません。詳しくはグループを展開してください。,모든 역할이 동일한 액세스 권한을 갖는 것은 아닙니다. 자세한 내용은 그룹을 확장해 확인하세요.,Nem todos os cargos têm o mesmo acesso; expanda o grupo para detalhes., ,不是所有的角色都有相同的权限；请展开群组获得详情。,不是所有的角色都有相同的权限；请展开群组获得详情。,各階級的權限不一樣，請展開群組獲得詳細資訊。
Studio.Toolbox.General.CategoryMyDecals,My Images,Meine Bilder,My Images,Mis imágenes,Mes images,Le mie immagini,マイ画像,내 이미지,Minhas imagens,Мои изображения,我的图片,我的图片,我的圖像
Studio.Toolbox.Audio.SoundEffect.Category.cameras,Cameras, ,Cameras,Cámaras,Caméras,Telecamere,カメラ,카메라,Câmeras, ,摄像机,摄像机,攝影機
Studio.Toolbox.General.Ownership,Creator, ,Creator,Creador,Créateur,Creatore,クリエーター,크리에이터,Criador,Автор,创作者,创作者,創作者
Studio.Toolbox.General.SearchOptionCreator,Creator,Ersteller,Creator,Creador,Créateur,Creatore,クリエーター,크리에이터,Criador,Автор,创作者,创作者,創作者
Studio.Toolbox.General.CategoryMyModels,My Models,Meine Modelle,My Models,Mis modelos,Mes modèles,I miei modelli,マイモデル,내 모델,Meus modelos,Мои модели,我的模型,我的模型,我的模型
Studio.Toolbox.General.CategoryMyMeshes,My Meshes,Meine Meshes,My Meshes,Mis mallas,Mes maillages,Le mie mesh,マイメッシュ,내 메시,Minhas malhas,Мои сетки,我的网格,我的网格,我的網格
Studio.Toolbox.Audio.Music.Genre.corporate,Corporate, ,Corporate,Empresarial,Entreprise,Corporate,コーポレート,코퍼레이트,Corporativo,Корпоративная,企业,企业,企業
Studio.Toolbox.Subcategory.AudioMusicCorporate,Corporate, ,Corporate,Empresarial,Entreprise,Corporate,コーポレート,코퍼레이트,Corporativo,Корпоративный,企业,企业,企業
Studio.Toolbox.General.CategoryGroupPackages,Group Packages,Gruppen-Pakete,Group Packages,Paquetes del grupo,Packages du groupe,Pacchetti del gruppo,グループパッケージ,그룹 패키지,Agrupar pacotes,Пакеты группы,群组包,群组包,組合套件
Studio.Toolbox.General.SearchTagLength,length:, ,length:,duración:,longueur :,lunghezza:,長さ：,길이:,duração:,длина:,长度：,长度：,長度：
Studio.Toolbox.Audio.Music.Genre.ethnic-pop,Ethnic Pop, ,Ethnic Pop,Pop étnico,Pop ethnique,Pop etnico,エスニックポップ,에스닉 팝,Pop étnico,Этнический поп,民族流行,民族流行,民族流行
Studio.Toolbox.Subcategory.AudioMusicEthnicPop,Ethnic Pop, ,Ethnic Pop,Pop étnico,Pop ethnique,Pop etnico,エスニックポップ,에스닉 팝,Pop étnico,Этнический поп,民族流行,民族流行,民族流行
Studio.Toolbox.General.CategoryMyAudio,My Audio,Meine Audiodateien,My Audio,Mi audio,Mes sons,I miei audio,マイオーディオ,내 오디오,Meus áudios,Мой звук,我的音频,我的音频,我的語音
Studio.Toolbox.General.CategoryMyPackages,My Packages,Meine Pakete,My Packages,Mis paquetes,Mes packages,I miei pacchetti,マイパッケージ,내 패키지,Meus pacotes,Мои пакеты,我的包,我的包,我的套件
Studio.Toolbox.General.CategoryMyPlugins,My Plugins,Meine Plug-ins,My Plugins,Mis plugins,Mes plugins,I miei plugin,マイプラグイン,내 플러그인,Meus plugins,Мои плагины,我的插件,我的插件,我的外掛程式
Studio.Toolbox.Subcategory.AudioMusicMarchesMilitary,Marches Military, ,Marches Military,Marcha militar,Marche militaire,Marcia militare,行進曲とミリタリー,군대 행진곡,Marchas militares, ,进行曲,进行曲,進行曲
Studio.Toolbox.General.SideTabSales,Sales, ,Sales,Ventas,Ventes,Vendite,セール,판매,Vendas,Распродажи,销售,销售,買賣
Studio.Toolbox.Audio.SoundEffect.Category.squeaks,Squeaks, ,Squeaks,Chillidos,Grincements,Scricchiolii,キーキー音,끼익 소리,Rangidos, ,嘎吱声,嘎吱声,吱吱聲
Studio.Toolbox.General.SortByText,Sort by:,Sortieren nach:,Sort by:,Ordenar por:,Trier par :,Ordina per:,並べ替え順:,정렬 기준:,Ordenar por:,Сортировка:,排序方式:,排序方式:,排序方式：
Studio.Toolbox.Audio.SoundEffect.Category.crunches,Crunches, ,Crunches,Crujidos,Crissements,Crunches,カリカリ音,씹는 소리,Trituramento, ,嘎吱咀嚼,嘎吱咀嚼,喀擦聲
Studio.Toolbox.General.CategoryRecentModels,Recent Models,Zuletzt verwendete Modelle,Recent Models,Modelos recientes,Modèles récents,Modelli recenti,最近のモデル,최근 모델,Modelos recentes,Недавние модели,最近使用的模型,最近使用的模型,近期使用的模型
Studio.Toolbox.General.CategoryRecentAudio,Recent Audio,Zuletzt verwendete Audiodateien,Recent Audio,Audio reciente,Sons récents,Audio recenti,最近のオーディオ,최근 오디오,Áudios recentes,Недавние звукозаписи,最近使用的音频,最近使用的音频,近期使用的語音
Studio.Toolbox.General.DistributeOnMarketplace,Distribute on Marketplace, ,Distribute on Marketplace,Distribuir en Mercado,Distribuer sur le marché,Distribuisci sul mercato,マーケットプレイスで流通させる,마켓플레이스에 배포,Distribuir no mercado, ,在商城中流通,在商城中流通,在商城中流通
Studio.Toolbox.Audio.Music.Genre.rock,Rock, ,Rock,Rock,Rock,Rock,ロック,록,Rock,Рок,摇滚,摇滚,搖滾
Studio.Toolbox.Subcategory.AudioMusicRock,Rock, ,Rock,Rock,Rock,Rock,ロック,록,Rock,Рок,摇滚,摇滚,搖滾
Studio.Toolbox.Subcategory.ModelLandscapeRock,Rock, ,Rock,Piedra,Roche,Pietra,岩,바위,Rocha,Камень,岩石,岩石,岩石
Studio.Toolbox.General.CategoryRecentDecals,Recent Images,Zuletzt verwendete Bilder,Recent Images,Imágenes recientes,Images récentes,Immagini recenti,最近の画像,최근 이미지,Imagens recentes,Недавние изображения,最近使用的图片,最近使用的图片,近期使用的圖像
Studio.Toolbox.Common.Update,Update, ,Update,Actualizar,Mise à jour,Aggiorna,アップデート,업데이트,Atualizar, ,更新,更新,更新
Studio.Toolbox.General.CategoryRecentMeshes,Recent Meshes,Zuletzt verwendete Meshes,Recent Meshes,Mallas recientes,Maillages récents,Mesh recenti,最近のメッシュ,최근 메시,Malhas recentes,Недавние сетки,最近使用的网格,最近使用的网格,近期使用的網格
Studio.Toolbox.General.CategoryCreationsFaceAccessory,Face Accessories,Gesichts-Accessoire,Face Accessories,Accesorios para la cara,Accessoires visage,Accessori faccia,顔用アクセサリ,얼굴 장신구,Acessórios de rosto,Лицо: аксесссуары,脸部配件,脸部配件,臉部飾品
Studio.Toolbox.General.CategoryGroupModels,Group Models,Gruppen-Modelle,Group Models,Modelos del grupo,Modèles du groupe,Modelli del gruppo,グループモデル,그룹 모델,Agrupar modelos,Модели группы,群组模型,群组模型,組合模型
Studio.Toolbox.AssetConfigPackagePermissions.SearchByUser,Search by username, ,Search by username,Buscar por nombre de usuario,Recherche par nom d'utilisateur,Cerca per nome utente,ユーザーネームをサーチ,사용자 이름으로 검색,Busca por usuário,Поиск по имени пользователя,依用户名搜索,依用户名搜索,以使用者名稱搜尋
Studio.Toolbox.Audio.SoundEffect.Category.coughs,Coughs, ,Coughs,Golpes de tos,Toux,Tosse,咳,기침,Tosse, ,咳嗽,咳嗽,咳嗽
Studio.Toolbox.General.FooterButtonWhiteName,White,Weiß,White,Blanco,Blanc,Bianco,白,흰색,Branco,Белый,白色,白色,白
Studio.Toolbox.General.CategoryRecentVideos,Recent Videos, ,Recent Videos,Videos recientes,Vidéos récentes,Video recenti,最近のビデオ,최근 비디오,Vídeos recentes,Недавние видео,最近使用的视频,最近使用的视频,近期使用的影片
Studio.Toolbox.AssetConfigFooter.UploadWithFee,Submit for,{price:int} Robux, ,Submit for,{price:int} Robux,Enviar por,{price:int} Robux,Soumettre pour,{price:int} Robux,Invia per,{price:int} Robux,{price:int} Robux,で提出
{price:int} Robux 사용,제출,Enviar para,{price:int} Robux,Submit for,{price:int} Robux,花费 {price:int} Robux,并提交,花费 {price:int} Robux,并提交,以 {price:int} Robux,提交,Studio.Toolbox.General.CategoryGroupDecals,Group Images
Gruppen-Bilder,Group Images,Imágenes del grupo,Images du groupe,Immagini del gruppo,グループ画像,그룹 이미지,Agrupar imagens,Изображения группы,群组图片,群组图片,組合圖像,Studio.Toolbox.AudioView.Name,Name
 ,Name,Nombre,Nom,Nome,名前,이름,Nome,Имя,名称,名称,名稱,Studio.Toolbox.General.SuggestionsBuilding,Building
Gebäude,Building,Edificio,Bâtiment,Edificio,ビル,건물,Construção,Постройки,建造,建造,建築,Studio.Toolbox.AssetConfigPackage.CantConvertModelWithPrimaryPartNonArchivableWarning,Cannot publish a Model package when the PrimaryPart is not archivable.
 ,Cannot publish a Model package when the PrimaryPart is not archivable.,No se puede publicar un paquete Modelo cuando el PrimaryPart no es archivable.,Impossible de publier un package Modèle lorsque la PrimaryPart n'est pas archivable.,Impossibile pubblicare un pacchetto Modello quando PrimaryPart non è archiviabile.,エラー: PrimaryPart がアーカイブできない場合はモデルパッケージを公開できません。,PrimaryPart를 보관할 수 없는 경우 모델 패키지를 게시할 수 없습니다.,Não é possível publicar um pacote modelo quando a PrimaryPart não é arquivável., ,PrimaryPart 无法归档，无法发布模型包。,PrimaryPart 无法归档，无法发布模型包。,PrimaryPart 無法封存，因此無法發布模型套件。,Studio.Toolbox.General.CategoryGroupMeshes,Group Meshes
Gruppen-Meshes,Group Meshes,Mallas del grupo,Maillages du groupe,Mesh del gruppo,グループメッシュ,그룹 메시,Agrupar malhas,Сетки группы,群组网格,群组网格,組合網格,Studio.Toolbox.Audio.SoundEffect.Category.voices,Voices
 ,Voices,Voces,Voix,Voci,音声,말소리들,Vozes, ,声音,声音,話語,Studio.Toolbox.General.GoBack,Go Back
 ,Go Back,Volver,Retour,Indietro,戻る,돌아가기,Voltar, ,返回,返回,返回,Studio.Toolbox.General.TabRecent,Recent
Aktuelle,Recent,Reciente,Récents,Recenti,最近の編集,최근,Recentes,Недавние,最近,最近,近期使用,Studio.Toolbox.General.SearchOptionSort,Sort By
Sortieren nach,Sort By,Ordenar por,Trier par,Ordina per,並べ替え順,정렬 기준,Ordenar por,Сортировка:,排序方式,排序方式,排序方式,Studio.Toolbox.Audio.Music.Genre.easy-listening,Easy Listening
 ,Easy Listening,Música fácil de escuchar,Musique d'ambiance,Di facile ascolto,イージーリスニング,이지 리스닝,Música suave,Фоновая музыка,轻音乐,轻音乐,輕音樂,Studio.Toolbox.Subcategory.AudioMusicEasyListening,Easy Listening
 ,Easy Listening,Música fácil de escuchar,Musique d'ambiance,Di facile ascolto,イージーリスニング,이지 리스닝,Música suave,Простое слушание,轻音乐,轻音乐,輕音樂,Studio.Toolbox.General.CategoryGroupAudio,Group Audio
Gruppen-Audiodateien,Group Audio,Audio del grupo,Sons du groupe,Audio del gruppo,グループオーディオ,그룹 오디오,Agrupar áudios,Звукозаписи группы,群组音频,群组音频,組合音效,Studio.Toolbox.AssetConfigFooter.ImportTitle,Choose an asset to import.
 ,Choose an asset to import.,Elige un recurso para importar.,Choisir un objet à importer.,Scegli una risorsa da importare.,インポートするアセットを選ぶ。,가져올 애셋을 선택하세요.,Escolha um ativo para importar.,Выбери ресурс для импорта.,请选择要导入的素材。,请选择要导入的素材。,選擇要匯入的素材。,Studio.Toolbox.Audio.Music.Genre.world-beat,World Beat
 ,World Beat,World Beat,World Beat,World beat,ワールドビート,월드 비트,World Beat,Мировые биты,世界节奏,世界节奏,世界節奏,Studio.Toolbox.Subcategory.AudioMusicWorldBeat,World Beat
 ,World Beat,World Beat,World Beat,World beat,ワールドビート,월드 비트,World Beat,Мировые биты,世界节奏,世界节奏,世界節奏,Studio.Toolbox.Audio.SoundEffect.Category.explosions,Explosions
 ,Explosions,Explosiones,Explosions,Esplosione,爆発,폭발,Explosões, ,爆炸,爆炸,爆炸,Studio.Toolbox.General.SortByMostTaken,Most Taken
Am häufigsten verwendet,Most Taken,Más populares,Populaires,Più usati,一番人気,사용 횟수,Mais populares,Использование,最多采用,最多采用,最常採用,Studio.Toolbox.HomeView.Results,{total} Results
 ,{total} Results,{total} resultados,{total} Résultats,{total} risultati,{total} 件の結果,결과 {total},{total} Resultados, ,{total} 个结果,{total} 个结果,{total} 個結果,Studio.Toolbox.Audio.SoundEffect.Category.fight,Fight
 ,Fight,Pelea,Combat,Lotta,戦い,싸움,Luta, ,战斗,战斗,格鬥,Studio.Toolbox.Audio.SoundEffect.Category.misc,Misc
 ,Misc,Misceláneo,Divers,Varie,その他,기타,Diversos, ,其他,其他,其他,Studio.Toolbox.General.SearchBarDefaultText,Search
Suchen,Search,Buscar,Rechercher,Cerca,サーチ,검색,Pesquisar,Поиск,搜索,搜索,搜尋,Studio.Toolbox.General.SortByFavorites,Favorites
Favoriten,Favorites,Favoritos,Favoris,Preferiti,お気に入り,즐겨찾기,Favoritos,Избранное,收藏,收藏,最愛,Studio.Toolbox.General.AssetTypePlugin,Plugin
 ,Plugin,Plugin,Plugin,Plugin,プラグイン,플러그인,Plugin,Плагин,插件,插件,外掛程式,Studio.Toolbox.General.SearchBarCreatorText,Search for users
Nach Benutzern suchen,Search for users,Buscar usuarios,Rechercher des utilisateurs,Cerca utenti,ユーザーをサーチ,사용자 검색,Pesquisar usuários,Поиск пользователей,搜索用户,搜索用户,搜尋使用者,Studio.Toolbox.General.SuggestionsIntroText,Try searching for:
Suchen nach:,Try searching for:,Intenta buscar:,Essayez de rechercher :,Prova a cercare:,以下をサーチしてみてください。,다음으로 검색:,Tente pesquisar por:,Попробуйте найти:,尝试搜索:,尝试搜索:,正在嘗試搜尋：,Studio.Toolbox.General.CategoryCreationsGroupHair,Group Hair
 ,Group Hair,Pelo del grupo,Cheveux du groupe,Capelli del gruppo,グループの髪,그룹 헤어,Cabelos de grupo, ,群组发型,群组发型,群組髮型,Studio.Toolbox.General.AssetTypeTShirtAccessory,T-Shirt Accessory
 ,T-Shirt Accessory,Accesorio para camiseta,Accessoire t-shirt,Accessorio maglietta,Tシャツ用アクセサリ,티셔츠 장신구,Acessório de camiseta, ,T 恤衫配件,T 恤衫配件,T 恤飾品,Studio.Toolbox.General.SuggestionsNPC,NPC
NSC,NPC,PNJ,PNJ,PNG,NPC,NPC,NPC,НИП,NPC,NPC,NPC,Studio.Toolbox.General.SuggestionsVehicle,Vehicle
Fahrzeug,Vehicle,Vehículo,Véhicule,Veicolo,車,차량,Veículo,Транспорт,车辆,车辆,載具,Studio.Toolbox.Subcategory.ModelVehicle,Vehicle
 ,Vehicle,Vehículo,Véhicule,Veicolo,乗り物,탈것,Veículo, ,交通工具,交通工具,交通工具,Studio.Toolbox.General.AssetTypePants,Pants
 ,Pants,Pantalones,Pantalons,Pantaloni,パンツ,바지,Calça,Брюки,裤子,裤子,褲子,Studio.Toolbox.General.CategoryCreationsPants,Pants
Hosen,Pants,Pantalones,Pantalons,Pantaloni,パンツ,바지,Calças,Брюки,裤子,裤子,褲子,Studio.Toolbox.General.SuggestionsWeapon,Weapon
Waffe,Weapon,Arma,Arme,Arma,武器,무기,Arma,Оружие,武器,武器,武器,Studio.Toolbox.General.CategoryCreationsTeeShirts,T-Shirts
 ,T-Shirts,Camisetas,T-shirts,Magliette,Tシャツ,티셔츠,Camisetas,Футболки,T 恤,T 恤,T 恤,Studio.Toolbox.AssetConfig.ModelPublishWarning, Any private audio in your model will not be playable.
 , Any private audio in your model will not be playable., Cualquier audio privado en tu modelo no será reproducible., Tout son privé dans ton modèle ne sera pas lu., Ogni audio privato nel tuo modello non sarà riproducibile., お持ちのモデル内のどの非公開オーディオも再生できません。, 모델의 모든 비공개 오디오는 재생할 수 없습니다., Qualquer áudio privado em seu modelo não será reproduzível., ,你模型中的所有私人音频将无法播放。,你模型中的所有私人音频将无法播放。,您的模型裡的私人音訊將無法播放。,Studio.Toolbox.AssetConfigSharing.SubTitle,Who can use this asset?
 ,Who can use this asset?,¿Quién puede usar este recurso?,Qui peut utiliser cet actif ?,Chi può usare questa risorsa?,このアセットを使用できる人,누가 이 애셋을 사용할 수 있나요?,Quem pode usar este ativo?, ,谁可以使用此素材？,谁可以使用此素材？,誰可以使用此素材？,Studio.Toolbox.Suggestion.MoreFromCreator,More from {creatorName}
 ,More from {creatorName},Más de {creatorName},En savoir plus sur {creatorName},Altro da {creatorName},{creatorName} のその他の内容,{creatorName} 님의 아이템 더 보기,Mais de {creatorName}, ,更多来自“{creatorName}”的作品,更多来自“{creatorName}”的作品,更多來自 {creatorName} 的作品,Studio.Toolbox.Purchase.BuyPrompt,Would you like to buy "{name}" from {creator} for {robux:int} Robux?
 ,Would you like to buy "{name}" from {creator} for {robux:int} Robux?,¿Quieres comprar "{name}" de {creator} por {robux:int} Robux?,Voudrais-tu acheter {name} de {creator} pour {robux:int} Robux ?,Vuoi acquistare "{name}" da {creator} per {robux:int} Robux?,{creator} さんから {robux:int} Robuxで「{name}」を買いますか？,{creator}의 '{name}'(을)를 {robux:int} Robux에 구매할까요?,Gostaria de comprar "{name}" de {creator} por {robux:int} Robux?,"\"{name}\", автор {creator}: купить для {robux:int} Robux?",你要以 {robux:int} Robux 从 {creator} 处购买 "{name}" 吗?,你要以 {robux:int} Robux 从 {creator} 处购买 "{name}" 吗?,您要向 {creator} 以 {robux:int} Robux 購買「{name}」嗎？,Studio.Toolbox.Common.OK,OK
 ,OK,Aceptar,Ok,OK,OK,확인,OK, ,确认,确认,確定,Studio.Toolbox.Audio.SoundEffect.Category.light,Light
 ,Light,Luz,Lumière,Luce,ライト,빛,Luz, ,灯光,灯光,光,Studio.Toolbox.General.SuggestionsLight,Light
Licht,Light,Luz,Lumière,Luce,照明,조명,Luz,Свет,光,光,燈光,Studio.Toolbox.Subcategory.ModelLight,Light
 ,Light,Luz,Lumière,Luce,照明,조명,Luz, ,灯光,灯光,燈光,Studio.Toolbox.General.SortByRelevance,Relevance
Relevanz,Relevance,Relevancia,Pertinence,Rilevanza,関連性,관련성,Relevância,Актуальность,关联,关联,相關性,Studio.Toolbox.Subcategory.ModelFurnitureToilet,Toilet
 ,Toilet,Baño,Toilettes,Bagno,トイレ,변기,Banheiro,Туалет,厕所,厕所,廁所,Studio.Toolbox.Audio.SoundEffect.Category.foliage,Foliage
 ,Foliage,Hojas,Feuillage,Fogliame,グリーン,나뭇잎,Folhagem, ,叶片,叶片,葉子,Studio.Toolbox.General.CategoryCreationsShirts,Shirts
 ,Shirts,Camisas,Chemises,Camicie,シャツ,셔츠,Camisas,Рубашки,上衣,上衣,上衣,Studio.Toolbox.Common.Yes,Yes
 ,Yes,Sí,Oui,Sì,はい,예,Sim, ,是,是,是,Studio.Toolbox.General.SortByUpdated,Updated
Aktualisiert,Updated,Actualizado,Mis à jour,Aggiornati,アップデート済み,업데이트,Atualizado,Обновление выполнено,已更新,已更新,更新時間,Studio.Toolbox.General.AssetTypeHairAccessory,Hair
 ,Hair,Pelo,Cheveux,Capelli,髪,헤어,Cabelo,Волосы,头发,头发,髮型,Studio.Toolbox.General.CategoryCreationsHair,Hair
Haare,Hair,Pelo,Cheveux,Capelli,髪,헤어,Cabelo,Волосы,头发,头发,髮型,Studio.Toolbox.Audio.SoundEffect.Category.voice,Voice
 ,Voice,Voz,Voix,Voce,声,말소리,Voz, ,声音,声音,話語,Studio.Toolbox.General.CategoryCreationsWaistAccessory,Waist Accessories
Taille-Accessoires,Waist Accessories,Accesorios para la cintura,Accessoires taille,Accessori vita,腰用アクセサリ,허리 장신구,Acessórios de cintura,Пояс: аксесссуары,腰部配件,腰部配件,腰部飾品,Studio.Toolbox.General.SortByRatings,Ratings
Bewertungen,Ratings,Calificaciones,Notes,Valutazioni,評価,평가,Avaliações,Рейтинги,评级,评级,評分,Studio.Toolbox.General.CategoryCreationsCatalogSectionDivider,Avatar assets
 ,Avatar assets,Recursos para el avatar,Éléments avatars,Risorse avatar,アバターアセット,아바타 애셋,Recursos de avatar,Ресурсы аватара,虚拟形象素材,虚拟形象素材,虛擬人偶素材,Studio.Toolbox.AssetConfigFooter.NewAsset,Save as a new asset...
 ,Save as a new asset...,Guardar como nuevo recurso...,Sauvegarder un nouvel asset...,Salva come nuova risorsa...,新規アセットとして保存...,새로운 애셋으로 저장...,Salvar como novo ativo...,Сохранить как новый ресурс...,另存为新素材...,另存为新素材...,以新素材儲存……,Studio.Toolbox.Purchase.BuyRobux,Buy Robux
 ,Buy Robux,Comprar Robux,Acheter des Robux,Acquista Robux,Robuxを買う,Robux 구매,Comprar Robux,Купить Robux,购买 Robux,购买 Robux,購買 Robux,Studio.Toolbox.AssetConfig.PublishPluginHeader, Publish as Plugin
 , Publish as Plugin, Publicar como plugin, Publier en tant que plugin, Pubblica come plugin, プラグインとして公開, 플러그인으로 게시, Publicar como plugin, , 发布为插件, 发布为插件,發布為外掛程式,Studio.Toolbox.General.SalesServiceFee,Service fee will be collected upon sale
 ,Service fee will be collected upon sale,La cuota de servicio se cobrará al momento de la venta,Des frais de service seront perçus lors de la vente,La commissione verrà riscossa dopo la vendita,手数料は販売時に回収されます,판매 시 서비스 수수료가 징수됩니다,A taxa de serviço será deduzida durante a venda,При продаже взимается сервисный сбор,将在销售时收取手续费,将在销售时收取手续费,服務費將會在買賣完成時收取。,Studio.Toolbox.AssetConfigPreview.MaxSize,Max size: {maxDimensionsX}x{maxDimensionsY} px
