Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.TerrainToolsV2.BrushSettings.PlaneLock,,,Plane Lock,Plane Lock,,Ebenensperre,Bloquear plano,Plan de verrouillage,Kunci Plane,Blocco piano,平面ロック,평면 고정,,Bloquear plano,Блокировка поверхности,ล็อคระนาบ,Düzlem Kilidi,Khóa Mặt Phẳng,平面锁定,平面锁定,鎖定平面
Studio.TerrainToolsV2.BrushSettings.FixedPlane,,,Fixed Plane,Fixed Plane,,Feste Ebene,Plano fijo,Plan fixe,Plane Tetap,Piano fisso,固定平面,고정된 평면,,Plano fixo,Фиксация поверхности,ระนาบคงที่,Sabit Düzlem,Mặt Phẳng Cố Định,固定平面,固定平面,固定平面
Studio.TerrainToolsV2.BrushSettings.PlanePosition,,,Plane Position,Plane Position,,Ebenenposition,Posición del plano,Position du plan,Posisi Plane,Posizione piano,平面の位置,평면 위치,,Posição plana,Расположение поверхности,ตำแหน่งระนาบ,Düzlem Pozisyonu,Vị Trí Mặt Phẳng,平面位置,平面位置,平面位置
Studio.TerrainToolsV2.BrushSettings.Shape,,,Shape,Shape,,Form,Forma,Forme,Bentuk,Forma,形状,모양,,Forma,Форма,รูปร่าง,Şekil,Hình Dạng,形状,形状,形狀
Studio.TerrainToolsV2.BrushSettings.Size,,,Size,Size,,Größe,Tamaño,Taille,Ukuran,Dimensione,サイズ,크기,,Tamanho,Размер,ขนาด,Boyut,Kích Thước,尺寸,尺寸,大小
Studio.TerrainToolsV2.BrushSettings.SnapToGrid,,,Snap to Grid,Snap to Grid,,Am Raster ausrichten,Alinear a la cuadrícula,Adhérer à la grille,Snap to Grid,Aderisci a griglia,グリッドに装着,그리드에 맞추기,,Prender à grade,Привязать к сетке,Snap to grid,Kılavuza tuttur,Gắn Vào Lưới,对齐至栅格,对齐至栅格,貼齊到網格
Studio.TerrainToolsV2.BrushSettings.Strength,,,Strength,Strength,,Stärke,Fuerza,Force,Kekuatan,Forza,強度,강도,,Força,Интенсивность,ความเข้ม,Güç,Sức Mạnh,强度,强度,強度
Studio.TerrainToolsV2.BrushSettings.TopPivot,,,Top,Top,,Oben,Superior,Haut,Atas,Alto,トップ,상단,,Superior,Верх,ด้านบน,Üst,Trên,顶部,顶部,頂部
Studio.TerrainToolsV2.EditSettings.EditSettings,,,Edit Settings,Edit Settings,,Einstellungen bearbeiten,Editar configuración,Modifier les paramètres,Pengaturan Edit,Modifica impostazioni,設定を編集,편집 설정,,Editar configurações,Изменить параметры,แก้ไขการตั้งค่า,Düzenleme Ayarları,Chỉnh Sửa Cài đặt,编辑设置,编辑设置,編輯設定
Studio.TerrainToolsV2.EditSettings.MergeEmpty,,,Merge Empty,Merge Empty,,Leere zusammenführen,Combinar vacío,Fusionner vide,Gabungkan Kosong,Unisci vuoto,空白を併合,빈 공간 병합,,Mesclar vazios,Объединить пустые,รวมส่วนที่ว่างเปล่า,Boş Birleştirme,Hợp Nhất Khu Vực Trống,合并空白,合并空白,合併空位
Studio.TerrainToolsV2.Example.ErrorAnUnexpectedThing,,,"An unexpected thing happened, try again","An unexpected thing happened, try again",,"Es ist etwas Unerwartetes passiert, versuche es erneut",Ha pasado algo inesperado. Inténtalo de nuevo.,"Une chose inattendue s'est produite, essaie à nouveau",Terjadi hal tidak terduga. Coba lagi,"Si è verificato un errore imprevisto, riprova",予期しないことが起きました。もう一度お試しください,예기치 못한 문제가 발생했습니다. 다시 시도하세요.,,"Ocorreu algo inesperado, tente novamente","Возникла непредвиденная ошибка, попробуйте снова.",เกิดเหตุการณ์ที่ไม่คาดคิด โปรดลองอีกครั้ง,"Beklenmedik bir şey oldu, tekrar dene","Một điều bất ngờ đã xảy ra, hãy thử lại",发生意外，请重试,发生意外，请重试,發生意外錯誤，請重新嘗試
Studio.TerrainToolsV2.Generate.BiomeArctic,,,Arctic,Arctic,,Arktis,Ártico,Arctique,Arktik,Polare,北極,북극,,Ártico,Арктика,ขั้วโลก,Arktik,Bắc Cực,极地,极地,極地
Studio.TerrainToolsV2.Generate.BiomeCanyons,,,Canyons,Canyons,,Schluchten,Cañones,Canyons,Ngarai,Canyon,谷,협곡,,Cânions,Каньоны,หุบเขา,Kanyonlar,Hẻm Núi,峡谷,峡谷,峽谷
Studio.TerrainToolsV2.Generate.BiomeDunes,,,Dunes,Dunes,,Dünen,Dunas,Dunes,Bukit Pasir,Dune,砂丘,모래 언덕,,Dunas,Дюны,เนินทราย,Kumullar,Đụn Cát,沙丘,沙丘,沙丘
Studio.TerrainToolsV2.Generate.BiomeHills,,,Hills,Hills,,Hügel,Colinas,Collines,Bukit,Colline,丘,언덕,,Colinas,Холмы,เนินเขา,Tepeler,Ngọn Đồi,丘陵,丘陵,山丘
Studio.TerrainToolsV2.Generate.BiomeLavascape,,,Lavascape,Lavascape,,Lavalandschaft,Paisaje de lava,Lave,Lanskap Lava,Vulcano,溶岩の景観,용암 지대,,Paisagem de lava,Потеки лавы,ภูมิประเทศลาวา,Lav Manzarası,Cảnh Dòng Dung Nham,熔岩景观,熔岩景观,熔岩景觀
Studio.TerrainToolsV2.Generate.BiomeMarsh,,,Marsh,Marsh,,Moor,Pantano,Marécage,Rawa,Palude,沼,습지,,Pântano,Болото,บึง,Bataklık,Đầm Lầy,沼泽,沼泽,沼澤
Studio.TerrainToolsV2.Generate.BiomeMountains,,,Mountains,Mountains,,Berge,Montañas,Montagnes,Gunung,Montagne,山,산,,Montanhas,Горы,ภูเขา,Dağlar,Núi,山脉,山脉,山脈
Studio.TerrainToolsV2.Generate.BiomePlains,,,Plains,Plains,,Felder,Llanuras,Plaines,Dataran,Pianure,平野,평야,,Planícies,Равнины,ที่ราบ,Ovalar,Đồng Bằng,平原,平原,平原
Studio.TerrainToolsV2.Generate.Biomes,,,Biomes,Biomes,,Biome,Biomas,Territoires,Bioma,Biomi,バイオーム,생물군,,Biomas,Биомы,ชีวนิเวศ,Biyomlar,Quần Xã Sinh Vật,生态,生态,生物群系
Studio.TerrainToolsV2.Generate.BiomeSize,,,Biome Size,Biome Size,,Biomgröße,Tamaño de bioma,Taille du territoire,Ukuran Bioma,Dimensione bioma,バイオームのサイズ,생물군 크기,,Tamanho do bioma,Размер биома,ขนาดชีวนิเวศ,Biyom Boyutu,Kích Thước Sinh Thái,生态规模,生态规模,生物群系大小
Studio.TerrainToolsV2.Generate.BiomesSettings,,,Biomes Settings,Biomes Settings,,Biomeinstellungen,Configuración de biomas,Paramètres du territoire,Pengaturan Bioma,Impostazioni biomi,バイオームの設定,생물군 설정,,Configurações de biomas,Параметры биома,การตั้งค่าชีวนิเวศ,Biyom Ayarları,Cài Đặt Quần Xã Sinh Vật,生态设置,生态设置,生物群系設定
Studio.TerrainToolsV2.Generate.BiomeWater,,,Water,Water,,Wasser,Agua,Eau,Air,Acqua,水,물,,Água,Вода,น้ำ,Su,Nước,水域,水域,水域
Studio.TerrainToolsV2.Generate.ButtonGenerate,,,Generate,Generate,,Generieren,Generar,Générer,Buat,Genera,作成する,생성,,Gerar,Генерировать,สร้าง,Oluştur,Tạo,生成,生成,生成
Studio.TerrainToolsV2.Generate.Caves,,,Caves,Caves,,Höhlen,Cuevas,Grottes,Gua,Caverne,洞窟,동굴,,Cavernas,Пещеры,ถ้ำ,Mağaralar,Hang Động,洞穴,洞穴,洞穴
Studio.TerrainToolsV2.Generate.MapSize,,,Map Size,Map Size,,Kartengröße,Tamaño del mapa,Taille de la carte,Ukuran Peta,Dimensione mappa,マップサイズ,맵 크기,,Tamanho do mapa,Размер карты,ขนาดแผนที่,Harita Boyutu,Kích Thước Bản Đồ,地图大小,地图大小,地圖大小
Studio.TerrainToolsV2.Generate.OtherSettings,,,Other Settings,Other Settings,,Weitere Einstellungen,Restablecer configuraciones,Autres paramètres,Pengaturan Lain,Altre impostazioni,その他の設定,기타 설정,,Outras configurações,Другие параметры,การตั้งค่าอื่นๆ,Diğer Ayarlar,Cài Đặt Khác,其他设置,其他设置,其他設定
Studio.TerrainToolsV2.Generate.Seed,,,Seed,Seed,,Startwert,Semilla,Graine,Seed,Seme,配置,시드,,Semente,Зерно карты,Seed,Çekirdek,Hạt Giống,种子,种子,種子
Studio.TerrainToolsV2.Main.Title,,,Terrain Editor,Terrain Editor,,Gelände-Editor,Editor de terreno,Éditeur terrain,Editor Medan,Editor di terreno,地形編集,지형 편집기,,Editor de terreno,Редактор рельефа,เครื่องมือแก้ไขภูมิประเทศ,Arazi Düzenleyici,Trình Chỉnh Sửa Địa Hình,地形编辑器,地形编辑器,地形編輯器
Studio.TerrainToolsV2.Main.ToolbarButton,,,Editor,Editor,,Editor,Editor,Éditeur,Editor,Editor,エディタ,편집기,,Editor,Редактор,เครื่องมือแก้ไข,Düzenleyici,Trình Chỉnh Sửa,编辑器,编辑器,編輯器
Studio.TerrainToolsV2.Main.Tooltip,,,"Add, remove, and modify terrain","Add, remove, and modify terrain",,"Gelände hinzufügen, entfernen und modifizieren","Añade, elimina y modifica el terreno","Ajouter, retirer et modifier du terrain","Tambahkan, hapus, dan modifikasi medan","Aggiungi, rimuovi e modifica terreno",地形の追加、削除、変更,"지형 추가, 제거, 수정",,"Adicionar, remover e modificar terreno","Добавляйте, удаляйте и изменяйте рельеф","เพิ่ม, ลบ และแก้ไขภูมิประเทศ","Arazi ekle, kaldır ve düzenle","Thêm, bỏ và sửa đổi địa hình",添加、移除和修改地形,添加、移除和修改地形,新增、移除及修改地形
Studio.TerrainToolsV2.MainButtons.AddTooltip,,,Click and hold to add terrain.,Click and hold to add terrain.,,"Klicke und halte, um Gelände hinzuzufügen.",Haz clic y mantén presionado para añadir terreno.,Cliquer et maintenir enfoncé pour ajouter du terrain.,Klik dan tahan untuk menambahkan medan.,Clicca e tieni premuto per aggiungere il terreno.,クリックして長押しで地形を追加。,길게 클릭해 지형을 추가합니다.,,Clique e mantenha pressionado para adicionar terreno.,"Удерживайте кнопку мыши, чтобы добавить рельеф.",คลิกแล้วกดค้างไว้เพื่อเพิ่มภูมิประเทศ,Arazi eklemek için tıkla ve basılı tut.,Nhấp vào và giữ để thêm địa hình.,单击并按住以增加地形。,单击并按住以增加地形。,按住不放以加入地形。
Studio.TerrainToolsV2.MainButtons.ClearTooltip,,,Clear all Terrain.,Clear all Terrain.,,Gesamtes Gelände löschen.,Eliminar todo el terreno,Déblayer tout le terrain.,Hapus semua Medan.,Cancella tutti i terreni.,すべての地形を消す。,모든 지형을 삭제합니다.,,Limpar todos os terrenos.,Очистить весь рельеф.,เคลียร์ภูมิประเทศทั้งหมด,Arazileri temizle.,Dọn sạch tất cả Địa Hình.,清除所有地形。,清除所有地形。,清除所有地形。
Studio.TerrainToolsV2.MainButtons.ErodeTooltip,,,Click and hold to erode and remove terrain.,Click and hold to erode and remove terrain.,,"Klicke und halte, um das Gelände zu erodieren und zu entfernen.",Haz clic y mantén presionado para erosionar o eliminar el terreno.,Cliquer et tenir enfoncé pour éroder et retirer du terrain.,Klik dan tahan untuk mengikis dan menghapus medan.,Clicca e tieni premuto per erodere e rimuovere il terreno.,クリックして長押しで地形を平らにしたり削除する。,길게 클릭해 지형을 낮추고 제거합니다.,,Clique e mantenha pressionado para erodir e remover o terreno.,"Удерживайте кнопку мыши, чтобы удалить часть рельефа.",คลิกแล้วกดค้างไว้เพื่อยุบและลบภูมิประเทศ,Arazi aşındırmak ve kaldırmak için tıkla ve basılı tut.,Nhấp vào và giữ để xói mòn và bỏ địa hình.,单击并按住以侵蚀和移除地形。,单击并按住以侵蚀和移除地形。,按住即可侵蝕並移除地形。
Studio.TerrainToolsV2.MainButtons.GenerateTooltip,,,Generate landscapes of terrain.,Generate landscapes of terrain.,,Generiere Landschaften des Geländes.,Generar paisajes de terreno,Générer des paysages sur le terrain.,Buat lanskap medan.,Genera paesaggi di terreno.,地形の景観を作成する。,지형의 풍경을 생성합니다.,,Gerar paisagens de terreno.,Создание рельефа.,สร้างภูมิทัศน์ของภูมิประเทศ,Arazi manzaraları oluştur.,Tạo cảnh quan của địa hình.,生成地形地貌。,生成地形地貌。,生成地形景觀。
Studio.TerrainToolsV2.MainButtons.GrowTooltip,,,Click and hold to grow and expand terrain.,Click and hold to grow and expand terrain.,,"Klicke und halte, um das Gelände zu erhöhen und zu erweitern.",Haz clic y mantén presionado para aumentar o expandir el terreno.,Cliquer et maintenir enfoncé pour agrandir et élargir le terrain.,Klik dan tahan untuk menumbuhkan dan memperluas medan.,Clicca e tieni premuto per ingrandire ed espandere il terreno.,クリックして長押しで地形を大きくして広げる。,길게 클릭해 지형을 높이고 확장합니다.,,Clique e mantenha pressionado para aumentar e expandir o terreno.,"Удерживайте кнопку мыши, чтобы нарастить и расширить рельеф.",คลิกแล้วกดค้างไว้เพื่อเติมและขยายภูมิประเทศ,Arazi büyütmek ve genişletmek için tıkla ve basılı tut.,Nhấp vào và giữ để tăng và mở rộng địa hình.,单击并按住以增长和扩大地形。,单击并按住以增长和扩大地形。,按住即可生長地形。
Studio.TerrainToolsV2.MainButtons.Import,,,Import,Import,,Importieren,Importar,Importer,Impor,Importa,インポート,가져오기,,Importar,Импорт,นำเข้า,İçe Aktar,Nhập,导入,导入,匯入
Studio.TerrainToolsV2.MainButtons.ImportTooltip,,,Import a HeightMap and ColorMap.,Import a HeightMap and ColorMap.,,Importiere eine HeightMap und ColorMap.,Importar HeightMap y ColorMap,Importer HeightMap et ColorMap.,Impor HeightMap dan ColorMap.,Importa una HeightMap e una ColorMap.,HeightMap と ColorMapをインポート。,HeightMap과 ColorMap을 가져옵니다.,,Importar um HeightMap e ColorMap.,Импортировать HeightMap и ColorMap.,นำเข้าแผนที่ความสูงและแผนที่สี,Yükseklik Haritası ve Renk Haritası aktar.,Nhập một HeightMap và ColorMap.,导入 HeightMap 和 ColorMap。,导入 HeightMap 和 ColorMap。,匯入 HeightMap 與 ColorMap。
Studio.TerrainToolsV2.MainButtons.PaintTooltip,,,Paint the material of the terrain.,Paint the material of the terrain.,,Bemale das Material des Geländes.,Pinta el material del terreno.,Peindre le matériel du terrain.,Cat material medan.,Dipingi il materiale del terreno.,地形の素材をペイント。,지형의 재질을 색칠합니다.,,Pinta o material do terreno.,Раскрасить рельеф.,ทาสีวัสดุของภูมิประเทศ,Arazi malzemesini boya.,Vẽ vật liệu của địa hình.,绘制地形的材质。,绘制地形的材质。,為地形材質上色。
Studio.TerrainToolsV2.MainButtons.RegionsTooltip,,,Manipulate regions of smooth terrain.,Manipulate regions of smooth terrain.,,Bearbeite glattes Gelände.,Manipula las regiones de terreno liso.,Manipuler les régions de terrain lisse.,Memanipulasi wilayah medan yang mulus.,Gestisci aree di terreno uniforme.,平らな地形の地域を操作。,부드러운 지형의 범위를 조절하세요.,,Manipula regiões de terreno suavizado.,Манипулировать участками рельефа.,จัดการภูมิภาคของภูมิประเทศที่ราบเรียบ,Pürüzsüz arazi bölgelerini manipüle et.,Điều chỉnh các khu vực trong địa hình bằng phẳng.,对平滑的地形区域进行操作。,对平滑的地形区域进行操作。,操控平滑地形區域。
