Key,Source,de-de,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.GameSettings.General.ThumbnailsModeration,Items will be reviewed by moderators before being made visible to other users.,"Elemente werden von Moderatoren überprüft, bevor sie für andere Benutzer sichtbar werden.",Items will be reviewed by moderators before being made visible to other users.,Los objetos serán revisados por los moderadores antes de hacerse visibles para otros usuarios.,Les éléments seront examinés par les modérateurs avant d'être visibles par les autres joueurs.,アイテムは、他のユーザーに表示される前にモデレータによってレビューされます。,아이템은 검열팀의 검토가 끝난 후에 다른 사용자들에게 공개됩니다.,Os itens serão revisados por moderadores antes de ser disponibilizados para outros usuários.,"Элементы будут рассмотрены модераторами, прежде чем их увидят другие пользователи.",项目会在协调员审查后，再对其他用户开放。,项目会在协调员审查后，再对其他用户开放。,項目將交由管理員審查後方得供其他使用者檢視
Studio.GameSettings.General.PlayabilityPrivate,Private,Privat,Private,Privado,Privé,プライベート,비공개,Privado,Закрытая игра,私人,私人,私人
Studio.GameSettings.General.DevSubsDeleteHeader,Are you sure you want to delete this subscription?, ,Are you sure you want to delete this subscription?,¿Estás seguro de que quieres eliminar esta suscripción?,Es-tu sûr de vouloir supprimer cet abonnement ?,このサブスクリプションを削除してよろしいですか？,이 구독을 정말 삭제할까요?,Tem certeza de que deseja excluir esta assinatura?, ,确定要删除此订阅吗？,确定要删除此订阅吗？,確定刪除此訂閱？
Studio.GameSettings.General.PluginDescription,Update settings related to current game,Einstellungen für aktuelles Spiel aktualisieren,Update settings related to current game,Actualizar configuración relacionada al juego actual,Mettre à jour les paramètres relatifs au jeu en cours,現在のゲームに関連した設定をアップデート,현재 게임과 관련된 설정 업데이트,Atualizar as configurações relativas ao jogo atual,Обновить настройки текущей игры,更新当前游戏的相关设置,更新当前游戏的相关设置,更新與目前遊戲相關的設定
Studio.GameSettings.General.DevSubsIsNotActive,No,Nein,No,No,Non,いいえ,아니요,Não,Нет,否,否,否
Studio.GameSettings.General.ReplyNo,No,Nein,No,No,Non,いいえ,아니요,Não,Нет,否,否,否
Studio.GameSettings.General.GenreSports,Sports,Sport,Sports,Deportes,Sports,スポーツ,스포츠,Esportes,Спорт,体育,体育,運動
Studio.GameSettings.Monetization.VIPServersActive,There are currently {totalVipServers:int} VIP Servers active for this place., ,There are currently {totalVipServers:int} VIP Servers active for this place.,"Actualmente, hay {totalVipServers:int} Servidores VIP activos para este lugar.",Il y a {totalVipServers:int} serveurs VIP actifs pour cet emplacement en ce moment.,このプレースには現在、使用中のVIPサーバーが {totalVipServers:int} 件あります。,현재 이 플레이스에서 {totalVipServers:int}개의 VIP 서버를 사용 중입니다.,"No momento, há {totalVipServers:int} servidores VIP ativos para este local.", ,当前场景目前拥有 {totalVipServers:int} 个使用中的 VIP 服务器。,当前场景目前拥有 {totalVipServers:int} 个使用中的 VIP 服务器。,此地點目前有 {totalVipServers:int} 個活躍 VIP 伺服器。
Studio.GameSettings.General.ContentDialogHeader,Content Agreement,Inhaltsvereinbarung,Content Agreement,Acuerdo de contenido,Accord relatif au contenu,コンテンツ契約,콘텐츠 동의,Acordo de conteúdo,Соглашение на использование контента,内容协议,内容协议,內容協議
Studio.GameSettings.General.SettingOff,Off,Aus,Off,Desactivado,Désactivé,オフ,끄기,Desligado,Выкл.,关闭,关闭,關閉
Studio.GameSettings.General.GameIconPrompt,Add Game Icon,Spielsymbol hinzufügen,Add Game Icon,Añadir icono del juego,Ajouter icône de jeu,ゲームアイコンを追加,게임 아이콘 추가,Adicionar ícone do jogo,Добавить значок игры,添加游戏图标,添加游戏图标,新增遊戲圖示
Studio.GameSettings.General.ReplyOK,OK,OK,OK,Está bien,OK,OK,확인,OK,ОК,确认,确认,確定
Studio.GameSettings.OptInLocations.TempLinkDescription,"China: to submit your game to the LuoBu app, visit ", ,"China: to submit your game to the LuoBu app, visit ","China: Para enviar tu juego en la aplicación de LuoBu, visita: ","Chine : pour soumettre ton jeu à l'application LuoBu, rendez-vous sur le site suivant ",中国: LuoBu アプリにあなたのゲームを投稿するには、以下を訪問 ,중국: LuoBu 앱에 게임을 제출하려면 다음을 방문하세요 ,"China: Para submeter seu jogo para o aplicativo Luobu, visite ", ,中国：要将游戏提交到罗布乐思 App，请访问 ,中国：要将游戏提交到罗布乐思 App，请访问 ,中國：若要將遊戲發布到羅布樂思 App，請前往 
Studio.GameSettings.General.PartHead,Head,Kopf,Head,Cabeza,Tête,頭,머리,Cabeça,Голова,头部,头部,頭
Studio.GameSettings.General.ScaleHead,Head,Kopf,Head,Cabeza,Tête,頭,머리,Cabeça,Голова,头部,头部,頭
Studio.GameSettings.General.ReplyAgree,Agree,Akzeptieren,Agree,Estoy de acuerdo,Accepter,同意する,동의,Concordar,Принять,同意,同意,同意
Studio.GameSettings.General.ReplyDisagree,Disagree,Ablehnen,Disagree,Estoy en desacuerdo,Refuser,同意しない,비동의,Discordar,Отклонить,不同意,不同意,不同意
Studio.GameSettings.General.GenreRPG,RPG,Rollenspiele,RPG,RPG,Jeu de rôle,RPG,RPG,RPG,Ролевая игра,RPG,RPG,角色扮演
Studio.GameSettings.General.TitleDevices,Playable Devices,Spielfähige Geräte,Playable Devices,Dispositivos jugables,Appareils utilisables,プレイできるデバイス,플레이 가능 기기,Dispositivos jogáveis,Устройства для воспроизведения,可玩设备,可玩设备,可玩裝置
Studio.GameSettings.Monetization.EditDeveloperProduct,Edit Developer Product, ,Edit Developer Product,Editar producto del desarrollador,Éditer le produit du développeur,開発者製品を編集,개발자 제품 편집,Editar produto do desenvolvedor, ,编辑开发者产品,编辑开发者产品,編輯開發者產品
Studio.GameSettings.General.ButtonSave,Save,Speichern,Save,Guardar,Enregistrer,保存,저장,Salvar,Сохранить,保存,保存,儲存
Studio.GameSettings.General.ButtonCancel,Cancel,Abbrechen,Cancel,Cancelar,Annuler,キャンセル,취소,Cancelar,Отмена,取消,取消,取消
Studio.GameSettings.General.TitleStudioApiServices,Enable Studio Access to API Services,Zugriff auf API-Dienste für Studio aktivieren,Enable Studio Access to API Services,Activar el acceso de Studio a los servicios API,Permettre à Studio d'accéder aux services API,StudioのAPIサービスへのアクセスを有効化,Studio의 API 서비스 접근 활성화,Permitir acesso do Studio aos serviços API,Включить доступ к API-службам,允许 Studio 访问 API 服务,允许 Studio 访问 API 服务,啟用 API 服務的 Studio 功能
Studio.GameSettings.General.ButtonDiscard,Discard,Verwerfen,Discard,Descartar,Supprimer,破棄,제거,Descartar,Сбросить,丢弃,丢弃,捨棄
Studio.GameSettings.General.CategoryBasicInfo,Basic Info,Grundlegende Informationen,Basic Info,Información básica,Infos de base,基本情報,기본 정보,Informações básicas,Основные сведения,基础信息,基础信息,基本資訊
Studio.GameSettings.General.TermsDialogBodyLink,You can download the LuoBuLeSi app here., ,You can download the LuoBuLeSi app here.,Puedes descargar la aplicación LuoBuLeSi aquí.,Tu peux télécharger l'appli LuoBuLeSi ici.,LuoBuLeSi アプリはこちらでダウンロードできます。,여기에서 LuoBuLeSi 앱을 다운로드할 수 있습니다.,Você pode baixar o LuoBuLeSi aqui., ,你可以在此下载罗布乐思 App。,你可以在此下载罗布乐思 App。,您可以在此下載羅布樂思 App。
Studio.GameSettings.General.GenreAll,All,Alle,All,Todos,Tous,すべて,전체,Todos,Все,所有,所有,全部
Studio.GameSettings.OptInLocations.InReview,In review., ,In review.,En revisión.,En révision.,レビュー中です。,검토 중입니다.,Sob revisão., ,审核中。,审核中。,審核中。
Studio.GameSettings.General.CategoryAvatar,Avatar,Avatar,Avatar,Avatar,Avatar,アバター,아바타,Avatar,Аватар,虚拟形象,虚拟形象,虛擬人偶
Studio.GameSettings.General.CategoryWorld,World,Welt,World,Mundo,Monde,世界,월드,Mundo,Мир,世界,世界,世界
Studio.GameSettings.General.CategoryOptions,Options,Optionen,Options,Opciones,Options,オプション,옵션,Opções,Параметры,选项,选项,選項
Studio.GameSettings.General.LocalizationSettingsPublishMessageLinkText,Publishing a game is required, ,Publishing a game is required,Se requiere publicar el juego,La publication d'un jeu est exigée,ゲームの公開が必要です,먼저 게임을 게시해야 합니다,É necessário publicar o jogo, ,必须先发布游戏,必须先发布游戏,必須先發布遊戲
Studio.GameSettings.General.DevSubsName,Name,Name,Name,Nombre,Nom,名前,이름,Nome,Имя,名称,名称,名稱
Studio.GameSettings.General.TitleName,Name,Name,Name,Nombre,Nom,名前,이름,Nome,Имя,名称,名称,名稱
Studio.GameSettings.General.GenreMedieval,Medieval,Mittelalter,Medieval,Medieval,Médiéval,中世,중세,Medieval,Средневековье,中世纪,中世纪,中世紀
Studio.GameSettings.General.GenreHorror,Horror,Horrorspiele,Horror,Horror,Horreur,ホラー,공포,Horror,Хоррор,恐怖,恐怖,恐怖
Studio.GameSettings.General.SourceLanguageDesc,The source language represents the language that the game has been written in., ,The source language represents the language that the game has been written in.,El idioma de origen representa el idioma en el que se escribió el juego.,La langue source représente la langue dans laquelle le jeu a été écrit.,ソース言語は、ゲームが書かれた言語を意味します。,소스 언어란 게임 제작 시 사용된 언어를 뜻합니다.,O idioma fonte representa a língua em que o jogo foi escrito., ,源语言代表制作游戏时使用的开发语言。,源语言代表制作游戏时使用的开发语言。,原始語言為創作遊戲使用的語言。
Studio.GameSettings.General.DevSubsTitle,Title,Titel,Title,Título,Titre,題名,제목,Título,Название,标题,标题,名稱
Studio.GameSettings.General.DevSubsDescription,Description,Beschreibung,Description,Descripción,Description,詳細,설명,Descrição,Описание,描述,描述,說明
Studio.GameSettings.General.TitleDescription,Description,Beschreibung,Description,Descripción,Description,説明,설명,Descrição,Описание,描述,描述,說明
Studio.GameSettings.General.WorldPresetsAction,Action, ,Action,Acción,Action,動作,액션,Ação,Действие,动作,动作,動作
Studio.GameSettings.General.GenreNaval,Naval,Seefahrt,Naval,Naval,Naval,海軍,해군,Naval,Морской флот,海军,海军,海事
Studio.GameSettings.General.ClothingTShirt,T-Shirt ID,T-Shirt-ID,T-Shirt ID,ID de la camiseta,ID t-shirt,TシャツID,티셔츠 ID,ID da camiseta,ID футболки,T 恤ID,T 恤ID,T 恤 ID
Studio.GameSettings.General.TitlePlayability,Playability,Spielbarkeit,Playability,Jugabilidad,Jouabilité,プレイヤビリティ,플레이 가능 여부,Jogabilidade,Играемость,游戏受众,游戏受众,權限
Studio.GameSettings.General.TitleThumbnails,Screenshots & Videos,Screenshots & Videos,Screenshots & Videos,Capturas de pantalla y videos,Captures d'écran et vidéos,スクリーンショットとビデオ,스크린숏 및 비디오,Capturas de tela e vídeos,Скриншоты и видео,截图和视频,截图和视频,截圖與影片
Studio.GameSettings.General.CategoryLocalization,Localization, ,Localization,Localización,Localisation,多言語化,로컬리제이션,Localização, ,本地化,本地化,本地化
Studio.GameSettings.General.TitleGenre,Genre,Genre,Genre,Género,Genre,ジャンル,장르,Gênero,Жанр,类型,类型,類別
Studio.GameSettings.General.GenreSciFi,Sci-Fi,Scifi,Sci-Fi,Ciencia-ficción,SF,SF,SF,Ficção científica,Фантастика,科幻,科幻,科幻
Studio.GameSettings.General.TitleHttp,Allow HTTP Requests,HTTP-Anfragen zulassen,Allow HTTP Requests,Permitir las solicitudes HTTP,Autoriser les requêtes HTTP,HTTP要求を許可,HTTP 요청 허용,Permitir solicitações HTTP,Разрешить HTTP-запросы,允许 HTTP 请求,允许 HTTP 请求,允許 HTTP 請求
Studio.GameSettings.General.PlayabilityPublic,Public,Öffentlich,Public,Público,Public,公開,공개,Público,Общедоступная,公开,公开,公開
Studio.GameSettings.General.ThumbnailsCount,Up to {maxThumbnails:int} items,Bis zu {maxThumbnails:int} Elemente,Up to {maxThumbnails:int} items,Hasta {maxThumbnails:int} objetos,{maxThumbnails:int} objets max,最大{maxThumbnails:int}個のアイテムまで,최대 {maxThumbnails:int}개 아이템,Até {maxThumbnails:int} itens,До {maxThumbnails:int} элементов,最多 {maxThumbnails:int} 个项目,最多 {maxThumbnails:int} 个项目,最多 {maxThumbnails:int} 個項目
Studio.GameSettings.General.PlayabilityGroup,Group Members,Gruppen-Mitglieder,Group Members,Miembros del grupo,Membres du groupe,グループメンバー,그룹 멤버,Membros do grupo,Состав группы,群组成员,群组成员,群組成員
Studio.GameSettings.Monetization.PrivateServersShutdownWarning,Warning: Turning off Private Servers will cancel all existing subscriptions., ,Warning: Turning off Private Servers will cancel all existing subscriptions.,"Advertencia: Si desactivas los Servidores privados, se cancelarán todas las suscripciones vigentes.",Avertissement : La désactivation des serveurs privés entraînera l'annulation de tous les abonnements existants.,警告: プライベートサーバーをオフにすると、現在あるすべてのサブスクリプションがキャンセルされます。,주의: 비공개 서버를 비활성화하면 기존 구독 사항이 모두 취소됩니다.,Aviso: Desativar os servidores privados cancelará todas as assinaturas existentes., ,警告：关闭私人服务器后将会取消所有当前订阅。,警告：关闭私人服务器后将会取消所有当前订阅。,警告：若關閉私人伺服器，目前的訂閱將會全部取消。
Studio.GameSettings.General.AvatarOverridePrompt,Override Player Choice?,Benutzerdefinierte Einstellung überschreiben?,Override Player Choice?,¿Reemplazar la elección del jugador?,Ignorer le choix du joueur ?,プレイヤーチョイスをオーバーライドしますか。,플레이어의 선택을 재정의할까요?,Substituir a escolha do jogador?,Переопределить выбор игрока?,要覆盖玩家选择吗?,要覆盖玩家选择吗?,要覆寫玩家選擇嗎？
Studio.GameSettings.AccessPermissions.FriendsCollaboratorType,Friends, ,Friends,Amigos,Amis,友達,친구,Amigos,Друзья,好友,好友,好友
Studio.GameSettings.General.PlayabilityFriends,Friends,Freunde,Friends,Amigos,Amis,友達,친구,Amigos,Друзья,好友,好友,好友
Studio.GameSettings.Permissions.FriendsCollaboratorType,Friends, ,Friends,Amigos,Amis,友達,친구,Amigos, ,好友,好友,好友
Studio.GameSettings.General.PlayabilityPublicDesc,Anyone on Roblox,Jeder bei Roblox,Anyone on Roblox,Cualquier persona en Roblox,Tout le monde sur Roblox,Roblox上の誰でも,Roblox의 누구든 가능,Qualquer pessoa na Roblox,Пользователи Roblox,Roblox 上的所有玩家,Roblox 上的所有玩家,Roblox 上的所有人
Studio.GameSettings.General.ImageReview,In Review,In Überprüfung,In Review,En revisión,En cours d'examen,レビュー中,검토 중,Sob revisão,На рассмотрении,审核中,审核中,審查中
Studio.GameSettings.General.PlayabilityGroupDesc,Members of {group},Gruppenmitglieder von {group},Members of {group},Miembros de {group},Membres de {group},{group} のメンバー,{group} 그룹 멤버,Membros de {group},Участники группы {group},{group}的成员,{group}的成员,{group} 的成員
Studio.GameSettings.General.UseTranslatedContentTitle,Use Translated Content, ,Use Translated Content,Usar contenido traducido,Utiliser le contenu traduit,翻訳済みのコンテンツを使用,번역된 콘텐츠 사용,Usar conteúdo traduzido, ,使用已翻译的内容,使用已翻译的内容,使用已翻譯內容
Studio.GameSettings.General.PublishIsRequiredSentence1, is required for {requiredForWhat}, , is required for {requiredForWhat}, se requiere para {requiredForWhat}, est exigé pour {requiredForWhat}, が {requiredForWhat} に必要です,은(는) {requiredForWhat}에 필요합니다, é necessário para {requiredForWhat},требуется для: {requiredForWhat},是 {requiredForWhat} 所必需的,是 {requiredForWhat} 所必需的,才可{requiredForWhat}
Studio.GameSettings.AccessPermissions.PlayDescription,Can play this game,Dieses Spiel kann gespielt werden,Can play this game,Puede jugar a este juego,Possible de jouer à ce jeu ,このゲームをプレイできます,이 게임을 플레이할 수 있음,Não pode jogar este jogo,Вы можете играть в эту игру,可以玩此游戏,可以玩此游戏,可遊玩此遊戲
Studio.GameSettings.Permissions.PlayDescription,Can play this game, ,Can play this game,Puede jugar a este juego,Possible de jouer à ce jeu ,このゲームをプレイできます,이 게임을 플레이할 수 있습니다,Pode jogar este jogo, ,可以玩此游戏,可以玩此游戏,可遊玩此遊戲
Studio.GameSettings.General.PlayabilityFriendsDesc,Friends on Roblox,Freunde bei Roblox,Friends on Roblox,Amigos en Roblox,Amis sur Roblox,Roblox上の友達,내 Roblox 친구만 가능,Amigos na Roblox,Друзья-пользователи Roblox,Roblox 上的好友,Roblox 上的好友,Roblox 上的好友
Studio.GameSettings.General.GenreFighting,Fighting,Kampfspiele,Fighting,Lucha,Combat,格闘,격투,Luta,Файтинг,格斗,格斗,格鬥
Studio.GameSettings.General.ErrorDevSubFiltered,Filtered to {filteredText}, ,Filtered to {filteredText},Moderado a {filteredText},Filtré à {filteredText},{filteredText} にフィルタ済み,다음과 같이 검열됨: {filteredText},Filtrado para {filteredText},Фильтр: {filteredText},过滤为 {filteredText},过滤为 {filteredText},已過濾為 {filteredText}
Studio.GameSettings.General.PlayabilityPrivateDesc,Only developers of this game,Nur Entwickler dieses Spiels,Only developers of this game,Solo los desarrolladores de este juego,Seulement les développeurs de ce jeu,このゲームの開発者のみ,이 게임의 개발자만 가능,Apenas os desenvolvedores deste jogo,Только разработчики этой игры,仅开放给此游戏的开发人员,仅开放给此游戏的开发人员,只有本遊戲的開發者
Studio.GameSettings.General.GenreMilitary,Military,Militär,Military,Militar,Militaire,ミリタリー,군사,Militar,Войнушка,军事,军事,軍事
Studio.GameSettings.General.GameIconTutorial,New to making icons? Check out the Icon Tutorial.,Neu beim Erstellen von Symbolen? Schau dir das Symbole-Tutorial an.,New to making icons? Check out the Icon Tutorial.,¿Nunca has creado un icono? Revisa el Tutorial de icono.,Tu débutes dans la création d'icônes ? Consultez le didacticiel correspondant.,アイコン制作は初めてですか。アイコンチュートリアルをご覧ください。,아이콘을 처음 만드시나요? 아이콘 튜토리얼을 확인하세요.,Aprendendo a fazer ícones? Confira o tutorial de ícones.,Учитесь делать значки? Ознакомьтесь с руководством по созданию значков.,不熟悉制作图标吗? 来看看图标教程吧。,不熟悉制作图标吗? 来看看图标教程吧。,不熟悉製作圖示嗎？請看看圖示教學吧。
Studio.GameSettings.General.GameIconHint,Acceptable files: {fileTypes}{newline}Recommended resolution: 512 x 512,Zulässige Dateien: {fileTypes}{newline}Empfohlene Auflösung: 512 x 512,Acceptable files: {fileTypes}{newline}Recommended resolution: 512 x 512,Archivos aceptables: {fileTypes}{newline} Resolución recomendada: 512x512,Fichiers acceptés : {fileTypes}{newline}Résolution conseillée : 512 x 512,許容可能なファイル: {fileTypes}{newline}推奨解像度: 512 x 512,허용 가능 파일: {fileTypes}{newline}권장 해상도: 512 x 512,Arquivos aceitáveis: {fileTypes}{newline}Resolução recomendada: 512 x 512,Допустимые файлы: {fileTypes}{newline}Рекомендуемое разрешение: 512 x 512,可接受的文件: {fileTypes}{newline}建议的分辨率: 512 x 512,可接受的文件: {fileTypes}{newline}建议的分辨率: 512 x 512,可以接受的檔案：{fileTypes}{newline}建議解析度：512 x 512
Studio.GameSettings.Monetization.OverPrivateServerSubscriptions,There are currently over {numOfSubscriptions:int} Private Server Subscriptions active for this place., ,There are currently over {numOfSubscriptions:int} Private Server Subscriptions active for this place.,"Actualmente, hay más de {numOfSubscriptions:int} suscripciones activas a Servidores privados para este lugar.",Il y a plus de {numOfSubscriptions:int} abonnements aux serveurs privés pour cet emplacement en ce moment.,このプレースには現在、 有効なプライベートサーバーサブスクリプションが {numOfSubscriptions:int} 件以上あります。,현재 이 플레이스에는 {numOfSubscriptions:int}건 이상의 활성화된 비공개 서버 구독이 있습니다.,"No momento, há mais de {numOfSubscriptions:int} assinaturas de servidores privados ativas para este local.", ,当前场景目前拥有超过 {numOfSubscriptions:int} 个以上的活跃私人服务器订阅。,当前场景目前拥有超过 {numOfSubscriptions:int} 个以上的活跃私人服务器订阅。,此地點目前有 {numOfSubscriptions:int} 個以上的活躍私人伺服器訂閱。
Studio.GameSettings.General.LocalizationSettingsLinkText,Click here, ,Click here,Hacer clic aquí,Clique ici,ここをクリック,여기를 클릭하면,Clique aqui, ,点击此处,点击此处,按下此處
Studio.GameSettings.General.GameIconModeration,Image will be reviewed by moderators before being made visible to other users,"Das Bild wird von Moderatoren überprüft, bevor es für andere Benutzer sichtbar wird",Image will be reviewed by moderators before being made visible to other users,La imagen será revisada por los moderadores antes de hacerse visible para otros usuarios,L'image sera examinée par les modérateurs avant d'être visible par les autres joueurs.,画像は、他のユーザーに表示される前にモデレータによってレビューされます。,이미지는 검열팀의 검토가 끝난 후에 다른 사용자들에게 공개됩니다,A imagem será revisada por moderadores antes de ser disponibilizada para outros usuários,"Изображение будет рассмотрено модераторами перед тем, как его увидят другие пользователи.",图片将由协调员审查，然后再对其他用户开放显示,图片将由协调员审查，然后再对其他用户开放显示,圖像將交由管理員審查後方得供其他使用者檢視
Studio.GameSettings.General.GameIconChange,Change,Ändern,Change,Cambio,Modifier,変更,변경,Modificar,Изменить,更改,更改,變更
Studio.GameSettings.General.TitleAllowCopying,Allow Copying, ,Allow Copying,Permitir hacer una copia,Autoriser la copie,コピーを許可,복사 허용,Permitir cópia, ,允许复制,允许复制,允許複製
Studio.GameSettings.General.ThumbnailsLimit,You can set up to {maxThumbnails:int} screenshots and YouTube videos for a game.,Du kannst bis zu {maxThumbnails:int} Screenshots und YouTube-Videos für ein Spiel festlegen.,You can set up to {maxThumbnails:int} screenshots and YouTube videos for a game.,Puedes definir hasta un máximo de {maxThumbnails:int} capturas de pantalla y videos de YouTube para un juego.,Tu peux configurer un maximum de {maxThumbnails:int} captures d'écran et vidéos YouTube pour un jeu.,一つのゲームにつき {maxThumbnails:int} 件までのスクリーンショットとYouTubeビデオを設定できます。,게임에 대한 스크린숏과 YouTube 비디오는 최대 {maxThumbnails:int}장까지 설정할 수 있습니다.,É possível definir até {maxThumbnails:int} capturas de tela e vídeos do YouTube para um jogo.,Укажите допустимое для игры количество скриншотов (до {maxThumbnails:int}) и видеороликов для YouTube.,一个游戏最多可设置 {maxThumbnails:int} 组屏幕截图和 YouTube 视频。,一个游戏最多可设置 {maxThumbnails:int} 组屏幕截图和 YouTube 视频。,你最多可以替一個遊戲設定 {maxThumbnails:int} 個截圖和 YouTube 影片。
Studio.GameSettings.General.ThumbnailsHint,Acceptable image files: {fileTypes} | Recommended resolution: 1920 x 1080,Zulässige Bilddateien: {fileTypes} | Empfohlene Auflösung: 1920 x 1080,Acceptable image files: {fileTypes} | Recommended resolution: 1920 x 1080,Archivos de imágenes aceptables: {fileTypes} | Resolución recomendada: 1920x1080,Fichiers images acceptés : {fileTypes} | Résolution conseillée : 1920 x 1080,許容可能な画像ファイル: {fileTypes} | 推奨解像度: 1920 x 1080,허용 가능한 이미지 파일: {fileTypes} | 권장 해상도: 1920 x 1080,Arquivos de imagem aceitáveis: {fileTypes} | Resolução recomendada: 1920 x 1080,Допустимые файлы изображений: {fileTypes} |Рекомендуемое разрешение: 1920 x 1080,可接受的图片文件: {fileTypes} | 建议的分辨率: 1920 x 1080,可接受的图片文件: {fileTypes} | 建议的分辨率: 1920 x 1080,可以接受的圖像檔案：{fileTypes} | 建議解析度：1920 x 1080
Studio.GameSettings.General.AutoTranslationTitle,Automatic Translation, ,Automatic Translation,Traducción automática,Traduction automatique,自動翻訳,자동 번역,Tradução automática, ,自动翻译,自动翻译,自動翻譯
Studio.GameSettings.General.TitlePresets,Presets,Voreinstellungen,Presets,Preajustes,Présélections,初期設定,기본 설정,Predefinições,Заданные настройки,预设,预设,預設
Studio.GameSettings.General.TitleWorldPresets,Presets, ,Presets,Preajustes,Présets,初期設定,기본 설정,Predefinições,Заданные настройки,预设,预设,預設
Studio.GameSettings.General.ErrorNameEmpty,Name cannot be empty.,Name darf nicht leer sein.,Name cannot be empty.,El nombre no puede estar vacío.,Le nom ne peut pas être vide.,名前を空欄にすることはできません。,이름은 비워둘 수 없습니다.,O nome não pode ficar vazio.,Имя не может быть пустым.,名称不能为空。,名称不能为空。,名稱不可空白。
Studio.GameSettings.General.ImagePreview,Preview,Vorschau,Preview,Vista previa,Aperçu,プレビュー,미리 보기,Prévia,Предварительный просмотр,预览,预览,預覽
Studio.GameSettings.General.PreviewDialogHeader,Preview,Vorschau,Preview,Vista previa,Aperçu,プレビュー,미리 보기,Prévia,Предварительный просмотр,预览,预览,預覽
