Key,Source,Context,en-us
Studio.GameSettings.General.DevSubsSubscribers,Subscribers, ,Subscribers
Studio.GameSettings.General.DevSubsActive,Active, ,Active
Studio.GameSettings.General.DevSubsCreateAction,Create, ,Create
Studio.GameSettings.General.DevSubsDiscontinueAction,Discontinue, ,Discontinue
Studio.GameSettings.General.DevSubsUnsaved,Unsaved, ,Unsaved
Studio.GameSettings.General.DevSubsIsActive,Yes, ,Yes
Studio.GameSettings.General.DevSubsIsNotActive,No, ,No
Studio.GameSettings.General.DevSubsDiscontinueTitle,Discontinue Subscription, ,Discontinue Subscription
Studio.GameSettings.General.DevSubsDiscontinueHeader,Would you like to discontinue this subscription?, ,Would you like to discontinue this subscription?
Studio.GameSettings.General.DevSubsDiscontinueDescription,This will cancel all renewing payments. You must maintain benefits until no subscribers remain., ,This will cancel all renewing payments. You must maintain benefits until no subscribers remain.
Studio.GameSettings.General.DevSubsDiscontinueConfirm,Discontinue, ,Discontinue
Studio.GameSettings.AccessPermissions.NoAccessLabel,No Access, ,No Access
Studio.GameSettings.AccessPermissions.PlayLabel,Play, ,Play
Studio.GameSettings.AccessPermissions.EditLabel,Edit, ,Edit
Studio.GameSettings.AccessPermissions.AdminLabel,Manage, ,Manage
Studio.GameSettings.AccessPermissions.OwnerLabel,Owner, ,Owner
Studio.GameSettings.AccessPermissions.MultipleLabel,(Multiple), ,(Multiple)
Studio.GameSettings.AccessPermissions.NoAccessDescription,Cannot play or edit this game, ,Cannot play or edit this game
Studio.GameSettings.AccessPermissions.PlayDescription,Can play this game, ,Can play this game
Studio.GameSettings.AccessPermissions.EditDescription,Can play and edit this game, ,Can play and edit this game
Studio.GameSettings.AccessPermissions.AdminDescription,"Can play, edit, and manage this game", ,"Can play, edit, and manage this game"
Studio.GameSettings.General.DevSubsDescription,Description, ,Description
Studio.GameSettings.General.ErrorNameDescModerated,Filtered to %s, ,Filtered to %s
Studio.GameSettings.General.ErrorNameDescHttp,An error has occurred with moderating the name and description. Please try again later!, ,An error has occurred with moderating the name and description. Please try again later!
Studio.GameSettings.General.ErrorDevSubFiltered,Filtered to {filteredText}, ,Filtered to {filteredText}
Studio.GameSettings.General.TitleScriptCollab,Enable Collaborative Editing, ,Enable Collaborative Editing
Studio.GameSettings.General.TitleWorldPresets,Presets, ,Presets
Studio.GameSettings.General.TitleGravity,Gravity, ,Gravity
Studio.GameSettings.General.TitleJump,Jump, ,Jump
Studio.GameSettings.General.TitleWalk,Walk, ,Walk
Studio.GameSettings.General.TitleSlope,Slope, ,Slope
Studio.GameSettings.General.ScriptCollabDesc,Enable collaborative editing for scripts., ,Enable collaborative editing for scripts.
Studio.GameSettings.General.ErrorDevSubMaxPrice,Must be less than {maxRobuxAmount:int}, ,Must be less than {maxRobuxAmount:int}
Studio.GameSettings.General.ErrorDevSubInvalidPrice,Must be a valid positive integer, ,Must be a valid positive integer
Studio.GameSettings.General.ErrorImageRequired,You must provide an image, ,You must provide an image
Studio.GameSettings.General.ScaleSliderLabel,{number}%, ,{number}%
Studio.GameSettings.General.ScaleSliderUnits,%, ,%
Studio.GameSettings.General.PublishingHintLink,Publishing the game to Roblox, ,Publishing the game to Roblox
Studio.GameSettings.General.PublishingHintLinkExplanation, is required for changing Avatar game settings, , is required for changing Avatar game settings
Studio.GameSettings.General.TitleCollaborators,Collaborators, ,Collaborators
Studio.GameSettings.General.DevSubsNewHeader,New Developer Subscription, ,New Developer Subscription
Studio.GameSettings.General.DevSubsDiscontinuedHeader,Discontinued Developer Subscription, ,Discontinued Developer Subscription
Studio.GameSettings.General.DevSubsDeleteAction,Delete, ,Delete
Studio.GameSettings.General.PublishIsRequiredHyperlink,Publishing the game to Roblox, ,Publishing the game to Roblox
Studio.GameSettings.General.PublishIsRequiredSentence1, is required for {requiredForWhat}, , is required for {requiredForWhat}
Studio.GameSettings.General.WorldPresetsClassic,Classic, ,Classic
Studio.GameSettings.General.WorldPresetsRealistic,Realistic, ,Realistic
Studio.GameSettings.General.WorldPresetsAction,Action, ,Action
Studio.GameSettings.General.WorldPresetsClassicToolTip,"Classic Roblox, heavier gravity, higher jump", ,"Classic Roblox, heavier gravity, higher jump"
Studio.GameSettings.General.WorldPresetsRealisticToolTip,"Real world gravity, athletic human", ,"Real world gravity, athletic human"
Studio.GameSettings.General.WorldPresetsActionToolTip,"Slightly heavier gravity, jump higher, walk faster", ,"Slightly heavier gravity, jump higher, walk faster"
Studio.GameSettings.General.GravityWorkspaceGravity,Workspace Gravity:, ,Workspace Gravity:
Studio.GameSettings.General.JumpHeight,Jump Height:, ,Jump Height:
Studio.GameSettings.General.JumpPower,Jump Power:, ,Jump Power:
Studio.GameSettings.General.JumpDistance,Max Jump Distance:, ,Max Jump Distance:
Studio.GameSettings.General.WalkSpeed,Walk Speed:, ,Walk Speed:
Studio.GameSettings.General.SlopeAngle,Max Slope Angle:, ,Max Slope Angle:
Studio.GameSettings.General.UnitsMetersPerSecondSquared,({number} meters/second^2), ,({number} meters/second^2)
Studio.GameSettings.General.UnitsMeters,({number} meters), ,({number} meters)
Studio.GameSettings.General.UnitsMetersPerSecond,({number} meters/second), ,({number} meters/second)
Studio.GameSettings.General.UnitsMetersPerSecondSquared1,({1} meters/second^2), ,({1} meters/second^2)
Studio.GameSettings.General.UnitsMeters1,({1} meters), ,({1} meters)
Studio.GameSettings.General.UnitsMetersPerSecond1,({1} meters/second), ,({1} meters/second)
Studio.GameSettings.General.PublishTheGameToRoblox,Publish the game to Roblox, ,Publish the game to Roblox
Studio.GameSettings.AccessPermissions.FriendsCollaboratorType,Friends, ,Friends
Studio.GameSettings.AccessPermissions.UsersCollaboratorType,Users, ,Users
Studio.GameSettings.AccessPermissions.GroupsCollaboratorType,Groups, ,Groups
Studio.GameSettings.AccessPermissions.MyFriendsCollaborator,My Friends, ,My Friends
Studio.GameSettings.AccessPermissions.CollaboratorSearchbarDefaultText,Search by username, ,Search by username
Studio.GameSettings.AccessPermissions.CollaboratorSearchbarTooManyText1,You cannot add more than {maxNumCollaborators:int} collaborators, ,You cannot add more than {maxNumCollaborators:int} collaborators
Studio.GameSettings.AccessPermissions.CollaboratorSearchbarNoResultsText,There were no results, ,There were no results
Studio.GameSettings.AccessPermissions.PublishRequiredForCollaborators,adding collaborators, ,adding collaborators
Studio.GameSettings.AccessPermissions.TeamCreateWarning,"To add collaborators, turn on Team Create", ,"To add collaborators, turn on Team Create"
Studio.GameSettings.DraftGames.PublishRequiredToActivatePlayability, to activate Playability options, , to activate Playability options
Studio.GameSettings.AccessPermissions.DEPRECATED_CollaboratorSearchbarDefaultText,Search by user or group name, ,Search by user or group name
Studio.GameSettings.AccessPermissions.PermissionsUpdateMessage, We've updated our permission system!, , We've updated our permission system!
Studio.GameSettings.AccessPermissions.UpdateHyperlinkText, Learn more, , Learn more
Studio.GameSettings.General.CategoryLocalization,Localization, ,Localization
Studio.GameSettings.General.SourceLanguageTitle,Source Language, ,Source Language
Studio.GameSettings.General.SourceLanguageDesc,The source language represents the language that the game has been written in., ,The source language represents the language that the game has been written in.
Studio.GameSettings.General.AutoTextCaptureTitle,Automatic Text Capture, ,Automatic Text Capture
Studio.GameSettings.General.AutoTextCaptureDesc,Automatically capture text from game UI while players play., ,Automatically capture text from game UI while players play.
Studio.GameSettings.General.UseTranslatedContentTitle,Use Translated Content, ,Use Translated Content
Studio.GameSettings.General.UseTranslatedContentDesc,Enable translated content in game., ,Enable translated content in game.
Studio.GameSettings.General.AutoTranslationTitle,Automatic Translation, ,Automatic Translation
Studio.GameSettings.General.AutoTranslationOnlyAvailableForEnMessage,Automatic translation is unavailable for current source language., ,Automatic translation is unavailable for current source language.
Studio.GameSettings.General.LocalizationSettingsLinkText,Click here, ,Click here
Studio.GameSettings.General.LocalizationSettingsNonLinkText, to further manage the cloud localization table for this game., , to further manage the cloud localization table for this game.
Studio.GameSettings.General.LocalizationSettingsPublishMessageLinkText,Publishing a game is required, ,Publishing a game is required
Studio.GameSettings.General.LocalizationSettingsPublishMessageNonLinkText, to activate Localization options., , to activate Localization options.
Studio.GameSettings.Places.PlaceVersion,Place Version, ,Place Version
Studio.GameSettings.Places.PlaceName,Place Name, ,Place Name
Studio.GameSettings.Places.EditPlace,Edit Place, ,Edit Place
Studio.GameSettings.Places.MaxPlayers,Max Players, ,Max Players
Studio.GameSettings.Places.MaxPlayersSubText,Maximum number of players allowed in a single instance of the game., ,Maximum number of players allowed in a single instance of the game.
Studio.GameSettings.Places.ServerFill,Server Fill, ,Server Fill
Studio.GameSettings.Places.OptimizedTitle,Roblox Optimized, ,Roblox Optimized
Studio.GameSettings.Places.OptimizedDescription,Fills your server to optimize for the best social gameplay experience., ,Fills your server to optimize for the best social gameplay experience.
Studio.GameSettings.Places.MaximumTitle,Maximum, ,Maximum
Studio.GameSettings.Places.MaximumWarning,Choosing this option could cause you to lose out on gameplay time and Robux earned., ,Choosing this option could cause you to lose out on gameplay time and Robux earned.
Studio.GameSettings.Places.CustomizeSlotsTitle,Customize Reserved Server Slots, ,Customize Reserved Server Slots
Studio.GameSettings.Places.CustomizeSlotsDescription,Friends are more likely to join players in your game if you reserve slots., ,Friends are more likely to join players in your game if you reserve slots.
Studio.GameSettings.Places.VersionHistory,Version History, ,Version History
Studio.GameSettings.General.CategoryMonetization,Monetization, ,Monetization
Studio.GameSettings.Monetization.FeeLabel,30% Fee:, ,30% Fee:
Studio.GameSettings.Monetization.TitlePaidAccess,Paid Access, ,Paid Access
Studio.GameSettings.Monetization.TitleVIPServers,VIP Servers, ,VIP Servers
Studio.GameSettings.Monetization.Price,Price:, ,Price:
Studio.GameSettings.Monetization.EarnLabel,You Earn:, ,You Earn:
Studio.GameSettings.Monetization.PaidAccessHint,VIP Servers must not be enabled and the game must be public to enable Paid Access., ,VIP Servers must not be enabled and the game must be public to enable Paid Access.
Studio.GameSettings.Monetization.VIPServersHint,Paid Access must not be enabled and the game must be public to enable VIP Servers., ,Paid Access must not be enabled and the game must be public to enable VIP Servers.
Studio.GameSettings.Monetization.Subscriptions,Subscriptions: {numOfSubscriptions:int}, ,Subscriptions: {numOfSubscriptions:int}
Studio.GameSettings.Monetization.TotalVIPServers,Total: {totalVipServers:int}, ,Total: {totalVipServers:int}
Studio.GameSettings.Monetization.ProductName,Product Name, ,Product Name
Studio.GameSettings.Monetization.ProductID,Product ID, ,Product ID
Studio.GameSettings.Monetization.ProductIcon,Product Icon, ,Product Icon
Studio.GameSettings.Monetization.PriceTitle,Price, ,Price
Studio.GameSettings.Monetization.EditDeveloperProduct,Edit Developer Product, ,Edit Developer Product
Studio.GameSettings.Monetization.DevProducts,Developer Products, ,Developer Products
