Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.GameSettings.General.SettingOn,On,An,On,Activado,Activé,Attivato,有効化,켜기,Ligado,Вкл.,开启,开启,開啟
Studio.GameSettings.General.AnimationStandard,Standard, ,Standard,Estándar,Standard,Standard,標準,표준,Padrão,Стандарт,标准,标准,標準
Studio.GameSettings.General.PluginName,Game Settings,Spieleinstellungen,Game Settings,Configuración del juego,Paramètres jeu,Impostazioni gioco,ゲームの設定,게임 설정,Configurações do jogo,Настройки игры,游戏设置,游戏设置,遊戲設定
Studio.GameSettings.General.GenreFPS,FPS,Ego-Shooter,FPS,FPS,Tir subjectif,FPS,FPS,FPS,FPS,Шутер от первого лица,第一人称射击,第一人称射击,第一人稱射擊
Studio.GameSettings.General.ThumbnailsModeration,Items will be reviewed by moderators before being made visible to other users.,"Elemente werden von Moderatoren überprüft, bevor sie für andere Benutzer sichtbar werden.",Items will be reviewed by moderators before being made visible to other users.,Los objetos serán revisados por los moderadores antes de hacerse visibles para otros usuarios.,Les éléments seront examinés par les modérateurs avant d'être visibles par les autres joueurs.,Gli oggetti saranno valutati dai moderatori prima di essere resi visibili agli altri utenti.,アイテムは、他のユーザーに表示される前に内容審査スタッフによってレビューされます。,아이템은 검열팀의 검토가 끝난 후에 다른 사용자들에게 공개됩니다.,Os itens serão revisados por moderadores antes de ser disponibilizados para outros usuários.,"Элементы будут рассмотрены модераторами, прежде чем их увидят другие пользователи.",项目会在协调员审查后，再对其他用户开放。,项目会在协调员审查后，再对其他用户开放。,項目將交由管理員審查後方得供其他使用者檢視
Studio.GameSettings.General.PlayabilityPrivate,Private,Privat,Private,Privado,Privé,Privato,非公開,비공개,Privado,Закрытая игра,私人,私人,私人
Studio.GameSettings.General.DevSubsDeleteHeader,Are you sure you want to delete this subscription?, ,Are you sure you want to delete this subscription?,¿Quieres eliminar esta suscripción?,Es-tu sûr de vouloir supprimer cet abonnement ?,Vuoi davvero cancellare l'abbonamento?,このサブスクリプションを削除してよろしいですか？,이 구독을 정말 삭제할까요?,Tem certeza de que deseja excluir esta assinatura?, ,确定要删除此订阅吗？,确定要删除此订阅吗？,確定刪除此訂閱？
Studio.GameSettings.General.PluginDescription,Update settings related to current game,Einstellungen für aktuelles Spiel aktualisieren,Update settings related to current game,Actualizar configuración relacionada al juego actual,Mettre à jour les paramètres relatifs au jeu en cours,Aggiorna le impostazioni del gioco attuale,現在のゲームに関連した設定をアップデート,현재 게임과 관련된 설정 업데이트,Atualizar as configurações relativas ao jogo atual,Обновить настройки текущей игры,更新当前游戏的相关设置,更新当前游戏的相关设置,更新與目前遊戲相關的設定
Studio.GameSettings.General.DevSubsIsNotActive,No,Nein,No,No,Non,No,いいえ,아니요,Não,Нет,否,否,否
Studio.GameSettings.General.ReplyNo,No,Nein,No,No,Non,No,いいえ,아니요,Não,Нет,否,否,否
Studio.GameSettings.General.GenreSports,Sports,Sport,Sports,Deportes,Sports,Sport,スポーツ,스포츠,Esportes,Спорт,体育,体育,運動
Studio.GameSettings.Monetization.VIPServersActive,There are currently {totalVipServers:int} VIP Servers active for this place., ,There are currently {totalVipServers:int} VIP Servers active for this place.,"Actualmente, hay {totalVipServers:int} Servidores VIP activos para este lugar.",Il y a {totalVipServers:int} serveurs VIP actifs pour cet emplacement en ce moment.,Attualmente sono attivi {totalVipServers:int} server VIP per questa località.,このプレースには現在、使用中のVIPサーバーが {totalVipServers:int} 件あります。,현재 이 플레이스에서 {totalVipServers:int}개의 VIP 서버를 사용 중입니다.,"No momento, há {totalVipServers:int} servidores VIP ativos para este local.", ,当前场景目前拥有 {totalVipServers:int} 个使用中的 VIP 服务器。,当前场景目前拥有 {totalVipServers:int} 个使用中的 VIP 服务器。,此地點目前有 {totalVipServers:int} 個活躍 VIP 伺服器。
Studio.GameSettings.General.ContentDialogHeader,Content Agreement,Inhaltsvereinbarung,Content Agreement,Acuerdo de contenido,Accord relatif au contenu,Contratto di licenza per l'uso dei contenuti,コンテンツ契約,콘텐츠 동의,Acordo de conteúdo,Соглашение на использование контента,内容协议,内容协议,內容協議
Studio.GameSettings.General.SettingOff,Off,Aus,Off,Desactivado,Désactivé,Disattivato,オフ,끄기,Desligado,Выкл.,关闭,关闭,關閉
Studio.GameSettings.AvatarChat.VideoBody,Enabling camera allows eligible users to animate their avatar with their movement in your experience. [link], ,Enabling camera allows eligible users to animate their avatar with their movement in your experience. [link],Activar la cámara permite a los usuarios elegibles animar el avatar usando sus movimientos en tu experiencia. [link],L'activation de la caméra permet aux utilisateurs éligibles d'animer leur avatar en fonction de leurs mouvements dans votre expérience.[link],Abilitare la telecamera permette a un utente idoneo di animare il proprio avatar utilizzando i propri movimenti nella tua esperienza. [link],カメラをオンにすると、あなたのバーチャル空間内で有資格ユーザーが身体の動きで自分のアバターを動かせきます。 [link],카메라를 활성화하면 기준을 충족하는 사용자가 체험에서 본인의 움직임에 따라 아바타를 애니메이션화할 수 있습니다. [link],Ativar a câmera permite que usuários elegíveis animem seus avatar com seus movimentos na sua experiência. [link], ,启用摄像头将允许符合资格的用户在体验中以自己的动作为虚拟形象形成动画。[link],启用摄像头将允许符合资格的用户在体验中以自己的动作为虚拟形象形成动画。[link],啟用相機可讓符合資格的使用者在您的使用體驗中，顯示帶有動作的虛擬人偶動畫。[連結]
Studio.GameSettings.General.GameIconPrompt,Add Game Icon,Spielsymbol hinzufügen,Add Game Icon,Añadir ícono del juego,Ajouter icône de jeu,Aggiungi icona di gioco,ゲームアイコンを追加,게임 아이콘 추가,Adicionar ícone do jogo,Добавить значок игры,添加游戏图标,添加游戏图标,新增遊戲圖示
Studio.GameSettings.General.ReplyOK,OK, ,OK,Está bien,OK,OK,OK,확인,OK,ОК,确认,确认,確定
Studio.GameSettings.OptInLocations.TempLinkDescription,"China: to submit your game to the LuoBu app, visit ", ,"China: to submit your game to the LuoBu app, visit ","China: Para enviar tu juego en la aplicación de LuoBu, visita: ","Chine : pour soumettre ton jeu à l'application LuoBu, rendez-vous sur le site suivant ","Cina: per inviare il tuo gioco all'app LuoBu, consulta ",中国: LuoBu アプリにあなたのゲームを投稿するには、以下を訪問 ,중국: LuoBu 앱에 게임을 제출하려면 다음을 방문하세요 ,"China: Para submeter seu jogo para o aplicativo Luobu, visite ", ,中国：要将游戏提交到罗布乐思 App，请访问 ,中国：要将游戏提交到罗布乐思 App，请访问 ,中國：若要將遊戲發布到羅布樂思 App，請前往 
Studio.GameSettings.General.PartHead,Head,Kopf,Head,Cabeza,Tête,Testa,頭,머리,Cabeça,Голова,头部,头部,頭
Studio.GameSettings.General.ScaleHead,Head,Kopf,Head,Cabeza,Tête,Testa,頭,머리,Cabeça,Голова,头部,头部,頭
Studio.GameSettings.General.ReplyAgree,Agree,Akzeptieren,Agree,Estoy de acuerdo,Accepter,Accetto,同意する,동의,Concordar,Принять,同意,同意,同意
Studio.GameSettings.General.ReplyDisagree,Disagree,Ablehnen,Disagree,Estoy en desacuerdo,Refuser,Non accetto,同意しない,비동의,Discordar,Отклонить,不同意,不同意,不同意
Studio.GameSettings.General.GenreRPG,RPG,Rollenspiele,RPG,RPG,Jeu de rôle,GDR,RPG,RPG,RPG,Ролевая игра,角色扮演,角色扮演,角色扮演
Studio.GameSettings.General.TitleDevices,Playable Devices,Spielfähige Geräte,Playable Devices,Dispositivos jugables,Appareils utilisables,Dispositivi giocabili,プレイできるデバイス,플레이 가능 기기,Dispositivos jogáveis,Устройства для воспроизведения,可玩设备,可玩设备,可玩裝置
Studio.GameSettings.General.ErrorAltTextModerated,The alt text didn't go through our moderation. Please revise it and try again., ,The alt text didn't go through our moderation. Please revise it and try again.,Se moderó el texto alternativo. Modifícalo e inténtalo de nuevo.,Le texte alt n'est pas passé par notre modération. Réviser et réessayer.,Il testo alt non ha passato la nostra moderazione. Si prega di rivederlo e riprovare.,代替テキストが内容審査で承認されませんでした。修正してから、もう一度お試しください。,대체 텍스트가 검열을 통과하지 못했습니다. 텍스트를 수정하고 다시 시도하세요.,O texto alternativo não foi aprovado pela moderação. Revise-o e tente novamente., ,替代文字未通过审核。请修改并重试。,替代文字未通过审核。请修改并重试。,替代文字未通過審核，請修改後重新嘗試。
Studio.GameSettings.Monetization.EditDeveloperProduct,Edit Developer Product, ,Edit Developer Product,Editar producto del desarrollador,Éditer le produit du développeur,Modifica prodotto sviluppatore,開発者製品を編集,개발자 제품 편집,Editar produto do desenvolvedor, ,编辑开发者产品,编辑开发者产品,編輯開發者產品
Studio.GameSettings.General.ButtonSave,Save,Speichern,Save,Guardar,Enregistrer,Salva,保存,저장,Salvar,Сохранить,保存,保存,儲存
Studio.GameSettings.General.ButtonCancel,Cancel,Abbrechen,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소,Cancelar,Отмена,取消,取消,取消
Studio.GameSettings.General.TitleStudioApiServices,Enable Studio Access to API Services,Zugriff auf API-Dienste für Studio aktivieren,Enable Studio Access to API Services,Activar el acceso de Studio a los servicios API,Permettre à Studio d'accéder aux services API,Consenti a Studio di accedere ai servizi API,StudioのAPIサービスへのアクセスを有効化,Studio의 API 서비스 이용 활성화,Permitir acesso do Studio aos serviços API,Включить доступ к API-службам,允许 Studio 访问 API 服务,允许 Studio 访问 API 服务,啟用 API 服務的 Studio 功能
Studio.GameSettings.VRPrompt.DialogItem2,If you overwrote default PlayerScripts please test your camera in VR., ,If you overwrote default PlayerScripts please test your camera in VR.,"Si sobreescribiste PlayerScripts predeterminado, prueba tu cámara en RV.","Si vous avez écrasé les scripts par défaut de PlayerScripts, veuillez tester votre caméra en VR.","Se hai sovrascritto PlayerScripts predefinito, prova la tua fotocamera in VR.",デフォルトの PlayerScripts を上書きした場合は、VRでカメラをテストしてください。,기본 PlayerScript를 덮어쓰는 경우 VR에서 카메라를 테스트하세요.,"Se você sobrescrever o padrão PlayerScripts, teste sua câmera em RV.", ,如果您有更改及覆盖默认的 PlayerScripts，请在 VR 中进行视角测试。,如果您有更改及覆盖默认的 PlayerScripts，请在 VR 中进行视角测试。,如果您覆寫了預設的 PlayerScript，請在 VR 中測試您的攝影機。
Studio.GameSettings.General.ButtonDiscard,Discard,Verwerfen,Discard,Descartar,Supprimer,Elimina,破棄,제거,Descartar,Сбросить,丢弃,丢弃,捨棄
Studio.GameSettings.General.CategoryCommunication,Communication, ,Communication,Comunicación,Communication,Comunicazione,コミュニケーション,커뮤니케이션,Comunicação, ,通讯,通讯,通訊
Studio.GameSettings.General.CategoryBasicInfo,Basic Info,Grundlegende Informationen,Basic Info,Información básica,Infos de base,Informazioni di base,基本情報,기본 정보,Informações básicas,Основные сведения,基础信息,基础信息,基本資訊
Studio.GameSettings.General.TermsDialogBodyLink,You can download the LuoBuLeSi app here., ,You can download the LuoBuLeSi app here.,Puedes descargar la aplicación LuoBuLeSi aquí.,Tu peux télécharger l'appli LuoBuLeSi ici.,Puoi scaricare l'app LuoBuLeSi qui.,LuoBuLeSi アプリはこちらでダウンロードできます。,여기에서 LuoBuLeSi 앱을 다운로드할 수 있습니다.,Você pode baixar o LuoBuLeSi aqui., ,你可以在此下载罗布乐思 App。,你可以在此下载罗布乐思 App。,您可以在此下載羅布樂思 App。
Studio.GameSettings.General.GenreAll,All,Alle,All,Todos,Tous,Tutto,すべて,전체,Todos,Все,全部,全部,全部
Studio.GameSettings.OptInLocations.InReview,In review., ,In review.,En revisión.,En révision.,In fase di revisione.,レビュー中です。,검토 중입니다.,Sob revisão., ,审核中。,审核中。,審核中。
Studio.GameSettings.General.CategoryAvatar,Avatar, ,Avatar,Avatar,Avatar,Avatar,アバター,아바타,Avatar,Аватар,虚拟形象,虚拟形象,虛擬人偶
Studio.GameSettings.General.CategoryWorld,World,Welt,World,Mundo,Monde,Mondo,世界,월드,Mundo,Мир,世界,世界,世界
Studio.GameSettings.General.CategoryOptions,Options,Optionen,Options,Opciones,Options,Opzioni,オプション,옵션,Opções,Параметры,选项,选项,選項
Studio.GameSettings.General.LocalizationSettingsPublishMessageLinkText,Publishing a game is required, ,Publishing a game is required,Se requiere publicar el juego,La publication d'un jeu est exigée,Occorre pubblicare un gioco,ゲームの公開が必要です,먼저 게임을 게시해야 합니다,É necessário publicar o jogo, ,必须先发布游戏,必须先发布游戏,必須先發布遊戲
Studio.GameSettings.General.DevSubsName,Name, ,Name,Nombre,Nom,Nome,名前,이름,Nome,Имя,名称,名称,名稱
Studio.GameSettings.General.TitleName,Name, ,Name,Nombre,Nom,Nome,名前,이름,Nome,Имя,名称,名称,名稱
Studio.GameSettings.General.GenreMedieval,Medieval,Mittelalter,Medieval,Medieval,Médiéval,Medievale,中世,중세,Medieval,Средневековье,中世纪,中世纪,中世紀
Studio.GameSettings.General.GenreHorror,Horror,Horrorspiele,Horror,Horror,Horreur,Horror,ホラー,공포,Horror,Хоррор,恐怖,恐怖,恐怖
Studio.GameSettings.General.SourceLanguageDesc,The source language represents the language that the game has been written in., ,The source language represents the language that the game has been written in.,El idioma de origen representa el idioma en el que se escribió el juego.,La langue source représente la langue dans laquelle le jeu a été écrit.,La lingua di origine rappresenta la lingua in cui è stato scritto il gioco.,ソース言語は、ゲームが書かれた言語を意味します。,소스 언어란 게임 제작 시 사용된 언어를 뜻합니다.,O idioma fonte representa a língua em que o jogo foi escrito., ,源语言代表制作游戏时使用的开发语言。,源语言代表制作游戏时使用的开发语言。,原始語言為創作遊戲使用的語言。
Studio.GameSettings.General.DevSubsTitle,Title,Titel,Title,Título,Titre,Titolo,題名,제목,Título,Название,标题,标题,名稱
Studio.GameSettings.General.DevSubsDescription,Description,Beschreibung,Description,Descripción,Description,Descrizione,詳細,설명,Descrição,Описание,描述,描述,說明
Studio.GameSettings.General.TitleDescription,Description,Beschreibung,Description,Descripción,Description,Descrizione,説明,설명,Descrição,Описание,描述,描述,說明
Studio.GameSettings.General.WorldPresetsAction,Action, ,Action,Acción,Action,Azione,動作,액션,Ação,Действие,动作,动作,動作
Studio.GameSettings.General.GenreNaval,Naval,Seefahrt,Naval,Naval,Naval,Navale,海軍,해군,Naval,Морской флот,海军,海军,海事
Studio.GameSettings.General.ClothingTShirt,T-Shirt ID,T-Shirt-ID,T-Shirt ID,ID de la camiseta,ID t-shirt,ID maglietta,TシャツID,티셔츠 ID,ID da camiseta,ID футболки,T 恤ID,T 恤ID,T 恤 ID
Studio.GameSettings.General.TitlePlayability,Playability,Spielbarkeit,Playability,Jugabilidad,Jouabilité,Giocabilità,プレイヤビリティ,플레이 가능 여부,Jogabilidade,Играемость,游戏受众,游戏受众,權限
Studio.GameSettings.General.TitleThumbnails,Screenshots & Videos, ,Screenshots & Videos,Capturas de pantalla y videos,Captures d'écran et vidéos,Screenshot e video,スクリーンショットとビデオ,스크린샷 및 동영상,Capturas de tela e vídeos,Скриншоты и видео,截图和视频,截图和视频,截圖與影片
Studio.GameSettings.Places.ConfigurePlace,Configure Place, ,Configure Place,Configurar lugar,Configurer le lieu,Configura Luogo,プレースの環境設定,플레이스 구성,Configurar local, ,配置场景,配置场景,設定地點
Studio.GameSettings.General.CategoryLocalization,Localization, ,Localization,Localización,Localisation,Localizzazione,多言語化,로컬라이제이션,Localização, ,本地化,本地化,在地化
Studio.GameSettings.General.TitleGenre,Genre, ,Genre,Género,Genre,Genere,ジャンル,장르,Gênero,Жанр,类型,类型,類別
Studio.GameSettings.General.GenreSciFi,Sci-Fi,Scifi,Sci-Fi,Ciencia-ficción,SF,Fantascienza,SF,SF,Ficção científica,Фантастика,科幻,科幻,科幻
Studio.GameSettings.VRPrompt.DialogItem4,Ensure your experience is performant - low FPS can make players sick., ,Ensure your experience is performant - low FPS can make players sick.,Asegúrate de que tu experiencia tenga un buen rendimiento. Una resolución baja puede marear a los jugadores.,Veille à ce que ton expérience soit performante - un faible taux FPS peut rendre les joueurs malades.,Assicurati che la tua esperienza funzioni bene - il FPS basso può far sentire male i giocatori.,バーチャル空間が作動しているか確認してください。フレームレートが低いとプレイヤーをイラつかせます。,제작한 체험이 성능 기준에 맞는지 확인하세요. FPS가 낮으면 플레이에 어려움을 초래할 수 있습니다.,Certifique-se de que sua experiência esteja funcional: FPS baixos podem deixar os jogadores com enjoo., ,请确保您的体验运行良好。低 FPS 可能会使玩家感到不适。,请确保您的体验运行良好。低 FPS 可能会使玩家感到不适。,確保您的體驗感覺良好 - FPS 過低會使玩家感覺不適。
Studio.GameSettings.General.TitleHttp,Allow HTTP Requests,HTTP-Anfragen zulassen,Allow HTTP Requests,Permitir las solicitudes HTTP,Autoriser les requêtes HTTP,Consenti richieste HTTP,HTTP要求を許可,HTTP 요청 허용,Permitir solicitações HTTP,Разрешить HTTP-запросы,允许 HTTP 请求,允许 HTTP 请求,允許 HTTP 請求
Studio.GameSettings.General.PlayabilityPublic,Public,Öffentlich,Public,Público,Public,Pubblico,公開,공개,Público,Общедоступная,公开,公开,公開
Studio.GameSettings.General.ThumbnailsCount,Up to {maxThumbnails:int} items,Bis zu {maxThumbnails:int} Elemente,Up to {maxThumbnails:int} items,Hasta {maxThumbnails:int} objetos,{maxThumbnails:int} objets max,Fino a {maxThumbnails:int} oggetti,最大{maxThumbnails:int}個のアイテムまで,최대 {maxThumbnails:int}개 가능,Até {maxThumbnails:int} itens,До {maxThumbnails:int} элементов,最多 {maxThumbnails:int} 个项目,最多 {maxThumbnails:int} 个项目,最多 {maxThumbnails:int} 個項目
Studio.GameSettings.General.PlayabilityGroup,Group Members,Gruppen-Mitglieder,Group Members,Miembros del grupo,Membres du groupe,Membri del gruppo,グループメンバー,그룹 멤버,Membros do grupo,Состав группы,群组成员,群组成员,群組成員
Studio.GameSettings.Monetization.PrivateServersShutdownWarning,Warning: Turning off Private Servers will cancel all existing subscriptions., ,Warning: Turning off Private Servers will cancel all existing subscriptions.,"Advertencia: Si desactivas los Servidores privados, se cancelarán todas las suscripciones vigentes.",Avertissement : La désactivation des serveurs privés entraînera l'annulation de tous les abonnements existants.,Attenzione: la disattivazione dei server privati annullerà tutti gli abbonamenti attivi.,警告: プライベートサーバーをオフにすると、現在あるすべてのサブスクリプションがキャンセルされます。,주의: 비공개 서버를 비활성화하면 기존 구독 사항이 모두 취소됩니다.,Aviso: Desativar os servidores privados cancelará todas as assinaturas existentes., ,警告：关闭私人服务器后将会取消所有当前订阅。,警告：关闭私人服务器后将会取消所有当前订阅。,警告：若關閉私人伺服器，目前的訂閱將會全部取消。
Studio.GameSettings.General.AvatarOverridePrompt,Override Player Choice?,Benutzerdefinierte Einstellung überschreiben?,Override Player Choice?,¿Reemplazar la elección del jugador?,Ignorer le choix du joueur ?,Vuoi sovrascrivere la scelta del giocatore?,プレイヤーチョイスをオーバーライドしますか。,플레이어의 선택을 재정의할까요?,Substituir a escolha do jogador?,Переопределить выбор игрока?,要覆盖玩家选择吗?,要覆盖玩家选择吗?,要覆寫玩家選擇嗎？
Studio.GameSettings.AccessPermissions.FriendsCollaboratorType,Friends, ,Friends,Amigos,Amis,Amici,友達,친구,Amigos,Друзья,好友,好友,好友
Studio.GameSettings.General.PlayabilityFriends,Friends,Freunde,Friends,Amigos,Amis,Amici,友達,친구,Amigos,Друзья,好友,好友,好友
Studio.GameSettings.Permissions.FriendsCollaboratorType,Friends, ,Friends,Amigos,Amis,Amici,友達,친구,Amigos, ,好友,好友,好友
Studio.GameSettings.General.EnableTeamCreateForCollabEditing,Turn on Team Create to enable Collaborative Editing for scripts, ,Turn on Team Create to enable Collaborative Editing for scripts,Activa Creación en equipo para permitir la Edición colaborativa en los scripts,Active Team Create pour permettre Collaborative Editing des scripts,Attiva Creazione di squadra per abilitare la scrittura collaborativa degli script,スクリプトの共同編集を有効にするには、チーム制作機能をオンにしてください,팀 제작을 활성화해 스크립트에 대한 공동 편집을 할 수 있도록 합니다.,Ative a Criação em equipe para permitir Edição colaborativa em scripts, ,开启组队创作即可启用脚本合作编辑,开启组队创作即可启用脚本合作编辑,開啟團隊創作即可啟用指令碼共同編輯
Studio.GameSettings.General.PlayabilityPublicDesc,Anyone on Roblox,Jeder bei Roblox,Anyone on Roblox,Cualquier persona en Roblox,Tout le monde sur Roblox,Chiunque su Roblox,Roblox上の誰でも,Roblox의 누구든 가능,Qualquer pessoa na Roblox,Пользователи Roblox,Roblox 上的所有玩家,Roblox 上的所有玩家,Roblox 上的所有人
Studio.GameSettings.General.ImageReview,In Review,In Überprüfung,In Review,En revisión,En cours d'examen,In fase di revisione,レビュー中,검토 중,Sob revisão,На рассмотрении,审核中,审核中,審查中
Studio.GameSettings.General.PlayabilityGroupDesc,Members of {group},Gruppenmitglieder von {group},Members of {group},Miembros de {group},Membres de {group},Membri di {group},{group} のメンバー,{group} 그룹 멤버,Membros de {group},Участники группы {group},{group}的成员,{group}的成员,{group} 的成員
Studio.GameSettings.General.UseTranslatedContentTitle,Use Translated Content, ,Use Translated Content,Usar contenido traducido,Utiliser le contenu traduit,Utilizza contenuti tradotti,翻訳済みのコンテンツを使用,번역된 콘텐츠 사용,Usar conteúdo traduzido, ,使用已翻译的内容,使用已翻译的内容,使用已翻譯內容
Studio.GameSettings.General.PublishIsRequiredSentence1, is required for {requiredForWhat}, , is required for {requiredForWhat}, se requiere para {requiredForWhat}, est exigé pour {requiredForWhat}, è necessario per {requiredForWhat}, が {requiredForWhat} に必要です,은(는) {requiredForWhat}에 필요합니다, é necessário para {requiredForWhat},требуется для: {requiredForWhat},是 {requiredForWhat} 所必需的,是 {requiredForWhat} 所必需的,才可{requiredForWhat}
Studio.GameSettings.AccessPermissions.PlayDescription,Can play this game,Dieses Spiel kann gespielt werden,Can play this game,Puede jugar a este juego,Possible de jouer à ce jeu ,È possibile giocare a questo gioco,このゲームをプレイできます,이 게임을 플레이할 수 있음,Não pode jogar este jogo,Вы можете играть в эту игру,可以玩此游戏,可以玩此游戏,可遊玩此遊戲
Studio.GameSettings.Permissions.PlayDescription,Can play this game, ,Can play this game,Puede jugar a este juego,Possible de jouer à ce jeu ,È possibile giocare a questo gioco,このゲームをプレイできます,이 게임을 플레이할 수 있습니다,Pode jogar este jogo, ,可以玩此游戏,可以玩此游戏,可遊玩此遊戲
Studio.GameSettings.General.PlayabilityFriendsDesc,Friends on Roblox,Freunde bei Roblox,Friends on Roblox,Amigos en Roblox,Amis sur Roblox,Amici su Roblox,Roblox上の友達,내 Roblox 친구만 가능,Amigos na Roblox,Друзья-пользователи Roblox,Roblox 上的好友,Roblox 上的好友,Roblox 上的好友
Studio.GameSettings.General.GenreFighting,Fighting,Kampfspiele,Fighting,Lucha,Combat,Combattimento,格闘,격투,Luta,Файтинг,格斗,格斗,格鬥
Studio.GameSettings.General.ErrorDevSubFiltered,Filtered to {filteredText}, ,Filtered to {filteredText},Moderado a {filteredText},Filtré à {filteredText},Filtrato per {filteredText},{filteredText} にフィルタ済み,다음과 같이 검열됨: {filteredText},Filtrado para {filteredText},Фильтр: {filteredText},过滤为 {filteredText},过滤为 {filteredText},已過濾為 {filteredText}
Studio.GameSettings.General.PlayabilityPrivateDesc,Only developers of this game,Nur Entwickler dieses Spiels,Only developers of this game,Solo los desarrolladores de este juego,Seulement les développeurs de ce jeu,Solo gli sviluppatori di questo gioco,このゲームの開発者のみ,이 게임의 개발자만 가능,Apenas os desenvolvedores deste jogo,Только разработчики этой игры,仅开放给此游戏的开发人员,仅开放给此游戏的开发人员,只有本遊戲的開發者
Studio.GameSettings.General.GenreMilitary,Military,Militär,Military,Militar,Militaire,Militare,ミリタリー,군사,Militar,Войнушка,军事,军事,軍事
