Studio.App.AssetAccess.ShareOutputMessage1,,The experience doesn't have access permission to use asset id %1. Click to share access,The experience doesn't have access permission to use asset id %1. Click to share access
Studio.App.AssetAccess.ShareOutputMessageToolTip,,Share access to asset(s),Share access to asset(s)
Studio.App.AssetAccess.ShareOutputMessageUnavailable,,Asset access sharing unavailable,Asset access sharing unavailable
Studio.App.AttributeRenameDialog.AttributeAlphanumberic,Displayed when entering an illegal character while renaming an attribute,Attributes can only contain alphanumeric characters and underscores.,Attributes can only contain alphanumeric characters and underscores.
Studio.App.AttributeRenameDialog.AttributeContainsIllegalCharacters,Displayed when entering an illegal character while renaming an attribute,Attribute contains illegal character(s).,Attribute contains illegal character(s).
Studio.App.AttributeRenameDialog.AttributeLengthAndSuggestion2,"Displayed when exceeding maximum characters while editing, along with AttributeNameExceeds1",Current name length is: %1. Try to use a name within %2 characters.,Current name length is: %1. Try to use a name within %2 characters.
Studio.App.AttributeRenameDialog.AttributeNameAlreadyExists,Displayed when renaming an attribute and entering a name that exists.,Attribute name already exists.,Attribute name already exists.
Studio.App.AttributeRenameDialog.AttributeNameCantBeEmpty,Displayed when trying to commit an empty attribute while editing.,Attribute name cannot be empty.,Attribute name cannot be empty.
Studio.App.AttributeRenameDialog.AttributeNameCantStartWithRBX,Displayed when editing and trying to add RBX at the beginning.,Attribute name can't start with 'RBX'.,Attribute name can't start with 'RBX'.
Studio.App.AttributeRenameDialog.AttributeNameExceeds1,Displayed when exceeding maximum charecters while editing.,Attribute name exceeds %1 characters.,Attribute name exceeds %1 characters.
Studio.App.AttributeRenameDialog.AttributeTryDifferentName,Displayed when editing an attribute and entering a name that exists.,Try to use a different name.,Try to use a different name.
Studio.App.AudioImportConfirmationDialog.ConfirmAudioImport,,Confirm Audio Import,Confirm Audio Import
Studio.App.AudioImportConfirmationDialog.NoFilesAvailable,,No files available,No files available
Studio.App.AudioImportOptionsDialog.ConfirmAudioImport,,Confirm Audio Import,Confirm Audio Import
Studio.App.AudioPrivacyCheck.GrantPermissionFailure3,"Appears in output window when permission granting fails. %1 and %2 are replaced by assed ids, and %3 is replaced by an error code.",Failed to grant universe [%1] permission to asset [%2]: %3,Failed to grant universe [%1] permission to asset [%2]: %3
Studio.App.AudioPrivacyCheck.GrantPermissionUserFailure3,"Appears in output window when permission granting fails. %1 is replaced by universe id, %2 is replaced by assed id and %3 is replaced by user id.",Your User ID %3 is not authorized to grant asset permissions. Failed to grant the Universe %1 permission to use asset %2.,Your User ID %3 is not authorized to grant asset permissions. Failed to grant the Universe %1 permission to use asset %2.
Studio.App.AudioResourceController.AudioReferencedByName,,"Audio files are referenced by name, so any references to this asset will fail to load. Are you sure you want to remove it?","Audio files are referenced by name, so any references to this asset will fail to load. Are you sure you want to remove it?"
Studio.App.AuthenticationHelper.AuthFailedTimeout,,Could not authenticate user. Request timed out.,Could not authenticate user. Request timed out.
Studio.App.AuthenticationHelper.AuthFailedTryAgain,,Authentication failed. Please try again or contact support if the problem persists.,Authentication failed. Please try again or contact support if the problem persists.
Studio.App.Authenticator.TwoStepFailedParse,,"An error occurred while reading the response from the server. Please try again later, or contact support if the problem persists.","An error occurred while reading the response from the server. Please try again later, or contact support if the problem persists."
Studio.App.AutoSave.AutoSaveRecovery,,Auto-Save Recovery,Auto-Save Recovery
Studio.App.AutocompleteMenu.MoreChildrenItemTextFmt1,,%1 more children...,%1 more children...
Studio.App.AutocompleteTooltip.FunctionNumberLabelTextFmt2,,%1 of %2,%1 of %2
Studio.App.AuxiliaryView.RenderException1,,Adding AuxiliaryView failed with error,Adding AuxiliaryView failed with error
Studio.App.AvatarImportService.OpenRigFBXFile,,Open Rig FBX File,Open Rig FBX File
Studio.App.BaseDataModel.MigrateOneUnionBody,,"Do you want Studio to perform a one-time migration resizing one union to retain its original appearance?

The migration should only be used on content created under the old scaling behavior. In particular this means you should not use the migration on new content you've been working on under the Nonuniform Unions beta feature.","Do you want Studio to perform a one-time migration resizing one union to retain its original appearance?

The migration should only be used on content created under the old scaling behavior. In particular this means you should not use the migration on new content you've been working on under the Nonuniform Unions beta feature."
Studio.App.BaseDataModel.MigrateOneUnionTitle,,One union is being reinterpreted,One union is being reinterpreted
Studio.App.BaseDataModel.MigrateUnionsBody1,,"Do you want Studio to perform a one-time migration resizing %1 unions to retain their original appearance?

The migration should only be used on content created under the old scaling behavior. In particular this means you should not use the migration on new content you've been working on under the Nonuniform Unions beta feature.","Do you want Studio to perform a one-time migration resizing %1 unions to retain their original appearance?

The migration should only be used on content created under the old scaling behavior. In particular this means you should not use the migration on new content you've been working on under the Nonuniform Unions beta feature."
Studio.App.BaseDataModel.MigrateUnionsTitle1,,%1 unions are being reinterpreted,%1 unions are being reinterpreted
Studio.App.BetaFeature.SmoothVoxelsDescription,,Enable the terrain upgrade changing the way voxels are rendered to make them much smoother in cases where there were terracing issues and LOD artefacts before. (NOTE: Requires Upgrade Shorelines!),Enable the terrain upgrade changing the way voxels are rendered to make them much smoother in cases where there were terracing issues and LOD artefacts before. (NOTE: Requires Upgrade Shorelines!)
Studio.App.BetaFeature.SmoothVoxelsTitle,,Smooth Voxels,Smooth Voxels
Studio.App.BetaFeature.UpgradeShorelinesDescription,,"Enable the new terrain upgrade which provides a smooth connection where water joins the shores. This upgrade also allows water edges to animate following the water's movement. After enabling the beta, you can choose to apply the shorelines upgrade for each of your places independently, through the Terrain Editor. The upgrade can be reverted with the Undo command.","Enable the new terrain upgrade which provides a smooth connection where water joins the shores. This upgrade also allows water edges to animate following the water's movement. After enabling the beta, you can choose to apply the shorelines upgrade for each of your places independently, through the Terrain Editor. The upgrade can be reverted with the Undo command."
Studio.App.BetaFeature.UpgradeShorelinesTitle,,Upgrade Shorelines,Upgrade Shorelines
Studio.App.BreakpointConditionEditDialog.BreakpointCondition,,Breakpoint Condition,Breakpoint Condition
Studio.App.BreakpointConditionEditDialog.Condition,,Condition:,Condition:
Studio.App.BreakpointTooltip.BreakpointLocationFmt2,,"Location: %1, line %2","Location: %1, line %2"
Studio.App.BreakpointTooltip.ConditionText,,Condition,Condition
Studio.App.BreakpointTooltip.ContinueExecutionText,,Continuing Execution,Continuing Execution
Studio.App.BreakpointTooltip.DisabledForCurrentContext,,Disabled For Current Context,Disabled For Current Context
Studio.App.BreakpointTooltip.LogExpressionText,,Log Expression,Log Expression
Studio.App.Breakpoints.Breakpoints,,Breakpoints,Breakpoints
Studio.App.Breakpoints.DeleteAllBreakpoints,Debugger widgets,Delete All Breakpoints,Delete All Breakpoints
Studio.App.Breakpoints.DeleteSelectedBreakpoint,Debugger widgets,Delete Selected Breakpoint,Delete Selected Breakpoint
Studio.App.Breakpoints.GoToSourceCode,Debugger widgets,Go To Source Code,Go To Source Code
Studio.App.BreakpointsTreeWidget.HeaderLabelCondition,In breakpoints,Condition,Condition
Studio.App.BreakpointsTreeWidget.HeaderLabelEnabled,In breakpoints,Enabled,Enabled
Studio.App.BreakpointsTreeWidget.HeaderLabelLine,In breakpoints,Line,Line
Studio.App.BreakpointsTreeWidget.HeaderLabelScriptName,In breakpoints,Script Name,Script Name
Studio.App.BreakpointsTreeWidget.HeaderLabelSourceLine,In breakpoints,Source Line,Source Line
Studio.App.BreakpointsWidget.DisableAllBreakpoints,,Disable All Breakpoints,Disable All Breakpoints
Studio.App.BreakpointsWidget.DoYouWantToDeleteAllBreakpoints,,Do you want to delete all breakpoints?,Do you want to delete all breakpoints?
Studio.App.BreakpointsWidget.EnableAllBreakpoints,,Enable All Breakpoints,Enable All Breakpoints
Studio.App.BrowserServiceController.Hidden,,(Hidden),(Hidden)
Studio.App.BrowserServiceController.OSNotUpToDate,,"Your OS is not up to date, some functions may not be fully supported","Your OS is not up to date, some functions may not be fully supported"
Studio.App.BulkAudioImportRateLimiting.NoCapacity,,Audio uploads are temporarily unavailable. Please try again later.,Audio uploads are temporarily unavailable. Please try again later.
Studio.App.BulkAudioImportRateLimiting.UploadsDefault2,,"You have %1 audio uploads per 30 days.
(<a href=%2>Learn more</a>)","You have %1 audio uploads per 30 days.
(<a href=%2>Learn more</a>)"
Studio.App.BulkAudioImportRateLimiting.UploadsLeft4,,"%1 of %2 audio uploads left until %3.
(<a href=%4>Learn more</a>)","%1 of %2 audio uploads left until %3.
(<a href=%4>Learn more</a>)"
Studio.App.BulkAudioImportRateLimiting.UploadsReachedLimit2,,"You've reached your audio upload limit. It refreshes on %1.
(<a href=%2>Learn more</a>)","You've reached your audio upload limit. It refreshes on %1.
(<a href=%2>Learn more</a>)"
Studio.App.BulkImport.CancelImport,Bulk importer,Cancel Import,Cancel Import
Studio.App.BulkImport.ClearWindow,Bulk importer,Clear Window,Clear Window
Studio.App.BulkImport.CloseWindow,Bulk importer,Close Window,Close Window
Studio.App.BulkImport.Collapse,Bulk importer,Collapse,Collapse
Studio.App.BulkImport.Completed,Bulk importer,Completed,Completed
Studio.App.BulkImport.Expand,Bulk importer,Expand,Expand
Studio.App.BulkImport.Import,Bulk importer,Import,Import
Studio.App.BulkImport.ProgressFmt2,Bulk importer,Imported %1 of %2 files,Imported %1 of %2 files
Studio.App.BulkImportService.UniverseNotValid,,Universe is not valid,Universe is not valid
Studio.App.BulkImportService.UniverseResourcesNotLoaded,,Universe resources are not loaded yet,Universe resources are not loaded yet
Studio.App.BulkImportWidget.CancelImport,,Cancel Import,Cancel Import
Studio.App.BulkImportWidget.ContinueImport,,Continue Import,Continue Import
Studio.App.BulkImportWidget.ImportNotComplete,,Your import is not complete. Closing the widget will cancel the entire import process. Would you like to cancel it?,Your import is not complete. Closing the widget will cancel the entire import process. Would you like to cancel it?
Studio.App.BulkImporter.RetryingUploadIn1SecondS,,Retrying upload in %1 second(s),Retrying upload in %1 second(s)
Studio.App.BulkImporter.SplitFrom1,,Split from %1,Split from %1
Studio.App.BulkImporterImpl.AssetHasBeenRenamedTo1,,Asset has been renamed to '%1',Asset has been renamed to '%1'
Studio.App.BulkImporterImpl.AssetNameModerated,,Asset name on website has been moderated,Asset name on website has been moderated
Studio.App.BulkImporterImpl.RetryLimitHitTryAgainIfNotExceedingDailyLimit,,Upload retry limit for this asset has been reached. If daily limit hasn't been exceeded try again later.,Upload retry limit for this asset has been reached. If daily limit hasn't been exceeded try again later.
Studio.App.BulkImporterImpl.RetryLimitHitTryAgainLater,,Retry limit hit. Try again later,Retry limit hit. Try again later
Studio.App.BulkImporterImpl.RetryLimtHitTryAgainLater,,Retry limit hit. Try again later,Retry limit hit. Try again later
Studio.App.BulkImporterImpl.RetryingUpload,,Retrying upload,Retrying upload
Studio.App.BulkVideoImportInfos.PreparingToUpload,,Preparing to upload,Preparing to upload
Studio.App.BulkVideoImportInfos.ProcessProgress1,Display the video processing progress in percent.,Processing: %1%,Processing: %1%
Studio.App.BulkVideoImportInfos.UploadCanceled,,Video upload is canceled.,Video upload is canceled.
Studio.App.BulkVideoImportInfos.UploadCannotBeCanceled,,Video processing cannot be canceled.,Video processing cannot be canceled.
Studio.App.BulkVideoImportInfos.UploadProgress1,Display the video uploading progress in percent.,Uploading: %1%,Uploading: %1%
Studio.App.BulkVideoImportRateLimiting.NoCapacity,,Video uploads are temporarily unavailable. Please try again later.,Video uploads are temporarily unavailable. Please try again later.
Studio.App.BulkVideoImportRateLimiting.UploadsDefault2,,"You have %1 video uploads per 30 days.
(<a href=%2>Learn more</a>)","You have %1 video uploads per 30 days.
(<a href=%2>Learn more</a>)"
Studio.App.BulkVideoImportRateLimiting.UploadsLeft4,,"%1 of %2 video uploads left until %3.
(<a href=%4>Learn more</a>)","%1 of %2 video uploads left until %3.
(<a href=%4>Learn more</a>)"
Studio.App.BulkVideoImportRateLimiting.UploadsReachedLimit2,,"You've reached your video upload limit. It refreshes on %1.
(<a href=%2>Learn more</a>)","You've reached your video upload limit. It refreshes on %1.
(<a href=%2>Learn more</a>)"
Studio.App.CalibrateDeviceScalingDialog.AdjustTheSlider,,Adjust the slider so that the image below is about the size of a student ID or library card (8.56 cm or 3.37 inches wide).,Adjust the slider so that the image below is about the size of a student ID or library card (8.56 cm or 3.37 inches wide).
Studio.App.CalibrateDeviceScalingDialog.CalibrateDeviceScaling,,Calibrate Device Scaling,Calibrate Device Scaling
Studio.App.CalibrateDeviceScalingDialog.DecreaseImageSize,,Decrease image size,Decrease image size
Studio.App.CalibrateDeviceScalingDialog.EstimateScreenSize,,"To accurately scale to physical size, we need to get an estimate of your screen size.","To accurately scale to physical size, we need to get an estimate of your screen size."
Studio.App.CalibrateDeviceScalingDialog.IncreaseImageSize,,Increase image size,Increase image size
Studio.App.CallStack.CallStack,Call Stack widgets,Call Stack,Call Stack
Studio.App.CallStack.Frame,Call Stack widgets,Frame,Frame
Studio.App.CallStack.FunctionExplanation,Call Stack widgets,Function Explanation,Function Explanation
Studio.App.CallStack.FunctionName,Call Stack widgets,Function Name,Function Name
Studio.App.CallStack.LineNo,Call Stack widgets,Line No.,Line No.
Studio.App.CallStack.Source,Call Stack widgets,Source,Source
Studio.App.CallStack.What,Call Stack widgets,What,What
Studio.App.CallStackWidget.CurrentScript,,Current Script: ,Current Script: 
Studio.App.Callout.GotIt,Button that a user clicks to dismiss a Teaching Callout. Teaching Callouts are used to showcase new Studio features to users.,Got it!,Got it!
Studio.App.Callout.LearnMore,"Within a Teaching Callout, this text is a link that takes a user to a learning resource for a new feature. Teaching Callouts are used to showcase new Studio features to users.",Learn more,Learn more
Studio.App.CalloutController.AssetManagerCalloutDescription,Description that appears in the Teaching Callout pointing out the new Asset Manager feature.,"Replacing the Game Explorer, the Asset Manager is a new menu in Studio that enables developers to more effectively manage game assets!","Replacing the Game Explorer, the Asset Manager is a new menu in Studio that enables developers to more effectively manage game assets!"
Studio.App.CalloutController.AssetManagerCalloutTitle,Name of the new Asset Manager built-in plugin that displays as a title for a Teaching Callout that points to the button for the plugin.,Asset Manager,Asset Manager
Studio.App.CalloutController.DraggerModeCalloutDescription,,Leverages the physics engine and constraints solver to simulate real-world behavior when moving objects. It adjusts some settings to work properly.,Leverages the physics engine and constraints solver to simulate real-world behavior when moving objects. It adjusts some settings to work properly.
Studio.App.CalloutController.DraggerModeCalloutTitle,,Drag Mode,Drag Mode
Studio.App.CalloutController.PivotEditorCalloutDescription,,Change the pivot point around which an object rotates and translates.,Change the pivot point around which an object rotates and translates.
Studio.App.CalloutController.PivotEditorCalloutTitle,,Pivot Editor,Pivot Editor
Studio.App.CalloutService.InvalidLayerCollector,,Not a valid type of LayerCollector,Not a valid type of LayerCollector
Studio.App.CalloutService.NoLayerCollector,,Could not find a LayerCollector for target,Could not find a LayerCollector for target
Studio.App.CalloutService.NotAvailable,,CalloutService is not available when either FFlagStudioEnableTeachingCallouts or FFlagStudioCalloutsInLua are false,CalloutService is not available when either FFlagStudioEnableTeachingCallouts or FFlagStudioCalloutsInLua are false
Studio.App.CalloutService.TargetNotGuiBase2d,,Target is not a GuiBase2d,Target is not a GuiBase2d
Studio.App.ChatSessionHandler.All,,All,All
Studio.App.ChatSessionHandler.TeamChat,,Team Chat,Team Chat
Studio.App.ClientServerToggleFTUE.ClientServerToggle,,Client/Server Toggle,Client/Server Toggle
Studio.App.ClientServerToggleFTUE.ToggleClientServerMode,,Click on the icon to toggle between client and server mode while testing,Click on the icon to toggle between client and server mode while testing
Studio.App.CloudEditController.JoinTeamTestServer,,Join Team Test Server,Join Team Test Server
Studio.App.CloudEditController.ShutdownServer,,Shutdown Server,Shutdown Server
Studio.App.CloudEditController.StartServerAndPlayers,,Start Server and Players,Start Server and Players
Studio.App.CloudEditUserData.FailToRestoreCameraPosition,,Failed to restore camera position: %s,Failed to restore camera position: %s
Studio.App.CmdService.NoCommandError1,,"Cannot execute unregistered command (%1)
","Cannot execute unregistered command (%1)
"
Studio.App.CmdService.ReentrancyError1,,"Cannot execute command (%1) while another instance of it is still running
","Cannot execute command (%1) while another instance of it is still running
"
Studio.App.CmdService.UnexpectedArgsError1,,"Cannot execute command (%1) due to unexpected arguments
","Cannot execute command (%1) due to unexpected arguments
"
Studio.App.CmdSnippetExportPack.FailToOpenFileToWriteFmt1,,Fail to open file %1 to write.,Fail to open file %1 to write.
Studio.App.CmdSnippetExportPack.FailToWriteFileFmt1,,Fail to write file to %1.,Fail to write file to %1.
Studio.App.CmdSnippetImportPack.FailToOpenFile,,Fail to open file from path.,Fail to open file from path.
Studio.App.CmdSnippetImportPack.InvalidPath,,Invalid file path.,Invalid file path.
Studio.App.CmdSnippetImportPack.JsonFormatInvalid,,This is not valid snippet pack json file.,This is not valid snippet pack json file.
Studio.App.Collaboration.ConnectingtoServer,Connect to team test server,Connecting to server...,Connecting to server...
Studio.App.Collaboration.FailedToArchiveNewGame,,Failed to archive new game.,Failed to archive new game.
Studio.App.Collaboration.FailedToUnarchive,,Failed to remove game from archive.,Failed to remove game from archive.
Studio.App.Collaboration.FailedToUnarchiveGame,,Failed to remove game from archive.,Failed to remove game from archive.
Studio.App.ColorPreviewWidget.InvalidArgumentsTooltip,,Invalid arguments to Color3 constructor,Invalid arguments to Color3 constructor
Studio.App.CommandBar.Command,,Command,Command
Studio.App.CommandLine.InvalidArgument2,,Launch Task %1 requires valid %2,Launch Task %1 requires valid %2
Studio.App.CommitScriptsDialog.CommitButtonText,,Commit,Commit
Studio.App.CommitScriptsDialog.CommitMessagePlaceHolderText,,"Add a comment to describe what changed.
<Ctrl Enter> To commit.","Add a comment to describe what changed.
<Ctrl Enter> To commit."
Studio.App.CommitScriptsDialog.ScriptSectionHeader,,Script,Script
Studio.App.CommitScriptsDialog.Title,,Commit Scripts,Commit Scripts
Studio.App.CoreScriptBuilder.ParseFailInvalidArg,Internal feature. Text in output window.,Parsing port string failed with std::invalid_argument,Parsing port string failed with std::invalid_argument
Studio.App.CoreScriptBuilder.ParseFailOutOfRange,Internal feature. Text in output window.,Parsing port string failed with std::out_of_range,Parsing port string failed with std::out_of_range
Studio.App.CoreScriptBuilder.WaitForReadyReadFailed1,Internal feature. Text in output window.,QProcess::waitForReadyRead failed(%1),QProcess::waitForReadyRead failed(%1)
Studio.App.CoreScriptBuilder.WaitForStartedFailed1,Internal feature. Text in output window.,QProcess::waitForStarted failed(%1),QProcess::waitForStarted failed(%1)
Studio.App.CoreScriptBuilder.WaitForStartedFailedHelp,Internal feature. Text in output window.,This error usually means that robloxdev-cli could not be found. Have you made sure that robloxdev-cli is in your PATH or you have set FFlagDebugStudioCoreScriptBuilderExecutable to point to the right location?,This error usually means that robloxdev-cli could not be found. Have you made sure that robloxdev-cli is in your PATH or you have set FFlagDebugStudioCoreScriptBuilderExecutable to point to the right location?
Studio.App.CorruptedInstallationDialog.DefaultMessage,,Some Studio files are missing or corrupted. Please reinstall Studio by following the instructions at https://en.help.roblox.com/hc/en-us/articles/203312910?fromStudio=true,Some Studio files are missing or corrupted. Please reinstall Studio by following the instructions at https://en.help.roblox.com/hc/en-us/articles/203312910?fromStudio=true
Studio.App.CurrentlyEditingWindow.CurrentlyEditing,,Currently Editing,Currently Editing
Studio.App.DataModelLifeCycle.AeroMeshPleaseWait,Waiting for aerodynamic mesh generation to complete,Please Wait,Please Wait
Studio.App.DataModelLifeCycle.CannotOpenFileForRead,Failed to open file during open place process,Cannot open place file for reading.,Cannot open place file for reading.
Studio.App.DataModelLifeCycle.GameIsGoneWhileLoadingDM,Game has disappeared during the dm loading process,Game has disappeared while loading dm (client).,Game has disappeared while loading dm (client).
Studio.App.DataModelLifeCycle.ProcessingAeroMeshes,Shown during aerodynamic mesh generation,Processing aerodynamic meshes,Processing aerodynamic meshes
Studio.App.DataModelLoading.CannotOpenFileForRead,Failed to open file during open place process,Cannot open place file for reading.,Cannot open place file for reading.
Studio.App.DataModelPackageManager.DonTNotifyMeAgain,,Don't notify me again,Don't notify me again
Studio.App.DataModelPackageManager.InsufficientPermissions,,Unable to retrieve Packages status because of insufficient permissions. You may be unable to publish this place,Unable to retrieve Packages status because of insufficient permissions. You may be unable to publish this place
Studio.App.DataModelPackageManager.PackageFailedToAutoUpdate1,,%1 failed to auto-update.,%1 failed to auto-update.
Studio.App.DataModelPackageManager.PrimaryPartRemoved,,PrimaryPart removed. You won't be able to publish this Package until you set the PrimaryPart again.,PrimaryPart removed. You won't be able to publish this Package until you set the PrimaryPart again.
Studio.App.DataModelPackageManager.UnexpectedPlacementNewVersions,,Changing the PrimaryPart may result in unexpected placement when you get new versions. Make sure the new PrimaryPart is where you want your Package to update from.,Changing the PrimaryPart may result in unexpected placement when you get new versions. Make sure the new PrimaryPart is where you want your Package to update from.
Studio.App.Debugger.PausedForDebugging,,Rendering is paused for debugging...,Rendering is paused for debugging...
Studio.App.DebuggerClientManager.Disable,,Disable,Disable
Studio.App.DebuggerClientManager.KeepBreakingOnError,,Keep breaking on error,Keep breaking on error
Studio.App.DebuggerClientManager.RobloxLuaDebuggerCaughtError,,"The Roblox Lua Debugger caught an error and will now take you to the exception in the script.

 You can modify this behavior, when a script is open, by going to the Script Menu tab and changing the 'Break On Error' settings. 
","The Roblox Lua Debugger caught an error and will now take you to the exception in the script.

 You can modify this behavior, when a script is open, by going to the Script Menu tab and changing the 'Break On Error' settings. 
"
Studio.App.DebuggerViewsManager.Breakpoints,,Breakpoints,Breakpoints
Studio.App.DebuggerViewsManager.Watch,,Watch,Watch
Studio.App.DeclarationView.BackEnd,,<b>Back-end: </b>This item can only be used from game servers and solo games.,<b>Back-end: </b>This item can only be used from game servers and solo games.
Studio.App.DeclarationView.Deprecated,,<b>Deprecated: </b>This item is deprecated. Do not use it for new work.,<b>Deprecated: </b>This item is deprecated. Do not use it for new work.
Studio.App.DeclarationView.MemberOf1,,"Member of <label style=""font-weight: bold"">%1</label>","Member of <label style=""font-weight: bold"">%1</label>"
Studio.App.DeclarationView.Summary,,Summary:,Summary:
Studio.App.Deployment.CSBFailure,Internal feature. Text in output window.,Failed to initialize CoreScriptBuilder with: %1,Failed to initialize CoreScriptBuilder with: %1
Studio.App.Deployment.CSBFailure1,Internal feature. Text in output window.,Failed to initialize CoreScriptBuilder with: %1,Failed to initialize CoreScriptBuilder with: %1
Studio.App.Deployment.PatchBuilderFailure1,Internal feature. Text in output window.,Failed to initialize patch builder with: %1,Failed to initialize patch builder with: %1
Studio.App.DiagnosticBar.VRDevice1,"Text that displays which vr headset is currently connected or if no headset is connected. The argument should be the name of the vr device: Vive, Index, Oculus, or others.",VR Device: %1,VR Device: %1
Studio.App.DiagnosticBar.VRDeviceNotDetected,Text when no Virtual Reality headset is detected,None Detected,None Detected
Studio.App.Diagnostics.Cancel,This is text for a button that is shown to the user to let them cancel and not restart Studio,Cancel,Cancel
Studio.App.Diagnostics.Continue,This is text for a button that is shown to the user to let them continue running Studio and not restart,Continue,Continue
Studio.App.Diagnostics.LowMemoryActionWarning,This message is shown to users when Studio detects that the user is low on memory. Studio will offer the user the option to restart or continue what they were trying to do.,Studio may become unstable and the attempted operation may not succeed. Would you like to restart or continue the operation?,Studio may become unstable and the attempted operation may not succeed. Would you like to restart or continue the operation?
Studio.App.Diagnostics.LowOnMemory,This is shown as title text for a dialog that is displayed to the user when Studio is running low on memory.,Studio is low on memory.,Studio is low on memory.
Studio.App.Diagnostics.LowOnMemoryAction,This is shown as a description for a dialog that is displayed to the user when Studio is running low on memory to tell them to close Studio and try again.,Please restart Studio and try again.,Please restart Studio and try again.
Studio.App.Diagnostics.Restart,This is text for a button that is shown to the user to let them restart Studio,Restart,Restart
Studio.App.DocTabManager.CloseTab,,Close Tab,Close Tab
Studio.App.DocTabManager.CloseTabsOther,,Close Other Tabs,Close Other Tabs
Studio.App.DocTabManager.CloseTabsRight,,Close Tabs to the Right,Close Tabs to the Right
Studio.App.DocumentationView.Copied,,Copied!,Copied!
Studio.App.DocumentationView.HideCodeSample,,Hide Code Example,Hide Code Example
Studio.App.DocumentationView.LearnMore,,Learn more,Learn more
Studio.App.DocumentationView.Overload,,+1 overload,+1 overload
Studio.App.DocumentationView.Overload.Plural1,%1 is an integer. example '+2 overloads',+%1 overloads,+%1 overloads
Studio.App.DocumentationView.Overloads,,overloads,overloads
Studio.App.DocumentationView.ShowCodeSample,,Show Code Example,Show Code Example
Studio.App.DragDrop.Count1,"A count of instances selected when there is nothing similar between them. For example, selecting 3 random instances will show (x3)",(x%1),(x%1)
Studio.App.DragDrop.NameAndCount2,"An instance name and a count of how many of those instances are selected (when more than 1). For example, dragging three things named Folder will show as Folder (x3).",%1 (x%2),%1 (x%2)
