Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,,,Save Avatar Character,Avatarcharakter speichern,Save Avatar Character,Guardar el avatar,Guardar el avatar,Enregistrer le personnage de l'avatar,Simpan Karakter Avatar,Salva personaggio avatar,アバターキャラクターを保存,아바타 캐릭터 저장,Salvar avatar,Salvar avatar,Сохранение аватара персонажа,บันทึกตัวละครอวาตาร์,保存虚拟形象角色,儲存虛擬人偶角色,保存虚拟形象角色,Zapisz postać awatara,Lưu Nhân Vật Avatar,Avatar Karakterini Kaydet,حفظ شخصية الأفاتار
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,,,Do you want to save this character to Roblox? ,Möchtest du diesen Charakter auf Roblox speichern? ,Do you want to save this character to Roblox? ,¿Quieres guardar este avatar en Roblox? ,¿Quieres guardar este avatar en Roblox? ,Veux-tu enregistrer ce personnage sur Roblox ? ,Kamu ingin menyimpan karakter ini ke Roblox? ,Vuoi salvare questo personaggio su Roblox? ,Robloxにこのキャラクターを保存しますか？ ,이 캐릭터를 Roblox에 저장할까요?,Gostaria de salvar este personagem no Roblox? ,Gostaria de salvar este personagem no Roblox? ,Хочешь сохранить этого персонажа в Roblox? ,คุณต้องการบันทึกตัวละครนี้บน Roblox ใช่หรือไม่? ,将此角色保存至 Roblox？,將此角色儲存到 Roblox？,将此角色保存至罗布乐思？ ,Czy chcesz zapisać tę postać na platformie Roblox? ,Bạn có muốn lưu nhân vật này vào Roblox không? ,Bu karakteri Roblox'a kaydetmek ister misin? ,هل تريد حفظ هذه الشخصية في Roblox؟ 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,,,No,Nein,No,No,No,Non,Tidak,No,いいえ,아니요,Não,Não,Нет,ไม่ใช่,否,否,否,Nie,Không,Hayır,لا
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,,,Yes,Ja,Yes,Sí,Sí,Oui,Ya,Sì,はい,예,Sim,Sim,Да,ใช่,是,是,是,Tak,Có,Evet,نعم
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,,,Cancel,Abbrechen,Cancel,Cancelar,Cancelar,Annuler,Batalkan,Annulla,キャンセル,취소,Cancelar,Cancelar,Отмена,ยกเลิก,取消,取消,取消,Anuluj,Hủy bỏ,İptal Et,إلغاء
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,,,Ok,Okay,Ok,Aceptar,Aceptar,Ok,Oke,OK,OK,확인,Ok,Ok,ОК,ตกลง,确定,確定,确定,OK,Ok,Tamam,حسنًا
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,,,Equip Avatar with Items,Statte deinen Avatar mit Artikeln aus,Equip Avatar with Items,Equipar avatar con los objetos,Equipar avatar con los objetos,Équiper Avatar avec des articles,Lengkapi Avatar dengan Item,Equipaggia avatar con oggetti,アバターにアイテムを装備,아바타에 아이템 장착,Equipar avatar com itens,Equipar avatar com itens,Снаряжение аватара предметами,สวมใส่ไอเท็มให้อวาตาร์,为虚拟形象装备道具,為虛擬人偶裝備道具,为虚拟形象装备道具,Wyposaż awatara w przedmioty,Trang Bị Vật Phẩm cho Avatar,Avatarı Öğelerle Donat,تجهيز الأفاتار بالعناصر
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,,,{RBX_NAME} would like to make the following changes to your avatar:,{RBX_NAME} möchte folgende Änderungen an deinem Avatar vornehmen:,{RBX_NAME} would like to make the following changes to your avatar:,{RBX_NAME} quiere hacer los siguientes cambios a tu avatar:,{RBX_NAME} quiere hacer los siguientes cambios a tu avatar:,{RBX_NAME} souhaiterait faire les changements suivants sur ton avatar :,{RBX_NAME} ingin membuat perubahan ke avatar kamu:,{RBX_NAME} vuoi fare le seguenti modifiche al tuo avatar:,{RBX_NAME} さんがあなたのアバターに以下の変更を希望しています:,{RBX_NAME}(이)가 아바타를 다음과 같이 변경하려고 합니다.,{RBX_NAME} gostaria de fazer as seguintes mudanças em seu avatar:,{RBX_NAME} gostaria de fazer as seguintes mudanças em seu avatar:,{RBX_NAME} хочет внести изменения в твой аватар:,{RBX_NAME} ต้องการทำการเปลี่ยนเแปลงต่อไปนี้กับอวาตาร์ของคุณ:,{RBX_NAME} 想对您的虚拟形象作出以下更改：,{RBX_NAME} 想要為您的虛擬人偶進行以下變更：,{RBX_NAME} 想对您的虚拟形象作出以下更改：,{RBX_NAME} chce wprowadzić w twoim awatarze następujące zmiany:,{RBX_NAME} muốn thực hiện các thay đổi sau cho avatar của bạn:,"{RBX_NAME}, senin avatarına aşağıda belirtilen değişiklikleri yapmak istiyor:",يريد المستخدم {RBX_NAME} إجراء تعديلات على عناصر أفاتارك:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,,,Ok,Okay,Ok,Aceptar,Aceptar,Ok,Oke,OK,OK,확인,Ok,Ok,ОК,ตกลง,确定,確定,确定,OK,Ok,Tamam,حسنًا
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,,,Cancel,Abbrechen,Cancel,Cancelar,Cancelar,Annuler,Batalkan,Annulla,キャンセル,취소,Cancelar,Cancelar,Отмена,ยกเลิก,取消,取消,取消,Anuluj,Hủy bỏ,İptal Et,إلغاء
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,,,Favorite Item,Artikel in Favoriten,Favorite Item,Añadir objeto a Favoritos,Añadir objeto a Favoritos,Article préféré,Item Favorit,Oggetto preferito,アイテムをお気に入り登録,아이템을 즐겨찾기에 추가,Adicionar item aos favoritos,Adicionar item aos favoritos,Добавление в избранное,ไอเท็มโปรด,最爱道具,最愛道具,最爱道具,Dodaj przedmiot do ulubionych,Vật Phẩm Yêu Thích,Öğeyi Favorile,تفضيل العنصر
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,,,Do you want to add {RBX_NAME} to favorites?,Möchtest du {RBX_NAME} zu deinen Favoriten hinzufügen?,Do you want to add {RBX_NAME} to favorites?,¿Quieres añadir {RBX_NAME} a tus favoritos?,¿Quieres añadir {RBX_NAME} a tus favoritos?,Veux-tu ajouter {RBX_NAME} à tes préférés ?,Kamu ingin menambahkan {RBX_NAME} ke favorit?,Vuoi aggiungere {RBX_NAME} ai preferiti?,{RBX_NAME} をお気に入りに追加しますか？,{RBX_NAME}(을)를 즐겨찾기에 추가할까요?,Você quer adicionar {RBX_NAME} aos seus favoritos?,Você quer adicionar {RBX_NAME} aos seus favoritos?,Хочешь добавить в избранное {RBX_NAME}?,"คุณต้องการเพิ่ม ""{RBX_NAME}"" ไปยังรายการโปรดใช่หรือไม่?",将 {RBX_NAME} 添加至最爱？,確定將 {RBX_NAME} 加到最愛？,将 {RBX_NAME} 添加至最爱？,Czy chcesz dodać przedmiot {RBX_NAME} do ulubionych?,Bạn có muốn thêm {RBX_NAME} vào mục yêu thích?,{RBX_NAME} öğesini favorilere eklemek ister misin?,هل تريد إضافة {RBX_NAME} إلى المفضلة؟
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,,,Unfavorite Item,Artikel von Favoriten entfernen,Unfavorite Item,Quitar objeto de Favoritos,Quitar objeto de Favoritos,Retirer l'article des préférés,Bukan Item Favorit,Oggetto non preferito,アイテムのお気に入り登録を解除,아이템을 즐겨찾기에서 제거,Remover item dos favoritos,Remover item dos favoritos,Удаление из избранного,ลบไอเท็มนี้ออกจากรายการโปรด,移出最爱的道具,解除最愛道具,移出最爱的道具,Usuń przedmiot z ulubionych,Vật Phẩm Không Được Yêu Thích,Öğeyi Favorilerden Çıkar,إلغاء تفضيل العنصر
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,,,Do you want to remove {RBX_NAME} from favorites?,Möchtest du {RBX_NAME} von deinen Favoriten entfernen?,Do you want to remove {RBX_NAME} from favorites?,¿Quieres quitar {RBX_NAME} de tus favoritos?,¿Quieres quitar {RBX_NAME} de tus favoritos?,Veux-tu retirer {RBX_NAME} des préférés ?,Kamu ingin menghapus {RBX_NAME} dari favorit?,Vuoi rimuovere {RBX_NAME} dai preferiti?,{RBX_NAME} をお気に入りから削除しますか？,{RBX_NAME}(을)를 즐겨찾기에서 제거할까요?,Você quer remover {RBX_NAME} de seus favoritos?,Você quer remover {RBX_NAME} de seus favoritos?,Хочешь удалить из избранного {RBX_NAME}?,"คุณต้องการลบ ""{RBX_NAME}"" ออกจากรายการโปรดใช่หรือไม่?",将 {RBX_NAME} 从“最爱”中移除？,確定將 {RBX_NAME} 解除最愛？,将 {RBX_NAME} 从“最爱”中移除？,Czy chcesz usunąć przedmiot {RBX_NAME} z ulubionych?,Bạn có muốn bỏ {RBX_NAME} ra khỏi mục yêu thích?,{RBX_NAME} öğesini favorilerden çıkarmak ister misin?,هل تريد إزالة {RBX_NAME} من المفضلة؟
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,,,No,Nein,No,No,No,Non,Tidak,No,いいえ,아니요,Não,Não,Нет,ไม่ใช่,否,否,否,Nie,Không,Hayır,لا
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,,,Yes,Ja,Yes,Sí,Sí,Oui,Ya,Sì,はい,예,Sim,Sim,Да,ใช่,是,是,是,Tak,Có,Evet,نعم
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,,,Enter Character Name,Charakternamen eingeben,Enter Character Name,Ingresar el nombre del personaje,Ingresar el nombre del personaje,Saisir le nom du personnage,Masukkan Nama Karakter,Inserisci il nome del personaggio,キャラクター名を入力,캐릭터 이름 입력,Insira o nome do personagem,Insira o nome do personagem,Введи имя персонажа,กรอกชื่อตัวละคร,输入角色名称,輸入角色名稱,输入角色名称,Wprowadź nazwę postaci,Nhập Tên Nhân Vật,Karakter Adını Gir,أدخل اسم الشخصية
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,,,Character Name,Charaktername,Character Name,Nombre del personaje,Nombre del personaje,Nom du personnage,Nama Karakter,Nome Personaggio,キャラクター名,캐릭터 이름,Nome do personagem,Nome do personagem,Имя персонажа,ชื่อตัวละคร,角色名称,角色名稱,角色名称,Nazwa postaci,Tên Nhân Vật,Karakter Adı,اسم الشخصية
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,,,Confirm,Bestätigen,Confirm,Confirmar,Confirmar,Confirmer,Konfirmasi,Conferma,確認,확인,Confirmar,Confirmar,Подтвердить,ยืนยัน,确认,確認,确认,Potwierdź,Xác Nhận,Onayla,تأكيد
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,,,Loading Failed,Laden fehlgeschlagen,Loading Failed,Error al cargar,Error al cargar,Échec du téléchargement,Loading Gagal,Caricamento non riuscito,読み込みできませんでした,불러오기 실패,Falha no carregamento,Falha no carregamento,Загрузка не удалась,โหลดไม่สำเร็จ,加载失败,載入失敗,加载失败,Nie udało się wczytać,Tải Thất Bại,Yükleme Başarısız,تعذّر التحميل
CoreScripts.AvatarEditorPrompts.Adding,,,Adding:,Fügt hinzu:,Adding:,Añadir:,Añadir:,Ajouter :,Menambahkan:,Aggiungi:,追加中:,추가 아이템:,Adicionando:,Adicionando:,Добавление:,เพิ่ม:,添加：,新增：,添加：,Dodawanie:,Thêm:,Şunlar ekleniyor:,إضافة:
CoreScripts.AvatarEditorPrompts.Removing,,,Removing:,Entfernt:,Removing:,Eliminar:,Eliminar:,Enlever :,Menghapus:,Rimuovi:,削除中:,제거 중:,Removendo:,Removendo:,Удаление:,ลบ:,移除：,移除：,移除：,Usuwanie:,Loại Bỏ:,Şunlar çıkarılıyor:,إزالة:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,,,No item changes,Keine Artikeländerungen,No item changes,No hay cambios de objetos,No hay cambios de objetos,Aucun changements d'article,Tidak ada perubahan item,Nessuna modifica,アイテム変更なし,아이템 변경 없음,Sem mudanças nos itens,Sem mudanças nos itens,Изменения отсутствуют,ไม่มีการเปลี่ยนแปลงใดๆ,道具没有更改,道具沒有變更,道具没有更改,Nie zmieniono przedmiotów,Không có thay đổi đối với vật phẩm,Öğe değişikliği yapılmadı,لم تتغير أي عناصر
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,,,Cancel,Abbrechen,Cancel,Cancelar,Cancelar,Annuler,Batalkan,Annulla,キャンセル,취소,Cancelar,Cancelar,Отмена,ยกเลิก,取消,取消,取消,Anuluj,Hủy bỏ,İptal Et,إلغاء
CoreScripts.PremiumModal.Title.PremiumRequired,,,For Premium Only,Nur Premium,For Premium Only,Solo para Premium,Solo para Premium,Pour Premium uniquement,Hanya untuk Premium,Solo Premium,プレミアム限定,Premium 전용,Apenas Premium,Apenas Premium,Только для подписчиков Premium,สำหรับ Premium เท่านั้น,仅限 Premium,Premium 限定,仅限 Premium,Tylko dla członków premium,Chỉ Dành Cho Thành Viên Gói Premium,Yalnızca Premium'a Özel,خاص بـ Premium
CoreScripts.PremiumModal.Body.Description,,,Roblox Premium will get you:,Durch Roblox Premium erhältst du:,Roblox Premium will get you:,Con Roblox Premium también obtienes:,Con Roblox Premium también obtienes:,"Avec Roblox Premium, vous avez droit à :",Roblox Premium akan memberikan kamu:,Con Roblox Premium otterrai:,Robloxプレミアムには以下が含まれています。,Roblox Premium 회원을 위한 다양한 혜택:,Roblox Premium dá direito a:,Roblox Premium dá direito a:,Преимущества Roblox Premium:,สมาชิก Roblox Premium จะได้รับ:,Roblox Premium 将给你：,Roblox Premium 將會給您：,罗布乐思 Premium 将给你：,Korzyści z usługi Roblox Premium:,Gói Roblox Premium sẽ đem lại cho bạn:,Roblox Premium sana şunları kazandırır:,تعطيك Premium:
CoreScripts.PremiumModal.Body.RobuxMonthly,,,450 Robux per month,450 Robux pro Monat,450 Robux per month,450 Robux al mes,450 Robux al mes,450 Robux par mois,450 Robux setiap bulan,450 Robux al mese,1ヶ月に450Robux,매달 450 Robux 획득,450 Robux por mês,450 Robux por mês,450 Robux в месяц;,450 Robux ต่อเดือน,每月 450 Robux,每個月 450 Robux,每月 450 罗宝,450 Robuxów miesięcznie,450 Robux mỗi tháng,Ayda 450 Robux,450 Robux شهريًا
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,,,Access to Premium only benefits,Zugriff auf exklusive Premium-Vorteile,Access to Premium only benefits,Acceso a beneficios exclusivos para suscriptores de Premium,Acceso a beneficios exclusivos para suscriptores de Premium,Accédez à des avantages réservés aux membres Premium,Akses ke keuntungan hanya Premium,Accesso a vantaggi esclusivi Premium,プレミアム限定特典にアクセス,Premium 전용 혜택 이용,Acesso a benefícios exclusivos,Acesso a benefícios exclusivos,Доступ к преимуществам только для подписчиков Premium,การเข้าถึงสิทธิประโยชน์ต่างๆ สำหรับ Premium เท่านั้น,Premium 会员限定福利,獲得 Premium 限定福利,Premium 会员限定福利,Dostęp do funkcji premium,Nhận những lợi ích dành riêng cho thành viên Premium,Yalnızca Premium'a özel avantajlara erişim,الوصول إلى مزايا المميزة فقط بـ Premium
CoreScripts.PremiumModal.Body.RobuxDiscount,,,10% bonus when buying Robux,10% Bonus beim Kauf von Robux,10% bonus when buying Robux,10% de Robux extra en la compra de nuestra moneda virtual,10% de Robux extra en la compra de nuestra moneda virtual,10 % de bonus lors de l'achat de Robux,Bonus 10% saat membeli Robux,Bonus del 10% quando acquisti Robux,Robux購入時に10%のボーナス,Robux 구입 시 10% 추가 보너스 증정,Bônus de 10% ao comprar Robux,Bônus de 10% ao comprar Robux,бонус в 10% при покупке Robux.,โบนัส 10% เมื่อซื้อ Robux,购买 Robux 时额外增送 10%,購買 Robux 時獲得 10% 額外 Robux,购买罗宝时额外增送 10%,10% premii przy zakupie Robuxów,Tiền thưởng 10% khi mua Robux,Robux satın alırken %10 bonus,خصم 10% عند شراء Robux
CoreScripts.PremiumModal.Action.PricePerMonth,,,{price}/month,{price}/Monat,{price}/month,{price} al mes,{price} al mes,{price} par mois,{price}/bulan,{price}/mese,{price}/月額,{price}/월,{price}/mês,{price}/mês,{price}/месяц,{price}/เดือน,{price} / 月,{price} / 月,{price} / 月,{price}/miesiąc,{price}/tháng,{price}/aylık,{price}/شهريًا
CoreScripts.PremiumModal.Error.PlatformUnavailable,,,Purchasing Roblox Premium is not supported on your platform. Please use your desktop to purchase Premium.,"Der Kauf von Roblox Premium wird auf deiner Plattform nicht unterstützt. Bitte verwende deinen Desktop-Computer, um Premium zu kaufen.",Purchasing Roblox Premium is not supported on your platform. Please use your desktop to purchase Premium.,La compra de Roblox Premium no es compatible con tu plataforma. Usa un equipo de escritorio para suscribirte.,La compra de Roblox Premium no es compatible con tu plataforma. Usa un equipo de escritorio para suscribirte.,L'achat de Roblox Premium n'est pas pris en charge sur votre plateforme. Veuillez utiliser un ordinateur pour l'acheter.,Membeli Roblox Premium tidak didukung di perangkat kamu. Gunakan desktop untuk membeli Premium.,Non è possibile acquistare Roblox Premium sulla tua piattaforma. Acquista la versione Premium da un computer desktop.,お使いのプラットフォームはRoblox プレミアムの購入に対応していません。プレミアムを購入するにはデスクトップをお使いください。,Roblox Premium 구매가 지원되지 않는 플랫폼입니다. Premium을 구매하려면 데스크톱을 사용하세요.,A compra da assinatura Roblox Premium não está disponível na sua plataforma. Use o computador para comprar a assinatura Premium.,A compra da assinatura Roblox Premium não está disponível na sua plataforma. Use o computador para comprar a assinatura Premium.,Покупка Roblox Premium не поддерживается на этой платформе. Используй компьютер для покупки.,แพลตฟอร์มของคุณไม่รองรับการซื้อ Roblox Premium โปรดใช้เดสก์ท็อปของคุณเพื่อซื้อ Premium,你的平台不支持购买 Roblox Premium。请使用电脑购买 Premium 会员。,您的平台不支援購買 Roblox Premium，請使用電腦購買 Premium。,你的平台不支持购买罗布乐思 Premium。请使用电脑购买 Premium 会员。,"Zakup subskrypcji Roblox Premium nie jest możliwy na twojej platformie. Aby kupić subskrypcję premium, użyj wersji na komputer stacjonarny.",Nền tảng của bạn không hỗ trợ mua Gói Roblox Premium. Vui lòng sử dụng máy tính để mua gói Premium.,"Kullandığın platform, Roblox Premium satın alımını desteklemiyor. Premium'u satın almak için lütfen masaüstünü kullan.",شراء Roblox Premium غير مدعوم على هذه المنصة. الرجاء استعمال كمبيوتر شخصي لشراء Premium.
CoreScripts.PremiumModal.Error.AlreadyPremium,,,"Looks like the developer is trying to prompt you to purchase Roblox Premium, but you are already a Premium member!","Entwickler versucht, dich dazu aufzufordern, Roblox Premium zu kaufen, aber du bist bereits ein Premium-Mitglied!","Looks like the developer is trying to prompt you to purchase Roblox Premium, but you are already a Premium member!","Parece que el desarrollador te quiere motivar a que te suscribas a Premium, pero tú ya tienes una suscripción a Premium.","Parece que el desarrollador te quiere motivar a que te suscribas a Premium, pero tú ya tienes una suscripción a Premium.",Il semble que le dévelopeur essaie de vous inviter à acheter Roblox Premium mais vous êtes déjà une membre Premium !,"Sepertinya developer sedang menyarankan kamu untuk membeli Roblox Premium, tetapi kamu sudah menjadi anggota Premium.","Sembra che lo sviluppatore stia cercando di farti acquistare Roblox Premium, ma sei già un membro Premium!",開発者がRobloxプレミアムを購入するように促しているようですが、すでにプレミアムメンバーです！,개발자가 Roblox Premium 구매를 도와드리려 한 것 같네요. 그런데 이미 Premium 회원이세요!,"Parece que o desenvolvedor quer convidar você para comprar uma assinatura Roblox Premium, mas você já é assinante!","Parece que o desenvolvedor quer convidar você para comprar uma assinatura Roblox Premium, mas você já é assinante!","Похоже, разработчик пытается убедить тебя купить подписку Roblox Premium, а она у тебя уже есть!",ดูเหมือนว่านักพัฒนาจะพยายามแจ้งเตือนให้คุณซื้อ Roblox Premium แต่คุณเป็นสมาชิก Roblox Premium อยู่แล้ว!,开发者似乎想给你发送购买 Roblox Premium 的提示，但你已经是 Premium 会员了！,開發人員似乎想給您購買 Roblox Premium 的提示，但您已經是 Premium 會員了！,开发者似乎想给你发送购买罗布乐思 Premium 的提示，但你已经是 Premium 会员了！,"Wygląda na to, że deweloper próbuje zachęcić cię do zakupu subskrypcji Roblox Premium, ale ty już z niej korzystasz.","Có vẻ như nhà phát triển đang cố gắng nhắc bạn mua Roblox Premium, nhưng bạn đã là thành viên Premium!",Görünüşe göre geliştirici senden Roblox Premium satın almanı istiyor ama sen zaten bir Premium üyesin!,يبدو أن المطور يحاول أن يعرض عليك شراء Roblox Premium إلا أنك حاليًا عضو في Premium.
CoreScripts.PremiumModal.Error.Unavailable,,,Premium is unavailable at the moment. Please again try later!,Premium ist derzeit nicht verfügbar. Bitte versuche es später wieder!,Premium is unavailable at the moment. Please again try later!,Premium no está disponible en este momento. Inténtalo más tarde.,Premium no está disponible en este momento. Inténtalo más tarde.,Le niveau Premium n'est pas disponible pour le moment. Réessayez plus tard !,Premium tidak tersedia saat ini. Coba lagi nanti.,Premium non è al momento disponibile. Riprova più tardi!,現在、プレミアムが利用できません。あとでお試しください！,Premium이 일시적으로 이용 불가능합니다. 나중에 다시 시도하세요!,Roblox Premium não está disponível no momento. Tente mais tarde!,Roblox Premium não está disponível no momento. Tente mais tarde!,В настоящий момент подписка Premium недоступна. Повтори попытку позже!,ไม่สามารถใช้งาน Premium ได้ในขณะนี้ โปรดลองอีกครั้งในภายหลัง!,当前无法购买 Premium，请稍后重试。,目前無法購買 Premium，請稍後再試！,当前无法购买 Premium，请稍后重试。,Subskrypcja Premium jest w tej chwili niedostępna. Spróbuj ponownie później!,Gói Premium không có sẵn tại thời điểm này. Vui lòng thử lại sau!,Premium şu anda mevcut değil. Lütfen daha sonra tekrar dene!,Premium غير متوفر حاليًا. الرجاء المحاولة لاحقًا.
CoreScripts.PremiumModal.Body.RobuxMonthlyV2,,,{robux} Robux per month,{robux} Robux im Monat,{robux} Robux per month,{robux} Robux al mes,{robux} Robux al mes,{robux} Robux par mois,{robux} Robux setiap bulan,{robux} Robux al mese,1ヶ月につき{robux} Robux,매월 {robux} Robux 지급,{robux} Robux por mês,{robux} Robux por mês,{robux} Robux в месяц;,{robux} Robux ต่อเดือน,每月 {robux} Robux,每月 {robux} Robux,每月 {robux} 罗宝,Comiesięczna wypłata Robuxów ({robux}),{robux} Robux mỗi tháng,Aylık {robux} Robux,{robux} Robux شهريًا
