Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.LayeredClothingEditor.Preview.Transparency,Transparency,Transparency,Transparencia,Transparence,Trasparenza,透明度,투명도,Transparência, ,透明度,透明度,透明度
Studio.LayeredClothingEditor.Transparency.Title,Transparency,Transparency,Transparencia,Transparence,Trasparenza,透明度,투명도,Transparência, ,透明度,透明度,透明度
Studio.LayeredClothingEditor.Select.Prompt,Click the part you want to become the accessory.,Click the part you want to become the accessory.,Haz clic en la pieza que quieres que se transforme en accesorio.,Cliquer sur la partie dont tu souhaites faire un accessoire.,Clicca sulla parte che vuoi far diventare un accessorio.,アクセサリにしたいパーツをクリック。,장신구가 될 파트를 클릭하세요.,Clique na parte que você quer que se torne um acessório., ,点按你想作为配饰的部件。,点按你想作为配饰的部件。,點選想要成為飾品的零件。
Studio.LayeredClothingEditor.Editor.Preview,Preview,Preview,Vista previa,Aperçu,Anteprima,プレビュー,미리 보기,Prévia, ,预览,预览,預覽
Studio.LayeredClothingEditor.Editor.Edit,Edit,Edit,Editar,Modifier,Modifica,編集,편집,Editar, ,编辑,编辑,編輯
Studio.LayeredClothingEditor.AssetType.Sweater,Sweater,Sweater,Suéter,Pull,Maglione,セーター,스웨터,Moletom, ,毛衣,毛衣,外套
Studio.LayeredClothingEditor.AssetType.LeftShoulder,Left Shoulder,Left Shoulder,Hombro izquierdo,Épaule gauche,Spalla sinistra,左肩,왼쪽 어깨,Ombro esquerdo, ,左肩,左肩,左肩
Studio.LayeredClothingEditor.ToolSettings.FalloffDistance,Falloff Distance,Falloff Distance,Distancia de desvanecimiento,Distance de chute,Distanza falloff,減衰距離,감쇠 거리,Distância de queda, ,衰减距离,衰减距离,淡出距離
Studio.LayeredClothingEditor.Editor.EditAndPreview,Edit And Preview,Edit And Preview,Editar y previsualizar,Modification et aperçu,Modifica e visualizza in anteprima,編集とプレビュー,편집 및 미리 보기,Editar e ver prévia, ,编辑和预览,编辑和预览,編輯並預覽
Studio.LayeredClothingEditor.AssetType.RightShoe,RightShoe,RightShoe,Zapato derecho,Chaussure droite,RightShoe,RightShoe,RightShoe,RightShoe, ,右脚鞋,右脚鞋,右鞋
Studio.LayeredClothingEditor.AssetType.Neck,Neck,Neck,Cuello,Cou,Collo,首,목,Pescoço, ,颈部,颈部,頸部
Studio.LayeredClothingEditor.Editor.Generate,Generate,Generate,Generar,Générer,Genera,作成する,생성,Gerar, ,生成,生成,生成
Studio.LayeredClothingEditor.Flow.Generate,Generate,Generate,Generar,Générer,Genera,作成する,생성,Gerar, ,生成,生成,生成
Studio.LayeredClothingEditor.ToolSettings.Generate,Generate,Generate,Generar,Générer,Genera,作成する,생성,Gerar, ,生成,生成,生成
Studio.LayeredClothingEditor.Editor.CageGenerate,Cage Generate,Cage Generate,Generar jaula,Générer cage,Genera cage,ケージ作成,케이지 생성,Gerar gaiola, ,围笼生成,围笼生成,圍籠生成
Studio.LayeredClothingEditor.AssetType.Hair,Hair,Hair,Pelo,Cheveux,Capelli,髪,헤어,Cabelo, ,发型,发型,髮型
Studio.LayeredClothingEditor.AssetType.Accessory,Accessory,Accessory,Accesorio,Accessoire,Accessorio,アクセサリ,장신구,Acessório, ,配件,配件,飾品
Studio.LayeredClothingEditor.AddEditingItemFromExplorer.ControlsPanelBlockerText,Add and avatar or clothing instance from Explorer or workspace.,Add and avatar or clothing instance from Explorer or workspace.,Añadir un avatar o una instancia de ropa del Explorador o del espacio de trabajo,Ajouter des instances d'avatars ou de vêtements issues de l'explorateur ou de l'espace de travail.,Aggiungi un avatar o un'istanza di abbigliamento da Esploratore o dal workspace.,エクスプローラかワークスペースからアバターか衣装のインスタンスを追加,탐색기 또는 작업 공간에서 아바타 또는 복장 인스턴스를 추가합니다.,Adicionar uma instância de avatar ou roupas do Explorador ou da área de trabalho., ,从项目管理器或工作区添加虚拟形象或服装实例。,从项目管理器或工作区添加虚拟形象或服装实例。,從總管或工作區新增虛擬人偶或服飾個體。
Studio.LayeredClothingEditor.Preview.PanelBlockerAddAnimation,Add a KeyframeSequence Instance from the Explorer,Add a KeyframeSequence Instance from the Explorer,Añadir una instancia KeyframeSequence del Explorador,Ajouter une instance KeyframeSequence depuis l'explorateur,Aggiungi un'istanza di KeyframeSequence dall'Esploratore,エクスプローラから KeyframeSequence インスタンスを追加,탐색기에서 KeyframeSequence 인스턴스 추가,Adicionar uma instância KeyframeSequence do Explorador, ,从项目管理器添加一个 KeyframeSequence 实例,从项目管理器添加一个 KeyframeSequence 实例,從總管新增 KeyframeSequence 個體
Studio.LayeredClothingEditor.Editor.LatticeTool,Lattice Tool,Lattice Tool,Herramienta de enrejado,Outil de treillis,Strumento Reticolo,格子ツール,격자 도구,Ferramenta treliça, ,栅格工具,栅格工具,格紋工具
Studio.LayeredClothingEditor.AssetType.LeftShoe,LeftShoe,LeftShoe,Zapato izquierdo,Chaussure gauche,LeftShoe,LeftShoe,LeftShoe,LeftShoe, ,左脚鞋,左脚鞋,左鞋
Studio.LayeredClothingEditor.Editor.RingTool,Ring Tool,Ring Tool,Herramienta de anillo,Outil d'anneau,Strumento Cerchio,リングツール,링 도구,Ferramenta anel, ,环形工具,环形工具,圓環工具
Studio.LayeredClothingEditor.ToolSettings.LocalAlignment,Local Alignment,Local Alignment,Alineación local,Alignement local,Allineamento locale,ローカル整列,로컬 정렬,Alinhamento local, ,本地对齐,本地对齐,局部對齊
Studio.LayeredClothingEditor.AssetType.Clothing,Clothing,Clothing,Ropa,Vêtement,Vestiti,衣装,복장,Roupas, ,服装,服装,服飾
Studio.LayeredClothingEditor.Preview.Clothing,Clothing,Clothing,Ropa,Vêtements,Vestiti,衣装,복장,Roupas, ,服装,服装,服飾
Studio.LayeredClothingEditor.Editor.MeshPartMode,"Move, rotate, and scale MeshPart to adjust fitting.","Move, rotate, and scale MeshPart to adjust fitting.","Mueve, gira y escala MeshPart para ajustarse.","Déplacer, pivoter et redimensionner MeshPart pour ajuster.","Sposta, ruota e ridimensiona MeshPart per adattarlo.",フィッティング調整のための MeshPart の移動、回転、スケール。,"MeshPart를 이동, 회전, 스케일해 맞춤을 조정합니다.","Move, rotaciona e redimensiona MeshPart para ajustar ao ajuste.", ,移动，旋转与缩放 MeshPart 来调整适应度。,移动，旋转与缩放 MeshPart 来调整适应度。,移動、旋轉及縮放 MeshPart，調整合身度。
Studio.LayeredClothingEditor.Editor.PointTool,Point Tool,Point Tool,Herramienta de punto,Outil de point,Strumento Punto,ポイントツール,지점 도구,Ferramenta de ponto, ,点工具,点工具,指定工具
Studio.LayeredClothingEditor.Editor.Reset,Reset,Reset,Restablecer,Réinitialiser,Reimposta,再設定,재설정,Redefinir, ,重置,重置,重置
Studio.LayeredClothingEditor.Preview.Animations,Animations,Animations,Animaciones,Animations,Animazioni,アニメーション,애니메이션,Animações, ,动画,动画,動畫
Studio.LayeredClothingEditor.Select.Part,Part:,Part:,Pieza:,Partie :,Parte:,パーツ:,파트:,Parte:, ,部件：,部件：,零件：
Studio.LayeredClothingEditor.Select.LoseChanges,You have unpublished changes on the previous item. You will lose those changes if you select this new item. Proceed?,You have unpublished changes on the previous item. You will lose those changes if you select this new item. Proceed?,Tienes cambios sin publicar en el artículo anterior. Perderás esos cambios si seleccionas un nuevo objeto. ¿Quieres proceder?,Il y a des changements non publiés sur l'article précédent. Tu les perdras si tu sélectionnes ce nouvel article. Veux-tu continuer ?,"Le modifiche apportate all'oggetto precedente non sono state pubblicate. Se selezioni questo nuovo oggetto, tali modifiche andranno perse. Procedere?",以前のアイテムに未公開の変更があります。この新しいアイテムを選択すると変更内容が失われます。続行しますか？,이전 항목에 게시되지 않은 변경 사항이 있습니다. 이 새 항목을 선택하면 변경 사항이 손실됩니다. 진행할까요?,Você tem mudanças não publicadas no item anterior. Você perderá estas mudanças se selecionar este novo item. Continuar?, ,你的上一个物品有未发布的更改。如果选择此新物品将失去这些更改。是否继续？,你的上一个物品有未发布的更改。如果选择此新物品将失去这些更改。是否继续？,上一個道具尚有未發布的變更，這些變更會在選擇此道具時遺失。繼續？
Studio.LayeredClothingEditor.Flow.Next,Next,Next,Siguiente,Suivant,Avanti,次へ,다음,Próximo, ,下一个,下一个,下一個
Studio.LayeredClothingEditor.AssetType.Hat,Hat,Hat,Sombrero,Chapeau,Cappello,帽子,모자,Chapéu, ,帽子,帽子,帽子
Studio.LayeredClothingEditor.AssetType.Back,Back,Back,Trasero,Retour,Schiena,背面,후면,Costas, ,后部,后部,背面
Studio.LayeredClothingEditor.Flow.Back,Back,Back,Volver,Retour,Indietro,戻る,뒤로,Voltar, ,返回,返回,上一個
Studio.LayeredClothingEditor.AddEditingItemFromExplorer.ConfirmAddText,Adding {itemName} to asset list?,Adding {itemName} to asset list?,¿Añadir {itemName} a la lista del recurso?,Ajouter {itemName} à la liste des éléments ?,Vuoi aggiungere {itemName} alla lista di risorse?,アセットリストに {itemName} を追加しますか？,애셋 목록에 {itemName}(을)를 추가할까요?,Adicionar {itemName} à lista de ativos?, ,添加 {itemName} 至素材列表？,添加 {itemName} 至素材列表？,正在新增 {itemName} 到素材清單？
Studio.LayeredClothingEditor.Preview.AddNew,Add new...,Add new...,Añadir nuevo...,Ajouter nouveaux...,Aggiungi nuovo...,新規を追加...,신규 추가...,Adicionar novo..., ,新增...,新增...,新增……
Studio.LayeredClothingEditor.Preview.Asset,Asset,Asset,Recurso,Élément,Risorsa,アセット,애셋,Recurso, ,素材,素材,素材
Studio.LayeredClothingEditor.AssetType.LeftCollar,Left Collar,Left Collar,Cuello izquierdo,Col gauche,Colletto sinistro,左襟,왼쪽 칼라,Colarinho esquerdo, ,左衣领,左衣领,左領
Studio.LayeredClothingEditor.Preview.PanelBlockerAddAvatar,Add an avatar item from the Explorer,Add an avatar item from the Explorer,Añadir un artículo de avatar del Explorador,Ajouter un article d'avatar à partir de l'Explorateur,Aggiungi un oggetto dell'avatar dall'Esploratore,エクスプローラからアバターアイテムを追加,탐색기에서 아바타 아이템 추가,Adicionar um item de avatar do Explorador, ,从项目管理器添加一件虚拟形象物品,从项目管理器添加一件虚拟形象物品,從總管新增虛擬人偶道具
Studio.LayeredClothingEditor.AssetType.Pants,Pants,Pants,Pantalones,Pantalon,Pantaloni,ズボン,바지,Calças, ,裤子,裤子,褲子
Studio.LayeredClothingEditor.AssetType.TeeShirt,Tee Shirt,Tee Shirt,Camiseta,Tee-shirt,Maglietta,Tシャツ,티셔츠,Camiseta, ,T恤,T恤,T 恤
Studio.LayeredClothingEditor.Reset.OuterCage,Reset Outer Cage,Reset Outer Cage,Restablecer jaula externa,Réinitialiser la cage externe,Ripristina cage esterna,ケージの外側を再設定,외부 케이지 재설정,Redefinir gaiola externa, ,重置外围笼,重置外围笼,重置外圍籠
Studio.LayeredClothingEditor.Preview.PanelBlockerAddClothing,Add clothing item from the Explorer,Add clothing item from the Explorer,Añadir una prenda del Explorador,Ajouter un vêtement depuis l'explorateur,Aggiungi un capo d'abbigliamento dall'Esploratore,エクスプローラから衣装アイテムを追加,탐색기에서 복장 아이템 추가,Adicionar um item de roupa do Explorador, ,从项目管理器添加服装物品,从项目管理器添加服装物品,從總管新增服飾道具
Studio.LayeredClothingEditor.Preview.AvatarInvalidAdd,Only an avatar item can be added,Only an avatar item can be added,Solo se puede añadir un artículo para el avatar,Il est impossible d'ajouter autre chose qu'un avatar,È possibile aggiungere solo un oggetto dell'avatar,アバターアイテムのみ追加できます,하나의 아바타 아이템만 추가할 수 있습니다,Somente um item de avatar pode ser adicionado, ,只能添加一个虚拟形象物品,只能添加一个虚拟形象物品,只能新增虛擬人偶道具
Studio.LayeredClothingEditor.Preview.ClothingInvalidAdd,Only a clothing item can be added,Only a clothing item can be added,Solo se puede añadir una prenda,Il est impossible d'ajouter autre chose qu'un vêtement,È possibile aggiungere solo un capo d'abbigliamento,衣装アイテムしか追加できません,하나의 복장 아이템만 추가할 수 있습니다,Somente um item de roupa pode ser adicionado, ,只能添加一个服装物品,只能添加一个服装物品,只能新增服飾道具
Studio.LayeredClothingEditor.Preview.AnimationInvalidAdd,Only a KeyframeSequence Instance can be added,Only a KeyframeSequence Instance can be added,Solo se puede añadir una instancia KeyframeSequence,Il est impossible d'ajouter autre chose qu'une instance KeyframeSequence,È possibile aggiungere solo un'istanza KeyframeSequence,KeyframeSequence インスタンスのみ追加できます,하나의 KeyframeSequence 인스턴스만 추가할 수 있습니다,Somente uma instância KeyframeSequence pode ser adicionada, ,只能添加一个 KeyframeSequence 实例,只能添加一个 KeyframeSequence 实例,只能新增 KeyframeSequence 個體
Studio.LayeredClothingEditor.Preview.ConfirmAddTile,Add {itemName} tile?,Add {itemName} tile?,¿Añadir el mosaico {itemName}?,Ajouter une case {itemName} ?,Aggiungere tile {itemName}?,{itemName} タイルを追加しますか？,{itemName} 타일을 추가할까요?,Adicionar ladrilho {itemName}?, ,添加 {itemName} 平铺？,添加 {itemName} 平铺？,新增 {itemName} 磚格？
Studio.LayeredClothingEditor.Actions.Redo,Redo,Redo,Rehacer,Refaire,Ripeti,やり直す,다시 실행,Refazer, ,重做,重做,重做
Studio.LayeredClothingEditor.AssetType.AssetType,Asset Type,Asset Type,Tipo de recurso,Type d'élément,Tipo risorsa,アセットタイプ,애셋 유형,Tipo de ativo, ,素材类型,素材类型,素材類型
Studio.LayeredClothingEditor.EditAndPreview.Prompt,"Move, rotate, and scale accessory within the bounding box to adjust fitting. Once finished, click next to generate the asset.","Move, rotate, and scale accessory within the bounding box to adjust fitting. Once finished, click next to generate the asset.","Mueve, gira y escala el accesorio dentro de la caja delimitadora para ajustarlo. Una vez terminado, haz clic en siguiente para generar el recurso.","Déplacer, pivoter et redimensionner l'accessoire dans la boîte limite pour ajuster. Une fois que vous avez terminé, cliquez sur « Suivant » pour générer l'élément.","Sposta, ruota e ridimensiona l'accessorio all'interno del riquadro di delimitazione per adattarlo. Al termine, clicca su \"Avanti\" per generare la risorsa.",境界ボックス内のフィッティング調整のためアクセサリを移動、回転、スケール。完了したら、次へをクリックしてアセットを作成。,"경계 상자 내에서 장신구를 이동, 회전, 스케일해 맞춤을 조정합니다. 완료되면 다음을 클릭해 애셋을 생성하세요.","Move, rotaciona e redimensiona um acessório dentro da caixa delimitadora para o ajuste. Uma vez terminado, clique em próximo para gerar o ativo.", ,在边界框内移动，旋转与缩放配件以调整适应度。完成后点击下一步来生成素材。,在边界框内移动，旋转与缩放配件以调整适应度。完成后点击下一步来生成素材。,在週框方塊內移動、旋轉及縮放飾品，調整貼合度。完成後按下「下一個」即可生成素材。
Studio.LayeredClothingEditor.AssetType.Face,Face,Face,Cara,Visage,Faccia,顔,얼굴,Rosto, ,脸部,脸部,臉部
Studio.LayeredClothingEditor.AssetType.Shoulder,Shoulder,Shoulder,Hombro,Épaules,Spalle,肩,어깨,Ombro, ,肩部,肩部,肩膀
Studio.LayeredClothingEditor.AssetType.Front,Front,Front,Frontal,Avant,Davanti,正面,전면,Frente, ,前部,前部,正面
Studio.LayeredClothingEditor.AssetType.Skirt,Skirt,Skirt,Camisa,Jupe,Gonna,スカート,스커트,Saia, ,裙子,裙子,短裙
Studio.LayeredClothingEditor.AssetType.Shirt,Shirt,Shirt,Camisa,Chemise,Camicia,シャツ,셔츠,Camisa, ,上衣,上衣,襯衫
Studio.LayeredClothingEditor.AssetType.Waist,Waist,Waist,Cintura,Taille,Vita,腰,허리,Cintura, ,腰部,腰部,腰部
Studio.LayeredClothingEditor.AssetType.RightCollar,Right Collar,Right Collar,Cuello derecho,Col droit,Colletto destro,右襟,오른쪽 칼라,Colarinho direito, ,右衣领,右衣领,右領
Studio.LayeredClothingEditor.Dialog.Cancel,Cancel,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소,Cancelar, ,取消,取消,取消
Studio.LayeredClothingEditor.AssetType.Jacket,Jacket,Jacket,Chaqueta,Veste,Giacca,ジャケット,재킷,Jaqueta, ,外套,外套,夾克
Studio.LayeredClothingEditor.AssetType.RightShoulder,Right Shoulder,Right Shoulder,Hombro derecho,Épaule droite,Spalla destra,右肩,오른쪽 어깨,Ombro direito, ,右肩,右肩,右肩
Studio.LayeredClothingEditor.AssetType.Center,Center,Center,Centro,Centre,Centro,中央,중앙,Centro, ,中央,中央,中央
Studio.LayeredClothingEditor.AssetType.Shorts,Shorts,Shorts,Pantalones cortos,Short,Pantaloncini,短パン,반바지,Shorts, ,短裤,短裤,短褲
Studio.LayeredClothingEditor.AssetType.Dress,Dress,Dress,Vestido,Robe,Vestito,ワンピース,원피스,Vestido, ,连衣裙,连衣裙,裙子
Studio.LayeredClothingEditor.Generate.Prompt,The asset is ready.,The asset is ready.,El recurso está listo.,L'actif est prêt.,La risorsa è disponibile.,アセットの準備ができました。,애셋이 준비되었습니다.,O ativo está pronto., ,素材已就绪。,素材已就绪。,素材已準備完成。
Studio.LayeredClothingEditor.Dialog.Confirm,Confirm,Confirm,Confirmar,Confirmer,Conferma,確定,확인,Confirmar, ,确认,确认,確認
Studio.LayeredClothingEditor.Actions.Undo,Undo,Undo,Deshacer,Annuler,Annulla,取り消す,실행 취소,Desfazer, ,撤消,撤消,復原
Studio.LayeredClothingEditor.Actions.ToggleTransform,Toggle Transform,Toggle Transform,Alternar transformar,Transformation,Attiva/disattiva trasformazione,変形を切り替え,변형 토글,Alternar transformar, ,切换变形,切换变形,新增轉換
Studio.LayeredClothingEditor.Actions.SelectLattice,Select Lattice,Select Lattice,Seleccionar enrejado,Sélectionner treillage,Seleziona reticolo,格子を選択,격자 선택,Selecionar treliça, ,选择栅格,选择栅格,選擇格紋
Studio.LayeredClothingEditor.ToolSettings.Target,Target,Target,Objetivo,Cible,Target,ターゲット,대상,Alvo, ,目标,目标,對象
Studio.LayeredClothingEditor.ToolSettings.Subdivisions,Subdivisions,Subdivisions,Subdivisiones,Subdivisions,Suddivisioni,部分,세분화,Subdivisões, ,分部,分部,細分
Studio.LayeredClothingEditor.LatticeTool.GenerateMessageBoxText,The previous lattice on this deformer will be replaced. Any transformations on the lattice will be overwritten. Proceed?,The previous lattice on this deformer will be replaced. Any transformations on the lattice will be overwritten. Proceed?,El enrejado anterior en este deformador será reemplazado. Cualquier transformación en el enrejado se sobrescribirá. ¿Proceder?,Le treillage précédent de ce déformateur va être remplacé. Les transformations du treillage seront supprimées. Voulez-vous continuer ?,Il reticolo precedente su questo deformatore verrà sostituito. Tutte le trasformazioni effettuate sul reticolo verranno sovrascritte. Procedere?,この変形器の前の格子は置き換えられます。格子上のすべての変形がオーバーライトされます。続行しますか？,이 디포머의 이전 격자가 교체됩니다. 격자의 모든 변형을 덮어씁니다. 진행할까요?,A treliça anterior neste deformador será substituída. Quaisquer transformações na treliça serão substituídas. Continuar?, ,此变形器的先前栅格将被替换。此栅格的任何变形都将被覆盖。继续吗？,此变形器的先前栅格将被替换。此栅格的任何变形都将被覆盖。继续吗？,此變形器的前一個紋格將被取代。紋格上所有變形將被覆寫。繼續？
Studio.LayeredClothingEditor.SelectItem.Delete,Delete,Delete,Eliminar,Supprimer,Elimina,削除,삭제,Excluir, ,删除,删除,刪除
Studio.LayeredClothingEditor.EditingMode.Text,Editing,Editing,Editar,Modification,Modifica,編集,편집 중,Editando, ,正在编辑,正在编辑,編輯
Studio.LayeredClothingEditor.EditingMode.OuterCage,Outer Cage,Outer Cage,Jaula externa,Cage externe,Cage esterna,外側のケージ,외부 케이지,Gaiola externa, ,外围笼,外围笼,外圍籠
Studio.LayeredClothingEditor.EditingMode.InnerCage,Inner Cage,Inner Cage,Jaula interna,Cage interne,Cage interna,内側のケージ,내부 케이지,Gaiola interna, ,内围笼,内围笼,內圍籠
Studio.LayeredClothingEditor.EditingMode.MeshPart,Mesh Part,Mesh Part,Parte de malla,Partie de maillage,Parte mesh,メッシュパーツ,메시 파트,Parte da malha, ,网格部件,网格部件,網格零件
Studio.LayeredClothingEditor.AddEditingItemFromExplorer.Tooltip,Add assets from Explorer,Add assets from Explorer,Añadir recursos del Explorador,Ajouter des ressources de l'explorateur,Aggiungi risorse da Esploratore,エクスプローラからアセットを追加,탐색기에서 애셋 추가,Adicionar ativos do Explorador, ,从项目管理器添加素材,从项目管理器添加素材,從總管新增素材
Studio.LayeredClothingEditor.AddEditingItemFromExplorer.AddWithNoCageText,Imported {itemName} does not contain an {cageName}. Please use Cage Generation in Edit to generate one.,Imported {itemName} does not contain an {cageName}. Please use Cage Generation in Edit to generate one.,{itemName} importado no contiene {cageName}. Usa Generación de jaula en Editar para generar uno.,L'objet « {itemName} » importé ne contient pas de « {cageName} ». Utilisez la génération de cage dans le menu Modifier pour en créer une.,L'oggetto {itemName} importato non contiene {cageName}. Usa Generazione cage in Modifica per generarlo.,インポート済みの {itemName} には {cageName} が含まれていません。作成するには編集でケージ作成を使ってください。,가져온 {itemName}에 {cageName}(이)가 포함되어 있지 않습니다. '편집'에서 '케이지 생성'을 사용해 생성하세요.,O {itemName} importado(a) não contém um {cageName}. Use a Geração de gaiola em Editar para gerar uma., ,导入的 {itemName} 不包含 {cageName}。请使用编辑菜单内的围笼生成选项进行生成。,导入的 {itemName} 不包含 {cageName}。请使用编辑菜单内的围笼生成选项进行生成。,匯入的 {itemName} 不包含 {cageName}，請使用編輯內的圍籠生成選項進行生成。
Studio.LayeredClothingEditor.AddEditingItemFromExplorer.InvalidAddText,Only avatar or clothing item can be added,Only avatar or clothing item can be added,Solo se puede añadir un avatar o una prenda,Il est impossible d'ajouter autre chose qu'un avatar ou un vêtement,È possibile aggiungere solo un avatar o un capo d'abbigliamento,アバターか衣装アイテムしか追加できません,아바타 또는 복장 아이템만 추가할 수 있습니다,Somente itens de avatar ou roupas podem ser adicionados, ,只能添加虚拟形象或服装物品,只能添加虚拟形象或服装物品,只能新增虛擬人偶或服飾道具
Studio.LayeredClothingEditor.Transparency.Mesh,Mesh,Mesh,Malla,Maillage,Mesh,メッシュ,메시,Malha, ,网格,网格,網格
Studio.LayeredClothingEditor.Transparency.OuterCage,OuterCage,OuterCage,Jaula externa,ExterCages,OuterCage,OuterCage,OuterCage,OuterCage, ,外围笼,外围笼,外圍籠
Studio.LayeredClothingEditor.Transparency.InnerCage,InnerCage,InnerCage,Jaula interna,InterCage,InnerCage,InnerCage,InnerCage,InnerCage, ,内围笼,内围笼,內圍籠
Studio.LayeredClothingEditor.EditorErrors.OpenedWhileRunning,Layered Clothing Editor cannot be used while game is running!,Layered Clothing Editor cannot be used while game is running!,El Editor de ropa en capas no se puede usar mientras se esté ejecutando el juego.,L'éditeur de vêtements superposés ne peut pas être utilisé lorsque le jeu est en train de fonctionner !,L'editor di abbigliamento a strati non può essere usato mentre il gioco è in esecuzione!,ゲームの実行中は重ね着用の衣装エディタを使用できません！,게임 실행 중에는 레이어드 복장 편집기를 사용할 수 없습니다!,O Editor de roupa em camadas não pode ser usado quando um jogo estiver rodando!, ,游戏运行时无法使用层叠服装编辑器！,游戏运行时无法使用层叠服装编辑器！,遊戲運行時無法層疊服飾編輯器！
Studio.LayeredClothingEditor.Reset.InnerCage,Reset Inner Cage,Reset Inner Cage,Restablecer jaula interna,Réinitialiser la cage interne,Ripristina cage interna,ケージの内側を再設定,내부 케이지 재설정,Redefinir gaiola interna, ,重置内围笼,重置内围笼,重置內圍籠
Studio.LayeredClothingEditor.Editor.ResumeEditing,Click here to resume editing cages.,Click here to resume editing cages.,Haz clic aquí para reanudar la edición de las jaulas.,Cliquer ici pour continuer l'édition des cages.,Clicca qui per riprendere la modifica.,ケージ編集を再開するにはこちらをクリック。,케이지 편집을 재개하려면 여기를 클릭하세요.,Clique aqui para voltar a editar gaiolas., ,点击此处恢复编辑围笼。,点击此处恢复编辑围笼。,點擊此處繼續編輯圍籠。
Studio.LayeredClothingEditor.Select.PromptGeneric,Click the part or model that you would like to edit.,Click the part or model that you would like to edit.,Haz clic en la pieza o modelo que quieras editar.,Cliquer sur la pièce ou le modèle que vous souhaitez modifier.,Clicca sulla parte o sul modello che vuoi modificare.,編集したいパーツかモデルをクリック。,편집하려는 파트 또는 모델을 클릭하세요.,Clique na parte ou modelo que você gostaria de editar., ,点击你要编辑的部件或模型。,点击你要编辑的部件或模型。,點擊想要編輯的零件或模型。
Studio.LayeredClothingEditor.Select.Selection,Selection:,Selection:,Selección:,Sélection :,Selezione:,選択肢:,선택 항목:,Seleção:, ,选择：,选择：,選取項目：
