Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.LocalizationTools.UploadTable.GetGameSourceLanguageFailed,Localization Tools failed to request game source langauge.,Localization Tools failed to request game source langauge.,Las herramientas de localización no pudieron solicitar el idioma de origen del juego.,Localization Tools n'a pas réussi à requérir la langue source du jeu.,Impossibile richiedere la lingua di origine del gioco con gli strumenti di localizzazione.,多言語化ツールがゲームのソース言語をリクエストできませんでした。,로컬라이제이션 도구가 게임의 소스 언어를 요청하지 못했습니다.,As ferramentas de localização falharam em requisitar o idioma fonte do jogo., ,本地化工具请求源语言失败。,本地化工具请求源语言失败。,在地化工具請求原始語言失敗。
Studio.LocalizationTools.Plugin.ToolTipMessage,Hide/show the Localization Tools View,Hide/show the Localization Tools View,Oculta o muestra la visualización de las herramientas de localización,Cacher/afficher vue des outils de localisation,Mostra/nascondi visuale degli strumenti di localizzazione,多言語化ツールの非表示/表示,로컬라이제이션 도구 보기 숨기기/표시,Exibir ou ocultar a visualização das ferramentas de localização,Показать/скрыть обзор инструментов локализации,隐藏/显示本地化工具视图,隐藏/显示本地化工具视图,隱藏 / 顯示在地化工具檢視模式
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureStartText,Start untranslated text capture,Start untranslated text capture,Empezar la captura del texto no traducido,Commencer la saisie du texte non traduit,Inizia cattura del testo non tradotto,未翻訳のテキスト抽出を開始,번역되지 않은 텍스트 캡처 시작,Iniciar captura de texto não traduzido,Начать захват непереведённого текста,开始抓取未翻译的文本,开始抓取未翻译的文本,開始擷取未翻譯文字
Studio.LocalizationTools.EmbeddedTableSection.ExportButton,Export,Export,Exportar,Exporter,Esporta,書き出す,내보내기,Exportar,Экспорт,导出,导出,匯出
Studio.LocalizationTools.EmbeddedTableSection.ImportButton,Import,Import,Importar,Importer,Importa,インポート,가져오기,Importar,Импорт,导入,导入,匯入
Studio.LocalizationTools.UploadDialogContent.ConfirmButton,Confirm,Confirm,Confirmar,Confirmer,Conferma,確定,확인,Confirmar,Подтвердить,确认,确认,確認
Studio.LocalizationTools.CloudTableSection.ReplaceTableLabel,Replace entire cloud table with CSV,Replace entire cloud table with CSV,Reemplazar toda la tabla en la nube con CSV,Remplacer entièrement le tableau cloud avec CSV,Sostituisci tutta la tabella nel cloud con CSV,クラウドテーブル全体をCSVで置き換える,전체 클라우드 테이블을 CSV로 바꾸기,Substituir toda a tabela na nuvem com CSV,Заменить всю облачную таблицу CSV-файлом,将整个云表格替换为 CSV,将整个云表格替换为 CSV,將整個雲端表格取代成 CSV 檔案
Studio.LocalizationTools.EmbeddedTableSection.ExportTextLabel,Export LocalizationTables under LocalizationService to CSV files,Export LocalizationTables under LocalizationService to CSV files,Exportar LocalizationTables bajo LocalizationService a archivos CSV,Exporter LocalizationTables sous LocalizationService en format fichiers CSV,Esporta Tabelle di localizzazione sotto Servizio di localizzazione nei file CSV,LocalizationService 下の LocalizationTables をCSVファイルをエクスポート,LocalizationService 아래의 LocalizationTables를 CSV 파일로 내보내기,Exportar LocalizationTables sob LocalizationService para arquivos CSV,Экспортировать LocalizationTables через LocalizationService в CSV-файлы,在 LocalizationService 下导出 LocalizationTables 至 CSV 文件,在 LocalizationService 下导出 LocalizationTables 至 CSV 文件,將 LocalizationService 底下的 LocalizationTable 匯出為 CSV 檔案
Studio.LocalizationTools.UploadDialogContent.AddEntriesPreText,Add entries:,Add entries:,Añadir entradas:,Ajouter des entrées :,Aggiungi voci:,入力内容を追加:,항목 추가:,Adicionar entradas:,Добавить записи:,添加条目：,添加条目：,新增條目：
Studio.LocalizationTools.EmbeddedTableSection.ImportTextLabel,Import CSV files to LocalizationTables under LocalizationService,Import CSV files to LocalizationTables under LocalizationService,Importar archivos CSV a LocalizationTables bajo LocalizationService,Importer les fichiers CSV dans LocalizationTables sous LocalizationService,Importa file CSV in Tabelle di localizzazione sotto Servizio di localizzazione,LocalizationService 下の LocalizationTables にCSVファイルをインポート,CSV 파일을 LocalizationService 아래의 LocalizationTables로 가져오기,Importar arquivos CSV para LocalizationTables sob LocalizationService,Импортировать CSV-файлы в LocalizationTables через LocalizationService,在 LocalizationService 下导入 CSV 文件至 LocalizationTables,在 LocalizationService 下导入 CSV 文件至 LocalizationTables,將 CSV 檔案匯入為 LocalizationService 底下的 LocalizationTable
Studio.LocalizationTools.CloudTableSection.CloudTablePageLinkText,Click here to configure your cloud localization table,Click here to configure your cloud localization table,Haz clic aquí para configurar la tabla de localización en la nube,Cliquer ici pour configurer votre tableau localisation cloud,Clicca qui per configurare la tua tabella di localizzazione nel cloud,ここをクリックして、クラウド多言語化テーブルを環境設定,클라우드 로컬라이제이션 테이블을 구성하려면 여기를 클릭하세요.,Clique aqui para configurar sua tabela de localização na nuvem,"Нажми здесь, чтобы настроить облачную таблицу локализации",点击这里来配置你的云本地化表格,点击这里来配置你的云本地化表格,按下此處設定雲端在地化表格
Studio.LocalizationTools.UploadDialogContent.PatchTotalTranslationsLabel,Total translations:,Total translations:,Traducciones totales:,Total des traductions :,Traduzioni totali:,翻訳の合計:,전체 번역:,Total de traduções:,Всего переводов:,总翻译数：,总翻译数：,總翻譯數：
Studio.LocalizationTools.UploadDialogContent.ChangeTranslationsPretext,Change translations:,Change translations:,Cambiar traducciones:,Changer des traductions :,Modifica traduzioni:,翻訳を変更:,번역 변경:,Mudar traduções:,Изменить переводы:,更改翻译：,更改翻译：,變更翻譯：
Studio.LocalizationTools.UploadDialogContent.UploadPatchMessage,Upload patch?,Upload patch?,¿Cargar revisión?,Télécharger patch ?,Caricare patch?,パッチをアップロードしますか？,패치를 업로드할까요?,Carregar revisão?,Загрузить патч?,上传补丁？,上传补丁？,上傳更新檔？
Studio.LocalizationTools.CloudTableSection.DownloadButton,Download,Download,Descargar,Télécharger,Scarica,ダウンロード,다운로드,Baixar,Загрузить,下载,下载,下載
Studio.LocalizationTools.CloudTableSection.DownloadTableLabel,Download table as CSV,Download table as CSV,Descargar la tabla como CSV,Télécharger le tableau en format CSV,Scarica tabella come CSV,CSVとしてテーブルをダウンロード,테이블을 CSV로 다운로드,Baixar tabela como CSV,Загрузить таблицу как CSV,下载表格并保存至 CSV 格式,下载表格并保存至 CSV 格式,將表格下載為 CSV 檔案
Studio.LocalizationTools.CloudTableSection.UpdateButton,Update,Update,Actualizar,Mettre à jour,Aggiorna,アップデート,업데이트,Atualizar,Обновить,更新,更新,更新
Studio.LocalizationTools.CloudTableSection.UpdateTableLabel,Update with new content from CSV,Update with new content from CSV,Actualizar con nuevo contenido de CSV,Mettre à jour avec le nouveau contenu de CSV,Aggiorna con nuovo contenuto da CSV,CSVからの新しいコンテンツを入れてアップデート,CSV에서 새 콘텐츠로 업데이트,Atualizar com novo conteúdo de CSV,Обновить с использованием нового контента из CSV,更新 CSV 中的新内容,更新 CSV 中的新内容,使用 CSV 檔案的新內容更新
Studio.LocalizationTools.UploadTable.PatchCloudTableFailed,Localization Tools failed to upload cloud table.,Localization Tools failed to upload cloud table.,Las herramientas de localización no pudieron cargar la tabla en la nube.,Les outils de localisation n'ont pas réussi à télécharger les langues prises en charge.,Impossibile caricare la tabella del cloud con gli strumenti di localizzazione.,多言語化ツールがクラウドテーブルのアップロードをできませんでした。,로컬라이제이션 도구가 클라우드 테이블을 업로드하지 못했습니다.,As ferramentas de localização falharam em fazer o upload da tabela na nuvem., ,本地化工具上传云表格失败。,本地化工具上传云表格失败。,在地化工具上船雲端表格失敗。
Studio.LocalizationTools.UploadDialogContent.CancelButton,Cancel,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소,Cancelar,Отмена,取消,取消,取消
Studio.LocalizationTools.CloudTableSection.AdvancedButton,Advanced,Advanced,Avanzado,Plus avancé,Avanzato,詳細設定,고급,Avançado,Расширенные настройки,高级,高级,進階
Studio.LocalizationTools.CloudTableSection.PublishPlaceMessage,Publish this place to upload a table,Publish this place to upload a table,Publicar este lugar para cargar una tabla,Publier cet emplacement pour télécharger un tableau,Pubblica questa località per caricare una tabella,テーブルをアップロードするには、このプレースを公開,이 플레이스를 게시하여 테이블 업로드,Publique este local para carregar uma tabela,"Опубликовать локацию, чтобы загрузить таблицу",发布此场景来上传表格,发布此场景来上传表格,發布地點後即可上傳表格
Studio.LocalizationTools.CloudTableSection.SectionLabel,Cloud Localization Table,Cloud Localization Table,Tabla de localización en la nube,Tableau de localisation cloud,Tabella di localizzazione nel cloud,クラウド多言語化テーブル,클라우드 로컬라이제이션 테이블,Tabela de localização na nuvem,Облачная локализационная таблица,云本地化表格,云本地化表格,雲端在地化表格
Studio.LocalizationTools.UploadDialogContent.PatchEmptyMessage,Patch empty. Upload anyway?,Patch empty. Upload anyway?,Revisión vacía. ¿Quieres seguir cargando?,Patch vide. Télécharger quand même?,Patch vuota. Caricare comunque?,パッチが空です。それでもアップロードしますか？,패치가 비어 있습니다. 업로드할까요?,Revisão vazia. Carregar assim mesmo?,Патч пуст. Всё равно загрузить?,空补丁，仍要上传？,空补丁，仍要上传？,此更新檔空白，繼續上傳？
Studio.LocalizationTools.UploadDialogContent.PatchContainsLabel,This patch contains: ,This patch contains: ,Esta revisión contiene: ,Ce patch contient : ,Questa patch contiene: ,このパッチが含むもの: ,이 패치는 다음을 포함합니다. ,Esta revisão contém: ,Этот патч содержит: ,此补丁包括：,此补丁包括：,此更新檔包含：
Studio.LocalizationTools.UploadDialogContent.AddTranslationsPretext,Add translations:,Add translations:,Añadir traducciones:,Ajouter des traductions :,Aggiungi traduzioni:,翻訳を追加:,번역 추가:,Adicionar traduções:,Добавить переводы:,添加翻译：,添加翻译：,新增翻譯：
Studio.LocalizationTools.UploadDialogContent.DeleteEntriesPretext,Delete entries:,Delete entries:,Eliminar entradas:,Supprimer des entrées :,Elimina voci:,入力内容を削除:,항목 삭제:,Apagar entradas:,Удалить записи:,删除条目：,删除条目：,刪除條目：
Studio.LocalizationTools.UploadDialogContent.DeleteTranslationsPretext,Delete translations:,Delete translations:,Eliminar traducciones:,Supprimer des traductions :,Elimina traduzioni:,翻訳を削除:,번역 삭제:,Apagar traduções:,Удалить переводы:,删除翻译：,删除翻译：,刪除翻譯：
Studio.LocalizationTools.UploadDialogContent.AddLanguagesPretext,Add languages:,Add languages:,Añadir idiomas:,Ajouter des langues :,Aggiungi lingue:,言語を追加:,언어 추가:,Adicionar idiomas:,Добавить языки:,添加语言：,添加语言：,新增語言：
Studio.LocalizationTools.DownloadTable.SetEntriesFailed,Internal error.,Internal error.,Error interno.,Erreur interne.,Errore interno.,内部エラーです。,내부 오류입니다.,Erro interno., ,内部错误。,内部错误。,內部錯誤。
Studio.LocalizationTools.UploadDialogContent.PatchTotalRowsLabel,Total rows:,Total rows:,Filas totales:,Total de lignes :,Righe totali:,行数の合計:,전체 행:,Total de linhas:,Всего строк:,总条数：,总条数：,總列數：
Studio.LocalizationTools.PluginMetadata.GetPermissionFailedMessage,Localization Tools failed to get permission info.,Localization Tools failed to get permission info.,Las herramientas de localización no pudieron obtener la información de permiso.,Les outils de localisation n'ont pas réussi à obtenir les informations de permission.,Impossibile ricevere le informazioni di autorizzazione con gli strumenti di localizzazione.,多言語化ツールが権限情報を取得できませんでした。,로컬라이제이션 도구가 권한 정보를 가져오지 못했습니다.,As ferramentas de localização falharam em obter informações de permissão., ,本地化工具获取权限信息失败。,本地化工具获取权限信息失败。,在地化工具取得權限資訊失敗。
Studio.LocalizationTools.UploadDialogContent.PatchLanguagesLabel,Languages:,Languages:,Idiomas:,Langues :,Lingue:,言語:,언어:,Idiomas:,Языки:,语言：,语言：,語言：
Studio.LocalizationTools.UploadDialogContent.PatchWillLabel,This patch will:,This patch will:,Esta revisión hará lo siguiente:,Ce patch est :,Questa patch:,このパッチは:,이 패치는 다음 항목을 확인합니다.,Esta revisão vai:,Цель этого патча:,此补丁将：,此补丁将：,此更新檔將會：
Studio.LocalizationTools.MessageFrame.OpenCSVFileMessage,Open CSV file...,Open CSV file...,Abrir archivo CSV...,Ouvrir fichier CSV...,Apri file CSV...,CSVファイルを開く...,CSV 파일 열기...,Abrir arquivo CSV...,Открыть CSV-файл...,打开 CSV 文件...,打开 CSV 文件...,開啟 CSV 檔案……
Studio.LocalizationTools.MessageFrame.DownloadFailedMessage,Download cloud table failed,Download cloud table failed,Error al descargar la tabla en la nube,Échec du téléchargement du tableau cloud,Impossibile scaricare la tabella nel cloud,クラウドテーブルのダウンロードができませんでした,클라우드 테이블 다운로드 실패,Falha ao baixar a tabela da nuvem,Не удалось загрузить таблицу облака,下载云表格失败,下载云表格失败,無法下載雲端表格
Studio.LocalizationTools.MessageFrame.SelectCSVFileMessage,Select CSV file...,Select CSV file...,Seleccionar archivo CSV...,Sélectionner le fichier CSV...,Seleziona file CSV...,CSVファイルを選択...,CSV 파일 선택...,Selecionar arquivo CSV...,Выбрать CSV-файл...,选择 CSV 文件...,选择 CSV 文件...,選擇 CSV 檔案……
Studio.LocalizationTools.MessageFrame.UploadFailedMessage,Upload cloud table failed,Upload cloud table failed,Error al cargar la tabla en la nube,Le téléchargement du tableau en cloud a échoué,Impossibile caricare la tabella nel cloud,クラウドテーブルのアップロードができませんでした,클라우드 테이블 업로드 실패,Falha ao fazer upload da tabela na nuvem,Не удалось загрузить таблицу облака,上传云表格失败,上传云表格失败,無法下載雲端表格
Studio.LocalizationTools.MessageFrame.UploadCompletedMessage,Upload cloud table complete,Upload cloud table complete,Carga de la tabla en la nube completada,Télécharger le tableau cloud complet,Caricamento della tabella nel cloud completato,クラウドテーブルのアップロード完了,클라우드 테이블 업로드 완료,Upload da tabela na nuvem completo,Загрузка таблицы облака завершена,上传云表格完成,上传云表格完成,雲端表格上傳完成
Studio.LocalizationTools.UploadTable.PatchSupportedLangugesFailed,Localization Tools failed to add supported langauges.,Localization Tools failed to add supported langauges.,Las herramientas de localización no pudieron añadir los idiomas compatibles.,Les outils de localisation n'ont pas réussi à ajouter les langues prises en charge.,Impossibile aggiungere le lingue supportate con gli strumenti di localizzazione.,多言語化ツールが対応言語を追加できませんでした。,로컬라이제이션 도구가 지원 언어를 추가하지 못했습니다.,As ferramentas de localização falharam em adicionar os idiomas suportados., ,本地化工具添加支持语言失败。,本地化工具添加支持语言失败。,在地化工具新增支援語言失敗。
Studio.LocalizationTools.MessageFrame.ComputingPatchMessage,Computing patch...,Computing patch...,Calculando revisión...,Patch informatique...,Calcolo della patch...,パッチを計算中...,패치를 컴퓨팅하는 중...,Calculando revisão...,Вычисление патча...,正在计算补丁...,正在计算补丁...,正在運算更新檔……
Studio.LocalizationTools.MessageFrame.UploadCanceledMessage,Upload canceled,Upload canceled,Carga cancelada,Téléchargement annulé,Caricamento annullato,アップロードがキャンセルされました,업로드 취소됨,Upload cancelado,Загрузка отменена,上传已取消,上传已取消,上傳已取消
Studio.LocalizationTools.MessageFrame.ConfirmUploadMessage,Confirm upload...,Confirm upload...,Confirmar carga...,Confirmer téléchargement...,Conferma caricamento...,アップロードを確定...,업로드 확인...,Confirmar upload...,Подтверждение загрузки...,确定上传...,确定上传...,確認上傳……
Studio.LocalizationTools.DownloadTable.GetCloudTableFailed,Localization Tools failed to request cloud table.,Localization Tools failed to request cloud table.,Las herramientas de localización no pudieron cargar la tabla en la nube.,Les outils de localisation n'ont pas pu récupérer le tableau cloud.,Impossibile richiedere la tabella del cloud con gli strumenti di localizzazione.,多言語化ツールがクラウドテーブルのリクエストをできませんでした。,로컬라이제이션 도구가 클라우드 테이블을 요청하지 못했습니다.,As ferramentas de localização falharam em requisitar a tabela na nuvem., ,本地化工具请求云表格失败。,本地化工具请求云表格失败。,在地化工具請求雲端表格失敗。
Studio.LocalizationTools.MessageFrame.TableWrittenToFileMessage,Table written to file,Table written to file,Tabla escrita en el archivo,Tableau écrit vers fichier,Tabella scritta sul file,ファイルに書かれたテーブル,파일에 기록된 테이블,Tabela escrita para arquivo,Таблица записана в файл,表格已写入文件,表格已写入文件,表格已寫入檔案
Studio.LocalizationTools.UploadTable.GetSupportedLanguagesFailedMessage,Localization Tools failed to request supported langauges.,Localization Tools failed to request supported langauges.,Las herramientas de localización no pudieron solicitar los idiomas compatibles.,Les outils de localisation n'ont pas réussi à récupérer les langues prises en charge.,Impossibile richiedere le lingue supportate con gli strumenti di localizzazione.,多言語化ツールが対応言語のリクエストができませんでした。,로컬라이제이션 도구가 지원 언어를 요청하지 못했습니다.,As ferramentas de localização falharam em requisitar os idiomas suportados., ,本地化工具请求支持语言失败。,本地化工具请求支持语言失败。,在地化工具請求支援語言失敗。
Studio.LocalizationTools.MessageFrame.DownloadingTableMessage,Downloading table...,Downloading table...,Descargando tabla...,Téléchargement tableau...,Download della tabella...,テーブルをダウンロード中...,테이블을 다운로드하는 중...,Baixando tabela..., ,正在下载表格...,正在下载表格...,正在下載表格……
Studio.LocalizationTools.PluginMetadata.GetOrCreateCloudTableFailedMessage,Localization Tools failed to get cloud table info.,Localization Tools failed to get cloud table info.,Las herramientas de localización no pudieron obtener la tabla en la nube.,Les outils de localisation n'ont pas réussi à obtenir les infos du tableau.,Impossibile ricevere le informazioni sulla tabella del cloud con gli strumenti di localizzazione.,多言語化ツールがクラウドテーブル情報を取得できませんでした。,로컬라이제이션 도구가 클라우드 테이블 정보를 가져오지 못했습니다.,As ferramentas de localização falharam em obter informações da tabela na nuvem., ,本地化工具请求云表格信息失败。,本地化工具请求云表格信息失败。,在地化工具取得雲端表格資訊失敗。
Studio.LocalizationTools.PluginMetadata.GetAllLocalesFailed,Localization Tools failed to get all languages info.,Localization Tools failed to get all languages info.,Las herramientas de localización no pudieron obtener la información de todos los idiomas.,Les outils de localisation n'ont pas réussi à obtenir toutes les infos des langues.,Impossibile ricevere le informazioni di tutte le lingue con gli strumenti di localizzazione.,多言語化ツールが言語情報を取得できませんでした。,로컬라이제이션 도구가 모든 언어 정보를 가져오지 못했습니다.,As ferramentas de localização falharam em obter informações de idiomas., ,本地化工具获取全部语言信息失败。,本地化工具获取全部语言信息失败。,在地化工具取得所有語言資訊失敗。
Studio.LocalizationTools.UploadDialogContent.UploadCompleteWithInvalidEntries,Upload complete with invalid entries: ,Upload complete with invalid entries: ,Carga completa con entradas no válidas: ,Téléchargement complet avec les entrées non valides : ,Caricamento completato con voci non valide: ,無効な入力内容があるままでアップロードを完了: ,업로드가 완료되었으며 다음의 일부 항목이 유효하지 않습니다: ,Carregamento concluído com entradas inválidas: , ,上传已完成，部分条目无效： ,上传已完成，部分条目无效： ,上傳完成，以下條目無效：
Studio.LocalizationTools.UploadDialogContent.InvalidIdentifier,Entries with invalid identifier:,Entries with invalid identifier:,Entradas con identificador no válido:,Entrées avec un identifiant non valide :,Voci con identificatore non valido:,無効な識別子のある入力:,유효하지 않은 식별자가 있는 항목:,Entradas com identificador inválido:, ,带有无效标识符的条目：,带有无效标识符的条目：,識別字符串無效的條目：
Studio.LocalizationTools.UploadDialogContent.InvalidTranslation,Invalid translations:,Invalid translations:,Traducciones no válidas:,Traductions non valides :,Traduzioni non valide:,無効な翻訳:,유효하지 않은 번역:,Traduções inválidas:, ,无效翻译：,无效翻译：,無效翻譯：
Studio.LocalizationTools.UploadDialogContent.ParentLangaugeTranslationMissing,"{locale} translation requires {language} translation for entry with key: {key},  source: {source},  context: {context}","{locale} translation requires {language} translation for entry with key: {key},  source: {source},  context: {context}","La traducción para {locale} requiere traducciones al {language} para las entradas con clave: {key}, fuente: {source} y contexto: {context}", ,"La traduzione {locale} richiede traduzione in {language} per le voci con la chiave: {key}, sorgente: {source}, contesto: {context}",{locale} 翻訳には、 {language} 翻訳入力のために以下が必要です。キー: {key}、ソース: {source}、文脈: {context},"{locale} 번역에는 키: {key}, 소스: {source}, 컨텍스트: {context} 항목의  {language} 번역이 필요합니다.","{locale} tradução requer {language} tradução para entrada com chave: {key}, fonte: {source}, contexto: {context}", ,{locale}需要将条目翻译为{language}，元素为键值：{key}、源语言：{source}、语境：{context},{locale}需要将条目翻译为{language}，元素为键值：{key}、源语言：{source}、语境：{context},{locale}翻譯需要條目的{language}翻譯，元素為鍵值：{key}、來源：{source}、語境：{context}
Studio.LocalizationTools.DownloadTable.SetEntriesFailedWithErrorMessage,Cloud table contains invalid entries.,Cloud table contains invalid entries.,La tabla en la nube contiene entradas no válidas.,Le tableau des nuages contient des entrées non valides.,La tabella del cloud contiene voci non valide.,クラウドテーブルに無効な入力内容が含まれています。,클라우드 테이블에 유효하지 않은 항목이 있습니다.,A tabela na nuvem contém entradas inválidas., ,云表格包含无效条目。,云表格包含无效条目。,雲端表格包含無效條目。
Studio.LocalizationTools.ImageLocalizationSection.SectionLabel,Image Localization,Image Localization,Localización de la imagen,Localisation de l'image,Localizzazione immagine,画像の多言語化,이미지 로컬라이제이션,Localização da imagem, ,图像本地化,图像本地化,圖像在地化
Studio.LocalizationTools.ImageLocalizationSection.UploadButton,Upload Image IDs,Upload Image IDs,Cargar los ID de la imagen,Télécharger les ID de l'image,Carica ID immagini,イメージIDをアップロード,이미지 ID 업로드,Fazer upload das IDs da imagem, ,上传图像 ID,上传图像 ID,上傳圖像 ID
Studio.LocalizationTools.ImageLocalizationSection.UploadButtonLabel,Upload Image Asset IDs,Upload Image Asset IDs,Cargar los ID del recurso de la imagen,Télécharger les ID des images,Carica ID risorse immagini,画像アセットIDをアップロード,이미지 애셋 ID 업로드,Fazer upload das IDs do ativo da imagem, ,上传图像资源 ID,上传图像资源 ID,上傳圖像素材 ID
Studio.LocalizationTools.UploadTable.EmptySourceError,"Entry (key: {key}, source: {source}, context: {context}) cannot have an empty source","Entry (key: {key}, source: {source}, context: {context}) cannot have an empty source","Entrada (clave: {key}, origen: {source}, contexto: {context}) no puede tener una fuente vacía","Entrée (clé : {key}, source : {source}, contexte : {context}) ne peut pas avoir une source vide","La voce (key: {key}, sorgente: {source}, contesto: {context}) non può avere una sorgente vuota",出力 (キー: {key}、、ソース: {source}、コンテキスト: {context}) は空のソースを持つことはできません,"항목(키: {key}, 소스: {source}, 문맥: {context})에 빈 소스를 사용할 수 없습니다","A entrada (chave: {key}, fonte: {source}, contexto: {context}) não pode ter uma fonte vazia", ,条目（键：{key}，原始字串：{source}，语境：{context}） 的原始字串不可为空,条目（键：{key}，原始字串：{source}，语境：{context}） 的原始字串不可为空,條目（鍵：{key}，原始字串：{source}，語境：{context}）的原始字串不可空白
Studio.LocalizationTools.UploadTable.DuplicateSourceContextError,"Entry (key: {key}, source: {source}, context: {context}) cannot contain the same (source, context) pair as another entry","Entry (key: {key}, source: {source}, context: {context}) cannot contain the same (source, context) pair as another entry","Entrada (clave: {key}, origen: {source}, contexto: {context}) no puede contener el mismo par (fuente, contexto) que otra entrada","Entrée (clé: {key}, source: {source}, contexte: {context}) ne peut pas contenir la même paire (source, contexte) qu'une autre entrée","La voce (key: {key}, source: {source}, context: {context}) non può contenere la stessa coppia (sorgente, contesto) di un'altra voce",入力 （キー: {key}、ソース: {source}、 コンテキスト: {context}）は、他の入力内容として同じペア（ソース、コンテキスト）を入れることはできません,"항목(키: {key}, 소스: {source}, 문맥: {context})에 다른 항목과 동일한 쌍(소스, 문맥)을 포함할 수 없습니다","A entrada (chave: {key}, fonte: {source}, contexto: {context}) não pode conter o mesmo par (fonte, contexto) como outra entrada", ,条目（键：{key}，原始字串：{source}，语境：{context}） 的（原始字串，语境）组合不可与另一条目重合,条目（键：{key}，原始字串：{source}，语境：{context}） 的（原始字串，语境）组合不可与另一条目重合,條目（鍵：{key}，原始字串：{source}，語境：{context}）的（原始字串，語境）組合不可與另一條目相同
