Key,Source,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.LocalizationTools.PluginMetadata.GetPermissionFailedMessage,Localization Tools failed to get permission info.,Localization Tools failed to get permission info.,Las herramientas de localización no han podido obtener la información de permiso.,Les outils de localisation n'ont pas réussi à obtenir les informations de permission.,多言語化ツールが権限情報を取得できませんでした。,로컬리제이션 도구가 권한 정보를 가져오지 못했습니다.,As ferramentas de localização falharam em obter informações de permissão.,本地化工具获取权限信息失败。,本地化工具获取权限信息失败。,本地化工具取得權限資訊失敗。
Studio.LocalizationTools.UploadDialogContent.PatchLanguagesLabel,Languages:,Languages:,Idiomas:,Langues :,言語:,언어:,Idiomas:,语言：,语言：,語言：
Studio.LocalizationTools.UploadDialogContent.PatchWillLabel,This patch will:,This patch will:,Esta revisión hará lo siguiente:,Ce patch est :,このパッチは:,이 패치는 다음 항목을 확인합니다.,Esta revisão vai:,此补丁将：,此补丁将：,此更新檔將會：
Studio.LocalizationTools.MessageFrame.OpenCSVFileMessage,Open CSV file...,Open CSV file...,Abrir archivo CSV...,Ouvrir fichier CSV...,CSVファイルを開く...,CSV 파일 열기...,Abrir arquivo CSV...,打开 CSV 文件...,打开 CSV 文件...,開啟 CSV 檔案……
Studio.LocalizationTools.MessageFrame.DownloadFailedMessage,Download cloud table failed,Download cloud table failed,Error al descargar la tabla en la nube,Échec du téléchargement du tableau cloud,クラウドテーブルのダウンロードができませんでした,클라우드 테이블 다운로드 실패,Falha ao baixar a tabela da nuvem,下载云表格失败,下载云表格失败,無法下載雲端表格
Studio.LocalizationTools.MessageFrame.SelectCSVFileMessage,Select CSV file...,Select CSV file...,Seleccionar archivo CSV...,Sélectionner le fichier CSV...,CSVファイルを選択...,CSV 파일 선택...,Selecionar arquivo CSV...,选择 CSV 文件...,选择 CSV 文件...,選擇 CSV 檔案……
Studio.LocalizationTools.MessageFrame.UploadFailedMessage,Upload cloud table failed,Upload cloud table failed,Error al cargar la tabla en la nube,Le téléchargement du tableau en cloud a échoué,クラウドテーブルのアップロードができませんでした,클라우드 테이블 업로드 실패,Falha ao fazer upload da tabela na nuvem,上传云表格失败,上传云表格失败,無法下載雲端表格
Studio.LocalizationTools.MessageFrame.UploadCompletedMessage,Upload cloud table complete,Upload cloud table complete,Carga de la tabla en la nube completada,Télécharger le tableau cloud complet,クラウドテーブルのアップロード完了,클라우드 테이블 업로드 완료,Upload da tabela na nuvem completo,上传云表格完成,上传云表格完成,雲端表格上傳完成
Studio.LocalizationTools.UploadTable.PatchSupportedLangugesFailed,Localization Tools failed to add supported langauges.,Localization Tools failed to add supported langauges.,Las herramientas de localización no han podido añadir los idiomas compatibles.,Les outils de localisation n'ont pas réussi à ajouter les langues prises en charge.,多言語化ツールが対応言語を追加できませんでした。,로컬리제이션 도구가 지원 언어를 추가하지 못했습니다.,As ferramentas de localização falharam em adicionar os idiomas suportados.,本地化工具添加支持语言失败。,本地化工具添加支持语言失败。,本地化工具新增支援語言失敗。
Studio.LocalizationTools.MessageFrame.ComputingPatchMessage,Computing patch...,Computing patch...,Calculando revisión...,Patch informatique...,パッチを計算中...,패치를 컴퓨팅하는 중...,Calculando revisão...,正在计算补丁...,正在计算补丁...,正在運算更新檔……
Studio.LocalizationTools.MessageFrame.UploadCanceledMessage,Upload canceled,Upload canceled,Carga cancelada,Téléchargement annulé,アップロードがキャンセルされました,업로드 취소됨,Upload cancelado,上传已取消,上传已取消,上傳已取消
Studio.LocalizationTools.MessageFrame.ConfirmUploadMessage,Confirm upload...,Confirm upload...,Confirmar carga...,Confirmer téléchargement...,アップロードを確定...,업로드 확인...,Confirmar upload...,确定上传...,确定上传...,確認上傳……
Studio.LocalizationTools.DownloadTable.GetCloudTableFailed,Localization Tools failed to request cloud table.,Localization Tools failed to request cloud table.,Las herramientas de localización no han podido cargar la tabla en la nube.,Les outils de localisation n'ont pas pu récupérer le tableau cloud.,多言語化ツールがクラウドテーブルのリクエストをできませんでした。,로컬리제이션 도구가 클라우드 테이블을 요청하지 못했습니다.,As ferramentas de localização falharam em requisitar a tabela na nuvem.,本地化工具请求云表格失败。,本地化工具请求云表格失败。,本地化工具請求雲端表格失敗。
Studio.LocalizationTools.MessageFrame.TableWrittenToFileMessage,Table written to file,Table written to file,Tabla escrita en el archivo,Tableau écrit vers fichier,ファイルに書かれたテーブル,파일에 기록된 테이블,Tabela escrita no arquivo,表格已写入文件,表格已写入文件,表格已寫入檔案
Studio.LocalizationTools.UploadTable.GetSupportedLanguagesFailedMessage,Localization Tools failed to request supported langauges.,Localization Tools failed to request supported langauges.,Las herramientas de localización no han podido solicitar los idiomas compatibles.,Les outils de localisation n'ont pas réussi à récupérer les langues prises en charge.,多言語化ツールが対応言語のリクエストができませんでした。,로컬리제이션 도구가 지원 언어를 요청하지 못했습니다.,As ferramentas de localização falharam em requisitar os idiomas suportados.,本地化工具请求支持语言失败。,本地化工具请求支持语言失败。,本地化工具請求支援語言失敗。
Studio.LocalizationTools.MessageFrame.DownloadingTableMessage,Downloading table...,Downloading table...,Descargando tabla...,Téléchargement tableau...,テーブルをダウンロード中...,테이블을 다운로드하는 중...,Baixando tabela...,正在下载表格...,正在下载表格...,正在下載表格……
Studio.LocalizationTools.PluginMetadata.GetOrCreateCloudTableFailedMessage,Localization Tools failed to get cloud table info.,Localization Tools failed to get cloud table info.,Las herramientas de localización no han podido obtener la tabla en la nube.,Les outils de localisation n'ont pas réussi à obtenir les infos du tableau.,多言語化ツールがクラウドテーブル情報を取得できませんでした。,로컬리제이션 도구가 클라우드 테이블 정보를 가져오지 못했습니다.,As ferramentas de localização falharam em obter informações da tabela na nuvem.,本地化工具请求云表格信息失败。,本地化工具请求云表格信息失败。,本地化工具取得雲端表格資訊失敗。
Studio.LocalizationTools.PluginMetadata.GetAllLocalesFailed,Localization Tools failed to get all languages info.,Localization Tools failed to get all languages info.,Las herramientas de localización no han podido obtener la información de todos los idiomas.,Les outils de localisation n'ont pas réussi à obtenir toutes les infos des langues.,多言語化ツールが言語情報を取得できませんでした。,로컬리제이션 도구가 모든 언어 정보를 가져오지 못했습니다.,As ferramentas de localização falharam em obter informações de idiomas.,本地化工具获取全部语言信息失败。,本地化工具获取全部语言信息失败。,本地化工具取得所有語言資訊失敗。
Studio.LocalizationTools.UploadDialogContent.UploadCompleteWithInvalidEntries,Upload complete with invalid entries: ,Upload complete with invalid entries: ,Carga completa con entradas no válidas: ,Téléchargement complet avec les entrées non valides : ,無効な入力内容があるままでアップロードを完了: ,업로드가 완료되었으며 다음의 일부 항목이 유효하지 않습니다: ,Carregamento concluído com entradas inválidas: ,上传已完成，部分条目无效： ,上传已完成，部分条目无效： ,上傳完成，以下條目無效：
Studio.LocalizationTools.UploadDialogContent.InvalidIdentifier,Entries with invalid identifier:,Entries with invalid identifier:,Entradas con identificador no válido:,Entrées avec un identifiant non valide :,無効な識別子のある入力:,유효하지 않은 식별자가 있는 항목:,Entradas com identificador inválido:,带有无效标识符的条目：,带有无效标识符的条目：,識別字符串無效的條目：
Studio.LocalizationTools.UploadDialogContent.InvalidTranslation,Invalid translations:,Invalid translations:,Traducciones no válidas:,Traductions non valides :,無効な翻訳:,유효하지 않은 번역:,Traduções inválidas:,无效翻译：,无效翻译：,無效翻譯：
Studio.LocalizationTools.UploadDialogContent.ParentLangaugeTranslationMissing,"{locale} translation requires {language} translation for entry with key: {key},  source: {source},  context: {context}","{locale} translation requires {language} translation for entry with key: {key},  source: {source},  context: {context}","La traducción para {locale} requiere traducciones al {language} para las entradas con clave: {key}, fuente: {source} y contexto: {context}", ,{locale} 翻訳には、 {language} 翻訳入力のために以下が必要です。キー: {key}、ソース: {source}、文脈: {context},"{locale} 번역에는 키: {key}, 소스: {source}, 컨텍스트: {context} 항목의  {language} 번역이 필요합니다.","{locale} tradução requer {language} tradução para entrada com chave: {key}, fonte: {source}, contexto: {context}",{locale}需要将条目翻译为{language}，元素为键值：{key}、源语言：{source}、语境：{context},{locale}需要将条目翻译为{language}，元素为键值：{key}、源语言：{source}、语境：{context},{locale}翻譯需要條目的{language}翻譯，元素為鍵值：{key}、來源：{source}、語境：{context}
Studio.LocalizationTools.DownloadTable.SetEntriesFailedWithErrorMessage,Cloud table contains invalid entries.,Cloud table contains invalid entries.,La tabla en la nube contiene entradas no válidas.,Le tableau des nuages contient des entrées non valides.,クラウドテーブルに無効な入力内容が含まれています。,클라우드 테이블에 유효하지 않은 항목이 있습니다.,A tabela na nuvem contém entradas inválidas.,云表格包含无效条目。,云表格包含无效条目。,雲端表格包含無效條目。
Studio.LocalizationTools.ImageLocalizationSection.SectionLabel,Image Localization,Image Localization,Localización de la imagen,Localisation de l'image,画像の多言語化,이미지 로컬리제이션,Localização da imagem,图像本地化,图像本地化,圖像在地化
Studio.LocalizationTools.ImageLocalizationSection.UploadButton,Upload Image IDs,Upload Image IDs,Cargar los ID de la imagen,Télécharger les ID de l'image,イメージIDをアップロード,이미지 ID 업로드,Fazer upload das IDs da imagem,上传图像 ID,上传图像 ID,上傳圖像 ID
Studio.LocalizationTools.ImageLocalizationSection.UploadButtonLabel,Upload Image Asset IDs,Upload Image Asset IDs,Cargar los ID del recurso de la imagen,Télécharger les ID des images,画像アセットIDをアップロード,이미지 애셋 ID 업로드,Fazer upload das IDs do recurso da imagem,上传图像资源 ID,上传图像资源 ID,上傳圖像素材 ID
