Key,Context,Example,Source,en-us,ko,ru,zh-cn
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceGetBaseSets,,,Returns a table containing a list of the various setIds that are ROBLOX approved. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>More info on sets</a>,Returns a table containing a list of the various setIds that are ROBLOX approved. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>More info on sets</a>,ROBLOX에서 승인한 다양한 setId 목록을 포함하는 테이블을 반환합니다. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>세트에 대한 추가 정보</a>,"Возвращает таблицу, содержащую список различных setId, утвержденных ROBLOX <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>Узнать больше о наборах</a>",返回一个列举 ROBLOX 认可的多个 setId 的表。 <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>关于集合的更多信息</a>
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceGetUserSets,,,Returns a table containing a list of the various setIds that correspond to argument 'userId'. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>More info on sets</a>,Returns a table containing a list of the various setIds that correspond to argument 'userId'. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>More info on sets</a>,'userId' 인수에 해당하는 다양한 setID 목록을 포함하는 테이블을 반환합니다. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>세트에 대한 추가 정보</a>,"Возвращает таблицу со списком различных setId, соответствующих аргументу userId. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>Узнать больше о наборах</a>",返回一个列举与参数 'userId' 对应的多个 setId 的表。<a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>关于集合的更多信息</a>
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceGetBaseCategories,,,Deprecated. Use GetBaseSets() instead.,Deprecated. Use GetBaseSets() instead.,더 이상 사용되지 않습니다. GetBaseSets()를 대신 사용하세요.,Устарело. Используйте GetBaseSets().,已过时。请改用 GetBaseSets()。
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceGetUserCategories,,,Deprecated. Use GetUserSets() instead.,Deprecated. Use GetUserSets() instead.,더 이상 사용되지 않습니다. GetUserSets()를 대신 사용하세요.,Устарело. Используйте GetUserSets().,已过时。请改用 GetUserSets()。
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceLoadAsset,,,"Returns a Model containing the Instance that resides at AssetId on the web. This call will also yield the script until the model is returned. Script execution can still continue, however, if you use a <a href='http://wiki.roblox.com/index.php?title=Coroutine' target='_blank'>coroutine</a>.","Returns a Model containing the Instance that resides at AssetId on the web. This call will also yield the script until the model is returned. Script execution can still continue, however, if you use a <a href='http://wiki.roblox.com/index.php?title=Coroutine' target='_blank'>coroutine</a>.",웹의 AssetId에 있는 인스턴스를 포함하는 모델을 반환합니다. 이 호출은 모델이 반환될 때까지 스크립트를 생성합니다. 그러나 <a href='http://wiki.roblox.com/index.php?title=Coroutine' target='_blank'>코루틴</a>을 사용하면 스크립트 실행은 계속될 수 있습니다.,"Возвращает модель, содержащую экземпляр, который находится в AssetId в Интернете. Этот вызов также создает скрипт до тех пор, пока не возвращена модель. Однако выполнение скрипта можно продолжить, если использовать <a href='http://wiki.roblox.com/index.php?title=Coroutine' target='_blank'>coroutine</a>.",返回一个包含驻留在网页上的 AssetId 中的 Instance 的 Model。此调用还会暂停脚本，直到返回该模型。但是，如果你使用<a href='http://wiki.roblox.com/index.php?title=Coroutine' target='_blank'>协同程序</a>，脚本仍可以继续执行。
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceLoadAssetVersion,,,"Similar to LoadAsset, but instead an AssetVersionId is passed in, which refers to a particular version of the asset which is not neccessarily the latest version.","Similar to LoadAsset, but instead an AssetVersionId is passed in, which refers to a particular version of the asset which is not neccessarily the latest version.","LoadAsset과 비슷하지만, 대신 AssetVersionId를 전달합니다. 이 ID는 최신 버전이 아니라 특정 버전의 애셋을 참조합니다.","Аналогично LoadAsset, но вместо этого передается AssetVersionId, относящийся к определенной версии ресурса, которая не обязательно является последней версией.",与 LoadAsset 类似，但传入一个 AssetVersionId，引用一个特定的资源版本 (并非必须是最新版本)。
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentWorldRotation,,,Deprecated. Use WorldOrientation instead,Deprecated. Use WorldOrientation instead,더 이상 사용되지 않습니다. WorldOrientation을 대신 사용하세요.,Устарело. Используйте WorldOrientation.,已过时。请改用 WorldOrientation
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentOrientation,,,Euler angles applied in YXZ order,Euler angles applied in YXZ order,YXZ 순서로 오일러 각도 적용,"Углы Эйлера, применяемые в порядке YXZ",以 YXZ 顺序应用的欧拉角
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentWorldOrientation,,,Euler angles applied in YXZ order,Euler angles applied in YXZ order,YXZ 순서로 오일러 각도 적용,"Углы Эйлера, применяемые в порядке YXZ",以 YXZ 顺序应用的欧拉角
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentAxis,,,"Primary axis. Corresponds to the LookVector, or the first column in the part-local Attachment CFrame rotation matrix","Primary axis. Corresponds to the LookVector, or the first column in the part-local Attachment CFrame rotation matrix",기본 축입니다. LookVector 또는 부분 로컬 Attachment CFrame 회전 매트릭스의 첫 번째 열에 해당합니다.,Основная ось. Соответствует параметру LookVector или первому столбцу частично локальной матрицы вращения Attachment CFrame.,主要轴线。对应于 LookVector，或部件本地 Attachment CFrame 旋转矩阵的第一列
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentSecondaryAxis,,,"Secondary axis. Corresponds to the UpVector, or the second column in the part-local Attachment CFrame rotation matrix","Secondary axis. Corresponds to the UpVector, or the second column in the part-local Attachment CFrame rotation matrix",보조 축입니다. UpVector 또는 부분 로컬 Attachment CFrame 회전 매트릭스의 두 번째 열에 해당합니다.,Вспомогательная ось. Соответствует параметру UpVector или второму столбцу частично локальной матрицы вращения Attachment CFrame.,次要轴线。对应于 UpVector，或部件本地 Attachment CFrame 旋转矩阵的第二列
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentWorldAxis,,,"Primary axis in world space. Corresponds to the LookVector, or the first column in the world space Attachment CFrame rotation matrix.","Primary axis in world space. Corresponds to the LookVector, or the first column in the world space Attachment CFrame rotation matrix.",월드 공간의 기본 축입니다. LookVector 또는 월드 공간 Attachment CFrame 회전 매트릭스의 첫 번째 열에 해당합니다.,Основная ось в мировом пространстве. Соответствует параметру LookVector или первому столбцу матрицы вращения мирового пространства Attachment CFrame.,世界空间中的主要轴线。对应于 LookVector，或世界空间 Attachment CFrame 旋转矩阵的第一列。
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentSecondaryWorldAxis,,,"Secondary axis in world space. Corresponds to the UpVector, or the second column in the world space Attachment CFrame rotation matrix.","Secondary axis in world space. Corresponds to the UpVector, or the second column in the world space Attachment CFrame rotation matrix.",보조 축입니다. UpVector 또는 월드 공간 Attachment CFrame 회전 매트릭스의 두 번째 열에 해당합니다.,Вспомогательная ось в мировом пространстве. Соответствует параметру UpVector или второму столбцу матрицы вращения мирового пространства Attachment CFrame.,世界空间中的次要轴线。对应于 UpVector，或世界空间 Attachment CFrame 旋转矩阵的第二列
Studio.ReflectionMetadata.ReflectionMetadata.ConstraintEnabled,,,Toggles whether or not this constraint is enabled. Disabled constraints will not render in game.,Toggles whether or not this constraint is enabled. Disabled constraints will not render in game.,이 제약 조건의 활성화 여부를 토글합니다. 비활성화된 제약 조건은 게임에서 렌더링되지 않습니다.,Включает и выключает данное ограничение. Выключенные ограничения не отображаются в игре.,启用或禁用此约束。将不会在游戏中渲染被禁用的约束。
Studio.ReflectionMetadata.ReflectionMetadata.ConstraintColor,,,The color of the in-game visual.,The color of the in-game visual.,게임 내 비주얼 색상입니다.,Цвет внутриигровой графики.,游戏内视觉效果的颜色。
Studio.ReflectionMetadata.ReflectionMetadata.ConstraintVisible,,,Toggles the in-game visual associated with this constraint.,Toggles the in-game visual associated with this constraint.,이 제약과 관련된 게임 내 비주얼을 토글합니다.,"Переключает визуальное отображение в игре, связанное с этим ограничением.",开启或关闭与此约束相关的游戏内视觉效果。
Studio.ReflectionMetadata.ReflectionMetadata.ConstraintActive,,,"Read-only boolean, true if the Constraint is active in world.","Read-only boolean, true if the Constraint is active in world.","읽기 전용 부울로, 제약이 세계에서 활성화된 경우 True입니다.","Булева переменная только для чтения. Значение true, если Ограничение активно в мире.",只读布尔值，当 Constraint 在世界中启用时为 true。
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintLimitsEnabled,,,Enables the angular limit between the axis of Attachment0 and the axis of Attachment1.,Enables the angular limit between the axis of Attachment0 and the axis of Attachment1.,Attachment0 축과 Attachment1 축 사이의 각도 제한을 활성화합니다.,Позволяет задать угловой предел между осью Attachment0 и осью Attachment1.,启用 Attachment0 的轴线和 Attachment1 的轴线之间的角度限制。
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintUpperAngle,,,"Maximum angle between the two main axes. Value in [0, 180].","Maximum angle between the two main axes. Value in [0, 180].","두 주축 사이의 최대 각도. 값의 범위는 [0, 180]입니다.","Максимальный угол между двумя основными осями. Значение в [0, 180].","两条主要轴线之间的最大角度。取值为 [0, 180]。"
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintRestitution,,,"Restitution of the limit, or how elastic it is. Value in [0, 1].","Restitution of the limit, or how elastic it is. Value in [0, 1].","제한의 복원 또는 탄력성. 값의 범위는 [0, 1]입니다.","Способность восстановления предела, или его эластичность. Значение в [0, 1].","限制的弹性或弹性如何。取值为 [0, 1]。"
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintTwistLimitsEnabled,,,Enables the angular limits around the main axis of Attachment1.,Enables the angular limits around the main axis of Attachment1.,Attachment1의 기본 축 주위의 각도 제한을 활성화합니다.,Позволяет задавать угловые пределы вокруг основной оси Attachment1.,启用与 Attachment1 的主要轴线相关的角度限制。
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintTwistUpperAngle,,,"Upper angular limit around the axis of Attachment1. Value in [-180, 180].","Upper angular limit around the axis of Attachment1. Value in [-180, 180].","Attachment1의 축 주위의 각도 상한. 값의 범위는 [-180, 180]입니다.","Верхний угловой предел вокруг оси Attachment1. Значение в [-180, 180].","Attachment1 的轴线的上角限制。取值为 [-180, 180]。"
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintTwistLowerAngle,,,"Lower angular limit around the axis of Attachment1. Value in [-180, 180].","Lower angular limit around the axis of Attachment1. Value in [-180, 180].","Attachment1의 축 주위의 각도 하한. 값의 범위는 [-180, 180]입니다.","Нижний угловой предел вокруг оси Attachment1. Значение в [-180, 180].","Attachment1 的轴线的下角限制。取值为 [-180, 180]。"
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintRadius,,,"Radius of the in-game visual. Value in [0, inf).","Radius of the in-game visual. Value in [0, inf).","게임 내 이미지의 반경. 값의 범위는 [0, inf)입니다.","Радиус внутриигрового отображения. Значение в интервале [0, inf).","游戏内视觉效果的半径。取值为 [0, ∞)。"
Studio.ReflectionMetadata.ReflectionMetadata.RopeConstraintLength,,,"The length of the rope or the maximum distance between the two attachments. Value in [0, inf).","The length of the rope or the maximum distance between the two attachments. Value in [0, inf).","밧줄의 길이 또는 두 연결부 사이의 최대 거리. 값의 범위는 [0, inf)입니다.","Длина привязки или максимальное расстояние между двумя элементами оснастки. Значение в интервале [0, inf).","绳索的长度或两个附件之间的最大距离。取值为 [0, ∞)。"
Studio.ReflectionMetadata.ReflectionMetadata.RopeConstraintRestitution,,,"Restitution of the rope, or how elastic it is. Value in [0, 1].","Restitution of the rope, or how elastic it is. Value in [0, 1].","밧줄의 복원 또는 탄력성. 값의 범위는 [0, 1]입니다.","Способность восстановления привязки, или ее эластичность. Значение в [0, 1].","绳索的弹性或弹性如何。取值为 [0, 1]。"
