Key,Context,Example,Source,en-us
Studio.ReflectionMetadata.ReflectionMetadata.AssetServiceSetPlacePermissions,,,Sets the permissions for a placeID to the place accessType. An optional table (inviteList) can be included that will set the accessType for only the player names provided. The table should be set up as an array of usernames (strings).,Sets the permissions for a placeID to the place accessType. An optional table (inviteList) can be included that will set the accessType for only the player names provided. The table should be set up as an array of usernames (strings).
Studio.ReflectionMetadata.ReflectionMetadata.AtmosphereColor,,,"A Color3 value that changes the hue of the atmosphere, mixed with the sky color.","A Color3 value that changes the hue of the atmosphere, mixed with the sky color."
Studio.ReflectionMetadata.ReflectionMetadata.AtmosphereDecay,,,"A Color3 value for the the hue the atmosphere takes on away from the sun towards the horizon, mixed with the sky color (aka extinction).","A Color3 value for the the hue the atmosphere takes on away from the sun towards the horizon, mixed with the sky color (aka extinction)."
Studio.ReflectionMetadata.ReflectionMetadata.AtmosphereDensity,,,A value that controls the air particulates density. The proportion of airborne particles per unit of view depth between the camera and the sky.,A value that controls the air particulates density. The proportion of airborne particles per unit of view depth between the camera and the sky.
Studio.ReflectionMetadata.ReflectionMetadata.AtmosphereGlare,,,A value that increases the glow of the atmosphere around light the sun.,A value that increases the glow of the atmosphere around light the sun.
Studio.ReflectionMetadata.ReflectionMetadata.AtmosphereHaze,,,A value that controls the haziness of the atmosphere between the camera and the sky (aka turbidity).,A value that controls the haziness of the atmosphere between the camera and the sky (aka turbidity).
Studio.ReflectionMetadata.ReflectionMetadata.AtmosphereHeight,,,A value that controls the height of fog in the atmosphere above the horizon (not volumetric...yet...).,A value that controls the height of fog in the atmosphere above the horizon (not volumetric...yet...).
Studio.ReflectionMetadata.ReflectionMetadata.AtmosphereOffset,,,A value that offsets the quantity of light scattering events among particles in the atmosphere between the camera and the sky.,A value that offsets the quantity of light scattering events among particles in the atmosphere between the camera and the sky.
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentAxis,,,"Primary axis. Corresponds to the LookVector, or the first column in the part-local Attachment CFrame rotation matrix","Primary axis. Corresponds to the LookVector, or the first column in the part-local Attachment CFrame rotation matrix"
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentOrientation,,,Euler angles applied in YXZ order,Euler angles applied in YXZ order
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentSecondaryAxis,,,"Secondary axis. Corresponds to the UpVector, or the second column in the part-local Attachment CFrame rotation matrix","Secondary axis. Corresponds to the UpVector, or the second column in the part-local Attachment CFrame rotation matrix"
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentSecondaryWorldAxis,,,"Secondary axis in world space. Corresponds to the UpVector, or the second column in the world space Attachment CFrame rotation matrix.","Secondary axis in world space. Corresponds to the UpVector, or the second column in the world space Attachment CFrame rotation matrix."
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentWorldAxis,,,"Primary axis in world space. Corresponds to the LookVector, or the first column in the world space Attachment CFrame rotation matrix.","Primary axis in world space. Corresponds to the LookVector, or the first column in the world space Attachment CFrame rotation matrix."
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentWorldOrientation,,,Euler angles applied in YXZ order,Euler angles applied in YXZ order
Studio.ReflectionMetadata.ReflectionMetadata.AttachmentWorldRotation,,,Deprecated. Use WorldOrientation instead,Deprecated. Use WorldOrientation instead
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintLimitsEnabled,,,Enables the angular limit between the axis of Attachment0 and the axis of Attachment1.,Enables the angular limit between the axis of Attachment0 and the axis of Attachment1.
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintRadius,,,"Radius of the in-game visual. Value in [0, inf).","Radius of the in-game visual. Value in [0, inf)."
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintRestitution,,,"Restitution of the limit, or how elastic it is. Value in [0, 1].","Restitution of the limit, or how elastic it is. Value in [0, 1]."
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintTwistLimitsEnabled,,,Enables the angular limits around the main axis of Attachment1.,Enables the angular limits around the main axis of Attachment1.
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintTwistLowerAngle,,,"Lower angular limit around the axis of Attachment1. Value in [-180, 180].","Lower angular limit around the axis of Attachment1. Value in [-180, 180]."
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintTwistUpperAngle,,,"Upper angular limit around the axis of Attachment1. Value in [-180, 180].","Upper angular limit around the axis of Attachment1. Value in [-180, 180]."
Studio.ReflectionMetadata.ReflectionMetadata.BallSocketConstraintUpperAngle,,,"Maximum angle between the two main axes. Value in [0, 180].","Maximum angle between the two main axes. Value in [0, 180]."
Studio.ReflectionMetadata.ReflectionMetadata.BasePart,,,"A structural class, not creatable","A structural class, not creatable"
Studio.ReflectionMetadata.ReflectionMetadata.BasePartAnchored,,,"Determines whether or not physics acts upon the Part.  If true, part stays 'Anchored' in space, not moving regardless of any collision/forces acting upon it.  If false, physics works normally on the part.","Determines whether or not physics acts upon the Part.  If true, part stays 'Anchored' in space, not moving regardless of any collision/forces acting upon it.  If false, physics works normally on the part."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartBreakJoints,,,"Destroys SurfaceJoints with all parts that are touching this Instance (including internal joints in the Instance, as in a Model).","Destroys SurfaceJoints with all parts that are touching this Instance (including internal joints in the Instance, as in a Model)."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartCFrame,,,Contains information regarding the Part's position and a matrix that defines the Part's rotation.  Can read/write. <a href='http://wiki.roblox.com/index.php/Cframe' target='_blank'>More info</a>,Contains information regarding the Part's position and a matrix that defines the Part's rotation.  Can read/write. <a href='http://wiki.roblox.com/index.php/Cframe' target='_blank'>More info</a>
Studio.ReflectionMetadata.ReflectionMetadata.BasePartCanCollide,,,"Determines whether physical interactions with other Parts are respected.  If true, will collide and react with physics to other Parts.  If false, other parts will pass thru instead of colliding","Determines whether physical interactions with other Parts are respected.  If true, will collide and react with physics to other Parts.  If false, other parts will pass thru instead of colliding"
Studio.ReflectionMetadata.ReflectionMetadata.BasePartCastShadow,,,Determines whether this Part casts a shadow.,Determines whether this Part casts a shadow.
Studio.ReflectionMetadata.ReflectionMetadata.BasePartColor,,,Color3 of the part.,Color3 of the part.
Studio.ReflectionMetadata.ReflectionMetadata.BasePartElasticity,,,"A float value ranging from 0.0f to 1.0f. Sets how much the Part will rebound against another. a value of 1 is like a superball, and 0 is like a lead block.","A float value ranging from 0.0f to 1.0f. Sets how much the Part will rebound against another. a value of 1 is like a superball, and 0 is like a lead block."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartFriction,,,"A float value ranging from 0.0f to 1.0f. Sets how much the Part will be able to slide. a value of 1 is no sliding, and 0 is no friction, so infinite sliding.","A float value ranging from 0.0f to 1.0f. Sets how much the Part will be able to slide. a value of 1 is no sliding, and 0 is no friction, so infinite sliding."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartGetMass,,,"Returns a number that is the mass of this Instance.  Mass of a Part is immutable, and is changed only by the size of the Part.","Returns a number that is the mass of this Instance.  Mass of a Part is immutable, and is changed only by the size of the Part."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartLCgetMass,,,Use GetMass() instead,Use GetMass() instead
Studio.ReflectionMetadata.ReflectionMetadata.BasePartLCmakeJoints,,,Use MakeJoints() instead,Use MakeJoints() instead
Studio.ReflectionMetadata.ReflectionMetadata.BasePartLocalSimulationTouched,,,Deprecated. Use Touched instead,Deprecated. Use Touched instead
Studio.ReflectionMetadata.ReflectionMetadata.BasePartLocked,,,"Determines whether building tools (in-game and studio) can manipulate this Part.  If true, no editing allowed.  If false, editing is allowed.","Determines whether building tools (in-game and studio) can manipulate this Part.  If true, no editing allowed.  If false, editing is allowed."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartMakeJoints,,,"Creates the appropriate SurfaceJoints with all parts that are touching this Instance (including internal joints in the Instance, as in a Model).  This uses the SurfaceTypes defined on the surfaces of parts to create the appropriate welds. <a href='http://wiki.roblox.com/index.php/MakeJoints' target='_blank'>More info</a>","Creates the appropriate SurfaceJoints with all parts that are touching this Instance (including internal joints in the Instance, as in a Model).  This uses the SurfaceTypes defined on the surfaces of parts to create the appropriate welds. <a href='http://wiki.roblox.com/index.php/MakeJoints' target='_blank'>More info</a>"
Studio.ReflectionMetadata.ReflectionMetadata.BasePartMassless,,,If true the part will be massless when welded to another part that is not massless. The part will still have mass like a normal part if it is an assembly root part according to GetRootPart().,If true the part will be massless when welded to another part that is not massless. The part will still have mass like a normal part if it is an assembly root part according to GetRootPart().
Studio.ReflectionMetadata.ReflectionMetadata.BasePartMaterial,,,"Specifies the look and feel the Part should have.  Note: this does not define the color the Part is, see BrickColor for that. <a href='http://wiki.roblox.com/index.php/Material' target='_blank'>More info</a>","Specifies the look and feel the Part should have.  Note: this does not define the color the Part is, see BrickColor for that. <a href='http://wiki.roblox.com/index.php/Material' target='_blank'>More info</a>"
Studio.ReflectionMetadata.ReflectionMetadata.BasePartOrientation,,,"Rotation around X, Y, and Z axis.  Rotations applied in YXZ order.","Rotation around X, Y, and Z axis.  Rotations applied in YXZ order."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartOrientationLocal,,,"Orientation relative to parent part, or global space if there is no parent.","Orientation relative to parent part, or global space if there is no parent."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartPositionLocal,,,"Position relative to parent part, or global space if there is no parent.","Position relative to parent part, or global space if there is no parent."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartReflectance,,,"Specifies how shiny the Part is. A value of 1 is completely reflective (chrome), while a value of 0 is no reflectance (concrete wall)","Specifies how shiny the Part is. A value of 1 is completely reflective (chrome), while a value of 0 is no reflectance (concrete wall)"
Studio.ReflectionMetadata.ReflectionMetadata.BasePartResize,,,"Resizes a Part in the direction of the face defined by 'NormalId', by the amount specified by 'deltaAmount'. If the operation will expand the part to intersect another Instance, the part will not resize at all.  Return true if the call is successful, false otherwise.","Resizes a Part in the direction of the face defined by 'NormalId', by the amount specified by 'deltaAmount'. If the operation will expand the part to intersect another Instance, the part will not resize at all.  Return true if the call is successful, false otherwise."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartResizeIncrement,,,"Sets the value for the smallest change in size allowable by the Resize(NormalId, int) function.","Sets the value for the smallest change in size allowable by the Resize(NormalId, int) function."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartResizeableFaces,,,"Sets the value for the faces allowed to be resized by the Resize(NormalId, int) function.","Sets the value for the faces allowed to be resized by the Resize(NormalId, int) function."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartRootPriority,,,An integer from -127 to 127. Compares before other all other part properties besides massless for deciding which part is the assembly root part according to GetRootPart().,An integer from -127 to 127. Compares before other all other part properties besides massless for deciding which part is the assembly root part according to GetRootPart().
Studio.ReflectionMetadata.ReflectionMetadata.BasePartStoppedTouching,,,Deprecated. Use TouchEnded instead,Deprecated. Use TouchEnded instead
Studio.ReflectionMetadata.ReflectionMetadata.BasePartTouchEnded,,,Fired when the part stops touching another part,Fired when the part stops touching another part
Studio.ReflectionMetadata.ReflectionMetadata.BasePartTransparency,,,"Sets how visible an object is. A value of 1 makes the object invisible, while a value of 0 makes the object opaque.","Sets how visible an object is. A value of 1 makes the object invisible, while a value of 0 makes the object opaque."
Studio.ReflectionMetadata.ReflectionMetadata.BasePartVelocity,,,"How fast the Part is traveling in studs/second. This property is NOT recommended to be modified directly, unless there is good reason.  Otherwise, try using a BodyForce to move a Part.","How fast the Part is traveling in studs/second. This property is NOT recommended to be modified directly, unless there is good reason.  Otherwise, try using a BodyForce to move a Part."
Studio.ReflectionMetadata.ReflectionMetadata.Beam,,,Makes beam between two attachments,Makes beam between two attachments
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGui,,,A GUI that adorns an object in the 3D world.  Add Frames/Labels/Buttons to this object to have them rendered while attached to a 3D object,A GUI that adorns an object in the 3D world.  Add Frames/Labels/Buttons to this object to have them rendered while attached to a 3D object
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiAbsolutePosition,,,"A read-only Vector2 value that is the GuiObject's current position (x,y) in pixel space, from the top left corner of the GuiObject.","A read-only Vector2 value that is the GuiObject's current position (x,y) in pixel space, from the top left corner of the GuiObject."
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiAbsoluteSize,,,"A read-only Vector2 value that is the GuiObject's current size (width, height) in pixel space.","A read-only Vector2 value that is the GuiObject's current size (width, height) in pixel space."
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiActive,,,"If true, this GuiObject can fire mouse events and will pass them to any GuiObjects layered underneath, while false will do neither.","If true, this GuiObject can fire mouse events and will pass them to any GuiObjects layered underneath, while false will do neither."
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiAdornee,,,"The Object the billboard gui uses as its base to render from.  Currently, the only way to set this property is thru a script, and must exist in the workspace.  This will only render if the object assigned derives from BasePart.","The Object the billboard gui uses as its base to render from.  Currently, the only way to set this property is thru a script, and must exist in the workspace.  This will only render if the object assigned derives from BasePart."
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiAlwaysOnTop,,,"If true, billboard gui does not get occluded by 3D objects, but always renders on the screen.","If true, billboard gui does not get occluded by 3D objects, but always renders on the screen."
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiEnabled,,,"If true, billboard gui will render, otherwise rendering will be skipped.","If true, billboard gui will render, otherwise rendering will be skipped."
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiExtentsOffset,,,"A Vector3 (x,y,z) defined in studs that will offset the gui from the extents of the 3d object it is rendering from.","A Vector3 (x,y,z) defined in studs that will offset the gui from the extents of the 3d object it is rendering from."
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiLightInfluence,,,"Specifies the amount of influence lighting has on the billboard gui. A value of 0 is unlit, 1 is fully lit. Fractional values blend from unlit to lit.","Specifies the amount of influence lighting has on the billboard gui. A value of 0 is unlit, 1 is fully lit. Fractional values blend from unlit to lit."
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiPlayerToHideFrom,,,Specifies a Player that the BillboardGui will not render to.,Specifies a Player that the BillboardGui will not render to.
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiSize,,,A UDim2 value describing the size of the BillboardGui. More information on UDim2 is available <a href='http://wiki.roblox.com/index.php/UDim2' target='_blank'>here</a>. Relative values are defined as one-to-one with studs.,A UDim2 value describing the size of the BillboardGui. More information on UDim2 is available <a href='http://wiki.roblox.com/index.php/UDim2' target='_blank'>here</a>. Relative values are defined as one-to-one with studs.
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiSizeOffset,,,"A Vector2 (x,y) defined in studs that will offset the gui size from it's current size.","A Vector2 (x,y) defined in studs that will offset the gui size from it's current size."
Studio.ReflectionMetadata.ReflectionMetadata.BillboardGuiStudsOffset,,,"A Vector3 (x,y,z) defined in studs that will offset the gui from the centroid of the 3d object it is rendering from","A Vector3 (x,y,z) defined in studs that will offset the gui from the centroid of the 3d object it is rendering from"
Studio.ReflectionMetadata.ReflectionMetadata.BindableEvent,,,Allow events defined in one script to be subscribed to by another script,Allow events defined in one script to be subscribed to by another script
Studio.ReflectionMetadata.ReflectionMetadata.BindableEventEvent,,,This event fires when the Fire() method is used.  Receives the variable length arguments from Fire().,This event fires when the Fire() method is used.  Receives the variable length arguments from Fire().
Studio.ReflectionMetadata.ReflectionMetadata.BindableEventFire,,,Used to make the custom event fire (see Event for more info). Arguments can be variable length.,Used to make the custom event fire (see Event for more info). Arguments can be variable length.
Studio.ReflectionMetadata.ReflectionMetadata.BindableFunction,,,Allow functions defined in one script to be called by another script,Allow functions defined in one script to be called by another script
Studio.ReflectionMetadata.ReflectionMetadata.BindableFunctionInvoke,,,Causes the function assigned to OnInvoke to be called. Arguments passed to this function get passed to OnInvoke function.,Causes the function assigned to OnInvoke to be called. Arguments passed to this function get passed to OnInvoke function.
Studio.ReflectionMetadata.ReflectionMetadata.BindableFunctionOnInvoke,,,Should be defined as a function. This function is called when Invoke() is called. Number of arguments is variable.,Should be defined as a function. This function is called when Invoke() is called. Number of arguments is variable.
Studio.ReflectionMetadata.ReflectionMetadata.BodyForce,,,"When parented to a physical part, BodyForce will continually exert a force upon its parent object.","When parented to a physical part, BodyForce will continually exert a force upon its parent object."
Studio.ReflectionMetadata.ReflectionMetadata.BodyGyro,,,Attempts to maintain a fixed orientation of its parent Part,Attempts to maintain a fixed orientation of its parent Part
Studio.ReflectionMetadata.ReflectionMetadata.BodyGyroCFrame,,,"The cframe that this force is trying to orient its parent Part to.  Note: this force only uses the rotation of the cframe, not the position.","The cframe that this force is trying to orient its parent Part to.  Note: this force only uses the rotation of the cframe, not the position."
Studio.ReflectionMetadata.ReflectionMetadata.BodyGyroD,,,The dampening factor applied to this force,The dampening factor applied to this force
Studio.ReflectionMetadata.ReflectionMetadata.BodyGyroLCcframe,,,Use CFrame instead,Use CFrame instead
Studio.ReflectionMetadata.ReflectionMetadata.BodyGyroLCmaxTorque,,,Use MaxTorque instead,Use MaxTorque instead
Studio.ReflectionMetadata.ReflectionMetadata.BodyGyroMaxTorque,,,The maximum torque that will be exerted on the Part,The maximum torque that will be exerted on the Part
Studio.ReflectionMetadata.ReflectionMetadata.BodyGyroP,,,The power continually applied to this force,The power continually applied to this force
Studio.ReflectionMetadata.ReflectionMetadata.BodyPositionD,,,The dampening factor applied to this force,The dampening factor applied to this force
Studio.ReflectionMetadata.ReflectionMetadata.BodyPositionLCmaxForce,,,Use MaxForce instead,Use MaxForce instead
Studio.ReflectionMetadata.ReflectionMetadata.BodyPositionLCposition,,,Use position instead,Use position instead
Studio.ReflectionMetadata.ReflectionMetadata.BodyPositionMaxForce,,,The maximum force that will be exerted on the Part,The maximum force that will be exerted on the Part
Studio.ReflectionMetadata.ReflectionMetadata.BodyPositionP,,,The power factor continually applied to this force,The power factor continually applied to this force
Studio.ReflectionMetadata.ReflectionMetadata.BodyPositionPosition,,,The Vector3 that this force is trying to position its parent Part to.,The Vector3 that this force is trying to position its parent Part to.
Studio.ReflectionMetadata.ReflectionMetadata.BodyThrustForce,,,The power continually applied to this force,The power continually applied to this force
Studio.ReflectionMetadata.ReflectionMetadata.BodyThrustLCforce,,,Use Force instead,Use Force instead
Studio.ReflectionMetadata.ReflectionMetadata.BodyThrustLClocation,,,Use Location instead,Use Location instead
Studio.ReflectionMetadata.ReflectionMetadata.BodyThrustLocation,,,The Vector3 location of where to apply the force to.,The Vector3 location of where to apply the force to.
Studio.ReflectionMetadata.ReflectionMetadata.BodyVelocityLCmaxForce,,,Use MaxForce instead,Use MaxForce instead
Studio.ReflectionMetadata.ReflectionMetadata.BodyVelocityLCvelocity,,,Use Velocity instead,Use Velocity instead
Studio.ReflectionMetadata.ReflectionMetadata.BodyVelocityMaxForce,,,The maximum force that will be exerted on the Part in each axis,The maximum force that will be exerted on the Part in each axis
Studio.ReflectionMetadata.ReflectionMetadata.BodyVelocityP,,,"The amount of power we add to the system.  The higher the power, the quicker the force will achieve its goal.","The amount of power we add to the system.  The higher the power, the quicker the force will achieve its goal."
Studio.ReflectionMetadata.ReflectionMetadata.BodyVelocityVelocity,,,The velocity this system tries to achieve.  How quickly the system reaches this velocity (if ever) is defined by P.,The velocity this system tries to achieve.  How quickly the system reaches this velocity (if ever) is defined by P.
Studio.ReflectionMetadata.ReflectionMetadata.BoolValue,,,Stores a boolean value in it's Value member. Useful to share boolean information across multiple scripts.,Stores a boolean value in it's Value member. Useful to share boolean information across multiple scripts.
Studio.ReflectionMetadata.ReflectionMetadata.BoxHandleAdornment,,,The BoxHandleAdornment is a rectangular prism that can be adorned to a BasePart.,The BoxHandleAdornment is a rectangular prism that can be adorned to a BasePart.
Studio.ReflectionMetadata.ReflectionMetadata.BrickColorValue,,,Stores a BrickColor value in it's Value member. Useful to share BrickColor information across multiple scripts.,Stores a BrickColor value in it's Value member. Useful to share BrickColor information across multiple scripts.
Studio.ReflectionMetadata.ReflectionMetadata.CFrameValue,,,Stores a CFrame value in it's Value member. Useful to share CFrame information across multiple scripts.,Stores a CFrame value in it's Value member. Useful to share CFrame information across multiple scripts.
Studio.ReflectionMetadata.ReflectionMetadata.CameraCFrame,,,"The current position and rotation of the Camera.  For most CameraTypes, the rotation is set such that the CoordinateFrame lookVector is pointing at the Focus.","The current position and rotation of the Camera.  For most CameraTypes, the rotation is set such that the CoordinateFrame lookVector is pointing at the Focus."
Studio.ReflectionMetadata.ReflectionMetadata.CameraCameraSubject,,,Where the Camera's focus is.  Any rotation of the camera will be about this subject.,Where the Camera's focus is.  Any rotation of the camera will be about this subject.
Studio.ReflectionMetadata.ReflectionMetadata.CameraCameraType,,,Defines how the camera will behave. <a href='http://wiki.roblox.com/index.php/CameraType' target='_blank'>More info</a>,Defines how the camera will behave. <a href='http://wiki.roblox.com/index.php/CameraType' target='_blank'>More info</a>
Studio.ReflectionMetadata.ReflectionMetadata.CameraCoordinateFrame,,,"The current position and rotation of the Camera.  For most CameraTypes, the rotation is set such that the CoordinateFrame lookVector is pointing at the Focus.","The current position and rotation of the Camera.  For most CameraTypes, the rotation is set such that the CoordinateFrame lookVector is pointing at the Focus."
Studio.ReflectionMetadata.ReflectionMetadata.CameraFieldOfView,,,"The current angle, or width, of what the camera can see.  Current acceptable values are from 20 degrees to 80.","The current angle, or width, of what the camera can see.  Current acceptable values are from 20 degrees to 80."
Studio.ReflectionMetadata.ReflectionMetadata.CameraFocus,,,The current CoordinateFrame that the camera is looking at.  Note: it is not always guaranteed that the camera is always looking here.,The current CoordinateFrame that the camera is looking at.  Note: it is not always guaranteed that the camera is always looking here.
Studio.ReflectionMetadata.ReflectionMetadata.CameraGetRoll,,,"Returns the camera's current roll. Roll is defined in radians, and is stored as the delta from the camera's y axis default normal vector.","Returns the camera's current roll. Roll is defined in radians, and is stored as the delta from the camera's y axis default normal vector."
Studio.ReflectionMetadata.ReflectionMetadata.CameraNearPlaneZ,,,The negative z-offset of the view frustum's near clipping plane.,The negative z-offset of the view frustum's near clipping plane.
Studio.ReflectionMetadata.ReflectionMetadata.CameraScreenPointToRay,,,"Takes a 2D screen position and produces a Ray object to be used for 3D raycasting. Input is x,y screen coordinates, and a (optional, defaults to 0) z position which sets how far in the camera look vector to start the ray origin.","Takes a 2D screen position and produces a Ray object to be used for 3D raycasting. Input is x,y screen coordinates, and a (optional, defaults to 0) z position which sets how far in the camera look vector to start the ray origin."
Studio.ReflectionMetadata.ReflectionMetadata.CameraSetRoll,,,"Sets the camera's current roll. Roll is defined in radians, and is stored as the delta from the camera's y axis default normal vector.","Sets the camera's current roll. Roll is defined in radians, and is stored as the delta from the camera's y axis default normal vector."
Studio.ReflectionMetadata.ReflectionMetadata.CameraViewportPointToRay,,,"Same as ScreenPointToRay, except no GUI offsets are taken into account. Useful for things like casting a ray from the middle of the Camera.ViewportSize","Same as ScreenPointToRay, except no GUI offsets are taken into account. Useful for things like casting a ray from the middle of the Camera.ViewportSize"
Studio.ReflectionMetadata.ReflectionMetadata.CameraViewportSize,,,"Holds the x,y screen resolution of the viewport the camera is presenting (note: this can differ from the AbsoluteSize property of a full screen gui).","Holds the x,y screen resolution of the viewport the camera is presenting (note: this can differ from the AbsoluteSize property of a full screen gui)."
Studio.ReflectionMetadata.ReflectionMetadata.CameraWorldToScreenPoint,,,"Takes a 3D position in the world and projects it onto x,y coordinates of screen space. Returns two values, first is a Vector3 that has x,y position and z position which is distance from camera (negative if behind camera, positive if in front). Second return value is a boolean indicating if the first argument is an on-screen coordinate.","Takes a 3D position in the world and projects it onto x,y coordinates of screen space. Returns two values, first is a Vector3 that has x,y position and z position which is distance from camera (negative if behind camera, positive if in front). Second return value is a boolean indicating if the first argument is an on-screen coordinate."
Studio.ReflectionMetadata.ReflectionMetadata.CameraWorldToViewportPoint,,,"Same as WorldToScreenPoint, except no GUI offsets are taken into account.","Same as WorldToScreenPoint, except no GUI offsets are taken into account."
Studio.ReflectionMetadata.ReflectionMetadata.CharacterMesh,,,Modifies the appearance of a body part.,Modifies the appearance of a body part.
Studio.ReflectionMetadata.ReflectionMetadata.ChorusSoundEffect,,,A Chorus audio effect that can be applied to a Sound or SoundGroup.,A Chorus audio effect that can be applied to a Sound or SoundGroup.
Studio.ReflectionMetadata.ReflectionMetadata.ClickDetector,,,Raises mouse events for parent object,Raises mouse events for parent object
Studio.ReflectionMetadata.ReflectionMetadata.ClickDetectorMaxActivationDistance,,,The maximum distance a Player's character can be from the ClickDetector's parent Part that will allow the Player's mouse to fire events on this object.,The maximum distance a Player's character can be from the ClickDetector's parent Part that will allow the Player's mouse to fire events on this object.
Studio.ReflectionMetadata.ReflectionMetadata.ClickDetectorMouseClick,,,Fired when a player clicks on the parent Part of ClickDetector. The argument provided is always of type Player.,Fired when a player clicks on the parent Part of ClickDetector. The argument provided is always of type Player.
Studio.ReflectionMetadata.ReflectionMetadata.ClickDetectorMouseHoverEnter,,,Fired when a player's mouse enters on the parent Part of ClickDetector. The argument provided is always of type Player.,Fired when a player's mouse enters on the parent Part of ClickDetector. The argument provided is always of type Player.
Studio.ReflectionMetadata.ReflectionMetadata.ClickDetectorMouseHoverLeave,,,Fired when a player's mouse leaves the parent Part of ClickDetector. The argument provided is always of type Player.,Fired when a player's mouse leaves the parent Part of ClickDetector. The argument provided is always of type Player.
Studio.ReflectionMetadata.ReflectionMetadata.CollectionService,,,A service which provides collections of instances based on tags assigned to them.,A service which provides collections of instances based on tags assigned to them.
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceAddTag,,,Adds a tag to an instance.,Adds a tag to an instance.
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceGetCollection,,,Deprecated. Use GetTagged instead.,Deprecated. Use GetTagged instead.
