Studio.App.BetaFeatures.CloudReloadPrompt,,,Beta features enabled for this account differ from those saved locally. Updated Beta features will not be available until you restart Studio.,Beta features enabled for this account differ from those saved locally. Updated Beta features will not be available until you restart Studio.,이 계정에 대해 활성화되어 있는 베타 기능이 로컬에 저장되어 있는 베타 기능과 달라요. 업데이트된 베타 기능은 Studio를 다시 시작할 때까지 사용할 수 없어요.,"В профиле пользователя включен бета-функционал, отличный от того, что сохранен локально. Перезапустите студию, чтобы получить доступ к обновленному набору бета-функций.",此帐户启用的 Beta 功能与保存在本地的有所不同。你必须重新启动 Studio 才能使用上传的 Beta 功能。
Studio.App.BetaFeatures.CouldBeUnstable,,,Note: Beta features could be unstable resulting in data loss or game corruption,Note: Beta features could be unstable resulting in data loss or game corruption,참고: 베타 기능은 불안정해 데이터 유실 또는 게임 손상을 초래할 수 있어요,Примечание: бета-функционал может работать нестабильно. Использование бета-функционала может привести к потере данных или повреждению установленной копии игры.,注意: Beta 功能的不稳定可能会造成数据丢失或游戏损毁
Studio.App.BetaFeatures.Details,,,Details,Details,세부 사항,Подробнее,详情
Studio.App.BetaFeatures.LearnMoreTooltip,,,Learn More,Learn More,더 알아보기,Подробнее,了解更多
Studio.App.BetaFeatures.Name,,,Name,Name,이름,Имя,名称
Studio.App.BetaFeatures.RestartStudioTitle,,,Restart Studio,Restart Studio,Studio 다시 시작,Перезапустить студию,重新启动 Studio
Studio.App.BetaFeatures.RestartWarning,,,Beta features will not be activated until you restart Studio,Beta features will not be activated until you restart Studio,베타 기능은 Studio를 다시 시작할 때까지 활성화되지 않아요,Бета-функционал не будет доступен до перезапуска студии,Beta 功能在你重新启动 Studio 后方可激活。
Studio.App.BetaFeatures.SelectFeaturesToActivate,,,Select beta features to activate,Select beta features to activate,활성화할 베타 기능 선택,"Выберите бета-функционал, который надо активировать",选择要激活的 Beta 功能
Studio.App.BetaFeatures.SomethingChangedPrompt,,,Would you like to restart Studio now?,Would you like to restart Studio now?,지금 Studio를 다시 시작할까요?,Перезапустить студию прямо сейчас?,你要立即重新启动 Studio 吗?
Studio.App.BetaFeatures.TryCoolFeatures,,,Try out cool new Studio features! Your feedback is invaluable to us as we move forward towards building a powerful imagination platform.,Try out cool new Studio features! Your feedback is invaluable to us as we move forward towards building a powerful imagination platform.,새롭고 멋진 Studio 기능을 시험해 보세요! 상상력을 펼칠 수 있는 강력한 플랫폼을 계속 만들어 가려면 여러분의 귀중한 피드백이 필요해요.,"Воспользуйтесь новыми возможностями студии! Ваш отзыв очень важен для нас, ведь наша цель - создание мощной творческой платформы.",试试 Studio 超酷的新功能吧! 你的反馈对我们非常重要，因为这能帮助我们打造出一个实现想象力的强大平台。
Studio.App.Breakpoints.DeleteAllBreakpoints,,,Delete All Breakpoints,Delete All Breakpoints,모든 중단점 삭제,Удалить все точки останова,删除所有断点
Studio.App.Breakpoints.DeleteSelectedBreakpoint,,,Delete Selected Breakpoint,Delete Selected Breakpoint,선택한 중단점 삭제,Удалить выбранную точку останова,删除选中的断点
Studio.App.Breakpoints.GoToSourceCode,,,Go To Source Code,Go To Source Code,소스 코드로 이동,Перейти к исходному коду,前往源代码
Studio.App.BulkImport.CancelImport,,,Cancel Import,Cancel Import,가져오기 취소,Отменить импорт,取消导入
Studio.App.BulkImport.CloseWindow,,,Close Window,Close Window,창 닫기,Закрыть окно,关闭窗口
Studio.App.BulkImport.Collapse,,,Collapse,Collapse,축소,Свернуть,收起
Studio.App.BulkImport.Completed,,,Completed,Completed,완료됨,Завершено,已完成
Studio.App.BulkImport.Expand,,,Expand,Expand,확장,Развернуть,扩展
Studio.App.BulkImport.Import,,,Import,Import,가져오기,Импорт,导入
Studio.App.BulkImport.ProgressFmt2,,,Imported %1 of %2 files,Imported %1 of %2 files,%1/%2 파일 가져옴,Импорт файлов: %1 из %2,已导入 %1 个文件 (总共 %2 个
Studio.App.CalibrateDeviceScalingDialog.CalibrateDeviceScaling,,,Calibrate Device Scaling,Calibrate Device Scaling,기기 크기 보정,Калибровка масштабирования устройства,校准设备缩放
Studio.App.CalibrateDeviceScalingDialog.DecreaseImageSize,,,Decrease image size,Decrease image size,이미지 크기 축소,Уменьшить размер изображения,缩小图片尺寸
Studio.App.CalibrateDeviceScalingDialog.EstimateScreenSize,,,"To accurately scale to physical size, we need to get an estimate of your screen size.","To accurately scale to physical size, we need to get an estimate of your screen size.",실제 크기에 정확하게 맞추기 위해서는 화면 크기 추정치에 대한 정보가 필요해요.,"Чтобы точно масштабировать до физического размера, нам нужно получить оценку размера экрана.",为了提供准确的物理尺寸，我们需要获知你的显示器的大致尺寸。
Studio.App.CalibrateDeviceScalingDialog.IncreaseImageSize,,,Increase image size,Increase image size,이미지 크기 확대,Увеличить размер изображения,扩大图片尺寸
Studio.App.CallStackWidget.CurrentScript,,,Current Script: ,Current Script: ,현재 스크립트: ,Текущий скрипт:,当前脚本: 
Studio.App.CallStack.CallStack,,,Call Stack,Call Stack,스택 호출,Стек вызовов,调用堆栈
Studio.App.CallStack.Frame,,,Frame,Frame,프레임,Кадр,帧
Studio.App.CallStack.FunctionExplanation,,,Function Explanation,Function Explanation,함수 설명,Описание функции,函数说明
Studio.App.CallStack.FunctionName,,,Function Name,Function Name,함수 이름,Название функции,函数名称
Studio.App.CallStack.LineNo,,,Line No.,Line No.,줄 번호,Номер строки,行号
Studio.App.CallStack.Source,,,Source,Source,소스,Исходник,来源
Studio.App.CallStack.What,,,What,What,대상,Что,类型
Studio.App.ChatSessionHandler.All,,,All,All,모두,Все,所有
Studio.App.ChatSessionHandler.TeamChat,,,Team Chat,Team Chat,팀 채팅,Общий чат,队伍聊天
Studio.App.ClientServerToggleFTUE.ClientServerToggle,,,Client/Server Toggle,Client/Server Toggle,클라이언트/서버 토글,Переключение клиент/сервер,切换客户端/服务器
Studio.App.ClientServerToggleFTUE.ToggleClientServerMode,,,Click on the icon to toggle between client and server mode while testing,Click on the icon to toggle between client and server mode while testing,테스트 중 아이콘을 클릭해 클라이언트와 서버 모드를 토글합니다,Нажмите на значок для переключения между режимом клиента и сервера во время тестирования.,测试时，单击图标以在客户端和服务器模式之间切换
Studio.App.ContextMenuDropdown.Archive,,,Archive,Archive,보관,Архив ,归档
Studio.App.ContextMenuDropdown.ConfigureGame,,,Configure game,Configure game,게임 구성,Настроить игру,配置游戏
Studio.App.ContextMenuDropdown.ConfigurePlace,,,Configure place,Configure place,플레이스 구성,Настроить место,配置场景
Studio.App.ContextMenuDropdown.DisableTeamCreate,,,Disable Team Create,Disable Team Create,팀 만들기 비활성화,Отключить совместную разработку,禁用组队创作
Studio.App.ContextMenuDropdown.EnableTeamCreate,,,Enable Team Create,Enable Team Create,팀 만들기 활성화,Включить совместную разработку,启用组队创作
Studio.App.ContextMenuDropdown.MakePrivate,,,Make private,Make private,비공개 설정,Закрыть игру,设为私人
Studio.App.ContextMenuDropdown.MakePublic,,,Make public,Make public,공개 설정,Сделать общедоступной,设为公开
Studio.App.ContextMenuDropdown.OpenPlacePage,,,Open place page,Open place page,플레이스 페이지 열기,Открыть страницу места,打开场景页面
Studio.App.ContextMenuDropdown.RemoveFromList,,,Remove from list,Remove from list,목록에서 제거,Удалить из списка,从列表删除
Studio.App.ContextMenuDropdown.Restore,,,Restore,Restore,복원,Восстановить,还原
Studio.App.CreateNewGameWidget.CreateNewGame,,,Create New Game,Create New Game,새 게임 만들기,Создать новую игру,创建新游戏
Studio.App.CreateNewGameWidget.GroupHasNoArchivedGames,,,This group doesn't have any archived games,This group doesn't have any archived games,이 그룹에 보관된 게임이 없음,У этой группы нет заархивированных игр,此群组没有任何已归档的游戏
Studio.App.CreateNewGameWidget.GroupHasNoGames,,,This group doesn't have any games,This group doesn't have any games,이 그룹에 게임이 없음,У этой группы нет игр,此群组没有任何游戏
Studio.App.CreateNewGameWidget.LearnMore,,,Learn More,Learn More,더 알아보기,Подробнее,了解更多
Studio.App.CreateNewGameWidget.NoArchivedGames,,,You don't have any archived games,You don't have any archived games,보관된 게임이 없어요,У вас нет зархивированных игр,你没有任何已归档的游戏
Studio.App.CreateNewGameWidget.NoArchivedGamesFound,,,No archived games found,No archived games found,보관된 게임을 찾을 수 없음,Архивных игр не найдено,找不到已归档的游戏
Studio.App.CreateNewGameWidget.NoEditInvitations,,,You haven't been invited to edit any games,You haven't been invited to edit any games,편집하도록 초대받은 게임이 없어요,У вас нет приглашений на редактирование игр,你未受邀参与编辑任何游戏
Studio.App.CreateNewGameWidget.NoGamesFound,,,No games found,No games found,게임을 찾을 수 없어요,Игр не найдено,未发现游戏
Studio.App.CreateNewGameWidget.NoRecentEditedGames,,,You haven't edited any games recently,You haven't edited any games recently,최근 편집한 게임이 없어요,В последнее время вы не редактировали игры,你最近没有编辑过任何游戏
Studio.App.CreateNewGameWidget.YouDontHaveAnyGames,,,You don't have any games,You don't have any games,보유한 게임이 없어요,У вас нет игр,你没有任何游戏
Studio.App.CurrentlyEditingWindow.CurrentlyEditing,,,Currently Editing,Currently Editing,최근 편집,Редактируется сейчас,当前编辑中
Studio.App.DebuggerViewsManager.Breakpoints,,,Breakpoints,Breakpoints,중단점,Точки останова,断点
Studio.App.DebuggerViewsManager.Watch,,,Watch,Watch,감시,Контрольное значение,监视
Studio.App.EmbeddedFindReplaceWidget.MatchCase,,,Match Case,Match Case,대소문자 일치,Учитывать регистр,区分大小写
Studio.App.EmbeddedFindReplaceWidget.MatchWholeWord,,,Match Whole Word,Match Whole Word,전체 단어 일치,Только слово целиком,全字匹配
Studio.App.EmbeddedFindReplaceWidget.RegularExpression,,,Regular Expression,Regular Expression,정규식,Регулярное выражение,正则表达式
Studio.App.EmbeddedFindReplaceWidget.ReplaceAll,,,Replace All,Replace All,모두 바꾸기,Заменить все,全部替换
Studio.App.EmbeddedFindReplaceWidget.ReplaceNext,,,Replace Next,Replace Next,다음 바꾸기,Заменить следующее,替换下一个
Studio.App.EmulatorMainWidget.ActualResolution,,,Actual Resolution,Actual Resolution,실제 해상도,Фактическое разрешение,实际分辨率
Studio.App.EmulatorMainWidget.CalibratePhysicalScaling,,,Calibrate Physical Scaling,Calibrate Physical Scaling,물리적 크기 보정,Калибровка физического масштабирования,校准物理缩放
Studio.App.EmulatorMainWidget.FitToWindow,,,Fit to Window,Fit to Window,창에 맞추기,По размеру окна,适应窗口
Studio.App.EmulatorMainWidget.PhysicalSize,,,Physical Size,Physical Size,실제 크기,Физический размер,物理尺寸
Studio.App.EmulatorMainWidget.RotateMobileDeviceOrientation,,,Rotate mobile device orientation,Rotate mobile device orientation,모바일 기기 방향 회전,Ориентация вращения мобильного устройства,旋转移动设备方向
Studio.App.EmulatorMainWidget.RotatePhonesTablets,,,You can only rotate phones and tablets,You can only rotate phones and tablets,휴대폰과 태블릿만 회전할 수 있어요,Можно вращать только телефоны и планшеты,你只能旋转手机和平板电脑
Studio.App.FindAllDialog.AllScripts,,,All Scripts,All Scripts,모든 스크립트,Все скрипты,所有脚本
Studio.App.FindAllDialog.CurrentScript,,,Current Script,Current Script,현재 스크립트,Текущий скрипт,当前脚本
Studio.App.FindAllDialog.FindAll,,,Find All,Find All,모두 찾기,Найти все,查找所有
Studio.App.FindAllDialog.FindInAllScripts,,,Find in all scripts,Find in all scripts,모든 스크립트에서 찾기,Найти во всех скриптах,在所有脚本中查找
Studio.App.FindAllDialog.FindOptions,,,Find Options,Find Options,찾기 옵션,Найти параметры,查找选项
Studio.App.FindAllDialog.FindWhat,,,Find what: ,Find what: ,찾을 대상: ,Найти:,找什么: 
Studio.App.FindAllDialog.LookIn,,,Look in: ,Look in: ,다음에서 찾기: ,Смотреть в:,查找范围: 
Studio.App.FindAllDialog.MatchCase,,,Match case,Match case,대소문자 일치,Учитывать регистр,大小写匹配
Studio.App.FindAllDialog.MatchWholeWordOnly,,,Match whole word only,Match whole word only,전체 단어가 일치하는 항목만,Только слово целиком,全字匹配
Studio.App.FindAllDialog.RegularExpression,,,Regular expression,Regular expression,정규식,Регулярное выражение,正则表达式
Studio.App.FlagEditor.OfferRestart,,,You must restart Studio for fast flag changes to take effect.,You must restart Studio for fast flag changes to take effect.,고속 플래그 변경 사항을 적용하려면 Studio를 다시 시작해야 해요.,Для вступления в силу изменений быстрых флагов необходимо перезапустить программу.,你必须重新启动 Studio，对快速旗帜的更改才能生效。
Studio.App.FlagEditor.OfferRestartTitle,,,Overrides Saved,Overrides Saved,재정의 저장됨,Переопределения сохранены,覆盖保存
Studio.App.GameExplorer.AddAssets,,,Add Assets,Add Assets,애셋 추가,Добавить ресурсы,添加资源
Studio.App.GameExplorer.AddNewPlace,,,Add New Place,Add New Place,새 플레이스 추가,Добавить новое место,添加新场景
Studio.App.GameExplorer.ConfigureBadge,,,Configure,Configure,구성,Настроить,配置
Studio.App.GameExplorer.CopyIdToClipboard,,,Copy ID to Clipboard,Copy ID to Clipboard,ID를 클립보드에 복사,Скопировать ID в буфер обмена,将 ID 复制到剪贴板
Studio.App.GameExplorer.CopyTextureIdToClipboard,,,Copy Texture ID to Clipboard,Copy Texture ID to Clipboard,텍스처 ID를 클립보드에 복사,Скопировать ID текстуры в буфер обмена,将纹理 ID 复制到剪贴板
Studio.App.GameExplorer.CreateBadge,,,Create Badge,Create Badge,배지 만들기,Создать Эмблему,创建徽章
Studio.App.GameExplorer.GameSettings,,,Game Settings...,Game Settings...,게임 설정...,Настройки игры...,游戏设置...
Studio.App.GameExplorer.InsertAsLocalScript,,,Insert as LocalScript,Insert as LocalScript,LocalScript로 삽입,Вставить как LocalScript,插入为 LocalScript
Studio.App.GameExplorer.InsertAsModuleScript,,,Insert as ModuleScript,Insert as ModuleScript,ModuleScript로 삽입,Вставить как ModuleScript,插入为 ModuleScript
Studio.App.GameExplorer.InsertAsScript,,,InsertAsScript,InsertAsScript,스크립트로 삽입,InsertAsScript,InsertAsScript
Studio.App.GameExplorer.InsertWithLocation,,,Insert with location,Insert with location,위치 포함 삽입,Вставка с указанием местоположения,带位置插入
Studio.App.GameExplorer.MarkAsStartPlace,,,Mark as Start Place,Mark as Start Place,시작 장소로 표시,Отметить как стартовое место,标记为开始场景
Studio.App.GameExplorer.MassUpdateCurrentPlacePackages,,,Update this Package in Current Place,Update this Package in Current Place,현재 플레이스에 이 패키지 업데이트,Обновить пакет в текущем месте,在当前场景更新此包
Studio.App.GameExplorer.ProductSettings,,,Product Settings...,Product Settings...,제품 설정...,Параметры продукта...,产品设置...
Studio.App.GameExplorer.PublishLinkedSource,,,Publish this LinkedSource,Publish this LinkedSource,이 LinkedSource 게시,Опубликовать этот LinkedSource,发布此LinkedSource
Studio.App.GameExplorer.RefreshScript,,,Refresh Script,Refresh Script,스크립트 새로고침,Обновить скрипт,刷新脚本
Studio.App.GameExplorer.RemoveFromGame,,,Remove From Game,Remove From Game,게임에서 제거,Удалить из игры,从游戏中删除
Studio.App.GameExplorer.RevertToLastPublishedVersion,,,Revert to Last Published Version,Revert to Last Published Version,마지막 게시 버전으로 되돌리기,Вернуться к последней опубликованной версии,还原至上次发布版本
Studio.App.GameExplorer.ViewOnWebsite,,,View on website,View on website,웹사이트에서 보기,Посмотреть на сайте,在网站上查看
Studio.App.GameGridViewWithHeader.Sort,,,Sort:,Sort:,정렬:,Сортировать:,排序:
Studio.App.GameWidget.LocalFile,,,Local File,Local File,로컬 파일,Локальный файл,本地文件
Studio.App.GameWidget.Private,,,Private,Private,비공개,Закрытые,私人
Studio.App.GameWidget.Public,,,Public,Public,공개,Общедоступные,公开
Studio.App.GameWidget.TemplateHasInstruction,,,This template contains instructions about how to get started in Studio,This template contains instructions about how to get started in Studio,이 템플릿에는 Studio를 시작하는 방법에 대한 지침이 포함되어 있어요,"Этот шаблон содержит инструкции о том, как начать работу в студии",此模板包含如何开始使用 Studio 的说明
Studio.App.GamesPageController.Alphabetical,,,Alphabetical,Alphabetical,알파벳 순,По алфавиту,按英文字母顺序
Studio.App.GamesPageController.DateCreated,,,Date Created,Date Created,만든 날짜,Дата создания,创建日期
Studio.App.GamesPageController.DateCreatedDescending,,,Date Created (Descending),Date Created (Descending),만든 날짜(내림차순),Дата создания (по убыванию),创建日期 (降序)
Studio.App.GamesPageController.LastModified,,,Last Modified,Last Modified,마지막 수정,Последнее изменение,最后修改
Studio.App.GoToLineDialog.LineNumber,,,Line number:,Line number:,줄 번호:,Номер строки:,行号:
Studio.App.GradientEditor.Time,,,Time,Time,시간,Время,时间
Studio.App.IdeDoc.AllRobloxPlaceFilesFileFilter,,,All Roblox Place Files(*rbxl *rbxlx);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx),All Roblox Place Files(*rbxl *rbxlx);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx),모든 Roblox 플레이스 파일(*rbxl *rbxlx);; Roblox 플레이스 파일(*.rbxl);; Roblox XML 플레이스 파일s(*.rbxlx),Все файлы Roblox Place Files(*rbxl *rbxlx);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx),所有 Roblox 场景文件 (*.rbxl，*.rbxlx);; Roblox 场景文件 (*.rbxl);; Roblox XML 场景文件 (*.rbxlx)
Studio.App.IdeDoc.AnimationFilesFBX,,,Animation Files (*fbx),Animation Files (*fbx),애니메이션 파일(*fbx),Анимационные файлы (*fbx),动画文件 (*.fbx)
Studio.App.IdeDoc.AudioDisabledGoToServerAudioBehaviorToChange,,,Audio has been disabled. Please go to File->Settings->Studio and then Server Audio Behavior to change this.,Audio has been disabled. Please go to File->Settings->Studio and then Server Audio Behavior to change this.,오디오가 비활성화되었어요. 파일->설정->Studio로 이동한 다음 서버 오디오 동작에서 이 설정을 변경하세요.,"Звук отключен. Перейдите в раздел Файл -> Настройки -> студии и измените выбранное значение параметра ""Воспроизведение звуков сервера"", чтобы включить звук.",已禁用音频。请前往文件->设置->Studio，然后选择“服务器音频行为”以更改设置。
Studio.App.IdeDoc.AutoRecoveryFileCreated1,,,%1 auto-recovery file was created,%1 auto-recovery file was created,%1 자동 복구 파일 만듬,Создан файл автовосстановления %1,已创建自动恢复文件 %1
Studio.App.IdeDoc.AutoSaving,,,Auto-Saving,Auto-Saving,자동 저장,Автосохранение,自动保存
Studio.App.IdeDoc.Break,,,Break,Break,중단,Останов,中断
Studio.App.IdeDoc.Cancel,,,Cancel,Cancel,취소,Отмена,取消
Studio.App.IdeDoc.CannotFindMesh,,,Cannot find mesh,Cannot find mesh,메시를 찾을 수 없음,Невозможно найти сетку,找不到网格
Studio.App.IdeDoc.CannotLoadPublishedPlace,,,Cannot load published place,Cannot load published place,게시된 플레이스를 불러올 수 없음,Невозможно загрузить опубликованное место,无法加载已发布的场景
Studio.App.IdeDoc.Cleanup,,,Cleanup,Cleanup,정리,Очистка,清理
Studio.App.IdeDoc.ConnectingtoServer,,,Connecting to server...,Connecting to server...,서버에 연결 중...,Подключение к серверу...,正在连接服务器...
Studio.App.IdeDoc.ConstraintObjectsWillNotWorkPhysicsSolverOverrideTrue,,,Constraint objects will not function correctly because Workspace.TemporaryLegacyPhysicsSolverOverride is true,Constraint objects will not function correctly because Workspace.TemporaryLegacyPhysicsSolverOverride is true,Workspace.TemporaryLegacyPhysicsSolverOverride가 true이기 때문에 제약 개체가 올바르게 작동하지 않습니다,"Объекты Constraint не будут работать, так как значение Workspace.TemporaryLegacyPhysicsSolverOverride установлено как TRUE.",由于 Workspace.TemporaryLegacyPhysicsSolverOverride 为 true，约束对象无法正确运作
Studio.App.IdeDoc.Continue,,,Continue,Continue,계속,Продолжить,继续
Studio.App.IdeDoc.CouldNotLoadPlaceDueToPermissionError,,,"<b>Sorry, we could not load this place due to a permission error</b>","<b>Sorry, we could not load this place due to a permission error</b>",<b>죄송합니다. 권한 오류로 이 플레이스를 불러올 수 없습니다</b>,<b>Невозможно загрузить это место из-за ошибки разрешения</b>,<b>抱歉，由于许可错误，我们无法加载此场景</b>
Studio.App.IdeDoc.CouldNotTeleportToPlaceCannotEdit1,,,Could not teleport to place %1 from studio. You can only teleport from studio to places you can edit.,Could not teleport to place %1 from studio. You can only teleport from studio to places you can edit.,Studio에서 %1 플레이스로 텔레포트 할 수 없습니다. Studio에서는 편집할 수 있는 플레이스로만 텔레포트 할 수 있습니다.,"%1: невозможно переместиться из студии. Перемещение из студии осуществляется только в места, доступные для редактирования.",无法从 Studio 传送至场景 %1。只能从 Studio 传送到可以编辑的场景。
Studio.App.IdeDoc.Discard,,,Discard,Discard,제거,Сбросить,放弃
Studio.App.IdeDoc.DisconnectedFromTeamTestServer,,,You have been disconnected from the team test server.,You have been disconnected from the team test server.,팀 테스트 서버 연결이 끊어졌습니다.,Вы были отключены от сервера совместного тестирования.,你已与队伍测试服务器断开连接。
Studio.App.IdeDoc.DoNotBreakWhilePlaceFileOpen,,,Do not break again while this place file is open,Do not break again while this place file is open,이 플레이스 파일을 여는 동안 중단하지 마세요,"Не делайте остановок, пока файл этого места открыт",在此场景文件打开时请勿再次中断
Studio.App.IdeDoc.DontEnable,,,Don't Enable,Don't Enable,활성화 금지,Не включать,不要启用
Studio.App.IdeDoc.DownloadACopy,,,Download a Copy,Download a Copy,사본 다운로드,Загрузить копию,下载副本
Studio.App.IdeDoc.Enable,,,Enable,Enable,활성화,Включить,启用
Studio.App.IdeDoc.ErrorLoadingPlacePleaseClosePlacetryAgain,,,"An error has occurred while loading the place. Please close the place and try again. If this error persists, contact Customer Support.","An error has occurred while loading the place. Please close the place and try again. If this error persists, contact Customer Support.",플레이스를 불러오는 중 오류가 발생했습니다. 플레이스를 닫은 다음 다시 시도하세요. 오류가 계속되면 고객 지원에 문의하세요.,"При загрузке места возникла ошибка. Закройте место и повторите попытку. Если ошибка сохраняется, обратитесь в службу технической поддержки.",加载场景时出错。请关闭场景后重试。如果错误持续出现，请联系客户支持部门。
Studio.App.IdeDoc.ErrorWhileStartingServer1,,,Error while starting server: %1,Error while starting server: %1,%1 서버 시작 중 오류 발생,Ошибка при запуске сервера: %1,启动服务器时出错: %1
Studio.App.IdeDoc.ExportFailure,,,Export Failure,Export Failure,실패 항목 내보내기,Ошибка экспорта,导出失败
Studio.App.IdeDoc.ExportPlace,,,Export Place,Export Place,플레이스 내보내기,Экспортировать место,导出场景
Studio.App.IdeDoc.ExportSelection,,,Export Selection,Export Selection,선택 항목 내보내기,Экспортировать выбранное,导出选中内容
Studio.App.IdeDoc.ExportingPlace,,,Exporting Place,Exporting Place,플레이스 내보내는 중,Экспорт места,正在导出场景
Studio.App.IdeDoc.ExportingSelection,,,Exporting Selection,Exporting Selection,선택 항목 내보내는 중,Экспорт выбранного,正在导出选中内容
Studio.App.IdeDoc.FailedToExportObjContactSupport,,,Failed to export obj. Please try again or contact support if problem persists,Failed to export obj. Please try again or contact support if problem persists,개체 내보내기 실패. 나중에 다시 시도하세요. 문제가 지속되면 지원팀에 문의하세요.,"Не удалось экспортировать объект. Повторите попытку или свяжитесь со службой поддержки, если проблема сохраняется.",Obj 导出失败。请重试。如果问题持续存在，请联络客户支持部门
Studio.App.IdeDoc.FailedToPublishYourPlace,,,Failed to publish your place.,Failed to publish your place.,플레이스를 게시하지 못했습니다.,Не удалось опубликовать место.,发布场景失败。
Studio.App.IdeDoc.FailedToPublishYourPlace1,,,Failed to publish your place: %1,Failed to publish your place: %1,%1 플레이스를 게시하지 못했습니다.,Не удалось опубликовать место: %1,发布场景失败: %1
Studio.App.IdeDoc.FailedToSavePlaceOnline,,,Failed to save place online.  Check your connection and try again.,Failed to save place online.  Check your connection and try again.,온라인에 플레이스를 저장하지 못했습니다.  연결 상태를 확인하고 다시 시도하세요.,Не удалось сохранить место в онлайн-хранилище. Проверьте соединение и повторите попытку.,在线保存场景失败。请检查你的网络连接后重试。
Studio.App.IdeDoc.FailedToSaveYourPlace,,,Failed to save your place.,Failed to save your place.,플레이스를 저장하지 못했습니다.,Не удалось сохранить место.,保存场景失败。
Studio.App.IdeDoc.FailedToSaveYourPlace1,,,Failed to save your place: %1,Failed to save your place: %1,%1 플레이스를 저장하지 못했습니다.,Не удалось сохранить место: %1,保存场景失败: %1
Studio.App.IdeDoc.ImportingAnimationPleaseWait,,,Importing animation. Please wait..,Importing animation. Please wait..,애니메이션 가져오는 중. 잠시 기다려주세요..,"Импорт анимации. Пожалуйста, подождите...",正在导入动画。请稍候...
Studio.App.IdeDoc.ImportingRigPleaseWait,,,Importing rig. Please wait..,Importing rig. Please wait..,리그를 가져오는 중. 잠시 기다려주세요..,"Импорт скелетной анимации. Пожалуйста, подождите...",正在导入骨架。请稍候...
Studio.App.IdeDoc.InsertedObjectWithConstraintsEnablePhysicsSolver,,,"You inserted something with constraints, which only work with the PGS Physics solver.

Would you like to enable the PGS Physics Solver?","You inserted something with constraints, which only work with the PGS Physics solver.

Would you like to enable the PGS Physics Solver?","삽입한 제약 조건이 있는 항목은 PGS 물리적 해결기에서만 작동 가능합니다.

PGS 물리적 해결기를 활성화할까요?","При вставке вы использовали ограничения, что требует использования PGS Physics Solver.

Включить PGS Physics Solver?","你插入了只能通过 PGS 物理引擎使用的约束项目。

你要启用 PGS 物理解决器吗?"
Studio.App.IdeDoc.Join,,,Join,Join,연결,Присоединиться,加入
Studio.App.IdeDoc.JoinTeamTestServer,,,Join Team Test Server,Join Team Test Server,팀 테스트 서버 참가,Присоединиться к серверу совместного тестирования,加入队伍测试服务器
