Studio.App.AutoSaveDialog.Delete1,,<font size=%1><b><i>Delete</i></b></font> will confirm that you want to delete all auto-recovery files.,<font size=%1><b><i>Delete</i></b></font> will confirm that you want to delete all auto-recovery files.
Studio.App.AutoSaveDialog.DeleteAllAutoSaves1,,Do you want to delete all auto-save files?  There are %1 file(s).,Do you want to delete all auto-save files?  There are %1 file(s).
Studio.App.AutoSaveDialog.FileDetected,,An auto-recovered file was detected!,An auto-recovered file was detected!
Studio.App.AutoSaveDialog.Ignore1,,"<font size=%1><b><i>Ignore</i></b></font> will continue and leave the files alone.  However, the next time Roblox Studio is run, this message box will pop up again.","<font size=%1><b><i>Ignore</i></b></font> will continue and leave the files alone.  However, the next time Roblox Studio is run, this message box will pop up again."
Studio.App.AutoSaveDialog.NotShutProperly,,This means that Roblox Studio was not shut down properly and <u><i>may not have saved your data</i></u>!,This means that Roblox Studio was not shut down properly and <u><i>may not have saved your data</i></u>!
Studio.App.AutoSaveDialog.OpenEnd,,"Once an auto-recovered file is loaded, it will not be deleted until the file is re-saved with a different file name.","Once an auto-recovered file is loaded, it will not be deleted until the file is re-saved with a different file name."
Studio.App.AutoSaveDialog.OpenRobloxFile,,Open Roblox File,Open Roblox File
Studio.App.AutoSaveDialog.OpenStart1,,<font size=%1><b><i>Open</i></b></font> will open the file. You can choose which file to load if there is more than one file.,<font size=%1><b><i>Open</i></b></font> will open the file. You can choose which file to load if there is more than one file.
Studio.App.AutoSaveDialog.RobloxPlaceFiles,"NOTE TO LOCALIZERS: Do not translate the parentheses (), whatever is inside the parentheses, or any other special characters, use ASCII instead.",Roblox Places Files (*.rbxl),Roblox Places Files (*.rbxl)
Studio.App.AutoSaveDialog.Title,,Auto-Recovery,Auto-Recovery
Studio.App.AutoSaveDialog.WantToLoad,,Do you want to load the auto-recovered file?,Do you want to load the auto-recovered file?
Studio.App.AutocompleteMenu.MoreChildrenItemTextFmt1,,%1 more children...,%1 more children...
Studio.App.AutocompleteTooltip.FunctionNumberLabelTextFmt2,,%1 of %2,%1 of %2
Studio.App.BetaFeatures.AnimationEditorDescription,,Enables the new Beta version of the Animation Editor.,Enables the new Beta version of the Animation Editor.
Studio.App.BetaFeatures.AnimationEditorTitle,,Animation Editor Beta,Animation Editor Beta
Studio.App.BetaFeatures.AssetManagerDescription,,"Manage your assets in a brand new widget, with new features. This replaces the Game Explorer.","Manage your assets in a brand new widget, with new features. This replaces the Game Explorer."
Studio.App.BetaFeatures.AssetManageritle,,Asset Manager,Asset Manager
Studio.App.BetaFeatures.AsyncPublishDescription,,Keep working in Studio as we publish in the background,Keep working in Studio as we publish in the background
Studio.App.BetaFeatures.AsyncPublishTitle,,Async Publish Beta,Async Publish Beta
Studio.App.BetaFeatures.AutoEnrollmentToggle,,Enroll in Beta Channel,Enroll in Beta Channel
Studio.App.BetaFeatures.AutoEnrollmentToggleTooltip,,New Beta Features Will Automatically Be Activated,New Beta Features Will Automatically Be Activated
Studio.App.BetaFeatures.AutoUpdateDescription,,Adds an option to automatically update a package when a newer package is available,Adds an option to automatically update a package when a newer package is available
Studio.App.BetaFeatures.AutoUpdateTitle,,Auto Update on Packages,Auto Update on Packages
Studio.App.BetaFeatures.AvatarLoadingBetaDescription,,Improves the ordering of events fired when avatars are loaded to be more consistent and easier for developers to use,Improves the ordering of events fired when avatars are loaded to be more consistent and easier for developers to use
Studio.App.BetaFeatures.AvatarLoadingBetaTitle,,New Avatar Loading Signal Ordering,New Avatar Loading Signal Ordering
Studio.App.BetaFeatures.BetaFeatures,title for Beta Features feature,Beta Features,Beta Features
Studio.App.BetaFeatures.BreakpointPropagationDescription,,Breakpoints now work across DataModels.  Users no longer need to worry about what instance of a script they have open when using breakpoints.,Breakpoints now work across DataModels.  Users no longer need to worry about what instance of a script they have open when using breakpoints.
Studio.App.BetaFeatures.BreakpointPropagationTitle,,Breakpoint Replication Beta,Breakpoint Replication Beta
Studio.App.BetaFeatures.CSGv2SmoothingDescription,,Use the SmoothAngle property on CSG part to define threshold angle and smooth normals.,Use the SmoothAngle property on CSG part to define threshold angle and smooth normals.
Studio.App.BetaFeatures.CSGv2SmoothingTitle,,Normal smoothing Beta,Normal smoothing Beta
Studio.App.BetaFeatures.CloudLoadFailedFmt1,error fetching BF from cloud,Failed to load beta features from cloud: %1,Failed to load beta features from cloud: %1
Studio.App.BetaFeatures.CloudReloadPrompt,reload because BFs loaded from cloud,Beta features enabled for this account differ from those saved locally. Updated Beta features will not be available until you restart Studio.,Beta features enabled for this account differ from those saved locally. Updated Beta features will not be available until you restart Studio.
Studio.App.BetaFeatures.ConvertToTerrainDescription,,Enables the Convert TerrainTool which can convert Parts into Terrain materials and biomes.,Enables the Convert TerrainTool which can convert Parts into Terrain materials and biomes.
Studio.App.BetaFeatures.ConvertToTerrainTitle,,TerrainTools: ConvertTool Beta,TerrainTools: ConvertTool Beta
Studio.App.BetaFeatures.CouldBeUnstable,,Note: Beta features could be unstable resulting in data loss or game corruption,Note: Beta features could be unstable resulting in data loss or game corruption
Studio.App.BetaFeatures.Details,,Details,Details
Studio.App.BetaFeatures.EnableLuauTypeCheckingDescription,,Enables new script analysis features,Enables new script analysis features
Studio.App.BetaFeatures.EnableLuauTypeCheckingTitle,,Enable New Lua Script Analysis,Enable New Lua Script Analysis
Studio.App.BetaFeatures.GameManagementDescription,,Enable game management features in Game Settings. Find Game Settings on the “Home” tab.,Enable game management features in Game Settings. Find Game Settings on the “Home” tab.
Studio.App.BetaFeatures.GameManagementTitle,,Game Management,Game Management
Studio.App.BetaFeatures.InsertObjectStreamliningDescription,,Enables a new unified workflow for inserting objects.,Enables a new unified workflow for inserting objects.
Studio.App.BetaFeatures.InsertObjectStreamliningTitle,,Insert Object Streamlining,Insert Object Streamlining
Studio.App.BetaFeatures.LearnMoreTooltip,,Learn More,Learn More
Studio.App.BetaFeatures.LuaDraggersDescription,,Migrates the Select/Move/Rotate/Scale tools to a Lua BuiltInPlugin implementation and makes some minor improvements to their functionality.,Migrates the Select/Move/Rotate/Scale tools to a Lua BuiltInPlugin implementation and makes some minor improvements to their functionality.
Studio.App.BetaFeatures.LuaDraggersTitle,,Lua Draggers Beta,Lua Draggers Beta
Studio.App.BetaFeatures.ModelMeshComputerBetaDescription,,Automatically generate Impostor meshes to be rendered outside of streaming radius. Use LevelOfDetail property on Model to enable it.,Automatically generate Impostor meshes to be rendered outside of streaming radius. Use LevelOfDetail property on Model to enable it.
Studio.App.BetaFeatures.ModelMeshComputerBetaTitle,,Automatic Impostors for Models,Automatic Impostors for Models
Studio.App.BetaFeatures.NewFeaturesForChannelUserWarning1,,"New beta features have been automatically enabled above as you are enrolled in Beta Channel. You must restart Studio for them to be activated. <a href=""%1"">Restart Now</a>","New beta features have been automatically enabled above as you are enrolled in Beta Channel. You must restart Studio for them to be activated. <a href=""%1"">Restart Now</a>"
Studio.App.BetaFeatures.NewScriptFoldStateDescription,,Enables new improved behavior for code folding in the Script Editor.,Enables new improved behavior for code folding in the Script Editor.
Studio.App.BetaFeatures.NewScriptFoldStateTitle,,Script Editor Folds Behavior Beta,Script Editor Folds Behavior Beta
Studio.App.BetaFeatures.PackagePermissionsDescription,,"Add any group, user, or role as a user or editor for your packages through the Package Management action in Game Explorer","Add any group, user, or role as a user or editor for your packages through the Package Management action in Game Explorer"
Studio.App.BetaFeatures.PackagePermissionsTitle,,Packages Permissions,Packages Permissions
Studio.App.BetaFeatures.PhysicsNewConvexDecompositionDescription,,"Enable the new CollisionFidelity, which uses a method called HACD to generate collision geometry with precise surfaces.","Enable the new CollisionFidelity, which uses a method called HACD to generate collision geometry with precise surfaces."
Studio.App.BetaFeatures.PhysicsNewConvexDecompositionTitle,,Enable CollisionFidelity.PreciseConvexDecomposition.,Enable CollisionFidelity.PreciseConvexDecomposition.
Studio.App.BetaFeatures.PhysicsSleepImprovementsDescription,,Set of changes that should make simulated parts awake and fall asleep more reliably.,Set of changes that should make simulated parts awake and fall asleep more reliably.
Studio.App.BetaFeatures.PhysicsSleepImprovementsTitle,,Physics Sleep Behavior Improvements.,Physics Sleep Behavior Improvements.
Studio.App.BetaFeatures.RestartStudioTitle,,Restart Studio,Restart Studio
Studio.App.BetaFeatures.RestartWarning,,Beta features will not be activated until you restart Studio,Beta features will not be activated until you restart Studio
Studio.App.BetaFeatures.RichTextDescription,,Enable rich text parsing and rendering in xml format.,Enable rich text parsing and rendering in xml format.
Studio.App.BetaFeatures.RichTextTitle,,Rich Text Beta,Rich Text Beta
Studio.App.BetaFeatures.SaveToCloudV2Description,,Create new games in the cloud automatically.,Create new games in the cloud automatically.
Studio.App.BetaFeatures.SaveToCloudV2Title,,New Games in the Cloud,New Games in the Cloud
Studio.App.BetaFeatures.SelectFeaturesToActivate,,Select beta features to activate,Select beta features to activate
Studio.App.BetaFeatures.SetInstanceDefaultsWindowDescription,,Set a Part or Script to be the default for future inserted instances of a Part or Script.,Set a Part or Script to be the default for future inserted instances of a Part or Script.
Studio.App.BetaFeatures.SetInstanceDefaultsWindowTitle,,Set Instance as Default,Set Instance as Default
Studio.App.BetaFeatures.SkinnedMeshDescription,,"Enables import, display and animation of skinned meshes.","Enables import, display and animation of skinned meshes."
Studio.App.BetaFeatures.SkinnedMeshTitle,,Skinned Meshes,Skinned Meshes
Studio.App.BetaFeatures.SomethingChangedPrompt,,Would you like to restart Studio now?,Would you like to restart Studio now?
Studio.App.BetaFeatures.SupportPluginDebuggingDescription,,Set `Plugin Debugging Enabled` to true and you can debug local plugins under the PluginDebugService in Explorer,Set `Plugin Debugging Enabled` to true and you can debug local plugins under the PluginDebugService in Explorer
Studio.App.BetaFeatures.SupportPluginDebuggingTitle,,Plugin Debugging,Plugin Debugging
Studio.App.BetaFeatures.SurfaceJoinChangesDescription,,"Remove the 'Surface' Join Mode, all surfaces create ManualWelds.","Remove the 'Surface' Join Mode, all surfaces create ManualWelds."
Studio.App.BetaFeatures.SurfaceJoinChangesTitle,,Surface Join Behavior Change,Surface Join Behavior Change
Studio.App.BetaFeatures.TexturePacksDescription,,Unlocks PBR texture properties on SurfaceAppearance Instances.,Unlocks PBR texture properties on SurfaceAppearance Instances.
Studio.App.BetaFeatures.TexturePacksTitle,,Advanced SurfaceAppearance Textures,Advanced SurfaceAppearance Textures
Studio.App.BetaFeatures.TryCoolFeatures,,Try out cool new Studio features! Your feedback is invaluable to us as we move forward towards building a powerful imagination platform.,Try out cool new Studio features! Your feedback is invaluable to us as we move forward towards building a powerful imagination platform.
Studio.App.BetaFeatures.TryCoolFeaturesWithWarning,,Try out cool new Studio features before they are released to everyone! Please be aware that Beta features could be unstable. Your feedback is invaluable to us as we move towards building the imagination platform.,Try out cool new Studio features before they are released to everyone! Please be aware that Beta features could be unstable. Your feedback is invaluable to us as we move towards building the imagination platform.
Studio.App.BetaFeatures.WhatsNewWindowDescription,,Open up a scrolling window that shows all of the recent updates to Roblox Studio,Open up a scrolling window that shows all of the recent updates to Roblox Studio
Studio.App.BetaFeatures.WhatsNewWindowTitle,,New Updates Window,New Updates Window
Studio.App.BreakpointConditionEditDialog.BreakpointCondition,,Breakpoint Condition,Breakpoint Condition
Studio.App.BreakpointConditionEditDialog.Condition,,Condition:,Condition:
Studio.App.Breakpoints.DeleteAllBreakpoints,Debugger widgets,Delete All Breakpoints,Delete All Breakpoints
Studio.App.Breakpoints.DeleteSelectedBreakpoint,Debugger widgets,Delete Selected Breakpoint,Delete Selected Breakpoint
Studio.App.Breakpoints.GoToSourceCode,Debugger widgets,Go To Source Code,Go To Source Code
Studio.App.BreakpointsTreeWidget.HeaderLabelCondition,In breakpoints,Condition,Condition
Studio.App.BreakpointsTreeWidget.HeaderLabelEnabled,In breakpoints,Enabled,Enabled
Studio.App.BreakpointsTreeWidget.HeaderLabelLine,In breakpoints,Line,Line
Studio.App.BreakpointsTreeWidget.HeaderLabelScriptName,In breakpoints,Script Name,Script Name
Studio.App.BreakpointsTreeWidget.HeaderLabelSourceLine,In breakpoints,Source Line,Source Line
Studio.App.BreakpointsWidget.DisableAllBreakpoints,,Disable All Breakpoints,Disable All Breakpoints
Studio.App.BreakpointsWidget.DoYouWantToDeleteAllBreakpoints,,Do you want to delete all breakpoints?,Do you want to delete all breakpoints?
Studio.App.BreakpointsWidget.EnableAllBreakpoints,,Enable All Breakpoints,Enable All Breakpoints
Studio.App.BulkImport.CancelImport,Bulk importer,Cancel Import,Cancel Import
Studio.App.BulkImport.ClearWindow,Bulk importer,Clear Window,Clear Window
Studio.App.BulkImport.CloseWindow,Bulk importer,Close Window,Close Window
Studio.App.BulkImport.Collapse,Bulk importer,Collapse,Collapse
Studio.App.BulkImport.Completed,Bulk importer,Completed,Completed
Studio.App.BulkImport.Expand,Bulk importer,Expand,Expand
Studio.App.BulkImport.Import,Bulk importer,Import,Import
Studio.App.BulkImport.ProgressFmt2,Bulk importer,Imported %1 of %2 files,Imported %1 of %2 files
Studio.App.BulkImportController.AllSupportedTypes2,,All Supported Types (%1 %2);;Images (%1);;Meshes (%2),All Supported Types (%1 %2);;Images (%1);;Meshes (%2)
Studio.App.BulkImportController.AlreadyBusy,,Already busy importing. Please try again later.,Already busy importing. Please try again later.
Studio.App.BulkImportController.BusyCancelingPleaseTryAgainLater,,Busy canceling. Please try again later.,Busy canceling. Please try again later.
Studio.App.BulkImportController.BusySplitting,,Already busy mesh splitting. Please try again later.,Already busy mesh splitting. Please try again later.
Studio.App.BulkImportController.CouldNotStart,,Could not start mesh splitting. Please restart Studio or contact support if the problem persists.,Could not start mesh splitting. Please restart Studio or contact support if the problem persists.
Studio.App.BulkImportController.EmptyListToSpliut,,Got an empty list of assets to split. Please try again or contact support if the problem persists.,Got an empty list of assets to split. Please try again or contact support if the problem persists.
Studio.App.BulkImportController.GotEmptyList,,Got an empty list of files to import. Please try again or contact support if the problem persists.,Got an empty list of files to import. Please try again or contact support if the problem persists.
Studio.App.BulkImportController.ImagesSupportedTypes1,"NOTE TO LOCALIZERS: Do not translate the parentheses (), whatever is inside the parentheses, or any other special characters, use ASCII instead.",Images (%1),Images (%1)
Studio.App.BulkImportController.MeshesSupportedTypes1,"NOTE TO LOCALIZERS: Do not translate the parentheses (), whatever is inside the parentheses, or any other special characters, use ASCII instead.",Meshes (%1),Meshes (%1)
Studio.App.BulkImportController.TooManyFiles1,,You cannot import more than %1 files at a time.,You cannot import more than %1 files at a time.
Studio.App.BulkImportController.TooManyFiles2,,You cannot import more than %1 assets at a time. The %2 file(s) you selected exceeds the limit. Please re-select file to import.,You cannot import more than %1 assets at a time. The %2 file(s) you selected exceeds the limit. Please re-select file to import.
Studio.App.BulkImportController.TooManyToSplit,,You cannot split more than %1 files at a time.,You cannot split more than %1 files at a time.
Studio.App.BulkImportController.TryAgain,,Did not get a result. Please try again or contact support if the problem persists.,Did not get a result. Please try again or contact support if the problem persists.
Studio.App.BulkImportController.UnknownError,,An unknown error occurred. Please try again or contact support if the problem persists.,An unknown error occurred. Please try again or contact support if the problem persists.
Studio.App.BulkImportController.UnsupportedAsset,,List of files contains unsupported asset type. Please try again or contact support if the problem persists.,List of files contains unsupported asset type. Please try again or contact support if the problem persists.
Studio.App.BulkImportService.UniverseNotValid,,Universe is not valid,Universe is not valid
Studio.App.BulkImportService.UniverseResourcesNotLoaded,,Universe resources are not loaded yet,Universe resources are not loaded yet
Studio.App.BulkImportWidget.CancelImport,,Cancel Import,Cancel Import
Studio.App.BulkImportWidget.ContinueImport,,Continue Import,Continue Import
Studio.App.BulkImportWidget.ImportNotComplete,,Your import is not complete. Closing the widget will cancel the entire import process. Would you like to cancel it?,Your import is not complete. Closing the widget will cancel the entire import process. Would you like to cancel it?
Studio.App.BulkImporter.RetryingUploadIn1SecondS,,Retrying upload in %1 second(s),Retrying upload in %1 second(s)
Studio.App.BulkImporter.SplitFrom1,,Split from %1,Split from %1
Studio.App.BulkImporterImpl.AssetHasBeenRenamedTo1,,Asset has been renamed to '%1',Asset has been renamed to '%1'
Studio.App.BulkImporterImpl.AssetNameModerated,,Asset name on website has been moderated,Asset name on website has been moderated
Studio.App.BulkImporterImpl.RetryLimtHitTryAgainLater,,Retry limit hit. Try again later,Retry limit hit. Try again later
Studio.App.BulkImporterImpl.RetryingUpload,,Retrying upload,Retrying upload
Studio.App.CalibrateDeviceScalingDialog.AdjustTheSlider,,Adjust the slider so that the image below is about the size of a student ID or library card (8.56 cm or 3.37 inches wide).,Adjust the slider so that the image below is about the size of a student ID or library card (8.56 cm or 3.37 inches wide).
Studio.App.CalibrateDeviceScalingDialog.CalibrateDeviceScaling,,Calibrate Device Scaling,Calibrate Device Scaling
Studio.App.CalibrateDeviceScalingDialog.DecreaseImageSize,,Decrease image size,Decrease image size
Studio.App.CalibrateDeviceScalingDialog.EstimateScreenSize,,"To accurately scale to physical size, we need to get an estimate of your screen size.","To accurately scale to physical size, we need to get an estimate of your screen size."
Studio.App.CalibrateDeviceScalingDialog.IncreaseImageSize,,Increase image size,Increase image size
Studio.App.CallStack.CallStack,Call Stack widgets,Call Stack,Call Stack
Studio.App.CallStack.Frame,Call Stack widgets,Frame,Frame
Studio.App.CallStack.FunctionExplanation,Call Stack widgets,Function Explanation,Function Explanation
Studio.App.CallStack.FunctionName,Call Stack widgets,Function Name,Function Name
Studio.App.CallStack.LineNo,Call Stack widgets,Line No.,Line No.
Studio.App.CallStack.Source,Call Stack widgets,Source,Source
Studio.App.CallStack.What,Call Stack widgets,What,What
Studio.App.CallStackWidget.CurrentScript,,Current Script: ,Current Script: 
Studio.App.Callout.GotIt,Button that a user clicks to dismiss a Teaching Callout. Teaching Callouts are used to showcase new Studio features to users.,Got it!,Got it!
Studio.App.Callout.LearnMore,"Within a Teaching Callout, this text is a link that takes a user to a learning resource for a new feature. Teaching Callouts are used to showcase new Studio features to users.",Learn more,Learn more
Studio.App.CalloutController.AssetManagerCalloutDescription,Description that appears in the Teaching Callout pointing out the new Asset Manager feature.,"Replacing the Game Explorer, the Asset Manager is a new menu in Studio that enables developers to more effectively manage game assets!","Replacing the Game Explorer, the Asset Manager is a new menu in Studio that enables developers to more effectively manage game assets!"
Studio.App.CalloutController.AssetManagerCalloutTitle,Name of the new Asset Manager built-in plugin that displays as a title for a Teaching Callout that points to the button for the plugin.,Asset Manager,Asset Manager
Studio.App.Category.Advanced,,Advanced,Advanced
Studio.App.Category.Appearance,,Appearance,Appearance
Studio.App.Category.Audio,,Audio,Audio
Studio.App.Category.AutoRecovery,,Auto-Recovery,Auto-Recovery
Studio.App.Category.AutoSave,,Auto-Save,Auto-Save
Studio.App.Category.Benchmarking,,Benchmarking,Benchmarking
Studio.App.Category.Browsing,,Browsing,Browsing
Studio.App.Category.Cache,,Cache,Cache
Studio.App.Category.Camera,,Camera,Camera
Studio.App.Category.Configuration,,Configuration,Configuration
Studio.App.Category.Data,,Data,Data
Studio.App.Category.Debug,,Debug,Debug
Studio.App.Category.Diagnostics,,Diagnostics,Diagnostics
Studio.App.Category.Directories,,Directories,Directories
Studio.App.Category.Display,,Display,Display
Studio.App.Category.Errors,,Errors,Errors
Studio.App.Category.Explorer,,Explorer,Explorer
Studio.App.Category.GarbageCollection,,Garbage Collection,Garbage Collection
Studio.App.Category.General,,General,General
Studio.App.Category.Input,,Input,Input
Studio.App.Category.Limits,,Limits,Limits
Studio.App.Category.LuaDebugger,,Lua Debugger,Lua Debugger
Studio.App.Category.Network,,Network,Network
Studio.App.Category.Online,,Online,Online
Studio.App.Category.Output,,Output,Output
Studio.App.Category.Performance,,Performance,Performance
Studio.App.Category.Physics,,Physics,Physics
Studio.App.Category.PrimaryPart,,Primary Part,Primary Part
Studio.App.Category.Profile,,Profile,Profile
Studio.App.Category.ProxySettings,,Proxy Settings,Proxy Settings
Studio.App.Category.Script,,Script,Script
Studio.App.Category.ScriptEditor,,Script Editor,Script Editor
Studio.App.Category.ScriptEditorColors,,Script Editor Colors,Script Editor Colors
Studio.App.Category.Settings,,Settings,Settings
Studio.App.Category.Sound,,Sound,Sound
Studio.App.Category.Tools,,Tools,Tools
Studio.App.Category.Undo,,Undo,Undo
Studio.App.Category.Video,,Video,Video
Studio.App.Category.Visualization,,Visualization,Visualization
Studio.App.ChatSessionHandler.All,,All,All
Studio.App.ChatSessionHandler.TeamChat,,Team Chat,Team Chat
Studio.App.ClientServerToggleFTUE.ClientServerToggle,,Client/Server Toggle,Client/Server Toggle
Studio.App.ClientServerToggleFTUE.ToggleClientServerMode,,Click on the icon to toggle between client and server mode while testing,Click on the icon to toggle between client and server mode while testing
Studio.App.CloudEditController.JoinTeamTestServer,,Join Team Test Server,Join Team Test Server
Studio.App.CloudEditController.ShutdownServer,,Shutdown Server,Shutdown Server
Studio.App.CloudEditController.StartServerAndPlayers,,Start Server and Players,Start Server and Players
Studio.App.CloudEditUserData.FailToRestoreCameraPosition,,Failed to restore camera position: %s,Failed to restore camera position: %s
Studio.App.CommandLine.InvalidArgument2,,Launch Task %1 requires valid %2,Launch Task %1 requires valid %2
Studio.App.CommitScriptsDialog.CommitButtonText,,Commit,Commit
Studio.App.CommitScriptsDialog.CommitMessagePlaceHolderText,,Add a comment to describe what changed,Add a comment to describe what changed
Studio.App.CommitScriptsDialog.ScriptSectionHeader,,Script,Script
Studio.App.CommitScriptsDialog.Title,,Commit Scripts,Commit Scripts
Studio.App.ContextMenuDropdown.Archive,Archive a game,Archive,Archive
Studio.App.ContextMenuDropdown.ConfigureGame,,Configure game,Configure game
Studio.App.ContextMenuDropdown.ConfigurePlace,,Configure place,Configure place
Studio.App.ContextMenuDropdown.DisableTeamCreate,,Disable Team Create,Disable Team Create
Studio.App.ContextMenuDropdown.EnableTeamCreate,,Enable Team Create,Enable Team Create
Studio.App.ContextMenuDropdown.MakePrivate,,Make private,Make private
Studio.App.ContextMenuDropdown.MakePublic,,Make public,Make public
Studio.App.ContextMenuDropdown.OpenPlacePage,,Open place page,Open place page
Studio.App.ContextMenuDropdown.RemoveFromList,,Remove from list,Remove from list
Studio.App.ContextMenuDropdown.Restore,,Restore,Restore
Studio.App.CorruptedInstallationDialog.DefaultMessage,,Some Studio files are missing or corrupted. Please reinstall Studio by following the instructions at <a href='https://en.help.roblox.com/hc/en-us/articles/203312910?fromStudio=true'>https://en.help.roblox.com/hc/en-us/articles/203312910?fromStudio=true</a>,Some Studio files are missing or corrupted. Please reinstall Studio by following the instructions at <a href='https://en.help.roblox.com/hc/en-us/articles/203312910?fromStudio=true'>https://en.help.roblox.com/hc/en-us/articles/203312910?fromStudio=true</a>
Studio.App.CreateNewGameWidget.CreateNewGame,,Create New Game,Create New Game
Studio.App.CreateNewGameWidget.GroupHasNoArchivedGames,,This group doesn't have any archived games,This group doesn't have any archived games
Studio.App.CreateNewGameWidget.GroupHasNoGames,,This group doesn't have any games,This group doesn't have any games
Studio.App.CreateNewGameWidget.LearnMore,,Learn More,Learn More
Studio.App.CreateNewGameWidget.NoArchivedGames,,You don't have any archived games,You don't have any archived games
Studio.App.CreateNewGameWidget.NoArchivedGamesFound,,No archived games found,No archived games found
Studio.App.CreateNewGameWidget.NoEditInvitations,,You haven't been invited to edit any games,You haven't been invited to edit any games
Studio.App.CreateNewGameWidget.NoGamesFound,,No games found,No games found
Studio.App.CreateNewGameWidget.NoRecentEditedGames,,You haven't edited any games recently,You haven't edited any games recently
Studio.App.CreateNewGameWidget.YouDontHaveAnyGames,,You don't have any games,You don't have any games
