Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.AnimationClipEditor.AnimationFromVideo.ErrorUploadingData,There was a problem uploading the video, ,There was a problem uploading the video,Se produjo un problema al cargar el video,Un problème est survenu lors du chargement de la vidéo,Si è verificato un errore durante il caricamento del video,ビデオのアップロード中に問題が発生しました,비디오를 업로드하는 중에 문제가 발생했습니다,Houve um problema ao fazer o upload do vídeo, , , ,上傳影片時發生錯誤
Studio.AnimationClipEditor.FaceCapture.CameraPermissionDeniedWarningText,Camera permission is required for this feature. You can enable it for RobloxStudio in your system settings., ,Camera permission is required for this feature. You can enable it for RobloxStudio in your system settings.,Se requiere permiso de la cámara para esta función. Puedes activarla para Roblox Studio en la configuración de tu sistema.,L'autorisation d'accès à la caméra est requise pour cette fonctionnalité. Tu peux l'activer pour RobloxStudio dans les paramètres de ton système.,Per questa funzione è necessaria l'autorizzazione della videocamera. È possibile abilitarla per RobloxStudio nelle impostazioni di sistema.,この機能を使うにはカメラ権限が必要です。システム設定ページにある RobloxStudio のところで有効にできます。,이 기능을 사용하려면 카메라 권한이 필요합니다. 시스템 설정에서 RobloxStudio에 권한을 부여하세요.,É necessário a permissão de câmera para esta funcionalidade. Você pode ativá-la para o Roblox Studio nas configurações de sistema., , , ,此功能需要攝影機權限，您可以在系統設定給予 Roblox Studio 攝影機權限。
Studio.AnimationClipEditor.Title.HoverOverNameDisplay,Hover-over name display, ,Hover-over name display,Nombre flotante,Affichage du nom avec le curseur,Passa cursore su visualizzazione nome,ホバーオーバー名表示,커서 올리기 이름 표시,Nome flutuante, ,悬停名称显示,悬停名称显示,停放名稱顯示
Studio.AnimationClipEditor.Dialog.Confirm,Confirm, ,Confirm,Confirmar,Confirmer,Conferma,確定,확인,Confirmar,Подтвердить,确认,确认,確認
Studio.AnimationClipEditor.ContextMenu.Undo,Undo, ,Undo,Deshacer,Défaire,Annulla,元に戻す,실행 취소,Desfazer,Отменить,撤消,撤消,復原
Studio.AnimationClipEditor.ContextMenu.SelectAll,Select All, ,Select All,Seleccionar todo,Tout sélectionner,Seleziona tutto,すべて選択,모두 선택,Selecionar tudo,Выбрать все,全选,全选,全選
Studio.AnimationClipEditor.ContextMenu.ToggleBoneVis,Toggle Microbone Visibility, ,Toggle Microbone Visibility,Activar visibilidad de Microbone,Activer la visibilité des microstructures,Attiva/disattiva visibilità microbone,Microbone の可視性を切り替え,Microbone 표시 여부 토글,Ativar visibilidade de Microbone, ,切换 Microbone 可视性,切换 Microbone 可视性,切換 Microbone 可見度
Studio.AnimationClipEditor.ContextMenu.DeselectAll,Deselect All, ,Deselect All,Anular toda la selección,Tout désélectionner,Deseleziona tutto,選択をすべて解除,모두 선택 취소,Desfazer toda seleção,Отменить выбор всех объектов,取消全选,取消全选,取消全選
Studio.AnimationClipEditor.Dialog.Save,Save, ,Save,Guardar,Sauvegarder,Salva,保存,저장,Salvar,Сохранить,保存,保存,儲存
Studio.AnimationClipEditor.Menu.Save,Save, ,Save,Guardar,Sauvegarder,Salva,保存,저장,Salvar,Сохранить,保存,保存,儲存
Studio.AnimationClipEditor.ContextMenu.EditEventName,Edit Event Name, ,Edit Event Name,Editar nombre del evento,Modifier le nom de l'événement,Modifica nome evento,イベント名を編集,이벤트 이름 편집,Editar nome do evento,Изменить имя события,编辑事件名称,编辑事件名称,編輯事件名稱
Studio.AnimationClipEditor.FaceCapture.CameraSelectionBody,Multiple cameras have been detected. Please choose one to start recording., ,Multiple cameras have been detected. Please choose one to start recording.,Se detectaron múltiples cámaras. Elige una para iniciar la grabación.,Plusieurs caméras ont été détectées. En choisir une pour démarrer l'enregistrement.,Sono state rilevate più telecamere. Si prega di sceglierne una per iniziare la registrazione.,複数のカメラが検出されました。録画を開始するには一つ選択してください。,여러 대의 카메라가 감지되었습니다. 사용할 카메라를 선택하세요.,Várias câmeras foram detectadas. Escolha uma para começar a gravar., , , ,偵測到多個攝影機，請選擇要使用的攝影機。
Studio.AnimationClipEditor.AnimationFromVideo.MultiplePeopleInFrame,Multiple people detected - Please try a video with a single person fully in frame., ,Multiple people detected - Please try a video with a single person fully in frame.,Múltiples personas detectadas. Prueba a usar un video con una sola persona completamente adentro del marco.,Plusieurs personnes détectées - Essayer une vidéo avec une seule personne entièrement cadrée.,Più persone rilevate - Si prega di provare un video con una singola persona completamente in cornice.,複数の人が検出されました。一人の人をフレーム内に収めてビデオをお試しください。,여러 사람이 감지됨 - 한 사람이 프레임 안에 완전히 속한 비디오를 사용하세요.,Várias pessoas detectadas - Tente um vídeo com uma única pessoa totalmente dentro do quadro., , , ,偵測到多個人物，請選擇含有全身入鏡的單一人物的短片。
Studio.AnimationClipEditor.Title.ConfirmSave,Do you want to save this animation file?, ,Do you want to save this animation file?,¿Quieres guardar este archivo de animación?,Voulez-vous sauvegarder ce fichier d'animation ?,Vuoi salvare questo file di animazione?,このアニメーションファイルを保存しますか？,이 애니메이션 파일을 저장할까요?,Salvar arquivo de animação?,Сохранить файл этой анимации?,是否保存此动画文件?,是否保存此动画文件?,要儲存此動畫檔案嗎？
Studio.AnimationClipEditor.ContextMenu.DeleteAllSameEvents,Delete All Same Events, ,Delete All Same Events,Eliminar todos los eventos repetidos,Supprimer tous les mêmes évènements,Elimina tutti gli eventi uguali,すべての重複イベントを削除,동일한 이벤트 모두 삭제,Apagar todos os eventos repetidos,Удалить такие же события,删除全部重复事件,删除全部重复事件,刪除所有相同事件
Studio.AnimationClipEditor.Settings.TimelineUnit,Timeline Unit, ,Timeline Unit,Unidad de línea de tiempo,Images,Unità timeline,タイムライン単位,타임라인 단위,Unidade da linha do tempo,Ед.измерения шкалы времени,时间轴单位,时间轴单位,時間軸單位
Studio.AnimationClipEditor.ContextMenu.RenameKeyframe,Rename Key Keyframe, ,Rename Key Keyframe,Renombrar clave del fotograma clave,Renommer l'image-clé Clé,Rinomina key frame,主要なキーフレームの名前を変更,키 키프레임 이름 변경,Renomear chave do keyframe,Переименовать ключевой кадр,重命名重要关键帧,重命名重要关键帧,重新命名關鍵格
Studio.AnimationClipEditor.ContextMenu.ChangeDuration,Change Duration, ,Change Duration,Cambiar duración,Changer la durée,Modifica durata,期間を変更,지속 시간 변경,Mudar duração,Изменить продолжительность,更改长度,更改长度,變更長度
Studio.AnimationClipEditor.Title.ChangeDuration,Change Duration, ,Change Duration,Cambiar duración,Changer la durée,Modifica durata,期間を変更,지속 시간 변경,Mudar duração,Изменить продолжительность,更改时长,更改时长,變更長度
Studio.AnimationClipEditor.IKMenu.DisableIK,Disable IK, ,Disable IK,Desactivar cinemática inversa (IK),Désactiver IK (cinématique inverse),Disattiva IK,IKを無効化,IK 비활성화,Desativar cinemática inversa (IK),Отключить обратную кинематику,禁用 IK,禁用 IK,停用 IK
Studio.AnimationClipEditor.IKMenu.EnableIK,Enable IK, ,Enable IK,Activar cinemática inversa (IK),Activer IK (cinématique inverse),Abilita IK,IKを有効化,IK 활성화,Ativar cinemática inversa (IK),Включить обратную кинематику,启用 IK,启用 IK,啟用 IK
Studio.AnimationClipEditor.Settings.XYZ,XYZ, ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
Studio.AnimationClipEditor.IKMenu.IKMode,IK Mode, ,IK Mode,Modo cinemática inversa (IK),Mode IK (cinématique inverse),Modalità IK,IKモード,IK 모드,Modo cinemática inversa (IK),Режим обратной кинематики,IK 模式,IK 模式,IK 模式
Studio.AnimationClipEditor.IKMenu.BodyPart,Body Part, ,Body Part,Parte del cuerpo,Partie du corps,Parte del corpo,体のパーツ,신체 부위,Parte do corpo,Часть тела,身体部件,身体部件,身體部位
Studio.AnimationClipEditor.Title.IK,IK, ,IK,Cinemática inversa (IK),Cinématique inverse (IK),IK,IK,역운동학(IK),Cinemática inversa (IK),Обратная кинематика,反向运动（IK）,反向运动（IK）,逆向運動（IK）
Studio.AnimationClipEditor.Menu.Tongue,Tongue, ,Tongue,Lengua,Langue,Lingua,舌,혀,Língua,Язык,舌头,舌头,舌頭
Studio.AnimationClipEditor.Title.CreateNew,Create New Animation, ,Create New Animation,Crear animación nueva,Créer une nouvelle animation,Crea una nuova animazione,新しいアニメーションを作成,새 애니메이션 만들기,Criar nova animação,Создать новую анимацию,创建新动画,创建新动画,創作新動畫
Studio.AnimationClipEditor.IKMenu.ShowTreeview,Show Treeview, ,Show Treeview,Mostrar Vista de árbol,Afficher l'arborescence,Mostra visualizzazione ad albero,ツリービューを表示,트리뷰 표시,Mostra vista de árvore,Показать Дерево выбора,显示树状图,显示树状图,顯示樹狀檢視
Studio.AnimationClipEditor.IKMenu.Prompt,Enable IK to start animating with IK constraints, ,Enable IK to start animating with IK constraints,Activar cinemática inversa (IK) para animar con restricciones de cinemática inversa (IK),Permettre à IK (cinématique inverse) de commencer à animer avec des contraintes IK (cinématique inverse),Abilita IK per iniziare ad animare con vincoli IK,IK構文でアニメ化を開始するにはIKを有効化,IK를 활성화하여 IK 제약으로 애니메이션화 시작,Ativar cinemática inversa (IK) para animar com restrições de cinemática inversa (IK),"Включить обратную кинематику, чтобы начать анимацию с ограничениями ОК",启用 IK 以开始创建使用 IK 约束的动画,启用 IK 以开始创建使用 IK 约束的动画,若要使用 IK 限制創作動畫，請啟用 IK 模式
Studio.AnimationClipEditor.DropdownMenu.CreateNewClip,Create New Clip, ,Create New Clip,Crear clip nuevo,Créer un nouveau clip,Crea nuova clip,新しいクリップを作成,새 클립 만들기,Criar novo clip,Создать новый клип,创建新片段,创建新片段,創作新片段
Studio.AnimationClipEditor.RigErrors.MultipleParents_Migrated,The following parts are affected by multiple Motor6Ds: {entries}, ,The following parts are affected by multiple Motor6Ds: {entries},Las siguientes partes se ven afectadas por múltiples Motor6Ds: {entries},Les parties suivantes sont touchées par de multiples Motor6Ds: {entries},Le seguenti parti dipendono da molteplici Motor6D: {entries},以下のパーツは複数の Motor6Ds に影響されます: {entries},다음 파트가 여러 Motor6D의 영향을 받습니다: {entries},As seguintes partes estão sendo afetadas por múltiplos Motor6Ds: {entries}, ,以下部件受到多个 Motor6D 影响：{entries},以下部件受到多个 Motor6D 影响：{entries},以下零件受到多個 Motor6D 影響：{entries}
Studio.AnimationClipEditor.Title.AnimationEvents,Animation Events, ,Animation Events,Eventos de animación,Événements d'animation,Eventi di animazione,アニメーションイベント,애니메이션 이벤트,eventos de animação,События анимации,动画事件,动画事件,動襪事件
Studio.AnimationClipEditor.Menu.Movement,Movement, ,Movement,Movimiento,Mouvement,Movimento,移動,이동,Movimento, ,移动,移动,移動
Studio.AnimationClipEditor.Title.EditEvents,Edit Animation Events, ,Edit Animation Events,Editar eventos de animación,Modifier des événements animation,Modifica eventi di animazione,アニメーションイベントを編集,애니메이션 이벤트 편집,Editar eventos de animação,Изменить события анимации,编辑动画事件,编辑动画事件,編輯動畫事件
Studio.AnimationClipEditor.Title.ManageIK,Manage IK, ,Manage IK,Gestionar cinemática inversa (IK),Gérer IK,Gestisci IK,IKを管理,IK 관리,Gerenciar cinemática inversa (IK),Управление ОК,管理 IK,管理 IK,管理 IK
Studio.AnimationClipEditor.Settings.SnapKeyframes,Keyframes, ,Keyframes,Fotogramas clave,Images-clés,Key frame,キーフレーム,키프레임,Quadros chaves, ,关键帧,关键帧,關鍵格
Studio.AnimationClipEditor.Title.EventName,Event Name, ,Event Name,Nombre del evento,Nom de l'événement,Nome evento,イベント名,이벤트 이름,Nome do evento,Название события,事件名称,事件名称,事件名稱
Studio.AnimationClipEditor.Curves.TangentValuePerSecond,{value}/s, ,{value}/s,{value} por seg.,{value}/s,{value}/s,{value}/秒,{value}/초,{value}/s, , , ,{value} / 秒
Studio.AnimationClipEditor.AnimationFromVideo.RequiresModeration,Our moderation team is taking a look – we'll be in touch shortly., ,Our moderation team is taking a look – we'll be in touch shortly.,Nuestro equipo de moderación está echando un vistazo. Nos pondremos en contacto a la brevedad.,Notre équipe de modération est en train de jeter un coup d’œil. Nous te contacterons sous peu.,Il nostro team di moderazione sta dando un'occhiata – saremo in contatto a breve.,当社のモデレーションチームが確認中です。まもなくご連絡いたします。,검열 팀에서 항목을 검토하고 있습니다. 완료되는 대로 알려 드리겠습니다.,Nossa equipe de moderação está verificando – entraremos em contato em breve., , , ,管理員正在進行審查，我們將會盡速聯絡您。
Studio.AnimationClipEditor.Menu.Import,Import, ,Import,Importar,Importer,Importa,インポート,가져오기,Importar,Импорт,导入,导入,匯入
Studio.AnimationClipEditor.Title.MinFPS,Minimum frame rate is 1 fps, ,Minimum frame rate is 1 fps,La velocidad mínima del fotograma es de 1 fps,Le taux minimum d'images est 1 image par seconde,Framerate minimo: 1 fps,最小フレームレートは 1 fps,최소 프레임 속도는 1fps입니다,O mínimo de quadros por segundo é 1 fps,Минимальная частота - 1 fps,最小帧速率为1 fps,最小帧速率为1 fps,最小影格率為 1 fps
Studio.AnimationClipEditor.Title.AddEvent,Add Event, ,Add Event,Añadir evento,Ajouter un événement,Aggiungi evento,イベントを追加,이벤트 추가,Adicionar evento,Добавить событие,添加事件,添加事件,新增事件
