Key,Source,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.AnimationClipEditor.ContextMenu.CutEvents,Cut Selected,Cut Selected,Cortar seleccionado,Couper Sélectionné,選択済みを切り抜き,선택 항목 잘라내기,Cortar seleção,Вырезать выбранное,剪切选定项,剪切选定项,剪下選取項目
Studio.AnimationClipEditor.ContextMenu.CutSelected,Cut Selected,Cut Selected,Cortar seleccionado,Couper Sélectionné,選択済みを切り抜き,선택 항목 잘라내기,Cortar seleção,Вырезать выбранное,剪切选定项,剪切选定项,剪下選取項目
Studio.AnimationClipEditor.Tooltip.CurrentFrameBox,Change scrubber time,Change scrubber time,Cambia la barra de tiempo,Changer la barre de temps,スクラバーの時間を変更,스크러버 시간 변경,Mudar a barra de tempo,Изменить время ползунка,更改进度条时间,更改进度条时间,變更進度條時間
Studio.AnimationClipEditor.Title.Parameter,Parameter,Parameter,Parámetro,Paramètre,パラメータ,매개변수,Parâmetro,Параметр,参数,参数,參數
Studio.AnimationClipEditor.IKMenu.FullBody,Full Body,Full Body,Cuerpo entero,Corps entier,全体,전신,Corpo inteiro,Все тело,全体,全体,全身
Studio.AnimationClipEditor.ContextMenu.AddKeyframe,Add Keyframe,Add Keyframe,Añadir fotograma clave,Ajouter une image-clé,キーフレームを追加,키프레임 추가,Adicionar quadro chave,Добавить ключевой кадр,添加关键帧,添加关键帧,增加關鍵格
Studio.AnimationClipEditor.ContextMenu.CopyEvents,Copy Selected,Copy Selected,Copiar seleccionado,Copier Sélectionné,選択範囲をコピー,선택 항목 복사,Copiar seleção,Копировать выбранное,复制选定项,复制选定项,複製選取項目
Studio.AnimationClipEditor.ContextMenu.CopySelected,Copy Selected,Copy Selected,Copiar seleccionado,Copier Sélectionné,選択範囲をコピー,선택 항목 복사,Copiar seleção,Копировать выбранное,复制选定项,复制选定项,複製選取項目
Studio.AnimationClipEditor.ContextMenu.EasingStyle,Easing Style,Easing Style,Estilo de aceleración,Style allégé,イージングの種類,감속/가속 스타일,Estilo de aceleração,Стиль упрощения,缓动风格,缓动风格,緩動風格
Studio.AnimationClipEditor.ContextMenu.TogglePlay,Toggle Play,Toggle Play,Alternar reproducción,Appuyer sur Play,プレイを切り換え,플레이 토글,Alternar reprodução,Переключить воспроизведение,切换播放,切换播放,切換播放狀態
Studio.AnimationClipEditor.ContextMenu.PasteKeyframes,Paste Keyframes,Paste Keyframes,Pegar fotogramas clave,Copier image-clés,キーフレームを貼り付け,키프레임 붙여넣기,Colar quadros chaves,Вставить ключевые кадры,粘贴关键帧,粘贴关键帧,貼上關鍵格
Studio.AnimationClipEditor.Menu.CreateNew,Create New,Create New,Crear nuevo,Créer nouveau,新規作成,새로 만들기,Criar novo,Создать,新建,新建,新建
Studio.AnimationClipEditor.Dialog.SaveLocation,Animation will be saved to Rig > AnimSaves in Explorer,Animation will be saved to Rig > AnimSaves in Explorer,La animación se guardará en Rig > AnimSaves en Explorador,L'animation sera sauvegardé sur la plateforme de test >AnimSaves dans Explorer,アニメーションはエクスプローラの リグ > AnimSaves に保存されます,애니메이션은 탐색기의 리그 > AnimSaves에 저장됩니다,A animação será salva em Rig > AnimSaves no Explorador,Путь сохранения анимации: Скелетная анимация > AnimSaves в проводнике,动画将保存到项目管理器中的骨架 > AnimSaves,动画将保存到项目管理器中的骨架 > AnimSaves,動畫將會儲存到總管裡的 Rig > AnimSaves
Studio.AnimationClipEditor.ContextMenu.DeleteEvents,Delete Selected,Delete Selected,Eliminar seleccionado,Supprimer Sélectionné,選択範囲を削除,선택 항목 삭제,Apagar seleção,Удалить выбранное,删除选定项,删除选定项,刪除選取項目
Studio.AnimationClipEditor.ContextMenu.DeleteSelected,Delete Selected,Delete Selected,Eliminar seleccionado,Supprimer Sélectionné,選択範囲を削除,선택 항목 삭제,Apagar seleção,Удалить выбранное,删除选定项,删除选定项,刪除選取項目
Studio.AnimationClipEditor.ContextMenu.ResetSelected,Reset Selected,Reset Selected,Reiniciar seleccionado,Réinitialiser Sélectionné,選択範囲を再設定,선택 항목 재설정,Reiniciar seleção,Сбросить выбранное,重置选定项,重置选定项,重置選取項目
Studio.AnimationClipEditor.Settings.SnapMode,Snap Mode,Snap Mode,Modo instantáneo,Mod snap,装着モード,맞춤 모드,Modo instantâneo, ,捕捉模式,捕捉模式,貼齊模式
Studio.AnimationClipEditor.Menu.RenamePrompt,New Animation Name:,New Animation Name:,Nombre de la animación nueva:,Nom de la nouvelle animation :,新しいアニメーション名:,새 애니메이션 이름:,Novo nome da animação:,Название новой анимации:,新动画名称：,新动画名称：,新動畫名稱：
Studio.AnimationClipEditor.Settings.FrameRate,Frame Rate,Frame Rate,Velocidad del fotograma,Taux d'images,フレームレート,프레임 속도,Velocidade dos quadros,Частота кадров,帧速率,帧速率,影格率
Studio.AnimationClipEditor.Title.MaxFPS,Maximum frame rate is 120 fps,Maximum frame rate is 120 fps,La velocidad máxima del fotograma es de 120 fps,Le taux maximum d'images est de 120 images par seconde,最大フレームレートは 120 fps,최대 프레임 속도는 120fps입니다,O máximo de quadros por segundo é de 120 fps,Максимальная частота - 120 fps,最大帧速率为120 fps,最大帧速率为120 fps,最大影格率為 120 fps
Studio.AnimationClipEditor.Title.SaveAsNew,Save As New Animation,Save As New Animation,Guardar como animación nueva,Sauvegarder comme une nouvelle animation,新しいアニメーションとして保存,새 애니메이션으로 저장,Salvar como nova animação,Сохранить как новую анимацию,另存为新动画,另存为新动画,另存新動畫
Studio.AnimationClipEditor.ContextMenu.AddEvent,Add Animation Event Here,Add Animation Event Here,Añadir evento de animación aquí,Ajouter un événement animation ici,ここにアニメーションイベントを追加,여기에 애니메이션 이벤트 추가,Adicionar evento de animação aqui,Добавить сюда событие анимации,在此处添加动画事件,在此处添加动画事件,在此增加動畫事件
Studio.AnimationClipEditor.Dialog.Cancel,Cancel,Cancel,Cancelar,Annuler,キャンセル,취소,Cancelar,Отмена,取消,取消,取消
Studio.AnimationClipEditor.ContextMenu.EditEvents,Edit Animation Event,Edit Animation Event,Editar evento de animación,Modifier un événement animation,アニメーションイベントを編集,애니메이션 이벤트 편집,Editar evento de animação,Изменить событие анимации,编辑动画事件,编辑动画事件,編輯動畫事件
Studio.AnimationClipEditor.ContextMenu.PasteEvents,Paste Events,Paste Events,Pegar eventos,Évènements passés,イベントを貼り付け,이벤트 붙여넣기,Colar eventos,Вставить события,粘贴事件,粘贴事件,貼上事件
Studio.AnimationClipEditor.ContextMenu.EasingDirection,Easing Direction,Easing Direction,Dirección de aceleración,Direction allégée,イージングの方向,감속/가속 방향,Direção de aceleração,Направление упрощения,缓动方向,缓动方向,緩動方向
Studio.AnimationClipEditor.ContextMenu.Redo,Redo,Redo,Rehacer,Refaire,やり直す,다시 실행,Refazer,Вернуть,重做,重做,重做
Studio.AnimationClipEditor.ContextMenu.DeleteTrack,Delete Track,Delete Track,Eliminar pista,Supprimer une piste,トラックを削除,트랙 삭제,Apagar trilha,Удалить отслеживание,删除动画轨迹,删除动画轨迹,刪除影軌
Studio.AnimationClipEditor.Settings.Frames,Frames,Frames,Fotogramas,Images,フレーム,프레임,Quadros,Кадры,帧,帧,影格
Studio.AnimationClipEditor.Settings.SnapFrames,Frames,Frames,Cuadros,Cadres,フレーム,프레임,Quadros, ,帧,帧,影格
Studio.AnimationClipEditor.Settings.PlaybackSpeed,Playback Speed,Playback Speed,Velocidad de reproducción,Vitesse de lecture,プレイバック速度,재생 속도,Velocidade de execução, ,播放速度,播放速度,播放速度
Studio.AnimationClipEditor.Title.SelectARig,Select a rig to animate or create a new rig by selecting Build Rig under the Plugins tab,Select a rig to animate or create a new rig by selecting Build Rig under the Plugins tab,Selecciona un rig para animar o crea un rig nuevo eligiendo Construir rig en la pestaña Plugins,Sélectionner un rig à animer ou créer une nouvelle plate-forme en sélectionnant Construire Rig sous l'onglet Plugins,アニメ化するにはリグを選択するか、プラグインタブの下にある Build Rig を選択して新しいリグを作成,애니메이션화할 리그를 선택하거나 플러그인 탭에서 리그 빌드를 선택해 새 리그를 만듭니다.,Selecionar um rig para animar ou criar novo rig selecionando Construir rig na aba Plugins,Выберите скелетную анимацию,选择一个要制作动画的骨架，或选择插件标签页下的“建造骨架”来新建骨架。,选择一个要制作动画的骨架，或选择插件标签页下的“建造骨架”来新建骨架。,選擇要製作動畫的骨架，或使用外掛程式標籤底下的「建造骨架」選項建立新的骨架
Studio.AnimationClipEditor.Dialog.Confirm,Confirm,Confirm,Confirmar,Confirmer,確定,확인,Confirmar,Подтвердить,确认,确认,確認
Studio.AnimationClipEditor.ContextMenu.Undo,Undo,Undo,Deshacer,Défaire,元に戻す,실행 취소,Desfazer,Отменить,撤消,撤消,復原
Studio.AnimationClipEditor.ContextMenu.SelectAll,Select All,Select All,Seleccionar todo,Tout sélectionner,すべて選択,모두 선택,Selecionar tudo,Выбрать все,全选,全选,全選
Studio.AnimationClipEditor.ContextMenu.ToggleBoneVis,Toggle Microbone Visibility,Toggle Microbone Visibility,Activar visibilidad de Microbone,Activer la visibilité des microstructures,Microbone の可視性を切り替え,Microbone 표시 여부 토글,Ativar visibilidade de Microbone, ,切换 Microbone 可视性,切换 Microbone 可视性,切換 Microbone 可見度
Studio.AnimationClipEditor.ContextMenu.DeselectAll,Deselect All,Deselect All,Anular toda la selección,Tout désélectionner,選択をすべて解除,모두 선택 취소,Desfazer toda seleção,Отменить выбор всех объектов,取消全选,取消全选,取消全選
Studio.AnimationClipEditor.Dialog.Save,Save,Save,Guardar,Sauvegarder,保存,저장,Salvar,Сохранить,保存,保存,儲存
Studio.AnimationClipEditor.Menu.Save,Save,Save,Guardar,Sauvegarder,保存,저장,Salvar,Сохранить,保存,保存,儲存
Studio.AnimationClipEditor.ContextMenu.EditEventName,Edit Event Name,Edit Event Name,Editar nombre del evento,Modifier le nom de l'événement,イベント名を編集,이벤트 이름 편집,Editar nome do evento,Изменить имя события,编辑事件名称,编辑事件名称,編輯事件名稱
Studio.AnimationClipEditor.Title.ConfirmSave,Do you want to save this animation file?,Do you want to save this animation file?,¿Quieres guardar este archivo de animación?,Voulez-vous sauvegarder ce fichier d'animation ?,このアニメーションファイルを保存しますか？,이 애니메이션 파일을 저장할까요?,Salvar arquivo de animação?,Сохранить файл этой анимации?,是否保存此动画文件?,是否保存此动画文件?,要儲存此動畫檔案嗎？
Studio.AnimationClipEditor.ContextMenu.DeleteAllSameEvents,Delete All Same Events,Delete All Same Events,Eliminar todos los eventos repetidos,Supprimer tous les mêmes évènements,すべての重複イベントを削除,동일한 이벤트 모두 삭제,Apagar todos os eventos repetidos,Удалить такие же события,删除全部重复事件,删除全部重复事件,刪除所有相同事件
Studio.AnimationClipEditor.Settings.TimelineUnit,Timeline Unit,Timeline Unit,Unidad de línea de tiempo,Images,タイムライン単位,타임라인 단위,Unidade da linha do tempo,Ед.измерения шкалы времени,时间轴单位,时间轴单位,時間軸單位
Studio.AnimationClipEditor.ContextMenu.RenameKeyframe,Rename Key Keyframe,Rename Key Keyframe,Renombrar clave del fotograma Clave,Renommer l'image-clé Clé,主要なキーフレームの名前を変更,키 키프레임 이름 변경,Renomear chave do quadro chave,Переименовать ключевой кадр,重命名重要关键帧,重命名重要关键帧,重新命名關鍵格
Studio.AnimationClipEditor.ContextMenu.ChangeDuration,Change Duration,Change Duration,Cambiar duración,Changer la durée,期間を変更,지속 시간 변경,Mudar duração,Изменить продолжительность,更改长度,更改长度,變更長度
Studio.AnimationClipEditor.Title.ChangeDuration,Change Duration,Change Duration,Cambiar duración,Changer la durée,期間を変更,지속 시간 변경,Mudar duração,Изменить продолжительность,更改时长,更改时长,變更長度
Studio.AnimationClipEditor.IKMenu.DisableIK,Disable IK,Disable IK,Desactivar cinemática inversa (IK),Désactiver IK (cinématique inverse),IKを無効化,IK 비활성화,Desativar cinemática inversa (IK),Отключить обратную кинематику,禁用 IK,禁用 IK,停用 IK
Studio.AnimationClipEditor.IKMenu.EnableIK,Enable IK,Enable IK,Activar cinemática inversa (IK),Activer IK (cinématique inverse),IKを有効化,IK 활성화,Ativar cinemática inversa (IK),Включить обратную кинематику,启用 IK,启用 IK,啟用 IK
Studio.AnimationClipEditor.IKMenu.IKMode,IK Mode,IK Mode,Modo cinemática inversa (IK),Mode IK (cinématique inverse),IKモード,IK 모드,Modo cinemática inversa (IK),Режим обратной кинематики,IK 模式,IK 模式,IK 模式
Studio.AnimationClipEditor.IKMenu.BodyPart,Body Part,Body Part,Parte del cuerpo,Partie du corps,体のパーツ,신체 부위,Parte do corpo,Часть тела,身体部件,身体部件,身體部位
Studio.AnimationClipEditor.Title.IK,IK,IK,Cinemática inversa (IK),IK,IK,역운동학(IK),Cinemática inversa (IK),Обратная кинематика,IK,IK,逆向運動（IK）
Studio.AnimationClipEditor.Menu.Tongue,Tongue,Tongue,Lengua,Langue,舌,혀,Língua, ,舌头,舌头,舌頭
Studio.AnimationClipEditor.Title.CreateNew,Create New Animation,Create New Animation,Crear animación nueva,Créer une nouvelle animation,新しいアニメーションを作成,새 애니메이션 만들기,Criar nova animação,Создать новую анимацию,创建新动画,创建新动画,創作新動畫
Studio.AnimationClipEditor.IKMenu.ShowTreeview,Show Treeview,Show Treeview,Mostrar Vista de árbol,Afficher l'arborescence,ツリービューを表示,트리뷰 표시,Mostra vista de árvore,Показать Дерево выбора,显示树状图,显示树状图,顯示樹狀檢視
Studio.AnimationClipEditor.IKMenu.Prompt,Enable IK to start animating with IK constraints,Enable IK to start animating with IK constraints,Activar cinemática inversa (IK) para animar con restricciones de cinemática inversa (IK),Permettre à IK (cinématique inverse) de commencer à animer avec des contraintes IK (cinématique inverse),IK構文でアニメ化を開始するにはIKを有効化,IK를 활성화하여 IK 제약으로 애니메이션화 시작,Ativar cinemática inversa (IK) para animar com restrições de cinemática inversa (IK),"Включить обратную кинематику, чтобы начать анимацию с ограничениями ОК",启用 IK 以开始创建使用 IK 约束的动画,启用 IK 以开始创建使用 IK 约束的动画,若要使用 IK 限制創作動畫，請啟用 IK 模式
Studio.AnimationClipEditor.DropdownMenu.CreateNewClip,Create New Clip,Create New Clip,Crear clip nuevo,Créer un nouveau clip,新しいクリップを作成,새 클립 만들기,Criar novo clip,Создать новый клип,创建新片段,创建新片段,創作新片段
Studio.AnimationClipEditor.RigErrors.MultipleParents_Migrated,The following parts are affected by multiple Motor6Ds: {entries},The following parts are affected by multiple Motor6Ds: {entries},Las siguientes partes se ven afectadas por múltiples Motor6Ds: {entries},Les parties suivantes sont touchées par de multiples Motor6Ds: {entries},以下のパーツは複数の Motor6Ds に影響されます: {entries},다음 파트가 여러 Motor6D의 영향을 받습니다: {entries},As seguintes partes estão sendo afetadas por múltiplos Motor6Ds: {entries}, ,以下部件受到多个 Motor6D 影响：{entries},以下部件受到多个 Motor6D 影响：{entries},以下零件受到多個 Motor6D 影響：{entries}
Studio.AnimationClipEditor.Title.AnimationEvents,Animation Events,Animation Events,Eventos de animación,Événements d'animation,アニメーションイベント,애니메이션 이벤트,eventos de animação,События анимации,动画事件,动画事件,動襪事件
Studio.AnimationClipEditor.Menu.Movement,Movement,Movement,Movimiento,Mouvement,移動,이동,Movimento, ,移动,移动,移動
Studio.AnimationClipEditor.Title.EditEvents,Edit Animation Events,Edit Animation Events,Editar eventos de animación,Modifier des événements animation,アニメーションイベントを編集,애니메이션 이벤트 편집,Editar eventos de animação,Изменить события анимации,编辑动画事件,编辑动画事件,編輯動畫事件
Studio.AnimationClipEditor.Title.ManageIK,Manage IK,Manage IK,Gestionar cinemática inversa (IK),Gérer IK,IKを管理,IK 관리,Gerenciar cinemática inversa (IK),Управление ОК,管理 IK,管理 IK,管理 IK
Studio.AnimationClipEditor.Settings.SnapKeyframes,Keyframes,Keyframes,Fotogramas,Images-clés,キーフレーム,키 프레임,Quadros chaves, ,关键帧,关键帧,關鍵格
Studio.AnimationClipEditor.Title.EventName,Event Name,Event Name,Nombre del evento,Nom de l'événement,イベント名,이벤트 이름,Nome do evento,Название события,事件名称,事件名称,事件名稱
Studio.AnimationClipEditor.Menu.Import,Import,Import,Importar,Importer,インポート,가져오기,Importar,Импорт,导入,导入,匯入
Studio.AnimationClipEditor.Title.MinFPS,Minimum frame rate is 1 fps,Minimum frame rate is 1 fps,La velocidad mínima del fotograma es de 1 fps,Le taux minimum d'images est 1 image par seconde,最小フレームレートは 1 fps,최소 프레임 속도는 1fps입니다,O mínimo de quadros por segundo é 1 fps,Минимальная частота - 1 fps,最小帧速率为1 fps,最小帧速率为1 fps,最小影格率為 1 fps
Studio.AnimationClipEditor.Title.AddEvent,Add Event,Add Event,Añadir evento,Ajouter un événement,イベントを追加,이벤트 추가,Adicionar evento,Добавить событие,添加事件,添加事件,新增事件
Studio.AnimationClipEditor.Title.Error,Error,Error,Error,Erreur,エラー,오류,Erro,Ошибка,错误,错误,錯誤
Studio.AnimationClipEditor.ContextMenu.AddKeyframeAtScrubber,Add Keyframe At Scrubber,Add Keyframe At Scrubber,Añadir fotograma clave en la barra de tiempo,Ajouter Keyframe au Scrubber,スクラバーで Keyframe を追加,스크러버에 키프레임 추가,Adicionar quadro chave à barra de tempo, ,在进度条位置添加关键帧,在进度条位置添加关键帧,在進度條新增關鍵格
Studio.AnimationClipEditor.Menu.SetPriority,Set Animation Priority,Set Animation Priority,Establecer prioridad de la animación,Définir la priorité de l'animation,アニメーションの優先順位を設定,애니메이션 우선순위 설정,Definir prioridade da animação,Установить приоритет анимации,设置动画优先级,设置动画优先级,設定動畫順位
Studio.AnimationClipEditor.Title.CreateToStart,Create an animation to start,Create an animation to start,Crear una animación para comenzar,Créer une animation pour commencer,開始するにはアニメーションを作成,시작할 애니메이션을 만드세요,Crie uma animação para começar,"Чтобы начать, создайте анимацию",创建动画后即可开始,创建动画后即可开始,創作動畫後即可開始
Studio.AnimationClipEditor.Settings.30FPS,30 fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 fps, ,30 fps,30 fps,30 fps
Studio.AnimationClipEditor.Title.ClickToContinue,Click here to continue using the Animation Editor,Click here to continue using the Animation Editor,Hacer clic aquí para seguir usando el Editor de animación,Cliquer ici pour continuer à utiliser l'Éditeur Animation,アニメーションエディタを使用し続けるには、ここをクリック,애니메이션 편집기를 계속 사용하려면 여기를 클릭하세요,Clique aqui para continuar usando o Editor de animação,"Щелкните здесь, чтобы продолжить использовать Редактор анимации",单击此处以继续使用动画编辑器,单击此处以继续使用动画编辑器,按此繼續使用動畫編輯器
Studio.AnimationClipEditor.Menu.FromFBX,From FBX Animation,From FBX Animation,De Animación FBX,De FBX Animation,FBXアニメーションから,FBX 애니메이션에서,De animação FBX,Из FBX Animation,从 FBX 动画,从 FBX 动画,從 FBX 動畫
Studio.AnimationClipEditor.Settings.ShowEvents,Show Animation Events,Show Animation Events,Mostrar eventos de animación,Afficher les événements d'animation,アニメーションイベントを表示,애니메이션 이벤트 표시,Mostrar eventos de animação,Показать события анимации,显示动画事件,显示动画事件,顯示動畫事件
Studio.AnimationClipEditor.Title.NoAnimationExists,"No animation exists for {1}, please create one to start animating","No animation exists for {1}, please create one to start animating",No hay animaciones para {1}. Crea una nueva para comenzar a animar,"Aucune animation existe pour {1}, veuillez en créer une pour commencer une animation",{1} にはアニメーションがありません。アニメ化を開始するには1つ作成してください,{1}에 대한 애니메이션이 없습니다. 애니메이션화하려면 새로 만드세요,"Não existem animações para {1}, crie uma para começar a animar","{1}: анимации не существует, для воспроизведения создайте новую",不存在可用于 {1} 的动画，请为其创建新的动画,不存在可用于 {1} 的动画，请为其创建新的动画,沒有 {1} 的動畫，請直接創作動畫
Studio.AnimationClipEditor.Title.NewDuration,New Duration,New Duration,Nueva duración,Nouvelle durée,新しい期間,새 지속 시간,Nova duração,Новая продолжительность,新的时长,新的时长,新長度
Studio.AnimationClipEditor.Title.CurrentDuration,Current duration is {1:int} frames,Current duration is {1:int} frames,La duración actual es de {1:int} fotogramas,La durée actuelle est {1:int} images,現在の長さは {1:int} フレームです,현재 지속 시간은 {1:int} 프레임입니다,A duração atual é de {1:int} quadros,Текущая продолжительность - {1:int} кадров,当前时长为 {1:int} 帧,当前时长为 {1:int} 帧,目前長度為 {1:int} 影格
Studio.AnimationClipEditor.Title.CustomFPS,Custom Frame Rate [FPS],Custom Frame Rate [FPS],Velocidad personalizada del fotograma [FPS],Taux personnalisé d'images [FPS],カスタムフレームレート [FPS],사용자 정의 프레임 속도 [FPS],Velocidade de quadros personalizada [FPS],Пользовательская частота кадров [FPS],自定义帧速率 [FPS],自定义帧速率 [FPS],自訂影格率 [FPS]
Studio.AnimationClipEditor.Settings.SnapToKeys,Snap To Keys,Snap To Keys,Ajustar a las claves,Clipper aux clés,キーに装着,키에 맞추기,Encaixar às chaves,Привязать к ключам,对齐至关键点,对齐至关键点,對齊到關鍵點
Studio.AnimationClipEditor.Dialog.Yes,Yes,Yes,Sí,Oui,はい,예,Sim,Да,是,是,是
Studio.AnimationClipEditor.Dialog.No,No,No,No,Non,いいえ,아니요,Não,Нет,否,否,否
Studio.AnimationClipEditor.Dialog.Create,Create,Create,Crear,Créer,作成,만들기,Criar,Создать,创建,创建,建立
Studio.AnimationClipEditor.Dialog.Ok,OK,OK,Aceptar,OK,OK,확인,OK,ОК,确认,确认,確定
Studio.AnimationClipEditor.Dialog.DeleteAllPrompt,Do you want to delete all "{1}" from this animation?,Do you want to delete all "{1}" from this animation?,¿Quieres eliminar todos los "{1}" de esta animación?,Voulez-vous annuler tout "{1}" dans cette animation ?,このアニメーションからすべての "{1}" を削除しますか？,이 애니메이션에서 모든 "{1}"을(를) 삭제할까요?,Excluir todos os "{1}" desta animação?,Удалить все "{1}" из этой анимации?,确定删除此动画中的所有 “{1}” 吗？,确定删除此动画中的所有 “{1}” 吗？,確定從此動畫刪除所有「{1}」？
Studio.AnimationClipEditor.Dialog.RenameAllPrompt,Do you want to change all "{1}" to "{2}"?,Do you want to change all "{1}" to "{2}"?,¿Quieres cambiar todos los "{1}" a "{2}"?,Voulez--vous tout bouger de "{1}" à "{2}" ?,すべての "{1}" を "{2}"に変更しますか？,모든 "{1}"을(를) "{2}"(으)로 변경할까요?,Mudar todos os "{1}" para "{2}"?,Изменить все "{1}" на "{2}"?,确定将所有 “{1}” 更改为 “{2}”吗？,确定将所有 “{1}” 更改为 “{2}”吗？,確定將所有「{1}」改為「{2}」？
Studio.AnimationClipEditor.Dialog.ErrorsHeader,Rig Error(s) Detected,Rig Error(s) Detected,Se han detectado errores en el rig,Erreur(s) détectée(s) sur la plateforme de test,リグエラーが検知されました,리그 오류 감지됨,Erro(s) detectado(s) no rig,Обнаружены ошибки скелетной анимации,检测到骨架错误,检测到骨架错误,偵測到骨架錯誤
Studio.AnimationClipEditor.Dialog.AnimationName,Animation Name,Animation Name,Nombre de la animación,Nom de l'animation,アニメーション名,애니메이션 이름,Nome da animação,Название анимации,动画名称,动画名称,動畫名稱
Studio.AnimationClipEditor.Dialog.Delete,Delete,Delete,Eliminar,Supprimer,削除,삭제,Excluir,Удалить,删除,删除,刪除
Studio.AnimationClipEditor.Dialog.ChangeThis,Change This,Change This,Cambiar esto,Changer cela,これを変更,이 항목 변경,Mudar isto,Изменить,修改此项,修改此项,變更此項目
Studio.AnimationClipEditor.Dialog.ChangeAll,Change All,Change All,Cambiar todo,Tout changer,すべて変更,모두 변경,Mudar tudo,Изменить все,修改全部,修改全部,全部變更
Studio.AnimationClipEditor.Settings.QuantizeKeyframes,Quantize Keyframes,Quantize Keyframes,Cuantificar fotogramas clave,Quantifier les images clés,キーフレームを数値化,키프레임 양자화,Quantificar quadros chaves,Разбить ключевые кадры на подгруппы,量化关键帧,量化关键帧,量化關鍵格
Studio.AnimationClipEditor.Menu.Load,Load,Load,Cargar,Charger,読み込む,불러오기,Carregar,Загрузка,加载,加载,載入
Studio.AnimationClipEditor.Tooltip.EndFrameBox,Change timeline length,Change timeline length,Cambia la longitud de la barra de tiempo,Changer la durée de la période de temps,タイムラインの長さを変更,타임라인 길이 변경,Mudar o comprimento da linha do tempo,Изменить протяженность шкалы времени,更改时间轴长度,更改时间轴长度,變更時間軸長度
Studio.AnimationClipEditor.Menu.SaveAs,Save As,Save As,Guardar como,Sauvegarder sous,名前をつけて保存,다음으로 저장,Salvar como,Сохранить как,另存为,另存为,另存為
Studio.AnimationClipEditor.Menu.FromRoblox,From Roblox,From Roblox,De Roblox,De Roblox,Robloxから,Roblox에서,Da Roblox,Из Roblox,从 Roblox,从 Roblox,從 Roblox
Studio.AnimationClipEditor.Toast.AlignNow,Align all keys now,Align all keys now,Alinear todas las claves ahora,Aligner toutes les clés,今すぐすべてのキーを整列配置,지금 모든 키 정렬,Alinhar todas as chaves agora,Выровнять все ключи,立即对齐全部关键点,立即对齐全部关键点,現在對齊所有關鍵點
Studio.AnimationClipEditor.Menu.Export,Export,Export,Exportar,Exporter,書き出す,내보내기,Exportar,Экспорт,导出,导出,匯出
Studio.AnimationClipEditor.Menu.New,New...,New...,Nuevo...,Nouveau...,新規...,새 항목...,Novo...,Создать...,新增…,新增…,新增……
