Key,Source,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.TerrainToolsV2.Action.Save,Save,Save,Guardar,Sauvegarder,保存,저장,Salvar,Сохранить,保存,保存,儲存
Studio.TerrainToolsV2.Action.OK,OK,OK,Aceptar,OK,OK,확인,OK,ОК,确认,确认,確定
Studio.TerrainToolsV2.Action.Redo,Redo,Redo,Rehacer,Refaire,やり直す,다시 실행,Refazer,Вернуть,重做,重做,重做
Studio.TerrainToolsV2.Action.Open,Open,Open,Abrir,Ouvrir,開く,열기,Abrir,Открыть,打开,打开,開啟
Studio.TerrainToolsV2.ImportError.RegionExceedsMaxVoxelCount,Target region is too large.,Target region is too large.,La región meta es demasiado grande.,La région cible est trop vaste.,対象区域が広すぎます。,대상 영역이 너무 큽니다.,A região alvo é grande demais., ,目标区域过大。,目标区域过大。,目標區域過大。
Studio.TerrainToolsV2.ToolName.Flatten,Flatten,Flatten,Aplanar,Aplanir,平地化,평탄화,Aplainar,Сгладить,展平,展平,平地化
Studio.TerrainToolsV2.Action.Okay,Okay,Okay,Aceptar,Okay,OK,확인,OK,ОК,好的,好的,好
Studio.TerrainToolsV2.Generate.BiomeArctic,Arctic,Arctic,Ártico,Arctique,北極,북극,Ártico,Арктика,极地,极地,極地
Studio.TerrainToolsV2.MaterialSettings.MaterialSettings,Material Settings,Material Settings,Configuración del material,Paramètres matériel,素材の設定,재질 설정,Configurações do material,Свойства материала,材质设置,材质设置,材質設定
Studio.TerrainToolsV2.Replace.MaterialSettings,Material Settings,Material Settings,Configuración de material,Paramètres matériel,素材の設定,재질 설정,Configurações do material, ,材质设置,材质设置,材質設定
Studio.TerrainToolsV2.Action.Pause,Pause,Pause,Pausar,Pause,一時停止,일시 중지,Pausar,Пауза,暂停,暂停,暫停
Studio.TerrainToolsV2.Action.Previous,Previous,Previous,Anterior,Précédent,前へ,이전,Anterior,Предыдущий,上一个,上一个,上一個
Studio.TerrainToolsV2.BrushSettings.PlanePosition,Plane Position,Plane Position,Posición del plano,Position du plan,平面の位置,평면 위치,Posição plana,Расположение поверхности,平面位置,平面位置,平面位置
Studio.TerrainToolsV2.Action.Reload,Reload,Reload,Volver a cargar,Recharger,再読み込み,다시 불러오기,Recarregar,Перезагрузить,重新加载,重新加载,重新載入
Studio.TerrainToolsV2.Warning.RegionTooLarge,Region size is too large.,Region size is too large.,El tamaño de la región es demasiado grande.,La taille de la région est trop large.,地域のサイズが大きすぎます。,지역이 너무 큽니다.,O tamanho da região é grande demais.,Слишком большой размер области.,区域尺寸过大。,区域尺寸过大。,區域大小過大。
Studio.TerrainToolsV2.Action.Rename,Rename,Rename,Renombrar,Renommer,名前を変更,이름 변경,Renomear,Переименовать,重命名,重命名,重新命名
Studio.TerrainToolsV2.BrushSettings.Material,Material,Material,Material,Matériel,素材,재질,Material,Материал,材质,材质,材質
Studio.TerrainToolsV2.ConvertMode.Material,Material,Material,Material,Matériel,素材,재질,Material, ,材质,材质,材質
Studio.TerrainToolsV2.ImportMaterialMode.DefaultMaterial,Material,Material,Material,Matériau,素材,재질,Material, ,材质,材质,材質
Studio.TerrainToolsV2.Action.Reset,Reset,Reset,Reiniciar,Réinitialiser,再設定,재설정,Reiniciar,Сброс,重置,重置,重置
Studio.TerrainToolsV2.Action.Retry,Retry,Retry,Reintentar,Réessayer,再試行,다시 시도,Tentar novamente,Повтор,重试,重试,重試
Studio.TerrainToolsV2.Action.Share,Share,Share,Compartir,Partager,シェア,공유,Compartilhar,Поделиться,分享,分享,分享
Studio.TerrainToolsV2.Action.Stop,Stop,Stop,Detener,Arrêter,停止,중지,Parar,Стоп,停止,停止,停止
Studio.TerrainToolsV2.Action.Undo,Undo,Undo,Deshacer,Défaire,元に戻す,실행 취소,Desfazer,Отменить,撤消,撤消,復原
Studio.TerrainToolsV2.Materials.Rock,Rock,Rock,Roca,Rocher,岩,바위,Rocha,Камень,岩石,岩石,岩石
Studio.TerrainToolsV2.Action.Update,Update,Update,Actualizar,Mettre à jour,アップデート,업데이트,Atualizar,Обновить,更新,更新,更新
Studio.TerrainToolsV2.BrushSettings.IgnoreWater,Ignore Water,Ignore Water,Ignorar agua,Ignorer l'eau,水を無視,물 무시,Ignorar água,Игнорировать воду,忽略水域,忽略水域,忽略水域
Studio.TerrainToolsV2.BrushSettings.FlattenMode,Flatten Mode,Flatten Mode,Modo Acoplar,Mode d'aplanissement,平地化モード,평탄화 모드,Modo achatar,Режим плоскости,展平模式,展平模式,平地化模式
Studio.TerrainToolsV2.BrushSettings.BrushSettings,Brush Settings,Brush Settings,Configuración del pincel,Paramètre de brosse,ブラシ設定,브러시 설정,Configurações do pincel,Параметры кисти,笔刷设置,笔刷设置,筆刷設定
Studio.TerrainToolsV2.Action.Yes,Yes,Yes,Sí,Oui,はい,예,Sim,Да,是,是,是
Studio.TerrainToolsV2.Confirmation.Yes,Yes,Yes,Sí,Oui,はい,예,Sim,Да,是,是,是
Studio.TerrainToolsV2.Generate.BiomeDunes,Dunes,Dunes,Dunas,Dunes,砂丘,모래 언덕,Dunas,Дюны,沙丘,沙丘,沙丘
Studio.TerrainToolsV2.Generate.Biomes,Biomes,Biomes,Biomas,Territoires,バイオーム,생물군,Biomas,Биомы,生态,生态,生物群系
Studio.TerrainToolsV2.BrushSettings.Strength,Strength,Strength,Fuerza,Force,強度,강도,Força,Интенсивность,强度,强度,強度
Studio.TerrainToolsV2.AssetIdSelector.PlaceHolderText,Select game asset image,Select game asset image,Seleccionar imagen del recurso del juego,Sélectionner l'image du jeu,ゲームアセット画像を選択,게임 애셋 이미지 선택,Selecionar imagem de recurso do jogo,ID ресурса,选择游戏素材图片,选择游戏素材图片,選擇遊戲素材圖像
Studio.TerrainToolsV2.Regions.FillSelection,Fill Selection,Fill Selection,Rellenar selección,Remplir la sélection,選択肢を埋める,채우기 선택,Preencher seleção,Заполнить выделенные области,填充选中范围,填充选中范围,填滿選取內容
Studio.TerrainToolsV2.Materials.CrackedLava,Cracked Lava,Cracked Lava,Lava agrietada,Lave fissurée,ひび割れた溶岩,갈라진 용암,Lava rachada,Застывшая лава,裂纹熔岩,裂纹熔岩,裂紋熔岩
Studio.TerrainToolsV2.BrushSettings.Auto,Auto,Auto,Automático,Auto,自動,자동,Automático,Авто,自动,自动,自動
Studio.TerrainToolsV2.BrushSettings.BaseSize,Base Size,Base Size,Tamaño base,Taille de base,ベースのサイズ,베이스 크기,Tamanho base,Размер базы,笔刷尺寸,笔刷尺寸,筆刷大小
Studio.TerrainToolsV2.MaterialSettings.ChooseBiome,Choose Biomes to apply,Choose Biomes to apply,Escoge el bioma para usarlo,Choisir Biomes à appliquer,適用するバイオームを選ぶ,생물군을 선택하여 적용,Escolha os biomas a aplicar,Выберите биом,选择要应用的生态,选择要应用的生态,選擇要套用的生物群系
Studio.TerrainToolsV2.BrushSettings.BottomPivot,Bot,Bot,Bot,Bot,底,바닥,Robô,Низ,底部,底部,底部
Studio.TerrainToolsV2.BrushSettings.CenterPivot,Cen,Cen,Cen,Cen,中心,중심,Cen,Центр,居中,居中,中心
Studio.TerrainToolsV2.BrushSettings.TopPivot,Top,Top,Superior,Haut,トップ,상단,Superior,Верх,顶部,顶部,頂部
Studio.TerrainToolsV2.BrushSettings.Size,Size,Size,Tamaño,Taille,サイズ,크기,Tamanho,Размер,尺寸,尺寸,大小
Studio.TerrainToolsV2.MapSettings.Size,Size,Size,Tamaño,Taille,サイズ,크기,Tamanho,Размер,尺寸,尺寸,大小
Studio.TerrainToolsV2.EditSettings.MergeEmpty,Merge Empty,Merge Empty,Combinar vacío,Fusionner vide,空白を併合,빈 공간 병합,Mesclar vazios,Объединить пустые,合并空白,合并空白,合併空位
Studio.TerrainToolsV2.EditSettings.EditSettings,Edit Settings,Edit Settings,Editar configuración,Modifier les paramètres,設定を編集,편집 설정,Editar configurações,Изменить параметры,编辑设置,编辑设置,編輯設定
Studio.TerrainToolsV2.Example.ErrorAnUnexpectedThing,"An unexpected thing happened, try again","An unexpected thing happened, try again",Ha pasado algo inesperado. Inténtalo de nuevo.,"Une chose inattendue s'est produite, essaie à nouveau",予期しないことが起きました。もう一度お試しください,예기치 못한 문제가 발생했습니다. 다시 시도하세요.,"Ocorreu algo inesperado, tente novamente","Возникла непредвиденная ошибка, попробуйте снова.",发生意外，请重试,发生意外，请重试,發生意外錯誤，請重新嘗試
Studio.TerrainToolsV2.Generate.BiomeCanyons,Canyons,Canyons,Cañones,Canyons,谷,협곡,Cânions,Каньоны,峡谷,峡谷,峽谷
Studio.TerrainToolsV2.Generate.BiomeLavascape,Lavascape,Lavascape,Paisaje de lava,Lave,溶岩の景観,용암 지대,Paisagem de lava,Потеки лавы,熔岩景观,熔岩景观,熔岩景觀
Studio.TerrainToolsV2.Generate.BiomeMarsh,Marsh,Marsh,Pantano,Marécage,沼,습지,Pântano,Болото,沼泽,沼泽,沼澤
Studio.TerrainToolsV2.Generate.BiomeMountains,Mountains,Mountains,Montañas,Montagnes,山,산,Montanhas,Горы,山脉,山脉,山脈
Studio.TerrainToolsV2.Generate.BiomePlains,Plains,Plains,Llanuras,Plaines,平野,평야,Planícies,Равнины,平原,平原,平原
Studio.TerrainToolsV2.Generate.BiomeSize,Biome Size,Biome Size,Tamaño de bioma,Taille du territoire,バイオームのサイズ,생물군 크기,Tamanho do bioma,Размер биома,生态规模,生态规模,生物群系大小
Studio.TerrainToolsV2.Generate.BiomesSettings,Biomes Settings,Biomes Settings,Configuración de biomas,Paramètres du territoire,バイオームの設定,생물군 설정,Configurações de biomas,Параметры биома,生态设置,生态设置,生物群系設定
Studio.TerrainToolsV2.Generate.BiomeWater,Water,Water,Agua,Eau,水,물,Água,Вода,水域,水域,水域
Studio.TerrainToolsV2.Materials.Water,Water,Water,Agua,Eau,水,물,Água,Вода,水域,水域,水域
Studio.TerrainToolsV2.Generate.ButtonGenerate,Generate,Generate,Generar,Générer,生成する,생성,Gerar,Генерировать,生成,生成,生成
Studio.TerrainToolsV2.Import.ButtonImport,Generate,Generate,Generar,Générer,生成する,생성,Gerar, ,生成,生成,生成
Studio.TerrainToolsV2.ToolName.Generate,Generate,Generate,Generar,Générer,生成する,생성,Gerar,Генерировать,生成,生成,生成
Studio.TerrainToolsV2.Generate.Caves,Caves,Caves,Cuevas,Grottes,洞窟,동굴,Cavernas,Пещеры,洞穴,洞穴,洞穴
Studio.TerrainToolsV2.Generate.OtherSettings,Other Settings,Other Settings,Restablecer configuraciones,Autres paramètres,その他の設定,다른 설정,Outras configurações,Другие параметры,其他设置,其他设置,其他設定
Studio.TerrainToolsV2.Generate.Seed,Seed,Seed,Semilla,Graine,蒔く,시드,Semente,Зерно карты,种子,种子,種子
Studio.TerrainToolsV2.Main.ToolbarButton,Editor,Editor,Editor,Éditeur,エディタ,편집기,Editor,Редактор,编辑器,编辑器,編輯器
Studio.TerrainToolsV2.Meta.PluginButtonEditor,Editor,Editor,Editor,Editeur,エディタ,편집기,Editor,Редактор,编辑器,编辑器,編輯器
Studio.TerrainToolsV2.Main.Tooltip,"Add, remove, and modify terrain","Add, remove, and modify terrain","Añade, elimina y modifica el terreno","Ajouter, retirer et modifier du terrain",地形の追加、削除、変更,"지형 추가, 제거, 수정","Adicionar, remover e modificar terreno","Добавляйте, удаляйте и изменяйте рельеф",添加、移除和修改地形,添加、移除和修改地形,新增、移除及修改地形
Studio.TerrainToolsV2.Meta.PluginButtonEditorTooltip,"Add, remove, and modify terrain","Add, remove, and modify terrain","Añade, elimina y modifica el terreno","Ajouter, enlever et modifier le terrain",地形の追加、削除、変更,"지형 추가, 제거, 수정","Adicionar, remover e modificar terreno","Добавляйте, удаляйте и изменяйте рельеф",添加、移除和修改地形,添加、移除和修改地形,新增、移除及修改地形
Studio.TerrainToolsV2.Meta.PluginDescription,"Add, remove, and modify terrain","Add, remove, and modify terrain","Añade, elimina y modifica el terreno","Ajouter, retirer et modifier le terrain",地形の削除、追加、変更,"지형 추가, 제거, 수정","Adicionar, remover e modificar terreno","Добавляйте, удаляйте и изменяйте рельеф",添加、移除和修改地形,添加、移除和修改地形,新增、移除及修改地形
Studio.TerrainToolsV2.Import.Heightmap,Heightmap,Heightmap,Heightmap,Heightmaps,Heightmap,Heightmap,Heightmap, ,Heightmap,Heightmap,Heightmap
Studio.TerrainToolsV2.MainButtons.AddTooltip,Click and hold to add terrain.,Click and hold to add terrain.,Haz clic y mantén presionado para añadir terreno.,Cliquer et maintenir enfoncé pour ajouter du terrain.,クリックアンドホールドで地形を追加。,길게 클릭해 지형을 추가합니다.,Clique e mantenha pressionado para adicionar terreno.,"Удерживайте кнопку мыши, чтобы добавить рельеф.",单击并按住以增加地形。,单击并按住以增加地形。,按住不放以加入地形。
Studio.TerrainToolsV2.ConvertPart.ConvertShapesToMaterial,Converting parts,Converting parts,Convertir partes,Transformation de parties,パーツを変換中,파트 변환 중,Convertendo partes, ,正在转换部件,正在转换部件,正在轉換零件
Studio.TerrainToolsV2.MainButtons.ClearTooltip,Clear all Terrain.,Clear all Terrain.,Eliminar todo el terreno,Déblayer tout le terrain.,すべての地形を消す。,모든 지형을 삭제합니다.,Limpar todos os terrenos.,Очистить весь рельеф.,清除所有地形。,清除所有地形。,清除所有地形。
Studio.TerrainToolsV2.MainButtons.GenerateTooltip,Generate landscapes of terrain.,Generate landscapes of terrain.,Generar paisajes de terreno,Générer des paysages sur le terrain.,地形の景観を生成する。,지형의 풍경을 생성합니다.,Gerar paisagens de terreno.,Создание рельефа.,生成地形地貌。,生成地形地貌。,生成地形景觀。
Studio.TerrainToolsV2.Warning.RegionTooSmall,Region size is too small.,Region size is too small.,El tamaño de la región es demasiado pequeño.,La taille de la région est trop petite.,地域のサイズが小さすぎます。,지역이 너무 작습니다.,O tamanho do região é pequeno demais.,Слишком маленький размер области.,区域尺寸过小。,区域尺寸过小。,區域大小過小。
Studio.TerrainToolsV2.MainButtons.GrowTooltip,Click and hold to grow and expand terrain.,Click and hold to grow and expand terrain.,Haz clic y mantén presionado para aumentar o expandir el terreno.,Cliquer et maintenir enfoncé pour agrandir et élargir le terrain.,クリックして長押して地形を大きくして広げる。,길게 클릭해 지형을 높이고 확장합니다.,Clique e mantenha pressionado para aumentar e expandir o terreno.,"Удерживайте кнопку мыши, чтобы нарастить и расширить рельеф.",单击并按住以增长和扩大地形。,单击并按住以增长和扩大地形。,按住即可生長地形。
Studio.TerrainToolsV2.MainButtons.Import,Import,Import,Importar,Importer,インポート,가져오기,Importar,Импорт,导入,导入,匯入
Studio.TerrainToolsV2.ToolName.Import,Import,Import,Importar,Importer,インポート,가져오기,Importar,Импорт,导入,导入,匯入
Studio.TerrainToolsV2.ToolName.ImportLocal,Import,Import,Importar,Importer,インポート,가져오기,Importar, ,导入,导入,匯入
Studio.TerrainToolsV2.MainButtons.ImportTooltip,Import a HeightMap and ColorMap.,Import a HeightMap and ColorMap.,Importar HeightMap y ColorMap,Importer HeightMap et ColorMap.,HeightMap と ColorMapをインポート。,HeightMap과 ColorMap을 가져옵니다.,Importar um HeightMap e ColorMap.,Импортировать HeightMap и ColorMap.,导入 HeightMap 和 ColorMap。,导入 HeightMap 和 ColorMap。,匯入 HeightMap 與 ColorMap。
Studio.TerrainToolsV2.MainButtons.PaintTooltip,Paint the material of the terrain.,Paint the material of the terrain.,Pinta el material del terreno.,Peindre le matériel du terrain.,地形の素材をペイント。,지형의 재질을 색칠합니다.,Pinta o material do terreno.,Раскрасить рельеф.,绘制地形的材质。,绘制地形的材质。,為地形材質上色。
Studio.TerrainToolsV2.MainButtons.RegionsTooltip,Manipulate regions of smooth terrain.,Manipulate regions of smooth terrain.,Manipula las regiones de terreno liso.,Manipuler les régions de terrain lisse.,平らな地形の地域を操作。,부드러운 지형의 범위를 조절하세요.,Manipula regiões de terreno suavizado.,Манипулировать участками рельефа.,对平滑的地形区域进行操作。,对平滑的地形区域进行操作。,操控平滑地形區域。
Studio.TerrainToolsV2.ToolName.Smooth,Smooth,Smooth,Alisar,Lisse,平らにする,다듬기,Suavizar,Сгладить,平滑,平滑,磨平
Studio.TerrainToolsV2.MainButtons.SmoothTooltip,Brush to smooth out rough or jagged terrain.,Brush to smooth out rough or jagged terrain.,Usa el pincel para alisar terrenos ásperos o irregulares.,Brosser pour aplanir un terrain accidenté et irrégulier.,キザギザで荒い地形を平らにするブラシ。,울퉁불퉁한 지형을 부드럽게 깎아냅니다.,Pincela para suavizar terrenos acidentados ou irregulares.,Кисть для сглаживания неровной поверхности.,用笔刷平滑参差不平的地形。,用笔刷平滑参差不平的地形。,刷動即可磨平粗糙不平的地形。
Studio.TerrainToolsV2.ImportError.FailedToGenerateHeightmapPreviewTitle,Failed to generate preview image.,Failed to generate preview image.,Error al generar vista previa de la imagen,Impossible de générer une image de visualisation.,プレビューページを生成できませんでした。,미리보기 이미지를 생성하지 못했습니다.,Falha ao gerar prévia da imagem., ,生成预览图失败。,生成预览图失败。,無法生成預覽圖像。
Studio.TerrainToolsV2.ConvertPart.HasOtherInstance,"Only Parts can be converted, other objects will be skipped","Only Parts can be converted, other objects will be skipped",Se convierten solo las Partes. Los demás objetos serán omitidos,"Seules les parties peuvent être converties, les autres objets peuvent être ignorées",パーツのみが変換可能で、他のオブジェクトはスキップされます,파트만 변환할 수 있으며 다른 개체는 건너뜁니다,"Somente partes podem ser convertidas, outros objetos serão ignorados", ,只有部件可被转换，其他对象将被跳过,只有部件可被转换，其他对象将被跳过,只有零件可以轉換，其他物件將被跳過。
Studio.TerrainToolsV2.MainButtons.SubtractTooltip,Click and hold to remove terrain.,Click and hold to remove terrain.,Haz clic y mantén presionado para eliminar terreno.,Cliquer et maintenir enfoncé pour retirer du terrain.,クリックして長押して地形を削除。,길게 클릭해 지형을 제거합니다.,Clique e mantenha pressionado para remover terreno.,"Удерживайте кнопку мыши, чтобы удалить рельеф.",单击并按住以移除地形。,单击并按住以移除地形。,按住即可移除地形。
Studio.TerrainToolsV2.ConvertPart.UpdateInstanceVisuals,Hiding parts,Hiding parts,Ocultar partes,Cacher des parties,パーツを非表示にしています,파트를 숨기는 중,Ocultando partes, ,正在隐藏部件,正在隐藏部件,正在隱藏零件
Studio.TerrainToolsV2.MapSettings.HeightMap,Height Map,Height Map,Altura del mapa,Hauteur de carte,標高マップ,높이 맵,Mapa de altura,Поле высот,高度图,高度图,高度圖
Studio.TerrainToolsV2.MapSettings.MapSettings,Map Settings,Map Settings,Configuración del mapa,Paramètre de la carte,マップ設定,맵 설정,Configurações do mapa,Параметры карты,地图设置,地图设置,地圖設定
Studio.TerrainToolsV2.ConvertPart.ConvertProgressTitle,Convert Parts,Convert Parts,Convertir partes,Convertir des pièces,パーツを変換,파트 변환,Converter partes, ,转换部件,转换部件,轉換零件
Studio.TerrainToolsV2.MapSettings.Position,Position,Position,Posición,Position,位置,위치,Posição,Положение,位置,位置,位置
Studio.TerrainToolsV2.Materials.Asphalt,Asphalt,Asphalt,Asfalto,Asphalte,アスファルト,아스팔트,Asfalto,Асфальт,沥青,沥青,瀝青
Studio.TerrainToolsV2.ToolName.Copy,Copy,Copy,Copiar,Copier,コピー,복사,Copiar,Копировать,复制,复制,複製
Studio.TerrainToolsV2.Materials.Basalt,Basalt,Basalt,Basalto,Basalte,玄武岩,현무암,Basalto,Базальт,玄武岩,玄武岩,玄武岩
Studio.TerrainToolsV2.Materials.Brick,Brick,Brick,Ladrillo,Brique,レンガ,벽돌,Tijolo,Кирпич,砖块,砖块,磚塊
Studio.TerrainToolsV2.Materials.Cobblestone,Cobblestone,Cobblestone,Adoquín,Pavé,玉砂利,자갈,Paralelepípedo,Брусчатка,鹅卵石,鹅卵石,鵝卵石
Studio.TerrainToolsV2.Materials.Concrete,Concrete,Concrete,Concreto,Béton,コンクリート,콘크리트,Concreto,Бетон,水泥,水泥,混凝土
Studio.TerrainToolsV2.Materials.Glacier,Glacier,Glacier,Glaciar,Glacier,氷河,빙하,Geleira,Ледник,冰川,冰川,冰河
