Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.AssetManager.BulkImport.BulkImportRunning,You can import other files after the current import is finished.,You can import other files after the current import is finished.,Puedes importar otros archivos una vez que la importación actual termine.,Tu peux importer d'autres fichiers une fois que l'importation en cours est terminée.,"Al termine di questa importazione, potrai importare altri file.",現在のインポート終了後に他のファイルをインポートできます。,현재 가져오기가 완료된 후 다른 파일을 가져올 수 있습니다.,Você pode importar outros arquivos depois que a importação atual terminar.,请在当前导入完成后开始其它文件的导入。,请在当前导入完成后开始其它文件的导入。,目前檔案匯入完畢後即可匯入其他檔案。
Studio.AssetManager.ContextMenu.UpdateAll,Update All,Update All,Actualizar todos,Tout mettre à jour,Aggiorna tutto,すべてアップデート,모두 업데이트,Atualizar tudo,全部更新,全部更新,全部更新
Studio.AssetManager.TopBar.SortButton, Sorting Options, Sorting Options, Opciones de clasificación, Options de tri, Opzioni di ordinamento, 並べ替えオプション, 정렬 옵션, Opções de classificação, 排序选项, 排序选项,排序選項
Studio.AssetManager.ContextMenu.AddVideo,Add Video,Add Video,Añadir video,Ajouter vidéo,Aggiungi video,ビデオを追加,비디오 추가,Adicionar vídeo,添加视频,添加视频,新增影片
Studio.AssetManager.NavBar.GamePlaceholderName,Game,Game,Juego,Jeu,Gioco,ゲーム,게임,Jogo,游戏,游戏,遊戲
Studio.AssetManager.ContextMenu.InsertWithLocation,Insert With Location,Insert With Location,Insertar con ubicación,Insérer avec location,Immetti con luogo,位置をつけて挿入,위치 포함 삽입,Inserir com localidade,带位置插入,带位置插入,與位置一起插入
Studio.AssetManager.SearchBar.PlaceholderText,Filter,Filter,Filtro,Filtre,Filtro,フィルタ,필터,Filtro,筛选,筛选,篩選
Studio.AssetManager.Folders.IMAGES,Images,Images,Imágenes,Images,Immagini,画像,이미지,Imagens,图片,图片,圖像
Studio.AssetManager.Folders.MESHES,Meshes,Meshes,Mallas,Maillages,Mesh,メッシュ,메시,Malhas,网格,网格,網格
Studio.AssetManager.ContextMenu.PublishLinkedSource,Publish this LinkedSource,Publish this LinkedSource,Publicar esta LinkedSource,Publier cette LinkedSource,Pubblica questo LinkedSource,この LinkedSource を公開,이 LinkedSource 게시,Publicar esta LinkedSource,发布此 LinkedSource,发布此 LinkedSource,發布此 LinkedSource
Studio.AssetManager.Folders.PACKAGES,Packages,Packages,Paquetes,Packs,Pacchetti,パッケージ,패키지,Pacotes,包,包,套件
Studio.AssetManager.MainView.PublishText,You need to publish the game to start using Asset Manager.,You need to publish the game to start using Asset Manager.,Tienes que publicar el juego para usar el Gestor de recursos.,Tu dois publier le jeu pour commencer à utiliser le manager d'assets.,Pubblica il gioco per iniziare a usare il Gestore risorse.,アセット管理の使用を開始するにはゲームを公開する必要があります。,애셋 관리자를 사용하려면 게임을 게시해야 합니다.,Você precisa publicar o jogo para começar a usar o Gerenciador de ativos.,发布游戏后即可使用素材管理器。,发布游戏后即可使用素材管理器。,若要使用素材管理器，請先發布遊戲。
Studio.AssetManager.Folders.PLACES,Places,Places,Lugares,Emplacements,Località,プレース,플레이스,Locais,场景,场景,地點
Studio.AssetManager.ContextMenu.AssetPreview,Asset Preview,Asset Preview,Vista previa del recurso,Aperçu des ressources,Anteprima risorsa,アセットプレビュー,애셋 미리 보기,Visualização de ativo,素材预览,素材预览,素材預覽
Studio.AssetManager.ContextMenu.InsertAsScript,Insert As Script,Insert As Script,Insertar como script,Insérer en tant que script,Immetti come script,スクリプトとして挿入,스크립트로 삽입,Inserir como script,插入为脚本,插入为脚本,以指令碼插入
Studio.AssetManager.ContextMenu.RenameAlias,Rename Alias,Rename Alias,Renombrar alias,Renommer alias,Rinomina alias,ニックネームを変更,닉네임 변경,Renomear alcunha,重命名,重命名,重新命名別名
Studio.AssetManager.Folders.SCRIPTS,Scripts,Scripts,Scripts,Scripts,Script,スクリプト,스크립트,Scripts,脚本,脚本,指令碼
Studio.AssetManager.AssetGrid.NoResults,No {assetType} Found,No {assetType} Found,No hay {assetType},{assetType} non trouvé,Nessun risultato per {assetType},{assetType} が見つかりません,{assetType}(을)를 찾을 수 없음,Não há {assetType},未找到 {assetType},未找到 {assetType},找不到{assetType}
Studio.AssetManager.ContextMenu.AddImages,Add Images,Add Images,Añadir imágenes,Ajouter images,Aggiungi immagini,画像を追加,이미지 추가,Adicionar imagens,添加图片,添加图片,加入圖像
Studio.AssetManager.ContextMenu.AddMeshes,Add Meshes,Add Meshes,Añadir mallas,Ajouter meshes,Aggiungi mesh,メッシュを追加,메시 추가,Adicionar malhas,添加网格,添加网格,加入網格
Studio.AssetManager.ContextMenu.AddNewPlace,Add New Place,Add New Place,Añadir un nuevo lugar,Ajouter nouvel emplacement,Aggiungi nuova località,新しいプレースを追加,새 플레이스 추가,Adicionar novo local,添加新场景,添加新场景,新增地點
Studio.AssetManager.ContextMenu.NewPlaceAdded,New Place Added,New Place Added,Nuevo lugar añadido,Nouvel emplacement ajouté,Nuova località aggiunta,新しいプレースを追加済み,새 플레이스가 추가됨,Novo local adicionado,新场景已添加,新场景已添加,已加入新地點
Studio.AssetManager.ContextMenu.CopyTextureIdToClipboard,Copy Texture ID to Clipboard,Copy Texture ID to Clipboard,Copiar ID de la textura al portapapeles,Copier l'ID texture dans le clipboard,Copia l'ID della texture negli appunti,テクスチャのIDをクリップボードにコピー,텍스처 ID를 클립보드로 복사,Copiar ID da textura para a área de transferência,将纹理 ID 复制到剪贴板,将纹理 ID 复制到剪贴板,將紋理 ID 複製到剪貼簿
Studio.AssetManager.ContextMenu.Rename,Rename,Rename,Renombrar,Renommer,Rinomina,名前を変更,이름 변경,Renomear,重命名,重命名,重新命名
Studio.AssetManager.ContextMenu.CopyIdToClipboard,Copy ID to Clipboard,Copy ID to Clipboard,Copiar ID al portapapeles,Copier ID dans le clipboard,Copia ID negli appunti,IDをクリップボードにコピー,ID를 클립보드로 복사,Copiar ID para a área de transferência,将 ID 复制到剪贴板,将 ID 复制到剪贴板,將 ID 複製到剪貼簿
Studio.AssetManager.AssetPreview.Insert,Insert,Insert,Insertar,Insérer,Immetti,挿入,삽입,Inserir,插入,插入,插入
Studio.AssetManager.ContextMenu.Insert,Insert,Insert,Insertar,Insérer,Immetti,挿入,삽입,Inserir,插入,插入,插入
Studio.AssetManager.MainView.SaveButtonText,Save,Save,Guardar,Sauvegarder,Salva,保存,저장,Salvar,保存,保存,儲存
Studio.AssetManager.MainView.ButtonText,Publish,Publish,Publicar,Publier,Pubblica,公開,게시,Publicar,发布,发布,發佈
Studio.AssetManager.TopBar.ListViewButton,List View,List View,Vista de la lista,Vue de la liste,Visualizzazione elenco,リスト表示,목록 뷰,Visualizar lista,列表视图,列表视图,清單檢視
Studio.AssetManager.ContextMenu.InsertAsLocalScript,Insert As Local Script,Insert As Local Script,Insertar un script local,Insérer en tant que script local,Immetti come script locale,ローカルスクリプトとして挿入,로컬 스크립트로 삽입,Inserir como script local,插入为本地脚本,插入为本地脚本,以本機指令碼插入
Studio.AssetManager.ContextMenu.InsertAsModuleScript,Insert As Module Script,Insert As Module Script,Insertar como ModuleScript,Insérer comme module du script,Immetti come script di modulo,モジュールスクリプトとして挿入,모듈 스크립트로 삽입,Inserir como script de módulo,插入为模块脚本,插入为模块脚本,以模組指令碼插入
Studio.AssetManager.Folders.MODELS,Models,Models,Modelos,Modèles,Modelli,モデル,모델,Modelos,模型,模型,模型
Studio.AssetManager.ContextMenu.RemoveFromGame,Remove From Game,Remove From Game,Eliminar del juego,Retirer du jeu,Rimuovi dal gioco,ゲームから削除,게임에서 제거,Remover do jogo,从游戏中移除,从游戏中移除,從遊戲中移除
Studio.AssetManager.Folders.AUDIO,Audio,Audio,Audio,Audio,Audio,オーディオ,오디오,Áudio,音频,音频,音訊
Studio.AssetManager.ContextMenu.PackageDetails,Package Details,Package Details,Detalles del paquete,Détails du package,Dettagli pacchetto,パッケージの詳細,패키지 세부 정보,Detalhes do pacote,包详情,包详情,套件詳細資料
Studio.AssetManager.ContextMenu.RefreshScript,Refresh Script,Refresh Script,Actualizar script,Rafraîchir script,Aggiorna script,スクリプトをリフレッシュ,스크립트 새로 고침,Atualizar script,刷新脚本,刷新脚本,重新整理指令碼
Studio.AssetManager.AssetGrid.LoadButton,Load All Pages,Load All Pages,Cargar todas las páginas,Charger toutes les pages,Carica tutte le pagine,すべてのページを読み込む,모든 페이지 불러오기,Carregar todas as páginas,加载所有页面,加载所有页面,載入所有頁面
Studio.AssetManager.ContextMenu.AddAudio,Add Audio,Add Audio,Añadir audio,Ajouter audio,Aggiungi audio,オーディオを追加,오디오 추가,Adicionar áudio,添加音频,添加音频,新增音訊
Studio.AssetManager.ContextMenu.CopyMeshIdToClipboard,Copy Mesh ID to Clipboard,Copy Mesh ID to Clipboard,Copiar ID de la malla al portapapeles,Copier ID de maillage vers le presse-papiers,Copia l'ID della mesh negli appunti,メッシュIDをクリップボードにコピー,메시 ID를 클립보드로 복사,Copiar ID da malha para a área de transferência,将网格 ID 复制到剪贴板,将网格 ID 复制到剪贴板,將網格 ID 複製到剪貼簿
Studio.AssetManager.ContextMenu.OpenFolder,Open,Open,Abrir,Ouvert,Apri,開く,열기,Abrir,打开,打开,開啟
Studio.AssetManager.RecentlyImportedView.Title,Recently Added,Recently Added,Añadido recientemente,Ajouté récemment,Aggiunti di recente,最近、追加されたもの,최근 추가된 항목,Adicionado recentemente,最近添加,最近添加,最近新增
Studio.AssetManager.AssetItem.PendingModerationTooltip, This asset is pending moderation review, This asset is pending moderation review, Este recurso está pendiente de moderación, Cet actif est en attente de révision de modération, Questo asset è in attesa di revisione della moderazione, このアセットは、内容審査のレビュー待ちです, 이 애셋은 현재 검열 대기 중입니다.,Este ativo está pendente de revisão pela moderação, 此素材正在审核中, 此素材正在审核中,此素材待管理員審查
Studio.AssetManager.TopBar.BackButton,Back,Back,Volver,Retour,Indietro,戻る,뒤로,Voltar,返回,返回,返回
Studio.AssetManager.TopBar.BulkImportButton,Bulk import,Bulk import,Importación masiva,Importation en nombre,Importazione bulk,バルクインポート,일괄 가져오기,Importar em massa,批量导入,批量导入,大量匯入
Studio.AssetManager.Callout.BadgesDevProductsDescription,Badges and Developer Products have moved to Monetization Page in Game Settings,Badges and Developer Products have moved to Monetization Page in Game Settings,Los emblemas y productos de desarrolladores se movieron a la página Monetización bajo Configuración del juego,Les badges et les produits pour développeurs ont été déplacés vers la page de monétisation dans les paramètres du jeu,I contrassegni e i prodotti sviluppatore sono stati spostati nella pagina Monetizzazione delle impostazioni di gioco,バッジと開発者製品は、ゲーム設定にある収益化ページに移動しました,배지 및 개발자 제품이 '게임 설정'의 '수익 창출' 페이지로 이동했습니다.,Emblemas e produtos do desenvolvedor foram movidos para a página Monetização nas Configurações do jogo,徽章和开发者产品已经转移到游戏设置的盈利页面,徽章和开发者产品已经转移到游戏设置的盈利页面,徽章和開發者產品已移到遊戲設定的營利頁面
Studio.AssetManager.Folders.VIDEO,Video,Video,Video,Vidéo,Video,ビデオ,비디오,Vídeo,视频,视频,影片
Studio.AssetManager.MainView.SaveText,Save to start using Asset Manager.,Save to start using Asset Manager.,Guarda para empezar a usar el Gestor de recursos.,Sauvegarder pour commencer à utiliser Asset Manager.,Salva per iniziare a usare il Gestore risorse.,アセット管理を使い始めるには保存する。,저장 후 애셋 관리자 사용을 시작할 수 있습니다.,Salve para começar a usar o Gerenciador de ativos.,保存后即可开始使用素材管理器,保存后即可开始使用素材管理器,儲存後即可開始使用素材管理員。
Studio.AssetManager.MainView.AssetPreviewError, Failed to load asset preview data, Failed to load asset preview data, Error al cargar los datos de vista previa del recurso, Impossible de charger les données de prévisualisation de l'asset, Impossibile caricare i dati dell'anteprima dell'asset, アセットのプレビューデータを読み込めませんでした, 애셋 미리 보기 데이터를 불러오지 못했습니다., Falha ao carregar dados de visualização de ativos, 无法加载素材预览数据, 无法加载素材预览数据,無法載入素材預覽資料
Studio.AssetManager.SearchBar.GlobalPlaceholderText,Filter Assets,Filter Assets,Filtrar recursos,Filtrer les contenus,Filtra Attività,アセットをフィルタする,애셋 필터링,Filtrar ativos,筛选素材,筛选素材,篩選素材
Studio.AssetManager.SortOption.RecentlyAdded, Recently Added, Recently Added, Añadido recientemente, Ajouté récemment, Aggiunti di recente, 最近、追加されたもの, 최근 추가된 항목, Adicionado recentemente, 最近添加, 最近添加,最近新增
Studio.AssetManager.SortOption.RecentlyUsed, Recently Used, Recently Used, Usado recientemente, Récemment utilisé, Utilizzato di recente, 最近使用したもの, 최근 사용된 항목, Usado recentemente, 最近使用, 最近使用,最近使用
Studio.AssetManager.SortOption.AscendingName, Name (Ascending), Name (Ascending), Nombre (Ascendente), Nom (Ascendant), Nome (Ascendente), 名前 (昇順), 이름(오름차순), Nome (Ascendente), 名称 (升序), 名称 (升序),名稱（由上到下）
Studio.AssetManager.SortOption.DescendingName, Name (Descending), Name (Descending), Nombre (Descendente), Nom (Ascendant), Nome (Discendente), 名前 (降順), 이름(내림차순), Nome (Descendente), 名称 (降序), 名称 (降序),名稱（由下到上）
