Key,Source,Context,en-us,ko,zh-cn
Studio.Toolbox.General.SearchResultsClearAll,Clear, ,Clear,지우기,清除
Studio.Toolbox.General.SearchOptionCreator,Creator, ,Creator,크리에이터,创建者
Studio.Toolbox.General.SearchOptionSort,Sort By, ,Sort By,정렬 기준,排序方式
Studio.Toolbox.General.SearchOptionsApply,Apply, ,Apply,적용,应用
Studio.Toolbox.General.SearchOptionsCancel,Cancel, ,Cancel,취소,取消
Studio.Toolbox.General.SearchTagCreator,by:, ,by:,제작:,作者:
Studio.Toolbox.General.TabMarketplace,Marketplace, ,Marketplace,마켓플레이스,商店
Studio.Toolbox.General.TabInventory,Inventory, ,Inventory,인벤토리,道具
Studio.Toolbox.General.TabRecent,Recent, ,Recent,최근,最近
Studio.Toolbox.General.CategoryPaidPlugins,Plugins, ,Plugins,플러그인,插件
Studio.Toolbox.General.CategoryCreationsDevelopmentSectionDivider,Game development assets, ,Game development assets,게임 개발 애셋,游戏开发资源
Studio.Toolbox.General.CategoryCreationsModels,Models, ,Models,모델,模型
Studio.Toolbox.General.CategoryCreationsDecals,Images, ,Images,이미지,图片
Studio.Toolbox.General.CategoryCreationsAudio,Audio, ,Audio,오디오,音频
Studio.Toolbox.General.CategoryCreationsMeshes,Meshes, ,Meshes,메시,网格
Studio.Toolbox.General.CategoryCreationsCatalogSectionDivider,Avatar assets, ,Avatar assets,아바타 애셋,虚拟形象资源
Studio.Toolbox.General.CategoryCreationsHats,Hats, ,Hats,모자,帽子
Studio.Toolbox.General.CategoryCreationsTeeShirts,T-Shirts, ,T-Shirts,티셔츠,T 恤
Studio.Toolbox.General.CategoryCreationsShirts,Shirts, ,Shirts,셔츠,上衣
Studio.Toolbox.General.CategoryCreationsPants,Pants, ,Pants,바지,裤子
Studio.Toolbox.General.CategoryCreationsHair,Hair, ,Hair,헤어,头发
Studio.Toolbox.General.CategoryCreationsFaceAccessory,Face Accessories, ,Face Accessories,얼굴 장신구,脸部配件
Studio.Toolbox.General.CategoryCreationsNeckAccessory,Neck Accessories, ,Neck Accessories,목 장신구,颈部配件
Studio.Toolbox.General.CategoryCreationsShoulderAccessory,Shoulder Accessories, ,Shoulder Accessories,어깨 장신구,肩部配件
Studio.Toolbox.General.CategoryCreationsFrontAccessory,Front Accessories, ,Front Accessories,전면 장신구,正面配件
Studio.Toolbox.General.CategoryCreationsBackAccessory,Back Accessories, ,Back Accessories,후면 장신구,背面配件
Studio.Toolbox.General.CategoryCreationsWaistAccessory,Waist Accessories, ,Waist Accessories,허리 장신구,腰部配件
Studio.Toolbox.General.TabCreations,Creations, ,Creations,작품,作品
Studio.Toolbox.General.RightClickMenuCopyAssetID,Copy Asset ID, ,Copy Asset ID,애셋 ID 복사,复制资源 ID
Studio.Toolbox.General.RightClickMenuCopyAssetURI,Copy Asset URI, ,Copy Asset URI,애셋 URI 복사,复制资源 URI
Studio.Toolbox.General.RightClickMenuViewInBrowser,View In Browser, ,View In Browser,브라우저에서 보기,在浏览器中查看
Studio.Toolbox.General.RightClickMenuConfigureAsset,Configure asset, ,Configure asset,애셋 구성,配置资源
Studio.Toolbox.General.RightClickMenuEditAsset,Edit Asset, ,Edit Asset,애셋 편집,编辑资源
Studio.Toolbox.General.RightClickMenuReport,Report, ,Report,신고,举报
Studio.Toolbox.General.StatusReviewPending,In Review, ,In Review,검토 중,审阅中
Studio.Toolbox.General.StatusModerated,Rejected, ,Rejected,거부됨,已拒绝
Studio.Toolbox.General.StatusReviewApproved,Ready For Sale, ,Ready For Sale,판매 준비 완료,待售
Studio.Toolbox.General.StatusOnSale,On Sale, ,On Sale,판매 시작,在售
Studio.Toolbox.General.StatusOffSale,Off Sale, ,Off Sale,판매 종료,特价
Studio.Toolbox.General.StatusDelayedRelease,Ready For Sale, ,Ready For Sale,판매 준비 완료,待售
Studio.Toolbox.General.StatusUnknown,Unknown, ,Unknown,알 수 없음,未知
Studio.Toolbox.General.AssetTypeModel,Model, ,Model,모델,模型
Studio.Toolbox.General.AssetTypeDecal,Decal, ,Decal,데칼,贴花
Studio.Toolbox.General.AssetTypeMesh,Mesh, ,Mesh,메시,网格
Studio.Toolbox.General.AssetTypeAudio,Audio, ,Audio,오디오,音频
Studio.Toolbox.General.AssetTypeHat,Hat, ,Hat,모자,帽子
Studio.Toolbox.General.AssetTypeTeeShirt,T-Shirt, ,T-Shirt,티셔츠,T 恤
Studio.Toolbox.General.AssetTypeShirt,Shirt, ,Shirt,셔츠,上衣
Studio.Toolbox.General.AssetTypePants,Pants, ,Pants,바지,裤子
Studio.Toolbox.General.AssetTypePlugin,Plugin, ,Plugin,플러그인,插件
Studio.Toolbox.General.AssetTypeHairAccessory,Hair, ,Hair,헤어,头发
Studio.Toolbox.General.AssetTypeFaceAccessory,Face Accessory, ,Face Accessory,얼굴 장신구,脸部配件
Studio.Toolbox.General.AssetTypeNeckAccessory,Neck Accessory, ,Neck Accessory,목 장신구,颈部配件
Studio.Toolbox.General.AssetTypeShoulderAccessory,Shoulder Accessory, ,Shoulder Accessory,어깨 장신구,肩部配件
Studio.Toolbox.General.AssetTypeFrontAccessory,Front Accessory, ,Front Accessory,전면 장신구,正面配件
Studio.Toolbox.General.AssetTypeBackAccessory,Back Accessory, ,Back Accessory,후면 장신구,背面配件
Studio.Toolbox.General.AssetTypeWaistAccessory,Waist Accessory, ,Waist Accessory,허리 장신구,腰部配件
Studio.Toolbox.General.DiscardMessage,Would you like to discard all changes?, ,Would you like to discard all changes?,모든 변경 사항을 제거할까요?,你要放弃所有更改吗?
Studio.Toolbox.General.Discard,Discard, ,Discard,제거,放弃
Studio.Toolbox.General.Title,Title, ,Title,제목,标题
Studio.Toolbox.General.Description,Description, ,Description,설명,描述
Studio.Toolbox.General.Ownership,Creator, ,Creator,제작자,创建者
Studio.Toolbox.General.Genre,Genre, ,Genre,장르,类型
Studio.Toolbox.General.Copy,Allow Copying, ,Allow Copying,복사 허용,允许复制
Studio.Toolbox.General.Comments,Allow Comments, ,Allow Comments,코멘트 허용,允许评论
Studio.Toolbox.General.LearnMore,Learn more, ,Learn more,더 알아보기,了解更多
Studio.Toolbox.General.Me,Me, ,Me,나,我
Studio.Toolbox.General.AssetType,Asset type, ,Asset type,애셋 유형,资源类型
Studio.Toolbox.General.SalesSale,Sale, ,Sale,판매,销售
Studio.Toolbox.General.SalesOnsale,Onsale, ,Onsale,판매 시작,在售
Studio.Toolbox.General.SalesOnsaleApplyToSave,Onsale (apply to save changes), ,Onsale (apply to save changes),판매 시작(적용하여 변경 사항 저장),在售 (应用以保存更改)
Studio.Toolbox.General.SalesOffsale,Offsale, ,Offsale,판매 종료,特价
Studio.Toolbox.General.SalesOffsaleApplyToSave,Offsale (apply to save changes), ,Offsale (apply to save changes),판매 종료(적용하여 변경 사항 저장),特价 (应用以保存更改)
Studio.Toolbox.General.SalesItemCannotBeSold,This item cannot be sold right now, ,This item cannot be sold right now,이 아이템은 지금 팔 수 없습니다,此物品无法立即出售
Studio.Toolbox.General.SalesPrice,Price, ,Price,가격,价格
Studio.Toolbox.General.SalesPriceRange,Price range: {minPrice} - {maxPrice}, ,Price range: {minPrice} - {maxPrice},가격 범위: {minPrice} - {maxPrice},价格范围: {minPrice} - {maxPrice}
Studio.Toolbox.General.SalesEarning,You earn: {earning}, ,You earn: {earning},획득 금액: {earning},你赚取: {earning}
Studio.Toolbox.General.SalesServiceFee,Service fee will be collected upon sale, ,Service fee will be collected upon sale,판매 시 서비스 수수료가 징수됩니다,将在销售时收取手续费
Studio.Toolbox.General.SideTabSales,Sales, ,Sales,판매,销售
Studio.Toolbox.General.SideTabVersions,Versions, ,Versions,버전,版本
Studio.Toolbox.General.SideTabGeneral,General, ,General,일반,通用
Studio.Toolbox.General.SideTabPermissions,Permissions, ,Permissions,권한,许可
Studio.Toolbox.General.PreviewAreaAssetID,Asset ID: {assetId}, ,Asset ID: {assetId},애셋 ID: {assetId},资源 ID: {assetId}
Studio.Toolbox.General.PreviewAreaStatus,Status: {assetStatus}, ,Status: {assetStatus},상태: {assetStatus},状态: {assetStatus}
Studio.Toolbox.General.InstallSuccess,Success!, ,Success!,성공!,成功!
Studio.Toolbox.General.InstallFailure,Failure, ,Failure,실패,失败
Studio.Toolbox.AssetConfigFooter.NewAsset,Save as a new asset..., ,Save as a new asset...,새로운 애셋으로 저장...,另存为新资源...
Studio.Toolbox.AssetConfigFooter.Override,Overwrite an existing asset..., ,Overwrite an existing asset...,기존 애셋 덮어쓰기...,覆盖现有资源...
Studio.Toolbox.AssetConfigFooter.OverrideTitle,Choose an existing model to overwrite., ,Choose an existing model to overwrite.,덮어쓸 기존 모델을 선택하세요.,选择要覆盖的现有模型。
Studio.Toolbox.AssetConfigFooter.ImportTitle,Choose an asset to import., , , , 
Studio.Toolbox.AssetConfigCopy.Terms,"By switching on, you are granting every other user of Roblox the right to use (in various ways) the content you are now sharing. If you do not want to grant this right, please do not check this box. For more information about sharing content, please review the Roblox Terms of Use.", ,"By switching on, you are granting every other user of Roblox the right to use (in various ways) the content you are now sharing. If you do not want to grant this right, please do not check this box. For more information about sharing content, please review the Roblox Terms of Use.",활성화하면 Roblox의 다른 모든 사용자들에게 현재 공유하고 있는 컨텐츠를 다양한 방식으로 사용할 수 있는 권한을 부여합니다. 이러한 권한을 부여하지 않으려면 이 확인란을 선택하지 마세요. 컨텐츠 공유에 대한 자세한 정보는 Roblox 이용 약관을 참조하시기 바랍니다.,切换至开位置，即表示你授予 Roblox 的所有其他用户 (以各种方式) 使用你现在分享的内容的权限。如果你不想授予此权限，请勿勾选此框。有关分享内容的详细信息，请检阅 Roblox 使用条款。
Studio.Toolbox.AssetConfigCopy.AccountSetting,"In order to share content in Marketplace, you must add & verify an email address to your account. This can be done in Account Settings.", ,"In order to share content in Marketplace, you must add & verify an email address to your account. This can be done in Account Settings.",장터에서 콘텐츠를 공유하려면 계정에 이메일 주소를 추가하고 확인해야 합니다. 이 작업은 계정 설정에서 수행할 수 있습니다.,为了在市集中分享内容，你必须向你的帐户添加电子邮件地址并进行验证。可在“帐户设置”中完成此操作。
Studio.Toolbox.AssetConfigPreview.Preview,Preview, ,Preview,미리 보기,预览
Studio.Toolbox.AssetConfigPreview.Change,Change, ,Change,변경,更改
Studio.Toolbox.AssetConfigVersions.Current,Current published version, ,Current published version,현재 게시된 버전,当前发布的版本
Studio.Toolbox.AssetConfigVersions.Restore,Restore previous version, ,Restore previous version,이전 버전 복원,还原之前版本
Studio.Toolbox.AssetConfig.GetAssetFailed,There was an problem fetching asset data. We will be closing AssetConfig page., ,There was an problem fetching asset data. We will be closing AssetConfig page.,애셋 데이터를 가져오는 중에 문제가 발생했습니다. AssetConfig 페이지를 닫습니다.,提取资源数据时发生问题。将关闭 AssetConfig 页面。
Studio.Toolbox.AssetConfig.Error,Error, ,Error,오류,错误
Studio.Toolbox.AssetConfigPackagePermissions.PackageOwner,Package Owner, ,Package Owner,패키지 소유자,套装所有者
Studio.Toolbox.AssetConfigPackagePermissions.Owner,Owner, ,Owner,소유자,所有者
Studio.Toolbox.AssetConfigPackagePermissions.NoResults,No results found, ,No results found,결과 없음,未找到结果
Studio.Toolbox.AssetConfigPackagePermissions.SearchByUser,Search by username, ,Search by username,사용자 이름으로 검색,依用户名搜索
Studio.Toolbox.AssetConfigPackagePermissions.ShareWith,Share with, ,Share with,다음 사람과 공유,分享对象
Studio.Toolbox.AssetConfigPackagePermissions.NoAccessLabel,No Access, ,No Access,접근 불가,无法访问
Studio.Toolbox.AssetConfigPackagePermissions.UseViewLabel,Use & View, ,Use & View,사용 및 보기,使用和查看
Studio.Toolbox.AssetConfigPackagePermissions.EditLabel,Edit, ,Edit,편집,编辑
Studio.Toolbox.AssetConfigPackagePermissions.MultipleLabel,(Multiple), ,(Multiple),(여러 항목),(多项)
Studio.Toolbox.AssetConfigPackagePermissions.NoAccessDescription,"Cannot use, view or edit this package", ,"Cannot use, view or edit this package",이 패키지를 사용하거나 보거나 편집할 수 없습니다,无法使用、查看或编辑此套装
Studio.Toolbox.AssetConfigPackagePermissions.UseViewDescription,Can use and view this package, ,Can use and view this package,이 패키지를 사용하고 볼 수 있습니다,可以使用并查看此套装
Studio.Toolbox.AssetConfigPackagePermissions.EditDescription,"Can use, view and edit this package", ,"Can use, view and edit this package",이 패키지를 사용하고 보고 편집할 수 있습니다,可以使用、查看和编辑此套装
Studio.Toolbox.AssetConfigPackagePermissions.FriendsCollaboratorType,Friends, ,Friends,친구,好友
Studio.Toolbox.AssetConfigPackagePermissions.UsersCollaboratorType,Users, ,Users,사용자,用户
Studio.Toolbox.AssetConfigPackagePermissions.GroupsCollaboratorType,Groups, ,Groups,그룹,组合
Studio.Toolbox.AssetConfigPackagePermissions.MyFriendsCollaborator,My Friends, ,My Friends,내 친구,我的好友
Studio.Toolbox.AssetConfigPreview.Format,Acceptable files: {formatString},Max: {maxDimensionsX} x {maxDimensionsY}, ,Acceptable files: {formatString},Max: {maxDimensionsX} x {maxDimensionsY}
허용 가능 파일: {formatString},최대: {maxDimensionsX} x {maxDimensionsY},可接受的文件: {formatString},最大: {maxDimensionsX} x {maxDimensionsY},Studio.Toolbox.AssetConfigPreview.Process,Image will be reviewed by moderators before being made visible to other users
 ,Image will be reviewed by moderators before being made visible to other users,이미지는 검열팀의 검토가 끝난 후에 다른 사용자들에게 공개됩니다,图片将由协调员审查，然后再对其他用户开放显示,Studio.Toolbox.AssetConfigPackagePermissions.OwnerLabel,Owner
 ,Owner,소유자,所有者,Studio.Toolbox.AssetConfigPackagePermissions.TooManyCollaboratorsText,You cannot add more than {maxNumCollaborators:int} collaborators
 ,You cannot add more than {maxNumCollaborators:int} collaborators,공동 작업자는 최대 {maxNumCollaborators:int}명까지만 추가할 수 있습니다.,无法添加 {maxNumCollaborators:int} 位以上的合作者,Studio.Toolbox.Purchase.RobuxBalance,Your current balance:
 ,Your current balance:,현재 잔액:,你当前的余额:,Studio.Toolbox.Purchase.BuyPrompt,Would you like to buy "{name}" from {creator} for {robux:int} Robux?
 ,Would you like to buy "{name}" from {creator} for {robux:int} Robux?,{creator}에게 "{name}"을(를) {robux:int} Robux에 구매할까요?,你要以 {robux:int} Robux 从 {creator} 处购买 "{name}" 吗?,Studio.Toolbox.Purchase.InsufficientPrompt,You need {robux:int} more Robux to buy "{name}" from {creator}.
 ,You need {robux:int} more Robux to buy "{name}" from {creator}.,{creator}에게 "{name}"을(를) 구매하려면 {robux:int} Robux가 더 필요합니다.,你还需要 {robux:int} Robux 才能从 {creator} 处购买到 "{name}"。,Studio.Toolbox.Purchase.Cancel,Cancel
 ,Cancel,취소,取消,Studio.Toolbox.Purchase.Retry,Retry
 ,Retry,다시 시도,重试,Studio.Toolbox.Purchase.Buy,Buy
 ,Buy,구매,购买,Studio.Toolbox.Purchase.BuyRobux,Buy Robux
 ,Buy Robux,Robux 구매,购买 Robux,Studio.Toolbox.Purchase.BuyTitle,Buy & Install Plugin
 ,Buy & Install Plugin,플러그인 설치 및 구매,购买和安装插件,Studio.Toolbox.Purchase.InsufficientTitle,Insufficient Robux
 ,Insufficient Robux,Robux가 부족함,Robux 不足,Studio.Toolbox.Purchase.FailedHeader,Purchase failed
 ,Purchase failed,구매 실패,购买失败,Studio.Toolbox.Purchase.FailedDetails,Purchase of "{name}" failed.
 ,Purchase of "{name}" failed.,"{name}" 구매에 실패했습니다.,购买 "{name}" 失败。,Studio.Toolbox.Purchase.Free,FREE
 ,FREE,무료,免费,Studio.Toolbox.General.Fee,After {percent}% fee:
 ,After {percent}% fee:,{percent}% 수수료 적용 후 금액:,在支付 {percent}% 的手续费后:,Studio.Toolbox.General.Earn,You earn:
 ,You earn:,획득 금액:,你赚取:,Studio.Toolbox.AssetConfigSales.Target,"By enabling it, this asset will be put in {market} and available for any Roblox {user}."
 ,"By enabling it, this asset will be put in {market} and available for any Roblox {user}.",활성화하면 이 애셋이 {market}에 포함되어 모든 Roblox {user}이(가) 사용할 수 있게 됩니다.,启用之后，此项资源就会投放到 {market} 并可供所有 Roblox {user} 使用。,Studio.Toolbox.General.CategoryGroupPlugins,Group Plugins
 ,Group Plugins,그룹 플러그인,组插件,Studio.Toolbox.General.CategoryCreationsPlugins,Plugins
 ,Plugins,플러그인,插件,Studio.Toolbox.General.Free,Free
 ,Free,무료,免费,Studio.Toolbox.General.Installing,Installing
 ,Installing,설치,正在安装,Studio.Toolbox.General.Tags,Tags
 ,Tags,태그,标签,Studio.Toolbox.AssetConfigError.NetworkError,We encountered some problems:
 ,We encountered some problems:,문제가 발생했습니다.,我们遇到了一些问题：,Studio.Toolbox.AssetConfigPackagePermissions.PackageCreator,Package Creator
 ,Package Creator,패키지 생성자,软件包创建者,Studio.Toolbox.AssetConfigPackagePermissions.SearchbarDefault,Search for Friends
 ,Search for Friends,친구 검색,搜索好友,Studio.Toolbox.AssetConfigPackagePermissions.UserOwnedWarning, Users you share with will always have access to the current and previous versions of this package. Removing collaborators will discontinue their access to newer versions of the package.
 , Users you share with will always have access to the current and previous versions of this package. Removing collaborators will discontinue their access to newer versions of the package., 공유 받는 사용자는 항상 이 패키지의 현재 및 이전 버전에 액세스할 수 있습니다. 공동 작업자를 제거하면 최신 버전의 패키지에 대한 액세스가 중단됩니다., 你所进行共享的用户将始终拥有此包最新与先前版本的访问权限。将协作者移除后，也将终止其对此包今后版本的访问权限。,Studio.Toolbox.AssetConfigPackagePermissions.GroupOwnedWarning,No Access takes effect from new versions of this package. Users assigned to rolesets with "Edit" permissions will always have access to current and previous versions of this package.
 ,No Access takes effect from new versions of this package. Users assigned to rolesets with "Edit" permissions will always have access to current and previous versions of this package.,이 패키지의 새 버전에는 액세스 권한이 적용되지 않습니다. "편집" 권한이 있는 역할 세트에 할당된 사용자는 항상 이 패키지의 현재 및 이전 버전에 액세스할 수 있습니다.,无访问权限设定会在此软件包更新版本后生效。拥有“编辑”权限角色集中的用户将始终有权访问此程序包的最新与先前版本。,Studio.Toolbox.AssetConfigPackagePermissions.PackageDetails,Package Details
 ,Package Details,패키지 세부 사항,软件包详情,Studio.Toolbox.Purchase.FreeTitle,Install Plugin
 ,Install Plugin,플러그인 설치,安装插件,Studio.Toolbox.Purchase.SuccessHeader,Buy & Installation Complete!
 ,Buy & Installation Complete!,플러그인 설치 및 구매!,购买及安装完成！,Studio.Toolbox.Purchase.FreeSuccessHeader,Installation Complete!
 ,Installation Complete!,설치 완료!,安装完成!,Studio.Toolbox.Purchase.SuccessDetails,Successfully installed "{name}".
 ,Successfully installed "{name}".,"{name}"을(를) 설치했습니다.,成功安装 "{name}"。,Studio.Toolbox.MaxTagsDescription,Add up to {max:int} tags from the tag library
 ,Add up to {max:int} tags from the tag library,태그 라이브러리에서 최대 {max:int}개의 태그 추가,从标签库中最多添加 {max:int} 个标签,Studio.Toolbox.NoTagFound,Word(s) not found in the tag library
 ,Word(s) not found in the tag library,태그 라이브러리에서 단어를 찾을 수 없음,未能在标签库中找到相应词语,Studio.Toolbox.ThumbnailStatus.Error,Error
 ,Error,오류,错误,Studio.Toolbox.ThumbnailStatus.InReview,In Review
 ,In Review,검토 중,审阅中,Studio.Toolbox.ThumbnailStatus.Pending,Pending
 ,Pending,보류 중,处理中,Studio.Toolbox.ThumbnailStatus.Blocked,Blocked
 ,Blocked,차단됨,已屏蔽,Studio.Toolbox.General.AbbreviatedSeconds,s
 ,s,초,秒,Studio.Toolbox.General.AbbreviatedMinutes,m
 ,m,분,分,Studio.Toolbox.General.SearchOptionAudioTo,to
 ,to,(으)로,至,Studio.Toolbox.General.SearchOptionAudioLength,Sound Length
 ,Sound Length,사운드 길이,声音长度,Studio.Toolbox.General.SearchTagLength,length:
 ,length:,길이:,长度：,Studio.Toolbox.AssetConfigUpload.IDCopied,ID Copied!
 ,ID Copied!,ID 복사 완료!,ID 已复制！,Studio.Toolbox.AssetConfigAnimation.FilterID,Filter ID
