Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.Tutorials.StudioTour.select_Title,Select Part,Teil auswählen,Select Part,Seleccionar pieza,Sélectionner une partie,Seleziona parte,パーツを選択,파트 선택,Seleciona parte,选择部件,选择部件,選擇零件
Studio.Tutorials.Plugin.Description,Toggles the Template plugin window.,Schaltet das Vorlagen-Plugin-Fenster um.,Toggles the Template plugin window.,Activar la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,Attiva/Disattiva la finestra del plugin template.,テンプレートのプラグインウィンドウを切りかえ。,템플릿 플러그인 창을 전환합니다.,Alterna a janela do plugin de modelos.,切换模板插件窗口。,切换模板插件窗口。,切換範本外掛程式視窗。
Studio.Tutorials.Plugin.Start,Start,Starten,Start,Empezar,Commencer,Avvia,開始,시작,Iniciar,开始,开始,啟動
Studio.Tutorials.Tutorial.StepSkipped,Step Skipped,Schritt übersprungen,Step Skipped,Paso saltado,Étape ignorée,Passo Saltato,飛ばしたステップ,단계 건너뜀,Etapa ignorada,已跳过步骤,已跳过步骤,步驟已跳過
Studio.Tutorials.Plugin.Welcome,"Welcome to Roblox Studio, %s!","Willkommen bei Roblox Studio, %s!","Welcome to Roblox Studio, %s!","Te damos la bienvenida a Roblox Studio, %s.","Bienvenue dans Roblox Studio, %s!","Benvenuto a Roblox Studio, %s!",%s さん、Roblox Studioへようこそ！,"%s 님, Roblox Studio에 오신 것을 환영합니다!","Boas-vindas ao Roblox Studio, %s!",欢迎来到 Roblox Studio，%s！,欢迎来到 Roblox Studio，%s！,%s，歡迎來到 Roblox Studio！
Studio.Tutorials.StudioTour2.select_Title,Select the car,Auto auswählen,Select the car,Selecciona el coche,Sélectionner la voiture,Seleziona l'auto,車を選択,자동차 선택,Selecione o carro,选择汽车,选择汽车,選擇車子
Studio.Tutorials.Plugin.Next,Next,Weiter,Next,Siguiente,Suivant,Successivo,次へ,다음,Próximo,继续,继续,下一步
Studio.Tutorials.Plugin.Title,Want to learn the basics? Start the tour to make your first experience.,"Möchtest du die Grundlagen lernen? Starte die Tour, um dein erstes Erlebnis zu erstellen.",Want to learn the basics? Start the tour to make your first experience.,¿Quieres aprender lo básico? Comienza el tour para hacer tu primera experiencia.,Tu veux apprendre les bases ? Commence la visite pour faire ta première expérience.,Vuoi imparare le basi? Inizia il tour per fare la tua prima esperienza.,基本を学びますか？ツアーを開始して最初のバーチャル空間を作りましょう。,투어를 통해 기본기를 배우고 첫 체험을 만들어 보세요.,Quer aprender o básico? Comece o tour para fazer sua primeira experiência.,要学习基础知识吗？开始教程，进行初次体验。,要学习基础知识吗？开始教程，进行初次体验。,想學習基礎知識嗎？請啟動導覽體驗您的第一次學習之旅。
Studio.Tutorials.Completed.Description,Continue building here or visit the Dashboard to choose a different template place.,"Baue hier weiter oder besuche das Dashboard, um einen anderen Vorlagenort zu wählen.",Continue building here or visit the Dashboard to choose a different template place.,Continúa construyendo aquí o visita la Interfaz para elegir un lugar de plantilla diferente.,Continue à construire ici ou consulte le tableau de bord pour choisir un autre emplacement de modèle.,Continua a costruire qui o visita la Dashboard per scegliere un posto diverso per il modello.,制作を続けるかダッシュボードに行って違うテンプレートのプレースを選びましょう。,여기서 빌드를 계속하거나 대시보드를 방문해 다른 템플릿 플레이스를 선택하세요.,Continue a construir aqui ou visite o Painel para escolher um modelo de local diferente.,继续在此建造或在中心选择其它模板场景。,继续在此建造或在中心选择其它模板场景。,繼續在此建造或前往主控板以選擇不一樣的範本空間。
Studio.Tutorials.Completed.Back,Dashboard,Dashboard,Dashboard,Interfaz,Tableau de bord,Dashboard,ダッシュボード,대시보드,Painel,中心,中心,主控板
Studio.Tutorials.Tutorial.QuitTutorial,Quit Tutorial,Tutorial beenden,Quit Tutorial,Salir del tutorial,Quitter le tutoriel,Esci dal tutorial,チュートリアルをやめる,튜토리얼 종료,Sair do tutorial,退出教程,退出教程,退出教學
Studio.Tutorials.StudioTour.workspace_Title, Workspace, Arbeitsbereich, Workspace, Workspace, Workspace, Workspace, ワークスペース, Workspace, Espaço de trabalho, 工作区, 工作区, 工作區
Studio.Tutorials.Completed.Continue,Continue,Fortfahren,Continue,Continuar,Continuer,Continua,続ける,계속,Continuar,继续,继续,繼續
Studio.Tutorials.Tutorial.Begin,Begin,Beginnen,Begin,Empezar,Commencer,Inizia,始める,시작,Começar,开始,开始,開始
Studio.Tutorials.StudioTour.material_Title,Change Material,Material ändern,Change Material,Cambiar material,Changer de matériau,Cambia materiale,素材の変更,재질 변경,Mudar material,更换材质,更换材质,變更材質
Studio.Tutorials.StudioTour2.move_Title,Move,Verschieben,Move,Mover,Déplacer,Sposta,移動,이동,Mover,移动,移动,移動
Studio.Tutorials.Tutorial.SkipStep,Skip Step,Schritt überspringen,Skip Step,Saltar paso,Ignorer l'étape,Salta passo,ステップを飛ばす,단계 건너뛰기,Pular etapa,跳过步骤,跳过步骤,跳過步驟
Studio.Tutorials.StudioTour.playtest_Title,Playtest,Spiel testen,Playtest,Prueba de juego,Test de jeu,Playtest,プレイテスト,플레이테스트,Teste de jogo,游戏测试,游戏测试,試玩
Studio.Tutorials.StudioTour2.playtest_Title,Playtest,Spiel testen,Playtest,Prueba el juego,Test de jeu,Playtest,プレイテスト,플레이테스트,Teste de jogo,游戏测试,游戏测试,試玩
Studio.Tutorials.StudioTour2.topic_playtest,Playtest,Spiel testen,Playtest,Prueba de juego,Test de jeu, ,プレイテスト,플레이테스트,Teste de jogo,游戏测试,游戏测试,試玩
Studio.Tutorials.Tutorial.StopPlaytest_Title,Playtest,Spiel testen,Playtest,Prueba de juego,Test de jeu,Playtest,プレイテスト,플레이테스트,Teste de jogo,游戏测试,游戏测试,試玩
Studio.Tutorials.StudioTour2.wedge_Description,Parts are the basic building blocks in Studio. Let's insert a part to make a ramp for the car to drive over.<br/><br/>Use the arrow below the button to insert a Wedge.,"Teile sind die Grundbausteine in Studio. Fügen wir ein Teil ein, um eine Rampe zu bauen, über die das Auto fahren kann.<br/><br/>Benutze den Pfeil unter der Schaltfläche, um einen Keil einzufügen.",Parts are the basic building blocks in Studio. Let's insert a part to make a ramp for the car to drive over.<br/><br/>Use the arrow below the button to insert a Wedge.,Las piezas son los bloques de construcción básicos en Studio. Vamos a insertar una pieza para hacer una rampa sobre la que conduzca el coche.<br/><br/>Usa la flecha debajo del botón para insertar una cuña.,Les parties sont les blocs de construction de base dans Studio. Insérons une pièce pour faire une rampe pour que la voiture puisse bouger.<br/><br/>Utiliser la flèche au-dessous du bouton pour insérer un Wedge.,Prova a inserire un <b>wedge</b>. Usiamo questo per fare una rampa per l'auto da guidare!,パーツはStudioで制作するときの基本的な要素です。パーツを挿入して、車が通れる傾斜路を作りましょう。<br/><br/>ボタンの下の矢印を使用して三角柱を挿入します。,파트는 Studio의 기본 빌드 블록입니다. 파트를 삽입해 자동차가 지나갈 수 있는 경사로를 만들어 봅시다.<br/><br/>버튼 아래 화살표를 사용해 '쐐기'를 삽입하세요.,As peças são os blocos de construção básicos no Studio. Vamos inserir uma peça para fazer uma rampa para o carro passar.<br/><br/>Use a seta abaixo do botão para inserir uma Cunha.,部件是 Studio 里的基础建造单位。让我们插入一个部件来制造一个斜坡以供汽车通行吧。<br/><br/>使用箭头下方的按钮来插入一个楔形。,部件是 Studio 里的基础建造单位。让我们插入一个部件来制造一个斜坡以供汽车通行吧。<br/><br/>使用箭头下方的按钮来插入一个楔形。,零件是 Studio 中的基本建造單位。讓我們一起插入能讓車子開過的斜坡零件吧。<br/><br/>使用按鈕下方的箭頭以插入楔形。
Studio.Tutorials.Tutorial.StopPlaytest_Description,"Control your avatar with the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys.<br/><br/>Try interacting with the parts you added!<br/><br/>When you're ready, press Stop to go back to editing your place.","Steuere deinen Avatar mit den Tasten <b>W</b>, <b>A</b>, <b>S</b> und <b>D</b>.<br/><br/>Versuche, mit den Teilen zu interagieren, die du hinzugefügt hast!<br/><br/>Wenn du fertig bist, drückst du auf \"Anhalten\", um zur Bearbeitung deines Ortes zurückzukehren.","Control your avatar with the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys.<br/><br/>Try interacting with the parts you added!<br/><br/>When you're ready, press Stop to go back to editing your place.","Controla tu avatar con la teclas <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b>.<br/><br/>Intenta interactuar con las piezas que añadiste.<br/><br/>Cuando tengas todo listo, presiona Detener para volver a editar tu lugar.","Contrôle ton avatar avec le <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> clés.<br/><br/>Essaie d'interagir avec les pièces que tu as ajoutées !<br/><br/>Quand tu es prêt, appuie sur Arrêter pour revenir à la modification de ta place.","Controlla il tuo avatar con il <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> chiavi.<br><br>Prova a interagire con le parti che hai aggiunto!<br><br>Quando sei pronto, premi Stop per tornare a modificare il tuo posto.",<b>W</b>、<b>A</b>、<b>S</b>そして<b>D</b>キーを使ってアバターを操作。<br/><br/>追加したパーツとインタラクトしてみましょう！<br/><br/>準備ができたら「停止」を押してプレースの編集に戻りましょう。,"<b>W</b>, <b>A</b>, <b>S</b>, <b>D</b> 키로 아바타를 제어하세요.<br/><br/>추가한 파트로 상호작용을 시도하세요.<br/><br/>준비가 되면 중지를 눌러 플레이스 편집으로 돌아가세요.","Controle seu avatar com as teclas <b>W</b>, <b>A</b>, <b>S</b> e <b>D</b>.<br/><br/>Tente interagir com as partes que você adicionou!<br/><br/>Quando você estiver pronto, pressione Parar para voltar a editar seu local.",使用 <b>W</b>，<b>A</b>，<b>S</b> 和 <b>D</b> 键控制虚拟形象。<br/><br/>尝试与你添加的部件互动！<br/><br/>当你准备好时，点击“停止”继续返回编辑场景。,使用 <b>W</b>，<b>A</b>，<b>S</b> 和 <b>D</b> 键控制虚拟形象。<br/><br/>尝试与你添加的部件互动！<br/><br/>当你准备好时，点击“停止”继续返回编辑场景。,使用 <b>W</b>、<b>A</b>、<b>S</b> 與 <b>D</b> 鍵控制自己的虛擬人偶。<br/><br/>請嘗試與您新增的零件互動！<br/><br/>您準備好之後，按下停止以返回編輯自己的空間。
Studio.Tutorials.StudioTour.color_Description,"With the ramp selected, press Color to choose a new color for the ramp.","Wenn die Rampe ausgewählt ist, drücke auf Color, um eine neue Farbe für die Rampe auszuwählen.","With the ramp selected, press Color to choose a new color for the ramp.","Con la rampa seleccionada, presiona Color para elegir un nuevo color para la rampa.","Avec la rampe sélectionnée, appuyez sur Couleur pour choisir une nouvelle couleur pour la rampe.",Fai clic su questo pulsante per scegliere un nuovo colore per la tua parte.,パーツの新しい色を選択するには、このボタンをクリックします。,경사로를 선택한 상태에서 '색상'을 눌러 경사로의 새로운 색상을 지정하세요.,"Com a rampa selecionada, pressione Cor para escolher uma nova cor para a rampa.",选中斜坡后，点击“颜色”为斜坡选择新颜色。,选中斜坡后，点击“颜色”为斜坡选择新颜色。,請選擇斜坡，按下顏色為斜坡選擇新顏色。
Studio.Tutorials.StudioTour.properties_Description,This is the Properties window. You can see and edit the properties of any object you select.,Dies ist das Fenster "Eigenschaften". Du kannst die Eigenschaften eines jeden ausgewählten Objekts sehen und bearbeiten.,This is the Properties window. You can see and edit the properties of any object you select.,Esta es la ventana de Propiedades. Puedes ver y editar las propiedades de cualquier objeto que selecciones.,Ceci est la fenêtre Propriétés. Tu peux voir et modifier les propriétés de n'importe quel objet que tu sélectionnes.,Questa è la finestra Proprietà. Puoi vedere e modificare le proprietà di qualsiasi oggetto che selezioni.,これはプロパティウィンドウです。選択したオブジェクトのあらゆるプロパティを表示したり編集したりできます。,이것은 속성 창입니다. 선택한 개체의 속성을 보고 편집할 수 있습니다.,Esta é a janela Propriedades. Você pode ver e editar as propriedades do objeto selecionado.,这是属性窗口。你可以在这里查看并编辑你选中的任意对象的属性。,这是属性窗口。你可以在这里查看并编辑你选中的任意对象的属性。,這是屬性視窗，您可以檢視與編輯任何選定的物件屬性。
Studio.Tutorials.StudioTour.Title,Studio Tour,Studio-Tour,Studio Tour,Tour de Studio,Studio Tour,Studio Tour,Studioツアー,Studio 투어,Tour do Studio,Studio 教程,Studio 教程,Studio 導覽
Studio.Tutorials.StudioTour.welcome_Title,Studio Tour,Studio-Tour,Studio Tour,Tour de Studio,Studio Tour,Studio Tour,Studioツアー,Studio 투어,Tour do Studio,Studio 教程,Studio 教程,Studio 導覽
Studio.Tutorials.StudioTour2.Title,Studio Tour,Studio-Tour,Studio Tour,Tour de Studio,Studio Tour,Studio Tour,Studioツアー,Studio 투어,Tour do Studio,Studio 教程,Studio 教程,Studio 導覽
Studio.Tutorials.StudioTour2.welcome_Title,Studio Tour,Studio-Tour,Studio Tour,Tour de Studio,Studio Tour,Studio Tour,Studioツアー,Studio 투어,Tour do Studio,Studio 教程,Studio 教程,Studio 導覽
Studio.Tutorials.StudioTour2.parts_Title,Insert a Part,Teil einfügen,Insert a Part,Inserta una Pieza,Insérer une partie,Inserisci una parte,パーツを挿入,파트 삽입,Inserir uma parte,插入部件,插入部件,插入零件
Studio.Tutorials.StudioTour.welcome_Description,The tour will teach you how to create your first Roblox place! You'll learn how to use the basic Studio controls and playtest with your Roblox avatar.,"In der Tour lernst du, wie du deinen ersten Roblox-Ort erstellst! Du lernst, wie du die grundlegenden Studio-Bedienelemente verwendest und das Spiel mit deinem Roblox-Avatar testest.",The tour will teach you how to create your first Roblox place! You'll learn how to use the basic Studio controls and playtest with your Roblox avatar.,El recorrido te enseñará cómo crear tu primer lugar en Roblox. Aprenderás a usar los controles básicos de Studio y la prueba de juego con tu avatar de Roblox.,La visite t'apprendra à créer ton premier emplacement Roblox ! Tu apprendras à utiliser les commandes de base de Studio et à tester avec ton avatar Roblox.,Il tour vi insegnerà come creare il vostro primo posto Roblox! Imparerai come utilizzare i controlli di base Studio e playtest con il tuo avatar Roblox.,このツアーは最初のRobloxプレースの作り方を教えてくれます！基本的なStudio操作の使い方とRobloxアバターを使ったプレイテストについて学びます。,Roblox 플레이스 제작 방법에 대해 알아보세요. 이 투어를 통해 기본 Studio 제어 방법 및 Roblox 아바타로 플레이테스트를 수행하는 방법에 대해 배울 수 있습니다.,A tour lhe ensinará a criar seu primeiro local na Roblox! Você aprenderá como usar os controles básicos do Studio e fazer o teste dos jogos com seu avatar Roblox.,教程将带你学习如何创建你的首个 Roblox 场景！你将学习使用基本 Studio 控制并使用你的虚拟形象进行游戏测试。,教程将带你学习如何创建你的首个 Roblox 场景！你将学习使用基本 Studio 控制并使用你的虚拟形象进行游戏测试。,本導覽會教導您該如何創作屬於自己的第一個 Roblox 空間！您會學到如何運用基礎 Studio 控制設定與使用自己的 Roblox 虛擬人偶試玩。
Studio.Tutorials.StudioTour2.welcome_Description,The tour will teach you how to create your first Roblox place! You'll learn how to use the basic Studio controls and playtest with your Roblox avatar.,"In der Tour lernst du, wie du deinen ersten Roblox-Ort erstellst! Du lernst, wie du die grundlegenden Studio-Bedienelemente verwendest und das Spiel mit deinem Roblox-Avatar testest.",The tour will teach you how to create your first Roblox place! You'll learn how to use the basic Studio controls and playtest with your Roblox avatar.,Este tour te enseñará cómo crear tu primer lugar en Roblox. Aprenderás a usar los controles básicos de Studio y la prueba de juego con tu avatar de Roblox.,Le Studio Tour t'apprendra à créer ton premier emplacement Roblox ! Tu apprendras à utiliser les commandes de base de Studio et à tester avec ton avatar Roblox.,Il tour vi insegnerà come creare il vostro primo posto Roblox! Imparerai come utilizzare i controlli di base Studio e playtest con il tuo avatar Roblox.,このツアーは最初のRobloxプレースの作り方を教えてくれます！基本的なStudio操作の使い方とRobloxアバターを使ったプレイテストについて学びます。,Roblox 플레이스 제작 방법에 대해 알아보세요. 이 투어를 통해 기본 Studio 제어 방법 및 Roblox 아바타로 플레이테스트를 수행하는 방법에 대해 배울 수 있습니다.,A tour lhe ensinará a criar seu primeiro local na Roblox! Você aprenderá como usar os controles básicos do Studio e fazer o teste dos jogos com seu avatar Roblox.,教程将带你学习如何创建你的首个 Roblox 场景！你将学习使用基本 Studio 控制并使用你的虚拟形象进行游戏测试。,教程将带你学习如何创建你的首个 Roblox 场景！你将学习使用基本 Studio 控制并使用你的虚拟形象进行游戏测试。,本導覽會教導您該如何創作屬於自己的第一個 Roblox 空間！您會學到如何運用基礎 Studio 控制設定與使用自己的 Roblox 虛擬人偶試玩。
Studio.Tutorials.StudioTour.moveCamera_Title,Moving the Camera,Die Kamera bewegen,Moving the Camera,Mover la cámara,Déplacement de la caméra,Spostare la telecamera,カメラを動かす,카메라 이동,Movendo a câmera,移动镜头,移动镜头,移動攝影機
Studio.Tutorials.StudioTour.panCamera_Title,Moving the Camera,Die Kamera bewegen,Moving the Camera,Mover la cámara,Déplacement de la caméra,Spostare la telecamera,カメラを動かす,카메라 이동,Movendo a câmera,移动镜头,移动镜头,移動攝影機
Studio.Tutorials.StudioTour2.moveCamera_Title,Moving the Camera,Die Kamera bewegen,Moving the Camera,Mover la cámara,Déplacement de la caméra,Spostare la telecamera,カメラを動かす,카메라 이동,Movendo a câmera,移动镜头,移动镜头,移動攝影機
Studio.Tutorials.StudioTour2.panCamera_Title,Moving the Camera,Die Kamera bewegen,Moving the Camera,Mover la cámara,Déplacement de la caméra,Spostare la telecamera,カメラを動かす,카메라 이동,Movendo a câmera,移动镜头,移动镜头,移動攝影機
Studio.Tutorials.StudioTour.moveCamera_Description,"Use the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys to move forwards, left, backwards and right. Try it out now!","Benutze die Tasten <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b>, um dich vorwärts, links, rückwärts und rechts zu bewegen. Probiere es jetzt aus!","Use the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys to move forwards, left, backwards and right. Try it out now!","Usa las teclas <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> para moverte hacia adelante, a la izquierda, hacia atrás y a la derecha. ¡Pruébalas ya!","Utilise le <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> touches pour avancer, aller à gauche, aller en arrière et aller à droite. Essaie !","Usa il <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> tasti per muoversi in avanti, a sinistra, indietro e a destra. Provalo ora!",<b>W</b>、<b>A</b>、<b>S</b>そして<b>D</b> キーを使って、前、左、後ろ、右に移動させます。今すぐ試してみましょう！,"<b>W</b>, <b>A</b>, <b>S</b>, <b>D</b> 키를 사용하면 앞, 왼쪽, 뒤, 오른쪽으로 이동할 수 있습니다. 지금 바로 사용해 보세요!","Use as teclas <b>W</b>, <b>A</b>, <b>S</b> e <b>D</b> para se mover para frente, para a esquerda, para trás e para a direita. Experimente agora!",使用 <b>W</b>，<b>A</b>，<b>S</b> 和 <b>D</b> 键来向前、向左、向后和向右移动。立刻试试吧！,使用 <b>W</b>，<b>A</b>，<b>S</b> 和 <b>D</b> 键来向前、向左、向后和向右移动。立刻试试吧！,使用 <b>W</b>、<b>A</b>、<b>S</b> 與 <b>D</b> 鍵前後左右移動。立刻試試吧！
Studio.Tutorials.StudioTour2.moveCamera_Description,"Use the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys to move forwards, left, backwards and right. Try it out now!","Benutze die Tasten <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b>, um dich vorwärts, links, rückwärts und rechts zu bewegen. Probiere es jetzt aus!","Use the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys to move forwards, left, backwards and right. Try it out now!","Usa las teclas <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> para moverte hacia adelante, a la izquierda, hacia atrás y a la derecha. ¡Pruébalas ya!","Utilise le <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> touches pour avancer, aller à gauche, aller en arrière et aller à droite. Essaie !","Usa il <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> tasti per muoversi in avanti, a sinistra, indietro e a destra. Provalo ora!",<b>W</b>、<b>A</b>、<b>S</b>そして<b>D</b> キーを使って、前、左、後ろ、右に移動させます。今すぐ試してみましょう！,"<b>W</b>, <b>A</b>, <b>S</b>, <b>D</b> 키를 사용하면 앞, 왼쪽, 뒤, 오른쪽으로 이동할 수 있습니다. 지금 바로 사용해 보세요!","Use as teclas <b>W</b>, <b>UM</b>, <b>S</b> e <b>D</b> para se mover para frente, para a esquerda, para trás e para a direita. Experimente agora!",使用 <b>W</b>，<b>A</b>，<b>S</b> 和 <b>D</b> 键来向前、向左、向后和向右移动。立刻试试吧！,使用 <b>W</b>，<b>A</b>，<b>S</b> 和 <b>D</b> 键来向前、向左、向后和向右移动。立刻试试吧！,使用 <b>W</b>、<b>A</b>、<b>S</b> 與 <b>D</b> 鍵前後左右移動。立刻試試吧！
Studio.Tutorials.StudioTour.properties_Title,Properties,Eigenschaften,Properties,Propiedades,Propriétés,Proprietà,プロパティ,속성,Propriedades,属性,属性,屬性
Studio.Tutorials.StudioTour2.properties_Title,Properties,Eigenschaften,Properties,Propiedades,Propriétés,Proprietà,プロパティ,속성,Propriedades,属性,属性,屬性
Studio.Tutorials.StudioTour2.topic_properties,Properties,Eigenschaften,Properties,Propiedades,Propriétés, ,プロパティ,속성,Propriedades,属性,属性,屬性
Studio.Tutorials.StudioTour.zoomCamera_Title,Zooming the Camera,Die Kamera vergrößern,Zooming the Camera,Acercar y alejar la cámara,Zoom de la caméra,Camera Zoom,カメラのズーム,카메라 줌 사용,Aproximando ou afastando a câmera,缩放镜头,缩放镜头,縮放攝影機
Studio.Tutorials.StudioTour2.zoomCamera_Title,Zooming the Camera,Die Kamera vergrößern,Zooming the Camera,Acercar y alejar la cámara,Zoom de la caméra,Camera Zoom,カメラのズーム,카메라 줌 사용,Aproximando ou afastando a câmera,缩放镜头,缩放镜头,縮放攝影機
