Key,Source,en-us
Studio.Tutorials.StudioTour.parts_Description,"Parts are the basic building blocks in Studio.<br/><br/>Use the arrow below the button to choose a shape, like a Block, Sphere or Cylinder.<br/><br/>Add as many as you like now!","Parts are the basic building blocks in Studio.<br/><br/>Use the arrow below the button to choose a shape, like a Block, Sphere or Cylinder.<br/><br/>Add as many as you like now!"
Studio.Tutorials.StudioTour2.rotateCamera_Description,"Hold down the right mouse button or Ctrl key and left mouse button, then move your mouse to turn the camera around.","Hold down the right mouse button or Ctrl key and left mouse button, then move your mouse to turn the camera around"
Studio.Tutorials.StudioTour.focus_Title,Focus,Focus
Studio.Tutorials.StudioTour2.focus_Title,Focus,Focus
Studio.Tutorials.StudioTour.focus_Description,Press F to focus the camera on the part while it's selected.,Press F to focus the camera on the part while it's selected.
Studio.Tutorials.StudioTour.playtest_Description,"Finally, click the Play button to playtest your experience.","Finally, click the Play button to playtest your experience."
Studio.Tutorials.StudioTour2.panCamera_Compliment,Keep it up!,Keep it up!
Studio.Tutorials.StudioTour2.focus_Compliment,Just like that!,Just like that!
Studio.Tutorials.StudioTour2.zoomCamera_Compliment,Just like that!,Just like that!
Studio.Tutorials.StudioTour2.rotateCamera_Compliment,Got it 💪,Got it 💪
Studio.Tutorials.StudioTour2.select_Compliment,Got it 💪,Got it 💪
Studio.Tutorials.StudioTour2.marketplace_Title,Marketplace,Marketplace
Studio.Tutorials.StudioTour2.topic_marketplace,Marketplace,Marketplace
Studio.Tutorials.StudioTour2.searchMarketplace_Title,Search the Marketplace,Search the Marketplace
Studio.Tutorials.StudioTour2.insertMarketplace_Title,Insert the car,Insert the car
Studio.Tutorials.StudioTour2.insertMarketplace_Description,Click on the car's tile to insert it into your place.,Click on the car's tile to insert it into your place.
Studio.Tutorials.StudioTour2.wedge_Title,Insert a Wedge,Insert a Wedge
Studio.Tutorials.StudioTour2.wedge_Compliment,Perfect! 😊,Perfect! 😊
Studio.Tutorials.StudioTour2.move_Title,Move,Move
Studio.Tutorials.StudioTour2.move_Compliment,Great!,Great!
Studio.Tutorials.StudioTour2.move_Description,"Select the Move tool, then click and drag the blue and red handles to move the wedge along the road in front of the car.","Select the Move tool, then click and drag the blue and red handles to move the wedge along the road in front of the car."
Studio.Tutorials.StudioTour2.rotate_Title,Rotate,Rotate
Studio.Tutorials.StudioTour2.rotate_Description,"Select the Rotate tool, then click and drag the green handle to turn the wedge around so thatit faces the car.","Select the Rotate tool, then click and drag the green handle to turn the wedge around so thatit faces the car."
Studio.Tutorials.StudioTour2.scale_Title,Scale,Scale
Studio.Tutorials.StudioTour2.scale_Compliment,Fantastic! ✨,Fantastic! ✨
Studio.Tutorials.StudioTour2.color_Title,Change the color of the ramp,Change the color of the ramp
Studio.Tutorials.StudioTour2.color_Description,Click this button to choose a new color for the ramp.,Click this button to choose a new color for the ramp.
Studio.Tutorials.StudioTour2.anchor_Title,Anchor the ramp,Anchor the ramp
Studio.Tutorials.StudioTour2.anchor_Compliment,That's right 💪,That's right 💪
Studio.Tutorials.StudioTour2.anchor_Description,"If the ramp isn't Anchored, it will move when you try to drive over it. With the ramp selected, click Anchor to make it anchored.","If the ramp isn't Anchored, it will move when you try to drive over it. With the ramp selected, click Anchor to make it anchored."
Studio.Tutorials.StudioTour2.focus_Description,"With the car selected, press F to move the camera to look at it.","With the car selected, press F to move the camera to look at it."
Studio.Tutorials.StudioTour2.properties_Description,This is the Properties window. You can see and edit the properties of the selected object.,This is the Properties window. You can see and edit the properties of the selected object.
Studio.Tutorials.StudioTour2.maxSpeed_Title,Change Max Speed,Change Max Speed
Studio.Tutorials.StudioTour2.maxSpeed_Compliment,"Woah, that's fast 🏎","Woah, that's fast 🏎"
Studio.Tutorials.StudioTour2.maxSpeed_Description,You can add custom data to objects using attributes.<br/><br/>Type 'MaxSpeed' in the Filter Properties box to find and update the MaxSpeed value and change the speed of the car.,You can add custom data to objects using attributes.<br/><br/>Type 'MaxSpeed' in the Filter Properties box to find and update the MaxSpeed value and change the speed of the car.
Studio.Tutorials.StudioTour2.playtest_Description,"Finally, playtest your place by clicking the Play button.","Finally, playtest your place by clicking the Play button."
Studio.Tutorials.StudioTour2.avatar_Title,Control your avatar,Control your avatar
Studio.Tutorials.StudioTour2.avatar_Compliment,Go for it! 🏎,Go for it! 🏎
Studio.Tutorials.StudioTour2.avatar_Description,"Control your avatar with the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys. Press <b>E</b> to enter the car when you are near it. Can you drive into the boxes?","Control your avatar with the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys. Press <b>E</b> to enter the car when you are near it. Can you drive into the boxes?"
Studio.Tutorials.StudioTour2.stopPlaytest_Title,Complete the tour,Complete the tour
Studio.Tutorials.StudioTour2.stopPlaytest_Description,"When you're ready, press Stop to go back to editing your place and complete the tour.","When you're ready, press Stop to go back to editing your place and complete the tour."
Studio.Tutorials.StudioTour2.topic_navigation,Navigation,Navigation
Studio.Tutorials.StudioTour2.topic_selection,Selection,Selection
Studio.Tutorials.StudioTour2.topic_attributes,Attributes,Attributes
