Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.AccessoryFittingTool.AssetType.Neck,Neck,Neck,Cuello,Cou,Collo,首,목,Pescoço, , ,頸部
Studio.AccessoryFittingTool.Editor.Generate,Generate,Generate,Generar,Générer,Genera,作成する,생성,Gerar,生成,生成,生成
Studio.AccessoryFittingTool.Flow.Generate,Generate,Generate,Generar,Générer,Genera,作成する,생성,Gerar,生成,生成,生成
Studio.AccessoryFittingTool.ToolSettings.Generate,Generate,Generate,Generar,Générer,Genera,作成する,생성,Gerar,生成,生成,生成
Studio.AccessoryFittingTool.Editor.CageGenerate,Cage Generate,Cage Generate,Generar jaula,Générer grille,Genera cage,ケージ作成,케이지 생성,Gerar gaiola, , ,圍籠生成
Studio.AccessoryFittingTool.AssetType.Hair,Hair,Hair,Pelo,Cheveux,Capelli,髪,헤어,Cabelo, , ,髮型
Studio.AccessoryFittingTool.Preview.Tooltip,Click to wear item in Accessory Fitting Tool Preview!,Click to wear item in Accessory Fitting Tool Preview!,Haz clic para usar el objeto en la vista previa de la herramienta de Ajuste de accesorios.,Clique pour mettre l'article dans la prévisulation de l'outil d'adaptation des accessoires !,Clicca per indossare l'oggetto nell'anteprima dello strumento accessorio per montaggio!,クリックして、アクセサリフィッティングツールのプレビューでアイテムを装備！,장신구 조정 도구 미리보기에서 아이템을 클릭해 장착하세요!,Clique para usar o item na visualização de ferramentas de ajuste de acessórios!, , ,點擊即可在飾品調整工具預覽戴上飾品！
Studio.AccessoryFittingTool.AssetType.Accessory,Accessory,Accessory,Accesorio,Accessoire,Accessorio,アクセサリ,장신구,Acessório, , ,飾品
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.ControlsPanelBlockerText,Add and avatar or clothing instance from Explorer or workspace.,Add and avatar or clothing instance from Explorer or workspace.,Añadir un avatar o una instancia de ropa del Explorador o del espacio de trabajo.,Ajouter des instances d'avatars ou de vêtements issues de l'explorateur ou de l'espace de travail.,Aggiungi un avatar o un'istanza di abbigliamento da Esploratore o dal workspace.,エクスプローラかワークスペースからアバターか衣装のインスタンスを追加,탐색기 또는 작업 공간에서 아바타 또는 복장 인스턴스를 추가합니다.,Adicionar uma instância de avatar ou de roupas a partir do Explorador ou da área de trabalho., , ,從總管或工作區新增虛擬人偶或服飾個體。
Studio.AccessoryFittingTool.Preview.PanelBlockerAddAnimation,Add a KeyframeSequence Instance from the Explorer,Add a KeyframeSequence Instance from the Explorer,Añadir una instancia KeyframeSequence del Explorador,Ajouter une instance KeyframeSequence depuis Explorer,Aggiungi un'istanza di KeyframeSequence dall'Esploratore,エクスプローラから KeyframeSequence インスタンスを追加,탐색기에서 KeyframeSequence 인스턴스 추가,Adicionar uma instância KeyframeSequence a partir do Explorador,从项目管理器添加一个 KeyframeSequence 实例,从项目管理器添加一个 KeyframeSequence 实例,從總管新增 KeyframeSequence 個體
Studio.AccessoryFittingTool.Editor.LatticeTool,Lattice Tool,Lattice Tool,Herramienta de Enrejado,Outil de treillis,Strumento Lattice,格子ツール,격자 도구,Ferramenta treliça, , ,格紋工具
Studio.AccessoryFittingTool.AssetType.LeftShoe,LeftShoe,LeftShoe,Zapato izquierdo,ChaussureGauche,Scarpa Sinistra,左靴,왼쪽 신발,LeftShoe,左脚鞋,左脚鞋,左鞋
Studio.AccessoryFittingTool.Editor.RingTool,Ring Tool,Ring Tool,Herramienta de Anillo,Outil d'encerclement,Strumento Suoneria,リングツール,링 도구,Ferramenta anel, , ,圓環工具
Studio.AccessoryFittingTool.ToolSettings.LocalAlignment,Local Alignment,Local Alignment,Alineación local,Alignement local,Allineamento locale,ローカル整列,로컬 정렬,Alinhamento local,本地对齐,本地对齐,局部對齊
Studio.AccessoryFittingTool.AssetType.Clothing,Clothing,Clothing,Ropa,Vêtement,Abbigliamento,衣装,복장,Roupas, , ,服飾
Studio.AccessoryFittingTool.Preview.Clothing,Clothing,Clothing,Ropa,Vêtements,Abbigliamento,衣装,복장,Roupas,服装,服装,服飾
Studio.AccessoryFittingTool.Editor.MeshPartMode,"Move, rotate, and scale MeshPart to adjust fitting.","Move, rotate, and scale MeshPart to adjust fitting.","Mueve, gira y escala MeshPart para ajustarse.","Déplacer, pivoter et redimensionner MeshPart pour ajuster.","Sposta, ruota e ridimensiona MeshPart per adattarlo.",フィッティング調整のための MeshPart の移動、回転、スケール。,"MeshPart를 이동, 회전, 스케일해 맞춤을 조정합니다.","Move, rotaciona e redimensiona a MeshPart para ajustar ao ajuste.", , ,移動、旋轉及縮放 MeshPart，調整合身度。
Studio.AccessoryFittingTool.Editor.PointTool,Point Tool,Point Tool,Herramienta de Punto,Outil pour pointer,Strumento Punto,ポイントツール,지점 도구,Ferramenta de ponto, , ,指定工具
Studio.AccessoryFittingTool.Editor.Reset,Reset,Reset,Restablecer,Réinitialiser,Reimposta,リセット,재설정,Redefinir, , ,重置
Studio.AccessoryFittingTool.AssetType.Dress,Dress,Dress,Vestido,Robe,Vestito,ワンピース,원피스,Vestido,连衣裙,连衣裙,裙子
Studio.AccessoryFittingTool.Select.PromptGeneric,Click the part or model that you would like to edit.,Click the part or model that you would like to edit.,Haz clic en la pieza o modelo que quieras editar.,Cliquer sur la pièce ou le modèle que tu souhaites modifier.,Clicca sulla parte o sul modello che vuoi modificare.,編集したいパーツかモデルをクリック。,편집하려는 파트 또는 모델을 클릭하세요.,Clique na parte ou modelo que você gostaria de editar., , ,點擊想要編輯的零件或模型。
Studio.AccessoryFittingTool.Editor.ResumeEditing,Click here to resume editing cages.,Click here to resume editing cages.,Haz clic aquí para reanudar la edición de las jaulas.,Cliquer ici pour continuer l'édition des grilles.,Clicca qui per riprendere la modifica delle cages.,ケージ編集を再開するにはこちらをクリック。,케이지 편집을 재개하려면 여기를 클릭하세요.,Clique aqui para voltar a editar gaiolas., , ,點擊此處繼續編輯圍籠。
Studio.AccessoryFittingTool.AssetType.RightCollar,Right Collar,Right Collar,Cuello derecho,Col droit,Colletto destro,右えり,오른쪽 칼라,Colarinho direito,右衣领,右衣领,右領
Studio.AccessoryFittingTool.Select.Prompt,Click the MeshPart you want to become the accessory.,Click the MeshPart you want to become the accessory.,Haz clic en la MeshPart que quieres que se convierta en accesorio.,Cliquer sur le MeshPart dont tu souhaites faire un accessoire.,Fare clic sul MeshPart che si desidera diventare l'accessorio.,アクセサリにしたい MeshPart （メッシュパーツ）をクリック。,장신구가 될 MeshPart를 클릭하세요.,Clique na MeshPart que você quer que se torne um acessório., , ,點選想要成為飾品的 MeshPart。
Studio.AccessoryFittingTool.Preview.Animations,Animations,Animations,Animaciones,Animations,Animazioni,アニメーション,애니메이션,Animações,动画,动画,動畫
Studio.AccessoryFittingTool.Select.Part,Part:,Part:,Pieza:,Partie :,Parte:,パーツ:,파트:,Parte:, , ,零件：
Studio.AccessoryFittingTool.AssetType.Shoulder,Shoulder,Shoulder,Hombro,Épaule,Spalle,肩,어깨,Ombro,肩部,肩部,肩膀
Studio.AccessoryFittingTool.Select.Selection,Selection:,Selection:,Selección:,Sélection :,Selezione:,選択肢:,선택 항목:,Seleção:, , ,選取項目：
Studio.AccessoryFittingTool.Select.LoseChanges,You have unpublished changes on the previous item. You will lose those changes if you select this new item. Proceed?,You have unpublished changes on the previous item. You will lose those changes if you select this new item. Proceed?,Tienes cambios sin publicar en el accesorio anterior. Perderás esos cambios si seleccionas un nuevo objeto. ¿Quieres proceder?,Il y a des changements non publiés sur l'article précédent. Tu les perdras si tu sélectionnes ce nouvel article. Veux-tu continuer ?,"Le modifiche apportate all'oggetto precedente non sono state pubblicate. Se selezioni questo nuovo oggetto, tali modifiche andranno perse. Procedere?",前のアイテムに未公開の変更内容があります。この新しいアイテムを選ぶと変更内容が失われます。続行しますか？,이전 항목에 게시되지 않은 변경 사항이 있습니다. 이 새 항목을 선택하면 변경 사항이 손실됩니다. 진행할까요?,Você tem mudanças não publicadas no item anterior. Você perderá estas mudanças se selecionar este novo item. Continuar?, , ,上一個道具尚有未發布的變更，這些變更會在選擇此道具時遺失。繼續？
Studio.AccessoryFittingTool.Select.Invalid,Invalid Selection,Invalid Selection,Selección no válida,Sélection non valide,Selezione Invalida,選択が無効です,유효하지 않은 선택,Seleção inválida, , ,選取內容無效
Studio.AccessoryFittingTool.Flow.Next,Next,Next,Siguiente,Suivant,Successivo,次へ,다음,Próximo,下一个,下一个,下一個
Studio.AccessoryFittingTool.AssetType.Hat,Hat,Hat,Sombrero,Chapeau,Cappello,帽子,모자,Chapéu, , ,帽子
Studio.AccessoryFittingTool.AssetType.Back,Back,Back,Trasero,Retour,Indietro,背面,후면,Costas,背面,背面,背面
Studio.AccessoryFittingTool.Flow.Back,Back,Back,Volver,Retour,Indietro,戻る,뒤로,Voltar,返回,返回,上一個
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.ConfirmAddText,Adding {itemName} to asset list?,Adding {itemName} to asset list?,¿Añadir {itemName} a la lista del recurso?,Ajouter {itemName} à la liste des contenus ?,Aggiunta di {itemName} alla lista degli asset?,アセットリストに {itemName} を追加しますか？,애셋 목록에 {itemName}(을)를 추가할까요?,Adicionar {itemName} à lista de ativos?, , ,新增 {itemName} 到素材清單？
Studio.AccessoryFittingTool.Preview.AddNew,Add new...,Add new...,Añadir nuevo...,Ajouter un nouveau/une nouvelle...,Aggiungi nuovo...,新規を追加...,신규 추가...,Adicionar novo...,新增...,新增...,新增……
Studio.AccessoryFittingTool.Preview.Asset,Asset,Asset,Recurso,Contenu,Risorsa,アセット,애셋,Ativo,素材,素材,素材
Studio.AccessoryFittingTool.AssetType.LeftCollar,Left Collar,Left Collar,Cuello izquierdo,Col gauche,Colletto sinistro,左えり,왼쪽 칼라,Colarinho esquerdo,左衣领,左衣领,左領
Studio.AccessoryFittingTool.Preview.PanelBlockerAddAvatar,Add an avatar item from the Explorer,Add an avatar item from the Explorer,Añadir un accesorio de avatar del Explorador,Ajouter un article d'avatar depuis Explorer,Aggiungi un oggetto dell'avatar dall'Esploratore,エクスプローラからアバターアイテムを追加,탐색기에서 아바타 아이템 추가,Adicionar um item de avatar a partir do Explorador,从项目管理器添加一件虚拟形象物品,从项目管理器添加一件虚拟形象物品,從總管新增虛擬人偶道具
Studio.AccessoryFittingTool.AssetType.Pants,Pants,Pants,Pantalones,Pantalon,Pantaloni,ズボン,바지,Calças,裤子,裤子,褲子
Studio.AccessoryFittingTool.AssetType.TeeShirt,Tee Shirt,Tee Shirt,Camiseta,Tee-shirt,Maglietta,Tシャツ,티셔츠,Camiseta, T 恤, T 恤,T 恤
Studio.AccessoryFittingTool.Reset.OuterCage,Reset Outer Cage,Reset Outer Cage,Restablecer jaula externa,Réinitialiser Outer Cage,Ripristina cage esterna,ケージの外側をリセット,외부 케이지 재설정,Redefinir gaiola externa, , ,重置外圍籠
Studio.AccessoryFittingTool.Preview.PanelBlockerAddClothing,Add clothing item from the Explorer,Add clothing item from the Explorer,Añadir una prenda del Explorador,Ajouter un vêtement depuis Explorer,Aggiungi un capo d'abbigliamento dall'Esploratore,エクスプローラから衣装アイテムを追加,탐색기에서 복장 아이템 추가,Adicionar um item de roupa a partir do Explorador,从项目管理器添加服装道具,从项目管理器添加服装道具,從總管新增服飾道具
Studio.AccessoryFittingTool.Preview.AvatarInvalidAdd,Only an avatar item can be added,Only an avatar item can be added,Solo se puede añadir un accesorio para el avatar,Il est impossible d'ajouter autre chose qu'un avatar,Solo un elemento avatar può essere aggiunto,アバターアイテムしか追加できません,하나의 아바타 아이템만 추가할 수 있습니다,Somente um item de avatar pode ser adicionado,只能添加一个虚拟形象道具,只能添加一个虚拟形象道具,只能新增虛擬人偶道具
Studio.AccessoryFittingTool.Preview.ClothingInvalidAdd,Only a clothing item can be added,Only a clothing item can be added,Solo se puede añadir una prenda,Il est impossible d'ajouter autre chose qu'un vêtement,È possibile aggiungere solo un capo d'abbigliamento,衣装アイテムしか追加できません,하나의 복장 아이템만 추가할 수 있습니다,Somente um item de roupa pode ser adicionado,只能添加一个服装道具,只能添加一个服装道具,只能新增服飾道具
Studio.AccessoryFittingTool.Preview.AnimationInvalidAdd,Only a KeyframeSequence Instance can be added,Only a KeyframeSequence Instance can be added,Solo se puede añadir una instancia KeyframeSequence,Il est impossible d'ajouter autre chose qu'une instance KeyframeSequence,È possibile aggiungere solo un'istanza KeyframeSequence,KeyframeSequence インスタンスしか追加できません,하나의 KeyframeSequence 인스턴스만 추가할 수 있습니다,Somente uma instância KeyframeSequence pode ser adicionada,只能添加一个 KeyframeSequence 实例,只能添加一个 KeyframeSequence 实例,只能新增 KeyframeSequence 個體
Studio.AccessoryFittingTool.AssetType.AssetType,Asset Type,Asset Type,Tipo de recurso,Type de contenu,Tipo risorsa,アセットタイプ,애셋 유형,Tipo de ativo, , ,素材類型
Studio.AccessoryFittingTool.Actions.Redo,Redo,Redo,Rehacer,Refaire,Ripeti,やり直す,다시 실행,Refazer,重做,重做,重做
Studio.AccessoryFittingTool.Preview.ConfirmAddTile,Add {itemName} tile?,Add {itemName} tile?,¿Añadir el mosaico {itemName}?,Ajouter le carreau {itemName} ?,Aggiungere tile {itemName}?,{itemName} タイルを追加しますか？,{itemName} 타일을 추가할까요?,Adicionar ladrilho {itemName}?,添加 {itemName} 砖块？,添加 {itemName} 砖块？,新增 {itemName} 磚格？
Studio.AccessoryFittingTool.AssetType.Skirt,Skirt,Skirt,Falda,Jupe,Gonna,スカート,스커트,Saia,半裙,半裙,短裙
Studio.AccessoryFittingTool.AssetType.Front,Front,Front,Frontal,Avant,Davanti,正面,전면,Frente,正面,正面,正面
Studio.AccessoryFittingTool.EditAndPreview.PromptNoCage,"Move, rotate and scale accessory within the bounding box to adjust fitting. Use preview to access fitting quality on different bodies and animations.","Move, rotate and scale accessory within the bounding box to adjust fitting. Use preview to access fitting quality on different bodies and animations.","Mueve, gira y escala accesorios dentro de la caja delimitadora para ajustarlos. Utiliza la vista previa para acceder a la calidad de ajuste en diferentes cuerpos y animaciones.","Déplacer, faire pivoter et mettre à l'échelle les accessoires à l'intérieur de la boîte de délimitation pour ajuster l'ajustement. Utiliser la prévisualisation pour accéder à la qualité de l'ajustement sur différents corps et animations.","Sposta, ruota e ridimensiona l'accessorio all'interno del riquadro di delimitazione per adattarlo. Usa l'anteprima per vedere il risultato su diversi corpi e animazioni.",フィッティングを調整するには、境界ボックス内にあるアクセサリを移動、回転、縮小/拡大する。違うタイプのボディやアニメーションでフィッティングのクオリティにアクセスするにはプレビューを使用します。,"경계 상자 내에서 장신구를 이동, 회전 및 스케일해 맞춤을 조정합니다. 미리 보기를 사용해 다양한 체형 및 애니메이션의 맞춤 상태를 확인할 수 있습니다.","Mova, gire e redimensione acessórios dentro da caixa delimitadora para fazer o ajuste. Use a pré-visualização para acessar a qualidade de ajuste em diferentes corpos e animações.", , ,在週框方塊內移動、旋轉及縮放飾品，調整貼合度。您可以使用預覽功能檢查不同體型和動畫的貼合度。
Studio.AccessoryFittingTool.EditAndPreview.PromptCage,Adjust fitting by editing the cage mesh vertices. Use preview to access fitting quality with different options for bodies and animations.,Adjust fitting by editing the cage mesh vertices. Use preview to access fitting quality with different options for bodies and animations.,Define el ajuste editando los vértices de la malla de la jaula. Utiliza la vista previa para acceder a la calidad de ajuste con diferentes opciones para cuerpos y animaciones.,Ajuster l'ajustement en modifiant les points du maillage de la cage. Utiliser l'aperçu pour accéder à la qualité de l'ajustement avec différentes options pour les corps et les animations.,Modifica i vertici della cage mesh per adattarla. Usa l'anteprima per vedere il risultato con diverse opzioni per corpi e animazioni.,ケージメッシュの頂点を編集してフィッティングを調整します。プレビューを使用すると、ボディとアニメーションのフィッティングのクオリティを違うオプションを使ってアクセスできます。,케이지 메시 정점을 편집해 맞춤을 조정할 수 있습니다. 미리 보기를 사용해 체형 및 애니메이션에 대한 다양한 옵션으로 맞춤 상태를 확인할 수 있습니다.,Ajuste o equipamento editando os vértices da malha em gaiola. Use a pré-visualização para acessar a qualidade de instalação com opções diferentes para corpos e animações., , ,編輯圍籠網格頂點即可調整貼合度。您可以使用預覽功能檢查不同體型和動畫的貼合度。
Studio.AccessoryFittingTool.AssetType.Face,Face,Face,Cara,Visage,Faccia,顔,얼굴,Rosto, , ,臉部
Studio.AccessoryFittingTool.AssetType.Shirt,Shirt,Shirt,Camisa,Chemise,Camicia,シャツ,셔츠,Camisa,衬衫,衬衫,襯衫
Studio.AccessoryFittingTool.AssetType.Waist,Waist,Waist,Cintura,Taille,Vita,腰,허리,Cintura,腰部,腰部,腰部
Studio.AccessoryFittingTool.Dialog.Cancel,Cancel,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소,Cancelar, , ,取消
Studio.AccessoryFittingTool.AssetType.Jacket,Jacket,Jacket,Chaqueta,Veste,Giacca,ジャケット,재킷,Jaqueta,外套,外套,夾克
Studio.AccessoryFittingTool.AssetType.RightShoulder,Right Shoulder,Right Shoulder,Hombro derecho,Épaule droite,Spalla destra,右肩,오른쪽 어깨,Ombro direito,右肩,右肩,右肩
Studio.AccessoryFittingTool.AssetType.Center,Center,Center,Centro,Centre,Centro,中央,중앙,Centro,中央,中央,中央
Studio.AccessoryFittingTool.AssetType.Shorts,Shorts,Shorts,Pantalones cortos,Shorts,Pantaloncini,短パン,반바지,Shorts,短裤,短裤,短褲
Studio.AccessoryFittingTool.Generate.Prompt,The asset is ready.,The asset is ready.,El recurso está listo.,Le contenu est prêt.,La risorsa è disponibile.,アセットの準備ができました。,애셋이 준비되었습니다.,O ativo está pronto.,素材已就绪。,素材已就绪。,素材已準備完成。
Studio.AccessoryFittingTool.Generate.Wait,Please wait while the asset is being generated...,Please wait while the asset is being generated...,Espera mientras se genera el recurso...,Patienter pendant que l'asset est généré...,Attendere mentre l'asset è in fase di generazione...,アセットが作成されるまでしばらくお待ちください...,애셋이 생성되는 동안 잠시 기다려 주세요...,Aguarde enquanto o ativo está sendo gerado...,素材正在生成，请稍候...,素材正在生成，请稍候...,素材正在生成，請稍後……
Studio.AccessoryFittingTool.Dialog.Confirm,Confirm,Confirm,Confirmar,Confirmer,Conferma,確認する,확인,Confirmar, , ,確認
Studio.AccessoryFittingTool.Actions.Undo,Undo,Undo,Deshacer,Défaire,Annulla,取り消す,실행 취소,Desfazer,撤消,撤消,復原
Studio.AccessoryFittingTool.Actions.ToggleTransform,Toggle Transform,Toggle Transform,Alternar transformación,Activer/désactiver la transformation,Attiva/disattiva trasformazione,変形を切り替え,변형 토글,Alternar transformar,切换变形,切换变形,切換變形
Studio.AccessoryFittingTool.Actions.SelectLattice,Select Lattice,Select Lattice,Seleccionar enrejado,Sélectionner treillage,Selezionare Lattice,格子を選択,격자 선택,Selecionar treliça,选择栅格,选择栅格,選擇格紋
Studio.AccessoryFittingTool.ToolSettings.Target,Target,Target,Objetivo,Cible,Target,ターゲット,대상,Alvo,目标,目标,對象
Studio.AccessoryFittingTool.ToolSettings.Subdivisions,Subdivisions,Subdivisions,Subdivisiones,Subdivisions,Suddivisioni,部分,세분화,Subdivisões,分部,分部,細分
Studio.AccessoryFittingTool.LatticeTool.GenerateMessageBoxText,The previous lattice on this deformer will be replaced. Any transformations on the lattice will be overwritten. Proceed?,The previous lattice on this deformer will be replaced. Any transformations on the lattice will be overwritten. Proceed?,El enrejado anterior en este deformador será reemplazado. Cualquier transformación en el enrejado se sobrescribirá. ¿Proceder?,Le treillage précédent de ce déformateur va être remplacé. Les transformations du treillage seront supprimées. Voulez-vous continuer ?,Il reticolo precedente su questo deformatore verrà sostituito. Tutte le trasformazioni effettuate sul reticolo verranno sovrascritte. Procedere?,この変形器の前の格子は置き換えられます。格子上のすべての変形が上書きされます。続行しますか？,이 디포머의 이전 격자가 교체됩니다. 격자의 모든 변형을 덮어씁니다. 진행할까요?,A treliça anterior neste deformador será substituída. Quaisquer transformações na treliça serão substituídas. Continuar?,此变形器的先前栅格将被替换。此栅格的任何变形都将被覆盖。继续吗？,此变形器的先前栅格将被替换。此栅格的任何变形都将被覆盖。继续吗？,此變形器的前一個紋格將被取代。紋格上所有變形將被覆寫。繼續？
Studio.AccessoryFittingTool.SelectItem.Delete,Delete,Delete,Eliminar,Supprimer,Elimina,削除,삭제,Excluir,删除,删除,刪除
Studio.AccessoryFittingTool.EditingMode.Text,Enable/Disable Cage Editing,Enable/Disable Cage Editing,Activar/Desactivar edición de jaula,Activer/Désactiver l'édition des grilles,Abilita/Disabilita Modifica Cages,ケージ編集のオン/オフ切り替え,케이지 편집 활성화 또는 비활성화,Ativar/Desativar edição de gaiola,启用/禁用围笼编辑,启用/禁用围笼编辑,啟用 / 停用圍籠編輯
Studio.AccessoryFittingTool.EditingMode.OuterCage,Outer Cage Mode,Outer Cage Mode,Modo Jaula,Mode Grille Extérieure,Modalità Cage Esterna,外側ケージモード,외부 케이지 모드,Modo de gaiola externa,外围笼模式,外围笼模式,外圍籠模式
Studio.AccessoryFittingTool.EditingMode.InnerCage,Inner Cage Mode,Inner Cage Mode,Modo Jaula interior,Mode grille intérieure,Modalità Cage Interna,内側ケージモード,내부 케이지 모드,Modo de janela interna,内围笼模式,内围笼模式,內圍籠模式
Studio.AccessoryFittingTool.EditingMode.MeshPart,Mesh Part,Mesh Part,Parte de malla,Partie de maillage,Parte mesh,メッシュパーツ,메시 파트,Parte da malha,网格部件,网格部件,網格零件
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.Tooltip,Add assets from Explorer,Add assets from Explorer,Añadir recursos del Explorador,Ajouter des contenus à partir d'Explorer,Aggiungi risorse da Esploratore,エクスプローラからアセットを追加,탐색기에서 애셋 추가,Adicionar ativos do Explorador,从项目管理器添加素材,从项目管理器添加素材,從總管新增素材
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.AddWithNoCageText,Imported {itemName} does not contain an {cageName}. Please use Cage Generation in Edit to generate one.,Imported {itemName} does not contain an {cageName}. Please use Cage Generation in Edit to generate one.,{itemName} importado no contiene {cageName}. Usa Generación de jaula en Editar para generar uno.,L'objet {itemName} importé ne contient pas de «{cageName} . Utilise la génération de grille dans le menu Éditer pour en créer une.,L'oggetto {itemName} importato non contiene {cageName}. Usa Generazione cage in Modifica per generarlo.,インポート済みの {itemName} には {cageName} が含まれていません。作成するには編集でケージ作成を使ってください。,가져온 {itemName}에 {cageName}(이)가 포함되어 있지 않습니다. '편집'에서 '케이지 생성'을 사용해 생성하세요.,{itemName} importado(a) não contém um {cageName}. Use a Geração de gaiola em Editar para gerar uma., , ,匯入的 {itemName} 不包含 {cageName}，請使用編輯內的圍籠生成選項進行生成。
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.InvalidAddText,Only avatar or clothing item can be added,Only avatar or clothing item can be added,Solo se puede añadir un avatar o una prenda,Il est impossible d'ajouter autre chose qu'un avatar ou un vêtement,È possibile aggiungere solo un avatar o capi d'abbigliamento,アバターか衣装アイテムしか追加できません,아바타 또는 복장 아이템만 추가할 수 있습니다,Somente itens de avatar ou roupas podem ser adicionados, , ,只能新增虛擬人偶或服飾道具
