Key,en-us
Studio.AccessoryFittingTool.Editor.PointTool,Point Tool
Studio.AccessoryFittingTool.Editor.Preview,Preview
Studio.AccessoryFittingTool.Editor.Reset,Reset
Studio.AccessoryFittingTool.Editor.ResumeEditing,Click here to resume editing cages.
Studio.AccessoryFittingTool.Editor.RingTool,Ring Tool
Studio.AccessoryFittingTool.Editor.Select,Select
Studio.AccessoryFittingTool.EditorErrors.OpenedWhileRunning,Layered Clothing Editor cannot be used while game is running!
Studio.AccessoryFittingTool.Flow.Back,Back
Studio.AccessoryFittingTool.Flow.Generate,Generate
Studio.AccessoryFittingTool.Flow.Next,Next
Studio.AccessoryFittingTool.Generate.InvalidBounds,Item is not within the acceptable bounds for moderation. Please scale/position the item till it fits into the blue bounding box.
Studio.AccessoryFittingTool.Generate.Prompt,The asset is ready.
Studio.AccessoryFittingTool.Generate.Tooltip,Generate the final accessory item with all of your edits.
Studio.AccessoryFittingTool.Generate.Wait,Please wait while the asset is being generated...
Studio.AccessoryFittingTool.LatticeTool.GenerateMessageBoxText,The previous lattice on this deformer will be replaced. Any transformations on the lattice will be overwritten. Proceed?
Studio.AccessoryFittingTool.Main.Title,Accessory Fitting Tool
Studio.AccessoryFittingTool.Main.ToolbarButton,Accessory Fitting Tool
Studio.AccessoryFittingTool.Main.Tooltip,Edit and Preview Cage Mesh for Clothing and Accessories
Studio.AccessoryFittingTool.Meta.PluginName,Layered Clothing Editor
Studio.AccessoryFittingTool.Meta.ToolbarName,Avatar
Studio.AccessoryFittingTool.Opacity.Cage,Cage Opacity
Studio.AccessoryFittingTool.Opacity.Mesh,Mesh Opacity
Studio.AccessoryFittingTool.Preview.AddNew,Add new...
Studio.AccessoryFittingTool.Preview.Animations,Animations
Studio.AccessoryFittingTool.Preview.Asset,Asset
Studio.AccessoryFittingTool.Preview.Avatars,Avatars
Studio.AccessoryFittingTool.Preview.Clothing,Clothing
Studio.AccessoryFittingTool.Preview.ConfirmAddTile,Add {itemName} tile?
Studio.AccessoryFittingTool.Preview.ConfirmAddTiles,Add tiles for all valid assets from {itemName} folder?
Studio.AccessoryFittingTool.Preview.Custom,Custom
Studio.AccessoryFittingTool.Preview.Default,Default
Studio.AccessoryFittingTool.Preview.FocusCamera,Focus camera on Mannequin
Studio.AccessoryFittingTool.Preview.InvalidAdd,"Invalid instance selected. Must be a MeshPart, Accessory, Model, Animation, or Folder."
Studio.AccessoryFittingTool.Preview.PanelBlockerAddItem,"Add a MeshPart, Accessory, Model, Animation, or Folder from the Explorer"
Studio.AccessoryFittingTool.Preview.PanelBlockerAddItemWithEscape,"Add a MeshPart, Accessory, Model, Animation, or Folder from the Explorer. Click here or press Escape to resume editing."
Studio.AccessoryFittingTool.Preview.Tooltip,Click to wear item in Accessory Fitting Tool Preview!
Studio.AccessoryFittingTool.Preview.Transparency,Transparency
Studio.AccessoryFittingTool.Reset.InnerCage,Reset Inner Cage
Studio.AccessoryFittingTool.Reset.OuterCage,Reset Outer Cage
Studio.AccessoryFittingTool.ScaleType.Classic,Classic
Studio.AccessoryFittingTool.ScaleType.ProportionsNormal,Proportions Normal
Studio.AccessoryFittingTool.ScaleType.ProportionsSlender,Proportions Slender
Studio.AccessoryFittingTool.ScaleType.Select,Select Avatar Part Scale Type
Studio.AccessoryFittingTool.Select.Click,Click here to begin selecting...
Studio.AccessoryFittingTool.Select.Invalid,Invalid Selection
Studio.AccessoryFittingTool.Select.LoseChanges,You have unpublished changes on the previous item. You will lose those changes if you select this new item. Proceed?
Studio.AccessoryFittingTool.Select.Part,Part:
Studio.AccessoryFittingTool.Select.Prompt,Click the MeshPart you want to become the accessory.
Studio.AccessoryFittingTool.Select.PromptGeneric,Click the part or model that you would like to edit.
Studio.AccessoryFittingTool.Select.Selection,Selection:
Studio.AccessoryFittingTool.SelectItem.Delete,Delete
Studio.AccessoryFittingTool.ToolSettings.FalloffDistance,Falloff Distance
Studio.AccessoryFittingTool.ToolSettings.Generate,Generate
Studio.AccessoryFittingTool.ToolSettings.LocalAlignment,Local Alignment
Studio.AccessoryFittingTool.ToolSettings.Subdivisions,Subdivisions
Studio.AccessoryFittingTool.ToolSettings.Target,Target
Studio.AccessoryFittingTool.Transparency.InnerCage,InnerCage
Studio.AccessoryFittingTool.Transparency.OuterCage,OuterCage
Studio.AccessoryFittingTool.Transparency.Title,Transparency
