Key,en-us
Studio.LayeredClothingEditor.Preview.Transparency,Transparency
Studio.LayeredClothingEditor.Reset.InnerCage,Reset Inner Cage
Studio.LayeredClothingEditor.Reset.OuterCage,Reset Outer Cage
Studio.LayeredClothingEditor.Select.LoseChanges,You have unpublished changes on the previous item. You will lose those changes if you select this new item. Proceed?
Studio.LayeredClothingEditor.Select.Part,Part:
Studio.LayeredClothingEditor.Select.Prompt,Click the part you want to become the accessory.
Studio.LayeredClothingEditor.SelectItem.Delete,Delete
Studio.LayeredClothingEditor.ToolSettings.FalloffDistance,Falloff Distance
Studio.LayeredClothingEditor.ToolSettings.Generate,Generate
Studio.LayeredClothingEditor.ToolSettings.LocalAlignment,Local Alignment
Studio.LayeredClothingEditor.ToolSettings.Subdivisions,Subdivisions
Studio.LayeredClothingEditor.ToolSettings.Target,Target
Studio.LayeredClothingEditor.Transparency.InnerCage,InnerCage
Studio.LayeredClothingEditor.Transparency.Mesh,Mesh
Studio.LayeredClothingEditor.Transparency.OuterCage,OuterCage
Studio.LayeredClothingEditor.Transparency.Title,Transparency
