Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.AssetImporter.Upload.SuccessDescription,You may find your asset in Toolbox or Asset Manager.,You may find your asset in Toolbox or Asset Manager.,Puedes encontrar tu recurso en Caja de herramientas o Gestor de recursos.,Tu peux trouver ton contenu dans la Boîte à outils ou dans le Gestionnaire des contenus.,Puoi trovare il tuo asset in Toolbox o Asset Manager.,ツールボックスかアセット管理でアセットが見つかります。,도구 상자 또는 애셋 관리자에서 애셋을 찾을 수 있습니다.,Você pode encontrar seus ativos na Caixa de ferramentas ou no Gerenciador de ativos.,您可能可在工具箱或素材管理器中找到您的素材。,您可能可在工具箱或素材管理器中找到您的素材。,您可以在工具箱或素材管理器找到素材。
Studio.AssetImporter.PropertiesTooltip.ImportAsModelAsset,Controls whether individual MeshParts are imported as separate assets in addition to being grouped into a model,Controls whether individual MeshParts are imported as separate assets in addition to being grouped into a model,Controla si MeshParts individuales son importadas como recursos separados además de ser agrupadas en un modelo,Contrôle si des MeshParts individuels sont importés en tant que contenus séparés en plus d'être regroupés dans un modèle,Controlla se le singole MeshParts sono importate come attività separate oltre a essere raggruppate in un modello,一つのモデルにグループ化されることに加えて、個々の MeshParts を個別のアセットとしてインポートするかどうかをコントロールします,모델로 그룹화하는 것 외에도 개별 MeshPart를 별도의 애셋으로 가져올지 여부를 제어합니다,"Controla se MeshPartes individuais são importadas como arquivos separados, além de serem agrupadas em um modelo",控制单个 MeshPart 除了被组合至模型中之外，是否可作为单独的素材导入,控制单个 MeshPart 除了被组合至模型中之外，是否可作为单独的素材导入,控制個別 MeshPart 在組合成模型之外是否當作單獨素材匯入
Studio.AssetImporter.Properties.ScaleUnit,Scale Unit,Scale Unit,Unidad de escala,Unité d'échelle,Scala unità,拡大/縮小の単位,스케일 단위,Unidade de escala,缩放单位,缩放单位,縮放單位
Studio.AssetImporter.PropertiesTooltip.ScaleUnit,The scale used when exporting the file,The scale used when exporting the file,La escala utilizada al exportar el archivo,L'échelle utilisée lors de l'exportation du fichier,La scala utilizzata per l'esportazione del file,ファイルのエクスポートに使用された拡大/縮小,파일을 내보낼 때 사용되는 스케일,A escala usada durante a exportação do arquivo,导出文件时使用的比例,导出文件时使用的比例,匯出檔案時使用的比例
Studio.AssetImporter.Properties.WorldForward,World Forward,World Forward,Mundo adelante,Avance du monde,Mondo avanti,ワールド 前方,월드 앞으로,Mundo à frente,世界向前,世界向前,世界往前
Studio.AssetImporter.Properties.WorldUp,World Up,World Up,Mundo superior,World Up,Mondo su,ワールド 上,월드 위로,Mundo acima,世界向上,世界向上,世界往上
Studio.AssetImporter.Statuses.FacsNoNeutralError,No frame was set to "Neutral" in animation.,No frame was set to "Neutral" in animation.,No se estableció ningún marco en "Neutral" en la animación.,Aucune image n'a été définie à "Neutre" dans l'animation.,Nessun fotogramma impostato su "Neutrale" nell'animazione.,アニメーションでフレームが "Neutral"（ニュートラル）に設定されていません。,애니메이션에 'Neutral'로 설정된 프레임이 없습니다.,Nenhum quadro foi definido como "Neutro" na animação.,动画中没有设置为“Neutral”的帧。,动画中没有设置为“Neutral”的帧。,動畫沒有設為「Neutral」的影格。
Studio.AssetImporter.Properties.ZeroOrigin,Zero Origin,Zero Origin,Origen cero,Origine zéro,Origine zero,ゼロオリジン,제로 원점,Origem zero,零始点,零始点,零原點
Studio.AssetImporter.Properties.ImportAsModelAsset,Import Only as a Model,Import Only as a Model,Importar Solo como Modelo,Importer uniquement en tant que modèle,Importa solo come modello,モデルとしてのみインポート,모델로만 가져오기,Importar somente como um modelo,仅以模型导入,仅以模型导入,只以模型匯入
Studio.AssetImporter.Sections.AvatarGeneral,Avatar General,Avatar General,General de avatar,Généralités sur l'avatar,Avatar generale,アバター全般,아바타 일반,Avatar geral,虚拟形象概况,虚拟形象概况,虛擬人偶概況
Studio.AssetImporter.Properties.RigType,Rig Type,Rig Type,Tipo de rig,Type de faille,Tipo di rig,リグタイプ,리그 유형,Tipo de rig,骨架类型,骨架类型,骨架類型
Studio.AssetImporter.Statuses.CantImportAvatarGltfsWarning,This file looks like it contains rigging data (Bones/Animations/Skinning). The importer does not yet support rigging in gLTF files.,This file looks like it contains rigging data (Bones/Animations/Skinning). The importer does not yet support rigging in gLTF files.,Este archivo parece que contiene datos de rigging (Bones/Animations/Skinning). El importador aún no es compatible con el rigging en archivos gLTF.,Ce fichier semble contenir des données de truquage (Bons/Animations/Skinning). L'importateur ne prend pas encore en charge le truquage dans les fichiers gLTF.,Questo file sembra contenere dati di rigging (Bones/Animations/Skinning). L'importatore non supporta ancora il rigging nei file gLTF.,このファイルにはリギングデータ（骨格/アニメーション/スキニング）が含まれているようです。このインポーターはgLTFファイルのリギングをまだサポートしていません。,"파일에 리깅 데이터(뼈대, 애니메이션, 스키닝)가 포함되어 있는 것 같습니다. 임포터는 아직 gLTF 파일의 리깅을 지원하지 않습니다.",Este arquivo parece conter dados de rigging (ossos/animações/skinning). O importador ainda não suporta rigging de arquivos gLTF.,此文件似乎包含骨架数据（骨骼/动画/蒙皮）。导入程序尚不支持 gLTF 文件中的骨架。,此文件似乎包含骨架数据（骨骼/动画/蒙皮）。导入程序尚不支持 gLTF 文件中的骨架。,這份檔案似乎包含骨架資料（骨頭/動畫/皮膚）。匯入器尚不支援 gLTF 檔的骨架資料。
Studio.AssetImporter.PropertiesTooltip.IgnoreVertexColors,Whether or not vertex color information should be extracted,Whether or not vertex color information should be extracted,Si la información de color de vértices debe extraerse o no,Si l'information sur la couleur des sommets doit être extraite ou non,Indica se estrarre o meno le informazioni sul colore del vertice,頂点の色情報を抽出するかどうか,정점 색상 정보 추출 여부,Se a informação de cor do vértice deve ser extraída ou não,是否应该提取顶点颜色信息,是否应该提取顶点颜色信息,是否應擷取頂點顏色資訊
Studio.AssetImporter.Error.Default,Status: {type},Status: {type},Estado: {type},Status : {type},Stato: {type},状況: {type},상태: {type},Status: {type},状态：{type},状态：{type},狀態：{type}
Studio.AssetImporter.Statues.MeshScaleWarning,One of the objects dimensions are larger than can be imported,One of the objects dimensions are larger than can be imported,Una de las dimensiones de los objetos es mayor de lo que se puede importar,Une des dimensions des objets est plus grande que ce qui peut être importé,Uno degli oggetti è più grande di quello che può essere importato,オブジェクトの一つの大きさがインポート可能なサイズを超えています,개체 중 하나의 크기가 가져올 수 있는 크기를 초과합니다,Uma das dimensões dos objetos é maior do que pode ser importada,其中一个对象尺寸大于可导入上限,其中一个对象尺寸大于可导入上限,其中一個物件的尺寸大於可匯入上限
Studio.AssetImporter.Statues.MeshSizeWarning,The number of triangles is greater than is supported. Object will be simplified,The number of triangles is greater than is supported. Object will be simplified,El número de triángulos es mayor que la cantidad compatible. El objeto será simplificado.,Le nombre de triangles est plus grand que celui supporté. L'objet sera simplifié,Il numero di triangoli è maggiore di quello supportato. L'oggetto sarà semplificato,三角形の数が対応可能な数を超えています。オブジェクトは簡素化されます,삼각형의 수가 지원되는 개수를 초과합니다. 개체가 단순화됩니다.,O número de triângulos é maior que o suportado. O objeto será simplificado,三角形的数量大于支持上限。对象将被简化,三角形的数量大于支持上限。对象将被简化,三角形數量大於可支援上限。物件將被簡化
Studio.AssetImporter.Upload.FailureDescription,Reason:,Reason:,Razón:,Raison :,Motivo:,理由:,이유:,Motivo:,原因：,原因：,原因：
